dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.109912,0.918033,0.000028,0.005556,0.555556,55.555556,0.026472
0.010000,0.109905,0.918033,0.000035,0.000704,-0.485137,-104.069285,0.026497
0.010000,0.109890,0.918033,0.000051,0.001584,0.088013,57.314980,0.026553
0.010000,0.109863,0.918032,0.000077,0.002640,0.105589,1.757625,0.026646
0.010000,0.109826,0.918031,0.000114,0.003696,0.105541,-0.004765,0.026777
0.010000,0.109779,0.918030,0.000162,0.004750,0.105474,-0.006674,0.026945
0.010000,0.110302,0.918044,0.000685,0.052331,4.758022,465.254734,0.027151
0.010000,0.111316,0.918072,0.001700,0.101476,4.914585,15.656315,0.027393
0.010000,0.112487,0.918104,0.002870,0.117090,1.561332,-335.325319,0.027673
0.010000,0.113813,0.918141,0.004198,0.132707,1.561726,0.039473,0.027990
0.010000,0.115296,0.918183,0.005681,0.148324,1.561749,0.002220,0.028345
0.010000,0.116935,0.918229,0.007320,0.163941,1.561669,-0.007985,0.028736
0.010000,0.118729,0.918281,0.009116,0.179564,1.562278,0.060963,0.029164
0.010000,0.120681,0.918339,0.011068,0.195188,1.562358,0.007971,0.029629
0.010000,0.122788,0.918402,0.013176,0.210812,1.562421,0.006321,0.030132
0.010000,0.125051,0.918471,0.015440,0.226439,1.562697,0.027580,0.030670
0.010000,0.127471,0.918545,0.017861,0.242068,1.562960,0.026240,0.031246
0.010000,0.130046,0.918627,0.020438,0.257700,1.563209,0.024979,0.031858
0.010000,0.132778,0.918715,0.023171,0.273335,1.563447,0.023802,0.032507
0.010000,0.135666,0.918810,0.026061,0.288976,1.564093,0.064519,0.033192
0.010000,0.138711,0.918912,0.029107,0.304618,1.564172,0.007948,0.033913
0.010000,0.141912,0.919022,0.032310,0.320260,1.564244,0.007163,0.034671
0.010000,0.145269,0.919139,0.035669,0.335912,1.565178,0.093455,0.035464
0.010000,0.148782,0.919266,0.039185,0.351562,1.565026,-0.015177,0.036294
0.010000,0.152452,0.919400,0.042857,0.367221,1.565909,0.088238,0.037159
0.010000,0.156278,0.919544,0.046686,0.382879,1.565790,-0.011890,0.038060
0.010000,0.160260,0.919698,0.050671,0.398547,1.566789,0.099961,0.038996
0.010000,0.164399,0.919861,0.054813,0.414217,1.567028,0.023879,0.039967
0.010000,0.168695,0.920035,0.059112,0.429891,1.567411,0.038311,0.040974
0.010000,0.173147,0.920220,0.063568,0.445571,1.567983,0.057179,0.042015
0.010000,0.177755,0.920416,0.068180,0.461257,1.568546,0.056303,0.043091
0.010000,0.182520,0.920624,0.072950,0.476948,1.569102,0.055575,0.044202
0.010000,0.187441,0.920845,0.077876,0.492644,1.569652,0.054998,0.045347
0.010000,0.192519,0.921078,0.082960,0.508346,1.570198,0.054577,0.046526
0.010000,0.197754,0.921325,0.088200,0.524054,1.570793,0.059533,0.047739
0.010000,0.203146,0.921586,0.093598,0.539773,1.571885,0.109201,0.048986
0.010000,0.208694,0.921862,0.099153,0.555492,1.571947,0.006195,0.050266
0.010000,0.214399,0.922153,0.104865,0.571222,1.572928,0.098054,0.051580
0.010000,0.220260,0.922459,0.110735,0.586958,1.573616,0.068844,0.052926
0.010000,0.226278,0.922782,0.116762,0.602702,1.574392,0.077631,0.054305
0.010000,0.232454,0.923122,0.122946,0.618451,1.574885,0.049278,0.055716
0.010000,0.238786,0.923480,0.129288,0.634213,1.576204,0.131866,0.057160
0.010000,0.245275,0.923856,0.135788,0.649979,1.576670,0.046661,0.058635
0.010000,0.251920,0.924251,0.142446,0.665754,1.577510,0.083951,0.060142
0.010000,0.258723,0.924666,0.149261,0.681539,1.578427,0.091748,0.061680
0.010000,0.265683,0.925101,0.156234,0.697332,1.579345,0.091763,0.063249
0.010000,0.272800,0.925558,0.163366,0.713135,1.580265,0.091982,0.064848
0.010000,0.280073,0.926036,0.170655,0.728947,1.581189,0.092404,0.066478
0.010000,0.287504,0.926537,0.178103,0.744768,1.582119,0.093032,0.068138
0.010000,0.295092,0.927061,0.185709,0.760601,1.583351,0.123146,0.069827
0.010000,0.302837,0.927610,0.193473,0.776444,1.584286,0.093558,0.071545
0.010000,0.310739,0.928183,0.201396,0.792295,1.585060,0.077411,0.073292
0.010000,0.318799,0.928782,0.209478,0.808162,1.586745,0.168430,0.075068
0.010000,0.327015,0.929407,0.217718,0.824034,1.587193,0.044850,0.076871
0.010000,0.335389,0.930060,0.226118,0.839924,1.589021,0.182758,0.078703
0.010000,0.343920,0.930741,0.234676,0.855822,1.589722,0.070115,0.080561
0.010000,0.352609,0.931450,0.243393,0.871732,1.591005,0.128352,0.082446
0.010000,0.361454,0.932190,0.252270,0.887655,1.592376,0.137085,0.084357
0.010000,0.370457,0.932960,0.261306,0.903593,1.593727,0.135087,0.086295
0.010000,0.379618,0.933762,0.270501,0.919542,1.594887,0.115951,0.088257
0.010000,0.388936,0.934595,0.279856,0.935504,1.596237,0.135060,0.090245
0.010000,0.398411,0.935462,0.289371,0.951480,1.597611,0.137411,0.092257
0.010000,0.408043,0.936364,0.299046,0.967472,1.599201,0.158928,0.094292
0.010000,0.417834,0.937300,0.308880,0.983477,1.600449,0.124884,0.096352
0.010000,0.427781,0.938272,0.318875,0.999495,1.601858,0.140898,0.098434
0.010000,0.437886,0.939280,0.329031,1.015530,1.603473,0.161502,0.100539
0.010000,0.448149,0.940326,0.339346,1.031581,1.605084,0.161084,0.102665
0.010000,0.458569,0.941411,0.349823,1.047645,1.606438,0.135353,0.104813
0.010000,0.469147,0.942536,0.360460,1.063728,1.608266,0.182793,0.106981
0.010000,0.479882,0.943700,0.371258,1.079826,1.609786,0.152074,0.109169
0.010000,0.490775,0.944907,0.382218,1.095939,1.611377,0.159023,0.111377
0.010000,0.501825,0.946155,0.393338,1.112071,1.613188,0.181143,0.113604
0.010000,0.513033,0.947446,0.404621,1.128221,1.614985,0.179707,0.115850
0.010000,0.524399,0.948782,0.416065,1.144387,1.616631,0.164611,0.118113
0.010000,0.535922,0.950163,0.427670,1.160572,1.618444,0.181314,0.120393
0.010000,0.547603,0.951590,0.439438,1.176775,1.620277,0.183217,0.122689
0.010000,0.559442,0.953063,0.451368,1.192996,1.622143,0.186641,0.125001
0.010000,0.571438,0.954585,0.463460,1.209238,1.624174,0.203082,0.127329
0.010000,0.583592,0.956155,0.475715,1.225497,1.625950,0.177643,0.129670
0.010000,0.595903,0.957776,0.488133,1.241776,1.627873,0.192284,0.132026
0.010000,0.608373,0.959447,0.500714,1.258077,1.630054,0.218082,0.134394
0.010000,0.621000,0.961169,0.513458,1.274396,1.631920,0.186628,0.136774
0.010000,0.633784,0.962944,0.526365,1.290737,1.634096,0.217558,0.139167
0.010000,0.646727,0.964773,0.539436,1.307097,1.636041,0.194496,0.141570
0.010000,0.659827,0.966656,0.552671,1.323481,1.638400,0.235896,0.143983
0.010000,0.673085,0.968595,0.566070,1.339885,1.640377,0.197728,0.146405
0.010000,0.686500,0.970590,0.579633,1.356311,1.642591,0.221439,0.148836
0.010000,0.700074,0.972642,0.593360,1.372759,1.644832,0.224062,0.151274
0.010000,0.713805,0.974753,0.607253,1.389230,1.647092,0.226051,0.153720
0.010000,0.727694,0.976922,0.621310,1.405724,1.649375,0.228221,0.156171
0.010000,0.741740,0.979151,0.635532,1.422241,1.651680,0.230558,0.158628
0.010000,0.755945,0.981442,0.649920,1.438781,1.654011,0.233051,0.161090
0.010000,0.770307,0.983794,0.664474,1.455344,1.656368,0.235686,0.163555
0.010000,0.784827,0.986208,0.679193,1.471933,1.658817,0.244957,0.166022
0.010000,0.799504,0.988686,0.694078,1.488545,1.661233,0.241577,0.168492
0.010000,0.814340,0.991229,0.709130,1.505181,1.663624,0.239139,0.170963
0.010000,0.829333,0.993837,0.724349,1.521843,1.666227,0.260233,0.173434
0.010000,0.844484,0.996510,0.739734,1.538530,1.668626,0.239934,0.175904
