dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.117392,0.635557,0.000028,0.005556,0.555556,55.555556,0.026472
0.010000,0.117392,0.635557,0.000139,0.016667,1.111111,55.555556,0.026497
0.010000,0.117392,0.635557,0.000389,0.033333,1.666667,55.555556,0.026553
0.010000,0.117392,0.635557,0.000806,0.050000,1.666667,0.000000,0.026646
0.010000,0.117392,0.635557,0.001389,0.066667,1.666667,-0.000000,0.026777
0.010000,0.117392,0.635557,0.002139,0.083333,1.666667,0.000000,0.026945
0.010000,0.117973,0.635573,0.003056,0.100000,1.666667,0.000000,0.027151
0.010000,0.119056,0.635603,0.004139,0.116667,1.666667,-0.000000,0.027393
0.010000,0.120305,0.635637,0.005389,0.133333,1.666667,0.000000,0.027673
0.010000,0.121722,0.635677,0.006806,0.150000,1.666667,0.000000,0.027990
0.010000,0.123304,0.635721,0.008389,0.166667,1.666667,0.000000,0.028345
0.010000,0.125054,0.635771,0.010139,0.183333,1.666667,0.000000,0.028736
0.010000,0.126969,0.635827,0.012056,0.200000,1.666667,-0.000000,0.029164
0.010000,0.129052,0.635888,0.014139,0.216667,1.666667,0.000000,0.029629
0.010000,0.131301,0.635955,0.016389,0.233333,1.666667,0.000000,0.030132
0.010000,0.133716,0.636028,0.018806,0.250000,1.666667,0.000000,0.030670
0.010000,0.136298,0.636108,0.021389,0.266667,1.666667,0.000000,0.031246
0.010000,0.139047,0.636195,0.024139,0.283333,1.666667,0.000000,0.031858
0.010000,0.141962,0.636289,0.027056,0.300000,1.666667,0.000000,0.032507
0.010000,0.145044,0.636390,0.030139,0.316667,1.666667,0.000000,0.033192
0.010000,0.148292,0.636499,0.033389,0.333333,1.666667,-0.000000,0.033913
0.010000,0.151707,0.636616,0.036806,0.350000,1.666667,0.000000,0.034671
0.010000,0.155288,0.636742,0.040389,0.366667,1.666667,-0.000000,0.035464
0.010000,0.159035,0.636877,0.044139,0.383333,1.666667,-0.000000,0.036294
0.010000,0.162950,0.637020,0.048056,0.400000,1.666667,0.000000,0.037159
0.010000,0.167030,0.637174,0.052139,0.416667,1.666667,-0.000000,0.038060
0.010000,0.171277,0.637338,0.056389,0.433333,1.666667,0.000000,0.038996
0.010000,0.175690,0.637512,0.060806,0.450000,1.666667,-0.000000,0.039967
0.010000,0.180270,0.637697,0.065389,0.466667,1.666667,0.000000,0.040974
0.010000,0.185016,0.637894,0.070139,0.483333,1.666667,-0.000000,0.042015
0.010000,0.189928,0.638104,0.075056,0.500000,1.666667,0.000000,0.043091
0.010000,0.195006,0.638325,0.080139,0.516667,1.666667,-0.000000,0.044202
0.010000,0.200251,0.638560,0.085389,0.533333,1.666667,0.000000,0.045347
0.010000,0.205662,0.638809,0.090806,0.550000,1.666667,0.000000,0.046526
0.010000,0.211239,0.639072,0.096389,0.566667,1.666667,-0.000000,0.047739
0.010000,0.216982,0.639350,0.102139,0.583333,1.666667,0.000000,0.048986
0.010000,0.222892,0.639644,0.108056,0.600000,1.666667,-0.000000,0.050266
0.010000,0.228967,0.639953,0.114139,0.616667,1.666667,0.000000,0.051580
0.010000,0.235209,0.640280,0.120389,0.633333,1.666667,0.000000,0.052926
0.010000,0.241616,0.640624,0.126806,0.650000,1.666667,-0.000000,0.054305
0.010000,0.248189,0.640986,0.133389,0.666667,1.666667,0.000000,0.055716
0.010000,0.254929,0.641366,0.140139,0.683333,1.666667,0.000000,0.057160
0.010000,0.261834,0.641767,0.147056,0.700000,1.666667,0.000000,0.058635
0.010000,0.268905,0.642187,0.154139,0.716667,1.666667,-0.000000,0.060142
0.010000,0.276141,0.642628,0.161389,0.733333,1.666667,0.000000,0.061680
0.010000,0.283543,0.643091,0.168806,0.750000,1.666667,-0.000000,0.063249
0.010000,0.291111,0.643577,0.176389,0.766667,1.666667,0.000000,0.064848
0.010000,0.298844,0.644085,0.184139,0.783333,1.666667,0.000000,0.066478
0.010000,0.306743,0.644618,0.192056,0.800000,1.666667,-0.000000,0.068138
0.010000,0.314807,0.645175,0.200139,0.816667,1.666667,0.000000,0.069827
0.010000,0.323037,0.645758,0.208389,0.833333,1.666667,0.000000,0.071545
0.010000,0.331431,0.646367,0.216806,0.850000,1.666667,0.000000,0.073292
0.010000,0.339991,0.647003,0.225389,0.866667,1.666667,-0.000000,0.075068
0.010000,0.348716,0.647667,0.234139,0.883333,1.666667,0.000000,0.076871
0.010000,0.357605,0.648360,0.243056,0.900000,1.666667,0.000000,0.078703
0.010000,0.366660,0.649082,0.252139,0.916667,1.666667,0.000000,0.080561
0.010000,0.375879,0.649835,0.261389,0.933333,1.666667,0.000000,0.082446
0.010000,0.385263,0.650620,0.270806,0.950000,1.666667,-0.000000,0.084357
0.010000,0.394812,0.651437,0.280389,0.966667,1.666667,0.000000,0.086295
0.010000,0.404525,0.652286,0.290139,0.983333,1.666667,-0.000000,0.088257
0.010000,0.414402,0.653170,0.300056,1.000000,1.666667,0.000000,0.090245
0.010000,0.424443,0.654089,0.310139,1.016667,1.666667,-0.000000,0.092257
0.010000,0.434649,0.655044,0.320389,1.033333,1.666667,0.000000,0.094292
0.010000,0.445018,0.656035,0.330806,1.050000,1.666667,0.000000,0.096352
0.010000,0.455551,0.657064,0.341389,1.066667,1.666667,-0.000000,0.098434
0.010000,0.466248,0.658132,0.352139,1.083333,1.666667,0.000000,0.100539
0.010000,0.477108,0.659239,0.363056,1.100000,1.666667,-0.000000,0.102665
0.010000,0.488132,0.660387,0.374139,1.116667,1.666667,0.000000,0.104813
0.010000,0.499319,0.661576,0.385389,1.133333,1.666667,0.000000,0.106981
0.010000,0.510669,0.662808,0.396806,1.150000,1.666667,0.000000,0.109169
0.010000,0.522182,0.664082,0.408389,1.166667,1.666667,-0.000000,0.111377
0.010000,0.533858,0.665401,0.420139,1.183333,1.666667,0.000000,0.113604
0.010000,0.545696,0.666766,0.432056,1.200000,1.666667,0.000000,0.115850
0.010000,0.557697,0.668176,0.444139,1.216667,1.666667,0.000000,0.118113
0.010000,0.569860,0.669633,0.456389,1.233333,1.666667,-0.000000,0.120393
0.010000,0.582185,0.671139,0.468806,1.250000,1.666667,0.000000,0.122689
0.010000,0.594672,0.672693,0.481389,1.266667,1.666667,0.000000,0.125001
0.010000,0.607321,0.674298,0.494139,1.283333,1.666667,-0.000000,0.127329
0.010000,0.620131,0.675953,0.507056,1.300000,1.666667,0.000000,0.129670
0.010000,0.633102,0.677660,0.520139,1.316667,1.666667,-0.000000,0.132026
0.010000,0.646235,0.679420,0.533389,1.333333,1.666667,0.000000,0.134394
0.010000,0.659528,0.681233,0.546806,1.350000,1.666667,0.000000,0.136774
0.010000,0.672983,0.683101,0.560389,1.366667,1.666667,-0.000000,0.139167
0.010000,0.686597,0.685025,0.574139,1.383333,1.666667,0.000000,0.141570
0.010000,0.700372,0.687005,0.588056,1.400000,1.666667,0.000000,0.143983
0.010000,0.714308,0.689043,0.602139,1.416667,1.666667,-0.000000,0.146405
0.010000,0.728403,0.691139,0.616389,1.433333,1.666667,0.000000,0.148836
0.010000,0.742657,0.693294,0.630806,1.450000,1.666667,-0.000000,0.151274
0.010000,0.757071,0.695510,0.645389,1.466667,1.666667,0.000000,0.153720
0.010000,0.771645,0.697786,0.660139,1.483333,1.666667,-0.000000,0.156171
