dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.124651,0.353076,0.000028,0.005556,0.555556,55.555556,0.025691
0.010000,0.124660,0.353076,0.000038,0.000982,-0.457373,-101.292885,0.025725
0.010000,0.124682,0.353076,0.000060,0.002209,0.122714,58.008707,0.025804
0.010000,0.124719,0.353077,0.000096,0.003681,0.147221,2.450700,0.025934
0.010000,0.124771,0.353079,0.000148,0.005153,0.147156,-0.006492,0.026116
0.010000,0.124837,0.353081,0.000214,0.006623,0.147065,-0.009096,0.026351
0.010000,0.124918,0.353083,0.000295,0.008093,0.146948,-0.011708,0.026637
0.010000,0.125013,0.353085,0.000391,0.009561,0.146805,-0.014331,0.026975
0.010000,0.126229,0.353118,0.001607,0.121593,11.203251,1105.644622,0.027366
0.010000,0.127770,0.353161,0.003148,0.154163,3.256969,-794.628135,0.027808
0.010000,0.129492,0.353209,0.004871,0.172277,1.811368,-144.560089,0.028302
0.010000,0.131396,0.353264,0.006775,0.190431,1.815431,0.406279,0.028847
0.010000,0.133480,0.353324,0.008861,0.208539,1.810810,-0.462129,0.029445
0.010000,0.135746,0.353392,0.011128,0.226672,1.813275,0.246480,0.030093
0.010000,0.138193,0.353466,0.013575,0.244785,1.811259,-0.201556,0.030794
0.010000,0.140820,0.353548,0.016205,0.262913,1.812836,0.157673,0.031545
0.010000,0.143629,0.353638,0.019015,0.281006,1.809349,-0.348695,0.032348
0.010000,0.146619,0.353736,0.022006,0.299147,1.814071,0.472152,0.033202
0.010000,0.149790,0.353843,0.025178,0.317239,1.809208,-0.486272,0.034107
0.010000,0.153141,0.353959,0.028532,0.335332,1.809314,0.010630,0.035063
0.010000,0.156673,0.354084,0.032066,0.353450,1.811803,0.248869,0.036070
0.010000,0.160386,0.354220,0.035782,0.371543,1.809221,-0.258137,0.037127
0.010000,0.164280,0.354367,0.039678,0.389628,1.808531,-0.069043,0.038234
0.010000,0.168354,0.354525,0.043755,0.407711,1.808268,-0.026262,0.039392
0.010000,0.172608,0.354696,0.048013,0.425790,1.807914,-0.035482,0.040600
0.010000,0.177043,0.354879,0.052452,0.443864,1.807468,-0.044561,0.041857
0.010000,0.181658,0.355075,0.057071,0.461934,1.806933,-0.053494,0.043164
0.010000,0.186453,0.355285,0.061871,0.479997,1.806310,-0.062275,0.044521
0.010000,0.191429,0.355510,0.066851,0.498053,1.805601,-0.070898,0.045926
0.010000,0.196584,0.355751,0.072012,0.516101,1.804808,-0.079357,0.047381
0.010000,0.201920,0.356008,0.077354,0.534140,1.803931,-0.087648,0.048884
0.010000,0.207434,0.356282,0.082876,0.552170,1.802974,-0.095763,0.050435
0.010000,0.213129,0.356574,0.088577,0.570189,1.801937,-0.103700,0.052035
0.010000,0.219003,0.356885,0.094460,0.588226,1.803652,0.171537,0.053682
0.010000,0.225056,0.357215,0.100522,0.606228,1.800194,-0.345845,0.055377
0.010000,0.231288,0.357566,0.106764,0.624215,1.798735,-0.145895,0.057119
0.010000,0.237700,0.357939,0.113186,0.642222,1.800654,0.191956,0.058908
