dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.077038,7.889714,0.001500,0.300000,30.000000,3000.000000,6.256423
0.010000,0.080565,7.889618,0.005029,0.352867,5.286708,-2471.329214,6.255836
0.010000,0.092891,7.889274,0.017359,1.233036,88.016933,8273.022512,6.254667
0.010000,0.111374,7.888731,0.035851,1.849151,61.611471,-2640.546225,6.252927
0.010000,0.136010,7.887957,0.060498,2.464783,61.563183,-4.828725,6.250635
0.010000,0.165251,7.886965,0.089756,2.925810,46.102697,-1546.048635,6.247952
0.010000,0.196015,7.885838,0.120541,3.078483,15.267285,-3083.541220,6.245174
0.010000,0.226763,7.884626,0.151313,3.077131,-0.135218,-1540.250257,6.242445
0.010000,0.257493,7.883332,0.182070,3.075774,-0.135674,-0.045625,6.239763
0.010000,0.288207,7.881957,0.212814,3.074414,-0.135950,-0.027621,6.237130
0.010000,0.318903,7.880502,0.243545,3.073052,-0.136193,-0.024284,6.234544
0.010000,0.349582,7.878970,0.274262,3.071689,-0.136368,-0.017513,6.232007
0.010000,0.380243,7.877361,0.304965,3.070322,-0.136686,-0.031755,6.229519
0.010000,0.410886,7.875677,0.335655,3.068953,-0.136887,-0.020116,6.227079
0.010000,0.441511,7.873920,0.366330,3.067582,-0.137056,-0.016931,6.224687
0.010000,0.472119,7.872092,0.396993,3.066210,-0.137207,-0.015067,6.222344
0.010000,0.502708,7.870193,0.427641,3.064836,-0.137411,-0.020471,6.220049
0.010000,0.533280,7.868226,0.458276,3.063461,-0.137550,-0.013825,6.217803
0.010000,0.563833,7.866191,0.488896,3.062084,-0.137664,-0.011454,6.215606
0.010000,0.594368,7.864092,0.519503,3.060706,-0.137781,-0.011628,6.213458
0.010000,0.624885,7.861928,0.550097,3.059327,-0.137899,-0.011863,6.211358
0.010000,0.655383,7.859702,0.580676,3.057947,-0.137986,-0.008678,6.209308
0.010000,0.685863,7.857415,0.611242,3.056567,-0.138063,-0.007657,6.207306
0.010000,0.716325,7.855069,0.641794,3.055185,-0.138137,-0.007399,6.205353
