dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.069477,7.607240,0.001500,0.300000,30.000000,3000.000000,6.256423
0.010000,0.072838,7.607149,0.007500,0.900000,60.000000,3000.000000,6.255836
0.010000,0.084833,7.606814,0.019500,1.500000,60.000000,0.000000,6.254667
0.010000,0.102825,7.606285,0.037500,2.100000,60.000000,-0.000000,6.252927
0.010000,0.126814,7.605531,0.061500,2.700000,60.000000,0.000000,6.250635
0.010000,0.155297,7.604565,0.090000,3.000000,30.000000,-3000.000000,6.247952
0.010000,0.185277,7.603467,0.120000,3.000000,0.000000,-3000.000000,6.245174
0.010000,0.215254,7.602286,0.150000,3.000000,0.000000,0.000000,6.242445
0.010000,0.245227,7.601024,0.180000,3.000000,0.000000,0.000000,6.239763
0.010000,0.275197,7.599682,0.210000,3.000000,0.000000,0.000000,6.237130
0.010000,0.305164,7.598262,0.240000,3.000000,0.000000,0.000000,6.234544
0.010000,0.335126,7.596765,0.270000,3.000000,0.000000,0.000000,6.232007
0.010000,0.365085,7.595193,0.300000,3.000000,0.000000,0.000000,6.229519
0.010000,0.395040,7.593547,0.330000,3.000000,0.000000,0.000000,6.227079
0.010000,0.424991,7.591829,0.360000,3.000000,0.000000,0.000000,6.224687
0.010000,0.454937,7.590040,0.390000,3.000000,0.000000,0.000000,6.222344
0.010000,0.484880,7.588181,0.420000,3.000000,0.000000,0.000000,6.220049
0.010000,0.514818,7.586254,0.450000,3.000000,0.000000,0.000000,6.217803
0.010000,0.544751,7.584261,0.480000,3.000000,0.000000,0.000000,6.215606
0.010000,0.574681,7.582203,0.510000,3.000000,0.000000,0.000000,6.213458
0.010000,0.604606,7.580082,0.540000,3.000000,0.000000,0.000000,6.211358
0.010000,0.634526,7.577898,0.570000,3.000000,0.000000,0.000000,6.209308
0.010000,0.664442,7.575653,0.600000,3.000000,0.000000,0.000000,6.207306
0.010000,0.694353,7.573350,0.630000,3.000000,0.000000,0.000000,6.205353
0.010000,0.724260,7.570989,0.660000,3.000000,0.000000,0.000000,6.203449
0.010000,0.754163,7.568571,0.690000,3.000000,0.000000,0.000000,6.201594
0.010000,0.784061,7.566099,0.720000,3.000000,0.000000,0.000000,6.199788
0.010000,0.813954,7.563574,0.750000,3.000000,0.000000,0.000000,6.198030
0.010000,0.843843,7.560996,0.780000,3.000000,0.000000,0.000000,6.196322
0.010000,0.873728,7.558369,0.810000,3.000000,0.000000,0.000000,6.194663
0.010000,0.903608,7.555693,0.840000,3.000000,0.000000,0.000000,6.193052
0.010000,0.933484,7.552969,0.870000,3.000000,0.000000,0.000000,6.191491
0.010000,0.963356,7.550199,0.900000,3.000000,0.000000,0.000000,6.189979
0.010000,0.993224,7.547385,0.930000,3.000000,0.000000,0.000000,6.188515
0.010000,1.023088,7.544528,0.960000,3.000000,0.000000,0.000000,6.187101
0.010000,1.052947,7.541629,0.990000,3.000000,0.000000,0.000000,6.185735
0.010000,1.082803,7.538691,1.020000,3.000000,0.000000,0.000000,6.184418
0.010000,1.112655,7.535713,1.050000,3.000000,0.000000,0.000000,6.183151
0.010000,1.142503,7.532699,1.080000,3.000000,0.000000,0.000000,6.181932
0.010000,1.172348,7.529649,1.110000,3.000000,0.000000,0.000000,6.180762
0.010000,1.202189,7.526565,1.140000,3.000000,0.000000,0.000000,6.179641
0.010000,1.232026,7.523448,1.170000,3.000000,0.000000,0.000000,6.178570
0.010000,1.261861,7.520300,1.200000,3.000000,0.000000,0.000000,6.177546
0.010000,1.291692,7.517122,1.230000,3.000000,0.000000,0.000000,6.176572
0.010000,1.321520,7.513916,1.260000,3.000000,0.000000,0.000000,6.175647
0.010000,1.351345,7.510683,1.290000,3.000000,0.000000,0.000000,6.174771
0.010000,1.381168,7.507424,1.320000,3.000000,0.000000,0.000000,6.173943
