dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.459032,4.391995,0.000029,0.005737,0.573660,57.366040,6.283150
0.010000,1.459031,4.391995,0.000029,0.000045,-0.569193,-114.285337,6.283151
0.010000,1.459030,4.391995,0.000030,0.000089,0.004465,57.365774,6.283155
0.010000,1.459029,4.391995,0.000031,0.000134,0.004459,-0.000532,6.283159
0.010000,1.459027,4.391995,0.000033,0.000178,0.004451,-0.000798,6.283166
0.010000,1.459025,4.391995,0.000035,0.000223,0.004441,-0.001064,6.283173
0.010000,1.459022,4.391995,0.000038,0.000267,0.004428,-0.001330,6.283183
0.010000,1.459649,4.391995,0.000665,0.062646,6.237915,623.348794,0.000009
0.010000,1.460563,4.391995,0.001579,0.091431,2.878423,-335.949238,0.000021
0.010000,1.461592,4.391995,0.002607,0.102860,1.142950,-173.547275,0.000035
0.010000,1.462734,4.391995,0.003750,0.114290,1.142971,0.002073,0.000051
0.010000,1.463992,4.391995,0.005008,0.125720,1.143001,0.003026,0.000068
0.010000,1.465363,4.391995,0.006379,0.137150,1.143028,0.002617,0.000087
0.010000,1.466849,4.391995,0.007865,0.148581,1.143063,0.003503,0.000107
0.010000,1.468449,4.391996,0.009465,0.160012,1.143093,0.003088,0.000129
0.010000,1.470164,4.391996,0.011179,0.171443,1.143134,0.004031,0.000152
0.010000,1.471992,4.391996,0.013008,0.182875,1.143173,0.003946,0.000177
0.010000,1.473935,4.391997,0.014951,0.194307,1.143214,0.004031,0.000203
0.010000,1.475993,4.391997,0.017009,0.205739,1.143261,0.004734,0.000230
0.010000,1.478164,4.391998,0.019180,0.217172,1.143308,0.004764,0.000259
0.010000,1.480451,4.391998,0.021466,0.228606,1.143359,0.005035,0.000290
0.010000,1.482851,4.391999,0.023867,0.240040,1.143412,0.005306,0.000321
0.010000,1.485366,4.392000,0.026382,0.251475,1.143468,0.005577,0.000354
0.010000,1.487995,4.392001,0.029011,0.262910,1.143526,0.005847,0.000389
0.010000,1.490738,4.392002,0.031754,0.274346,1.143587,0.006118,0.000425
0.010000,1.493596,4.392003,0.034612,0.285782,1.143651,0.006389,0.000462
0.010000,1.496568,4.392005,0.037584,0.297220,1.143718,0.006660,0.000500
0.010000,1.499655,4.392006,0.040671,0.308658,1.143787,0.006931,0.000540
