dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.459022,4.109420,0.000029,0.005737,0.573660,57.366040,6.283150
0.010000,1.459022,4.109420,0.000143,0.017210,1.147321,57.366040,6.283151
0.010000,1.459022,4.109420,0.000373,0.028683,1.147321,-0.000000,6.283155
0.010000,1.459022,4.109420,0.000717,0.040156,1.147321,0.000000,6.283159
0.010000,1.459022,4.109420,0.001176,0.051629,1.147321,-0.000000,6.283166
0.010000,1.459022,4.109420,0.001750,0.063103,1.147321,0.000000,6.283173
0.010000,1.459022,4.109420,0.002438,0.074576,1.147321,-0.000000,6.283183
0.010000,1.459651,4.109420,0.003241,0.086049,1.147321,0.000000,0.000009
0.010000,1.460569,4.109420,0.004159,0.097522,1.147321,-0.000000,0.000021
0.010000,1.461602,4.109420,0.005192,0.108995,1.147321,0.000000,0.000035
0.010000,1.462749,4.109420,0.006339,0.120469,1.147321,-0.000000,0.000051
0.010000,1.464011,4.109420,0.007601,0.131942,1.147321,-0.000000,0.000068
0.010000,1.465388,4.109420,0.008978,0.143415,1.147321,0.000000,0.000087
0.010000,1.466879,4.109420,0.010469,0.154888,1.147321,0.000000,0.000107
0.010000,1.468486,4.109421,0.012076,0.166362,1.147321,0.000000,0.000129
0.010000,1.470206,4.109421,0.013797,0.177835,1.147321,0.000000,0.000152
0.010000,1.472042,4.109421,0.015632,0.189308,1.147321,0.000000,0.000177
0.010000,1.473993,4.109422,0.017583,0.200781,1.147321,0.000000,0.000203
0.010000,1.476058,4.109422,0.019648,0.212254,1.147321,0.000000,0.000230
0.010000,1.478238,4.109423,0.021828,0.223728,1.147321,0.000000,0.000259
0.010000,1.480532,4.109423,0.024122,0.235201,1.147321,-0.000000,0.000290
0.010000,1.482942,4.109424,0.026532,0.246674,1.147321,0.000000,0.000321
0.010000,1.485466,4.109425,0.029056,0.258147,1.147321,-0.000000,0.000354
0.010000,1.488105,4.109426,0.031695,0.269620,1.147321,0.000000,0.000389
0.010000,1.490858,4.109427,0.034448,0.281094,1.147321,-0.000000,0.000425
0.010000,1.493727,4.109428,0.037317,0.292567,1.147321,0.000000,0.000462
0.010000,1.496710,4.109430,0.040300,0.304040,1.147321,-0.000000,0.000500
0.010000,1.499807,4.109431,0.043397,0.315513,1.147321,0.000000,0.000540
0.010000,1.503020,4.109433,0.046610,0.326986,1.147321,0.000000,0.000581
0.010000,1.506347,4.109435,0.049937,0.338460,1.147321,-0.000000,0.000623
0.010000,1.509789,4.109437,0.053379,0.349933,1.147321,0.000000,0.000666
0.010000,1.513346,4.109440,0.056936,0.361406,1.147321,-0.000000,0.000710
0.010000,1.517017,4.109442,0.060607,0.372879,1.147321,0.000000,0.000756
0.010000,1.520803,4.109445,0.064393,0.384352,1.147321,-0.000000,0.000802
0.010000,1.524704,4.109449,0.068294,0.395826,1.147321,0.000000,0.000850
0.010000,1.528720,4.109452,0.072310,0.407299,1.147321,-0.000000,0.000898
0.010000,1.532850,4.109456,0.076440,0.418772,1.147321,0.000000,0.000948
0.010000,1.537095,4.109460,0.080685,0.430245,1.147321,-0.000000,0.000998
0.010000,1.541455,4.109464,0.085045,0.441719,1.147321,0.000000,0.001050
0.010000,1.545930,4.109469,0.089520,0.453192,1.147321,0.000000,0.001102
0.010000,1.550519,4.109474,0.094109,0.464665,1.147321,0.000000,0.001156
0.010000,1.555223,4.109480,0.098813,0.476138,1.147321,-0.000000,0.001210
0.010000,1.560042,4.109486,0.103632,0.487611,1.147321,0.000000,0.001264
0.010000,1.564975,4.109492,0.108565,0.499085,1.147321,0.000000,0.001320
0.010000,1.570023,4.109499,0.113613,0.510558,1.147321,0.000000,0.001376
0.010000,1.575186,4.109506,0.118776,0.522031,1.147321,-0.000000,0.001433
0.010000,1.580464,4.109514,0.124054,0.533504,1.147321,0.000000,0.001490
0.010000,1.585856,4.109522,0.129446,0.544977,1.147321,0.000000,0.001548
0.010000,1.591363,4.109531,0.134954,0.556451,1.147321,0.000000,0.001607
0.010000,1.596985,4.109540,0.140575,0.567924,1.147321,0.000000,0.001666
0.010000,1.602722,4.109550,0.146312,0.579397,1.147321,-0.000000,0.001725
0.010000,1.608573,4.109560,0.152163,0.590870,1.147321,0.000000,0.001785
0.010000,1.614539,4.109571,0.158129,0.602343,1.147321,0.000000,0.001845
0.010000,1.620620,4.109582,0.164210,0.613817,1.147321,0.000000,0.001906
0.010000,1.626816,4.109594,0.170406,0.625290,1.147321,-0.000000,0.001967
0.010000,1.633126,4.109607,0.176716,0.636763,1.147321,0.000000,0.002027
0.010000,1.639551,4.109620,0.183141,0.648236,1.147321,0.000000,0.002088
0.010000,1.646091,4.109634,0.189681,0.659709,1.147321,0.000000,0.002149
0.010000,1.652745,4.109649,0.196335,0.671183,1.147321,-0.000000,0.002211
0.010000,1.659514,4.109664,0.203104,0.682656,1.147321,0.000000,0.002272
0.010000,1.666398,4.109680,0.209988,0.694129,1.147321,0.000000,0.002333
0.010000,1.673397,4.109696,0.216987,0.705602,1.147321,0.000000,0.002393
0.010000,1.680510,4.109713,0.224100,0.717076,1.147321,0.000000,0.002454
