dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.459012,3.826845,0.000229,0.022946,1.147321,57.366040,6.283153
0.020000,1.459015,3.826845,0.000232,0.000134,-1.140625,-114.397306,6.283162
0.020000,1.459019,3.826845,0.000237,0.000223,0.004446,57.253562,6.283178
0.020000,1.460085,3.826845,0.001303,0.053302,2.653970,132.476207,0.000015
0.020000,1.462159,3.826845,0.003376,0.103658,2.517775,-6.809749,0.000043
0.020000,1.464692,3.826845,0.005910,0.126691,1.151655,-68.306007,0.000077
0.020000,1.467687,3.826846,0.008904,0.149723,1.151596,-0.002928,0.000118
0.020000,1.471142,3.826846,0.012359,0.172753,1.151527,-0.003450,0.000164
0.020000,1.475058,3.826847,0.016275,0.195782,1.151448,-0.003984,0.000216
0.020000,1.479434,3.826848,0.020651,0.218809,1.151357,-0.004540,0.000274
0.020000,1.484270,3.826849,0.025488,0.241835,1.151256,-0.005043,0.000338
0.020000,1.489568,3.826851,0.030785,0.264857,1.151144,-0.005582,0.000406
0.020000,1.495325,3.826854,0.036542,0.287878,1.151022,-0.006116,0.000481
0.020000,1.501543,3.826857,0.042760,0.310896,1.150889,-0.006661,0.000560
0.020000,1.508221,3.826861,0.049438,0.333911,1.150745,-0.007171,0.000644
0.020000,1.515360,3.826866,0.056577,0.356922,1.150591,-0.007718,0.000733
0.020000,1.522958,3.826872,0.064176,0.379931,1.150426,-0.008237,0.000826
0.020000,1.531017,3.826879,0.072234,0.402936,1.150251,-0.008782,0.000923
0.020000,1.539536,3.826887,0.080753,0.425937,1.150065,-0.009304,0.001024
0.020000,1.548515,3.826897,0.089732,0.448935,1.149868,-0.009841,0.001129
0.020000,1.557953,3.826908,0.099170,0.471928,1.149660,-0.010380,0.001237
0.020000,1.567851,3.826921,0.109069,0.494917,1.149442,-0.010896,0.001348
0.020000,1.578209,3.826935,0.119427,0.517901,1.149214,-0.011432,0.001461
0.020000,1.589027,3.826952,0.130244,0.540880,1.148974,-0.011969,0.001577
0.020000,1.600304,3.826970,0.141521,0.563855,1.148724,-0.012492,0.001695
0.020000,1.612041,3.826991,0.153258,0.586824,1.148463,-0.013052,0.001815
0.020000,1.624236,3.827014,0.165454,0.609788,1.148193,-0.013529,0.001936
0.020000,1.636891,3.827039,0.178108,0.632746,1.147910,-0.014121,0.002058
0.020000,1.650005,3.827067,0.191222,0.655699,1.147618,-0.014610,0.002180
0.020000,1.663578,3.827097,0.204795,0.678645,1.147315,-0.015158,0.002302
0.020000,1.677610,3.827131,0.218827,0.701585,1.147001,-0.015697,0.002424
0.020000,1.692100,3.827167,0.233317,0.724518,1.146677,-0.016194,0.002544
0.020000,1.707049,3.827205,0.248266,0.747445,1.146342,-0.016784,0.002664
0.020000,1.722456,3.827247,0.263674,0.770365,1.145996,-0.017259,0.002781
0.020000,1.738322,3.827292,0.279539,0.793278,1.145640,-0.017818,0.002896
0.020000,1.754645,3.827341,0.295863,0.816183,1.145273,-0.018343,0.003009
0.020000,1.771427,3.827392,0.312644,0.839081,1.144895,-0.018887,0.003118
0.020000,1.788666,3.827447,0.329884,0.861972,1.144508,-0.019394,0.003222
