dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.110014,0.918036,0.000028,0.005556,0.555556,55.555556,0.026111
0.010000,0.110002,0.918036,0.000040,0.001237,-0.431901,-98.745703,0.026155
0.010000,0.109974,0.918035,0.000068,0.002782,0.154540,58.644102,0.026253
0.010000,0.109928,0.918034,0.000114,0.004636,0.185376,3.083653,0.026417
0.010000,0.109863,0.918032,0.000179,0.006488,0.185246,-0.012960,0.026647
0.010000,0.109780,0.918030,0.000263,0.008339,0.185065,-0.018161,0.026942
0.010000,0.110395,0.918047,0.000878,0.061574,5.323493,513.842862,0.027303
0.010000,0.111358,0.918073,0.001841,0.096299,3.472505,-185.098849,0.027729
0.010000,0.112469,0.918104,0.002953,0.111123,1.482448,-199.005655,0.028220
0.010000,0.113727,0.918140,0.004212,0.125946,1.482318,-0.013048,0.028776
0.010000,0.115135,0.918181,0.005620,0.140782,1.483603,0.128535,0.029397
0.010000,0.116690,0.918227,0.007176,0.155614,1.483103,-0.050076,0.030083
0.010000,0.118394,0.918279,0.008880,0.170451,1.483795,0.069232,0.030834
0.010000,0.120246,0.918337,0.010733,0.185296,1.484472,0.067720,0.031649
0.010000,0.122246,0.918401,0.012735,0.200148,1.485136,0.066429,0.032529
0.010000,0.124395,0.918472,0.014885,0.215005,1.485790,0.065379,0.033472
0.010000,0.126693,0.918550,0.017184,0.229870,1.486436,0.064587,0.034479
0.010000,0.129139,0.918636,0.019631,0.244741,1.487077,0.064070,0.035550
0.010000,0.131733,0.918730,0.022227,0.259618,1.487715,0.063844,0.036684
0.010000,0.134476,0.918832,0.024972,0.274501,1.488354,0.063927,0.037882
0.010000,0.137368,0.918943,0.027866,0.289402,1.490095,0.174069,0.039141
0.010000,0.140409,0.919065,0.030909,0.304305,1.490249,0.015393,0.040464
0.010000,0.143598,0.919196,0.034102,0.319221,1.491636,0.138672,0.041848
0.010000,0.146937,0.919338,0.037443,0.334144,1.492321,0.068534,0.043294
0.010000,0.150424,0.919492,0.040934,0.349087,1.494237,0.191590,0.044801
0.010000,0.154061,0.919658,0.044574,0.364033,1.494602,0.036533,0.046368
0.010000,0.157846,0.919836,0.048364,0.378993,1.496051,0.144889,0.047996
0.010000,0.161781,0.920029,0.052304,0.393968,1.497503,0.145194,0.049684
0.010000,0.165866,0.920235,0.056393,0.408958,1.498963,0.145960,0.051432
0.010000,0.170099,0.920457,0.060633,0.423962,1.500435,0.147197,0.053238
0.010000,0.174483,0.920695,0.065023,0.438981,1.501924,0.148914,0.055102
0.010000,0.179016,0.920949,0.069563,0.454016,1.503435,0.151120,0.057025
0.010000,0.183699,0.921221,0.074254,0.469066,1.504973,0.153822,0.059004
0.010000,0.188531,0.921512,0.079095,0.484131,1.506544,0.157026,0.061040
0.010000,0.193514,0.921821,0.084087,0.499224,1.509302,0.275827,0.063132
0.010000,0.198646,0.922151,0.089230,0.514325,1.510092,0.079013,0.065279
0.010000,0.203929,0.922503,0.094525,0.529454,1.512869,0.277703,0.067481
0.010000,0.209363,0.922876,0.099971,0.544595,1.514109,0.123983,0.069736
0.010000,0.214946,0.923273,0.105569,0.559768,1.517333,0.322401,0.072045
0.010000,0.220680,0.923693,0.111318,0.574956,1.518756,0.142322,0.074406
0.010000,0.226565,0.924139,0.117220,0.590167,1.521163,0.240666,0.076818
0.010000,0.232601,0.924611,0.123274,0.605404,1.523660,0.249744,0.079281
0.010000,0.238787,0.925110,0.129481,0.620666,1.526196,0.253573,0.081794
0.010000,0.245125,0.925638,0.135840,0.635954,1.528776,0.257999,0.084355
0.010000,0.251614,0.926195,0.142353,0.651268,1.531406,0.263015,0.086964
0.010000,0.258254,0.926783,0.149019,0.666608,1.534092,0.268614,0.089621
0.010000,0.265045,0.927403,0.155839,0.681977,1.536840,0.274786,0.092323
0.010000,0.271989,0.928055,0.162812,0.697380,1.540269,0.342901,0.095070
0.010000,0.279083,0.928742,0.169940,0.712809,1.542900,0.263133,0.097860
0.010000,0.286330,0.929463,0.177223,0.728269,1.546049,0.314865,0.100694
0.010000,0.293729,0.930222,0.184661,0.743764,1.549493,0.344387,0.103568
0.010000,0.301280,0.931018,0.192254,0.759292,1.552759,0.326607,0.106484
0.010000,0.308984,0.931853,0.200002,0.774851,1.555974,0.321506,0.109438
0.010000,0.316840,0.932728,0.207907,0.790449,1.559804,0.383017,0.112430
0.010000,0.324848,0.933644,0.215968,0.806084,1.563491,0.368681,0.115459
0.010000,0.333009,0.934604,0.224185,0.821755,1.567035,0.354437,0.118523
0.010000,0.341324,0.935607,0.232560,0.837464,1.570912,0.387660,0.121620
0.010000,0.349791,0.936655,0.241092,0.853212,1.574860,0.394758,0.124751
0.010000,0.358412,0.937750,0.249782,0.869001,1.578893,0.403310,0.127912
0.010000,0.367186,0.938893,0.258630,0.884835,1.583360,0.446685,0.131103
0.010000,0.376114,0.940085,0.267637,0.900708,1.587265,0.390591,0.134322
0.010000,0.385196,0.941327,0.276804,0.916623,1.591535,0.426920,0.137567
0.010000,0.394431,0.942621,0.286129,0.932588,1.596463,0.492813,0.140838
0.010000,0.403821,0.943968,0.295615,0.948593,1.600500,0.403688,0.144131
0.010000,0.413365,0.945369,0.305262,0.964649,1.605660,0.516024,0.147447
0.010000,0.423064,0.946826,0.315069,0.980749,1.610011,0.435136,0.150782
0.010000,0.432917,0.948340,0.325038,0.996899,1.615014,0.500302,0.154136
0.010000,0.442926,0.949913,0.335169,1.013101,1.620174,0.515948,0.157506
0.010000,0.453089,0.951545,0.345463,1.029351,1.625021,0.484749,0.160891
0.010000,0.463408,0.953237,0.355919,1.045653,1.630208,0.518633,0.164289
0.010000,0.473882,0.954992,0.366539,1.062008,1.635468,0.526077,0.167697
0.010000,0.484512,0.956810,0.377324,1.078416,1.640807,0.533878,0.171115
0.010000,0.495297,0.958693,0.388272,1.094879,1.646269,0.546154,0.174540
0.010000,0.506239,0.960642,0.399386,1.111398,1.651891,0.562209,0.177971
0.010000,0.517337,0.962658,0.410666,1.127971,1.657344,0.545353,0.181405
0.010000,0.528592,0.964742,0.422112,1.144602,1.663068,0.572342,0.184840
0.010000,0.540003,0.966896,0.433725,1.161292,1.669002,0.593441,0.188274
0.010000,0.551572,0.969121,0.445505,1.178039,1.674691,0.568871,0.191705
0.010000,0.563297,0.971418,0.457454,1.194847,1.680776,0.608471,0.195131
0.010000,0.575180,0.973788,0.469571,1.211714,1.686766,0.599050,0.198551
0.010000,0.587221,0.976232,0.481857,1.228643,1.692842,0.607577,0.201961
0.010000,0.599420,0.978751,0.494314,1.245633,1.699051,0.620916,0.205359
0.010000,0.611777,0.981347,0.506941,1.262686,1.705319,0.626782,0.208744
0.010000,0.624293,0.984020,0.519739,1.279803,1.711648,0.632878,0.212113
0.010000,0.636968,0.986772,0.532708,1.296983,1.718039,0.639162,0.215464
0.010000,0.649801,0.989603,0.545851,1.314228,1.724495,0.645590,0.218794
0.010000,0.662794,0.992515,0.559166,1.331538,1.731016,0.652119,0.222101
0.010000,0.675947,0.995508,0.572655,1.348914,1.737603,0.658710,0.225384
0.010000,0.689260,0.998583,0.586319,1.366357,1.744267,0.666329,0.228639
0.010000,0.702734,1.001742,0.600158,1.383867,1.750965,0.669855,0.231864
0.010000,0.716368,1.004984,0.614172,1.401444,1.757728,0.676311,0.235056
0.010000,0.730163,1.008311,0.628363,1.419089,1.764546,0.681797,0.238215
0.010000,0.744120,1.011723,0.642731,1.436804,1.771414,0.686800,0.241336
0.010000,0.758239,1.015221,0.657277,1.454587,1.778346,0.693221,0.244417
0.010000,0.772520,1.018806,0.672001,1.472440,1.785313,0.696680,0.247457
0.010000,0.786965,1.022479,0.686905,1.490363,1.792315,0.700202,0.250452
0.010000,0.801572,1.026239,0.701988,1.508357,1.799401,0.708563,0.253400
0.010000,0.816343,1.030087,0.717253,1.526422,1.806515,0.711378,0.256299
0.010000,0.831279,1.034024,0.732698,1.544559,1.813676,0.716156,0.259146
0.010000,0.846379,1.038050,0.748326,1.562768,1.820862,0.718534,0.261938
