dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.076673,7.889724,0.000027,0.005333,0.533333,53.333333,6.257715
0.010000,0.076682,7.889723,0.000036,0.000947,-0.438601,-97.193412,6.257682
0.010000,0.076704,7.889723,0.000057,0.002131,0.118406,55.700704,6.257606
0.010000,0.076742,7.889722,0.000095,0.003789,0.165742,4.733611,6.257472
0.010000,0.076798,7.889720,0.000152,0.005682,0.189363,2.362075,6.257271
0.010000,0.076874,7.889719,0.000228,0.007575,0.189270,-0.009309,6.257003
0.010000,0.076969,7.889716,0.000323,0.009467,0.189146,-0.012434,6.256668
0.010000,0.077082,7.889713,0.000436,0.011356,0.188990,-0.015578,6.256266
0.010000,0.078385,7.889678,0.001739,0.130304,11.894772,1170.578242,6.255797
0.010000,0.080242,7.889626,0.003597,0.185806,5.550198,-634.457401,6.255262
0.010000,0.082331,7.889567,0.005687,0.208996,2.318994,-323.120421,6.254660
0.010000,0.084653,7.889500,0.008010,0.232258,2.326215,0.722115,6.253991
0.010000,0.087206,7.889425,0.010564,0.255438,2.317971,-0.824429,6.253255
0.010000,0.089992,7.889340,0.013351,0.278677,2.323918,0.594668,6.252453
0.010000,0.093009,7.889246,0.016369,0.301855,2.317738,-0.617969,6.251585
0.010000,0.096258,7.889142,0.019621,0.325102,2.324709,0.697102,6.250650
0.010000,0.099739,7.889027,0.023103,0.348275,2.317354,-0.735479,6.249649
0.010000,0.103452,7.888900,0.026818,0.371480,2.320431,0.307663,6.248582
0.010000,0.107396,7.888762,0.030765,0.394695,2.321547,0.111652,6.247449
0.010000,0.111572,7.888610,0.034944,0.417873,2.317846,-0.370091,6.246250
0.010000,0.115979,7.888444,0.039354,0.441054,2.318022,0.017519,6.244986
0.010000,0.120618,7.888264,0.043997,0.464234,2.318033,0.001179,6.243656
0.010000,0.125489,7.888068,0.048871,0.487417,2.318333,0.029974,6.242261
0.010000,0.130590,7.887855,0.053977,0.510599,2.318132,-0.020161,6.240801
0.010000,0.135923,7.887625,0.059314,0.533761,2.316242,-0.188998,6.239276
0.010000,0.141486,7.887376,0.064884,0.556918,2.315646,-0.059510,6.237686
0.010000,0.147281,7.887107,0.070684,0.580073,2.315580,-0.006673,6.236032
0.010000,0.153306,7.886818,0.076717,0.603230,2.315685,0.010485,6.234314
0.010000,0.159562,7.886506,0.082980,0.626368,2.313759,-0.192507,6.232531
0.010000,0.166048,7.886171,0.089475,0.649493,2.312562,-0.119753,6.230685
0.010000,0.172765,7.885812,0.096201,0.672606,2.311228,-0.133444,6.228776
0.010000,0.179711,7.885427,0.103158,0.695720,2.311395,0.016722,6.226804
0.010000,0.186888,7.885014,0.110347,0.718847,2.312718,0.132279,6.224769
0.010000,0.194294,7.884573,0.117766,0.741918,2.307114,-0.560399,6.222672
0.010000,0.201930,7.884103,0.125416,0.765014,2.309625,0.251105,6.220513
0.010000,0.209795,7.883600,0.133297,0.788085,2.307134,-0.249075,6.218292
0.010000,0.217888,7.883065,0.141409,0.811145,2.305903,-0.123046,6.216011
