dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.069477,7.607240,0.000028,0.005556,0.555556,55.555556,6.256987
0.010000,0.069477,7.607240,0.000139,0.016667,1.111111,55.555556,6.256960
0.010000,0.069477,7.607240,0.000389,0.033333,1.666667,55.555556,6.256900
0.010000,0.069477,7.607240,0.000806,0.050000,1.666667,0.000000,6.256800
0.010000,0.069477,7.607240,0.001389,0.066667,1.666667,-0.000000,6.256661
0.010000,0.069477,7.607240,0.002139,0.083333,1.666667,0.000000,6.256482
0.010000,0.069477,7.607240,0.003056,0.100000,1.666667,0.000000,6.256262
0.010000,0.070151,7.607222,0.004139,0.116667,1.666667,-0.000000,6.256004
0.010000,0.071401,7.607188,0.005389,0.133333,1.666667,0.000000,6.255705
0.010000,0.072817,7.607149,0.006806,0.150000,1.666667,0.000000,6.255367
0.010000,0.074400,7.607104,0.008389,0.166667,1.666667,0.000000,6.254990
0.010000,0.076149,7.607055,0.010139,0.183333,1.666667,0.000000,6.254573
0.010000,0.078065,7.606999,0.012056,0.200000,1.666667,-0.000000,6.254117
0.010000,0.080147,7.606938,0.014139,0.216667,1.666667,0.000000,6.253622
0.010000,0.082396,7.606871,0.016389,0.233333,1.666667,0.000000,6.253088
0.010000,0.084812,7.606798,0.018806,0.250000,1.666667,0.000000,6.252515
0.010000,0.087394,7.606718,0.021389,0.266667,1.666667,0.000000,6.251903
0.010000,0.090143,7.606631,0.024139,0.283333,1.666667,0.000000,6.251253
0.010000,0.093058,7.606537,0.027056,0.300000,1.666667,0.000000,6.250564
0.010000,0.096139,7.606435,0.030139,0.316667,1.666667,0.000000,6.249838
0.010000,0.099388,7.606326,0.033389,0.333333,1.666667,-0.000000,6.249073
0.010000,0.102802,7.606208,0.036806,0.350000,1.666667,0.000000,6.248271
0.010000,0.106383,7.606081,0.040389,0.366667,1.666667,-0.000000,6.247431
0.010000,0.110131,7.605945,0.044139,0.383333,1.666667,-0.000000,6.246553
0.010000,0.114045,7.605800,0.048056,0.400000,1.666667,0.000000,6.245639
0.010000,0.118125,7.605645,0.052139,0.416667,1.666667,-0.000000,6.244688
0.010000,0.122372,7.605479,0.056389,0.433333,1.666667,0.000000,6.243701
0.010000,0.126785,7.605303,0.060806,0.450000,1.666667,-0.000000,6.242677
0.010000,0.131365,7.605115,0.065389,0.466667,1.666667,0.000000,6.241617
0.010000,0.136110,7.604915,0.070139,0.483333,1.666667,-0.000000,6.240522
0.010000,0.141022,7.604702,0.075056,0.500000,1.666667,0.000000,6.239392
0.010000,0.146101,7.604477,0.080139,0.516667,1.666667,-0.000000,6.238226
0.010000,0.151345,7.604237,0.085389,0.533333,1.666667,0.000000,6.237026
0.010000,0.156756,7.603984,0.090806,0.550000,1.666667,0.000000,6.235792
0.010000,0.162333,7.603716,0.096389,0.566667,1.666667,-0.000000,6.234523
0.010000,0.168076,7.603433,0.102139,0.583333,1.666667,0.000000,6.233222
0.010000,0.173985,7.603133,0.108056,0.600000,1.666667,-0.000000,6.231887
0.010000,0.180060,7.602817,0.114139,0.616667,1.666667,0.000000,6.230519
0.010000,0.186301,7.602484,0.120389,0.633333,1.666667,0.000000,6.229119
0.010000,0.192708,7.602132,0.126806,0.650000,1.666667,-0.000000,6.227688
0.010000,0.199281,7.601762,0.133389,0.666667,1.666667,0.000000,6.226225
0.010000,0.206020,7.601373,0.140139,0.683333,1.666667,0.000000,6.224731
0.010000,0.212925,7.600964,0.147056,0.700000,1.666667,0.000000,6.223207
0.010000,0.219995,7.600534,0.154139,0.716667,1.666667,-0.000000,6.221652
0.010000,0.227231,7.600082,0.161389,0.733333,1.666667,0.000000,6.220068
0.010000,0.234632,7.599608,0.168806,0.750000,1.666667,-0.000000,6.218456
0.010000,0.242199,7.599112,0.176389,0.766667,1.666667,0.000000,6.216815
0.010000,0.249932,7.598591,0.184139,0.783333,1.666667,0.000000,6.215146
0.010000,0.257830,7.598046,0.192056,0.800000,1.666667,-0.000000,6.213450
0.010000,0.265893,7.597476,0.200139,0.816667,1.666667,0.000000,6.211727
0.010000,0.274121,7.596880,0.208389,0.833333,1.666667,0.000000,6.209978
0.010000,0.282515,7.596257,0.216806,0.850000,1.666667,0.000000,6.208204
0.010000,0.291073,7.595606,0.225389,0.866667,1.666667,-0.000000,6.206405
0.010000,0.299797,7.594927,0.234139,0.883333,1.666667,0.000000,6.204581
0.010000,0.308686,7.594219,0.243056,0.900000,1.666667,0.000000,6.202734
0.010000,0.317739,7.593480,0.252139,0.916667,1.666667,0.000000,6.200864
0.010000,0.326957,7.592711,0.261389,0.933333,1.666667,0.000000,6.198972
0.010000,0.336339,7.591910,0.270806,0.950000,1.666667,-0.000000,6.197058
0.010000,0.345886,7.591076,0.280389,0.966667,1.666667,0.000000,6.195124
0.010000,0.355598,7.590209,0.290139,0.983333,1.666667,-0.000000,6.193169
0.010000,0.365473,7.589308,0.300056,1.000000,1.666667,0.000000,6.191195
0.010000,0.375513,7.588372,0.310139,1.016667,1.666667,-0.000000,6.189202
0.010000,0.385717,7.587399,0.320389,1.033333,1.666667,0.000000,6.187192
0.010000,0.396085,7.586391,0.330806,1.050000,1.666667,0.000000,6.185164
0.010000,0.406616,7.585344,0.341389,1.066667,1.666667,-0.000000,6.183121
0.010000,0.417311,7.584259,0.352139,1.083333,1.666667,0.000000,6.181061
0.010000,0.428170,7.583135,0.363056,1.100000,1.666667,-0.000000,6.178987
0.010000,0.439192,7.581971,0.374139,1.116667,1.666667,0.000000,6.176900
0.010000,0.450377,7.580765,0.385389,1.133333,1.666667,0.000000,6.174799
0.010000,0.461725,7.579518,0.396806,1.150000,1.666667,0.000000,6.172687
0.010000,0.473237,7.578229,0.408389,1.166667,1.666667,-0.000000,6.170563
0.010000,0.484911,7.576896,0.420139,1.183333,1.666667,0.000000,6.168429
0.010000,0.496748,7.575519,0.432056,1.200000,1.666667,0.000000,6.166286
0.010000,0.508747,7.574096,0.444139,1.216667,1.666667,0.000000,6.164134
0.010000,0.520909,7.572628,0.456389,1.233333,1.666667,-0.000000,6.161975
0.010000,0.533233,7.571114,0.468806,1.250000,1.666667,0.000000,6.159809
0.010000,0.545719,7.569551,0.481389,1.266667,1.666667,0.000000,6.157638
0.010000,0.558366,7.567941,0.494139,1.283333,1.666667,-0.000000,6.155462
0.010000,0.571176,7.566282,0.507056,1.300000,1.666667,0.000000,6.153283
0.010000,0.584147,7.564573,0.520139,1.316667,1.666667,-0.000000,6.151101
0.010000,0.597280,7.562813,0.533389,1.333333,1.666667,0.000000,6.148918
0.010000,0.610574,7.561003,0.546806,1.350000,1.666667,0.000000,6.146734
0.010000,0.624029,7.559140,0.560389,1.366667,1.666667,-0.000000,6.144550
0.010000,0.637645,7.557225,0.574139,1.383333,1.666667,0.000000,6.142369
0.010000,0.651422,7.555257,0.588056,1.400000,1.666667,0.000000,6.140190
0.010000,0.665359,7.553235,0.602139,1.416667,1.666667,-0.000000,6.138015
0.010000,0.679457,7.551158,0.616389,1.433333,1.666667,0.000000,6.135844
0.010000,0.693715,7.549026,0.630806,1.450000,1.666667,-0.000000,6.133680
0.010000,0.708133,7.546839,0.645389,1.466667,1.666667,0.000000,6.131523
0.010000,0.722712,7.544594,0.660139,1.483333,1.666667,-0.000000,6.129374
0.010000,0.737450,7.542293,0.675056,1.500000,1.666667,0.000000,6.127234
0.010000,0.752348,7.539935,0.690139,1.516667,1.666667,0.000000,6.125106
0.010000,0.767405,7.537518,0.705389,1.533333,1.666667,0.000000,6.122988
0.010000,0.782622,7.535043,0.720806,1.550000,1.666667,0.000000,6.120884
0.010000,0.797997,7.532508,0.736389,1.566667,1.666667,0.000000,6.118794
0.010000,0.813532,7.529915,0.752139,1.583333,1.666667,-0.000000,6.116719
0.010000,0.829226,7.527261,0.768056,1.600000,1.666667,0.000000,6.114661
0.010000,0.845079,7.524547,0.784139,1.616667,1.666667,-0.000000,6.112621
0.010000,0.861090,7.521773,0.800389,1.633333,1.666667,0.000000,6.110599
0.010000,0.877260,7.518937,0.816806,1.650000,1.666667,0.000000,6.108598
0.010000,0.893589,7.516041,0.833389,1.666667,1.666667,-0.000000,6.106618
0.010000,0.910075,7.513082,0.850139,1.683333,1.666667,0.000000,6.104661
0.010000,0.926720,7.510062,0.867056,1.700000,1.666667,0.000000,6.102729
0.010000,0.943523,7.506980,0.884139,1.716667,1.666667,-0.000000,6.100821
0.010000,0.960484,7.503836,0.901389,1.733333,1.666667,0.000000,6.098940
0.010000,0.977603,7.500629,0.918806,1.750000,1.666667,-0.000000,6.097087
0.010000,0.994880,7.497360,0.936389,1.766667,1.666667,0.000000,6.095264
0.010000,1.012314,7.494028,0.954139,1.783333,1.666667,0.000000,6.093471
0.010000,1.029907,7.490634,0.972056,1.800000,1.666667,-0.000000,6.091709
0.010000,1.047657,7.487177,0.990139,1.816667,1.666667,0.000000,6.089981
0.010000,1.065564,7.483658,1.008389,1.833333,1.666667,-0.000000,6.088288
0.010000,1.083629,7.480076,1.026806,1.850000,1.666667,0.000000,6.086631
0.010000,1.101852,7.476432,1.045389,1.866667,1.666667,-0.000000,6.085011
0.010000,1.120232,7.472726,1.064139,1.883333,1.666667,0.000000,6.083430
0.010000,1.138769,7.468958,1.083056,1.900000,1.666667,0.000000,6.081889
0.010000,1.157464,7.465128,1.102139,1.916667,1.666667,0.000000,6.080389
0.010000,1.176317,7.461237,1.121389,1.933333,1.666667,-0.000000,6.078933
0.010000,1.195327,7.457285,1.140806,1.950000,1.666667,0.000000,6.077521
0.010000,1.214495,7.453273,1.160389,1.966667,1.666667,-0.000000,6.076154
0.010000,1.233821,7.449200,1.180139,1.983333,1.666667,0.000000,6.074835
0.010000,1.253304,7.445068,1.200056,2.000000,1.666667,-0.000000,6.073565
0.010000,1.272945,7.440877,1.220139,2.016667,1.666667,0.000000,6.072345
0.010000,1.292744,7.436627,1.240389,2.033333,1.666667,0.000000,6.071176
0.010000,1.312701,7.432320,1.260806,2.050000,1.666667,0.000000,6.070061
0.010000,1.332817,7.427955,1.281389,2.066667,1.666667,0.000000,6.069000
0.010000,1.353090,7.423535,1.302139,2.083333,1.666667,0.000000,6.067996
0.010000,1.373522,7.419058,1.323056,2.100000,1.666667,-0.000000,6.067049
0.010000,1.394113,7.414528,1.344139,2.116667,1.666667,0.000000,6.066161
0.010000,1.414863,7.409943,1.365389,2.133333,1.666667,0.000000,6.065334
0.010000,1.435771,7.405306,1.386806,2.150000,1.666667,0.000000,6.064570
0.010000,1.456839,7.400618,1.408389,2.166667,1.666667,0.000000,6.063870
0.010000,1.478067,7.395879,1.430139,2.183333,1.666667,-0.000000,6.063235
0.010000,1.499454,7.391091,1.452056,2.200000,1.666667,0.000000,6.062667
0.010000,1.521001,7.386255,1.474139,2.216667,1.666667,-0.000000,6.062167
0.010000,1.542709,7.381373,1.496389,2.233333,1.666667,0.000000,6.061739
0.010000,1.564577,7.376445,1.518806,2.250000,1.666667,0.000000,6.061382
0.010000,1.586607,7.371474,1.541389,2.266667,1.666667,0.000000,6.061099
0.010000,1.608797,7.366460,1.564139,2.283333,1.666667,0.000000,6.060891
0.010000,1.631150,7.361406,1.587056,2.300000,1.666667,0.000000,6.060760
0.010000,1.653664,7.356313,1.610139,2.316667,1.666667,-0.000000,6.060709
0.010000,1.676341,7.351184,1.633389,2.333333,1.666667,0.000000,6.060737
0.010000,1.699181,7.346019,1.656806,2.350000,1.666667,-0.000000,6.060848
0.010000,1.722185,7.340820,1.680389,2.366667,1.666667,0.000000,6.061043
0.010000,1.745352,7.335591,1.704139,2.383333,1.666667,-0.000000,6.061323
0.010000,1.768683,7.330332,1.728056,2.400000,1.666667,0.000000,6.061692
0.010000,1.792179,7.325047,1.752139,2.416667,1.666667,0.000000,6.062149
0.010000,1.815841,7.319736,1.776389,2.433333,1.666667,0.000000,6.062698
0.010000,1.839668,7.314404,1.800806,2.450000,1.666667,-0.000000,6.063340
0.010000,1.863662,7.309051,1.825389,2.466667,1.666667,0.000000,6.064077
0.010000,1.887822,7.303682,1.850139,2.483333,1.666667,0.000000,6.064911
0.010000,1.912123,7.298303,1.875028,2.494444,1.111111,-55.555556,6.065843
0.010000,1.936510,7.292931,1.900000,2.500000,0.555556,-55.555556,6.066872
0.010000,1.960931,7.287578,1.925000,2.500000,0.000000,-55.555556,6.067995
0.010000,1.985357,7.282255,1.950000,2.500000,0.000000,0.000000,6.069214
0.010000,2.009791,7.276962,1.975000,2.500000,0.000000,0.000000,6.070526
0.010000,2.034231,7.271702,2.000000,2.500000,0.000000,0.000000,6.071933
0.010000,2.058679,7.266479,2.025000,2.500000,0.000000,0.000000,6.073435
0.010000,2.083135,7.261292,2.050000,2.500000,0.000000,0.000000,6.075031
0.010000,2.107600,7.256147,2.075000,2.500000,0.000000,0.000000,6.076722
