dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.062280,7.324757,0.000027,0.005333,0.533333,53.333333,6.257715
0.010000,0.062271,7.324757,0.000036,0.000947,-0.438601,-97.193412,6.257682
0.010000,0.062249,7.324758,0.000057,0.002131,0.118406,55.700704,6.257606
0.010000,0.062211,7.324759,0.000095,0.003789,0.165742,4.733611,6.257472
0.010000,0.062155,7.324760,0.000152,0.005682,0.189363,2.362075,6.257271
0.010000,0.062079,7.324762,0.000228,0.007575,0.189270,-0.009309,6.257003
0.010000,0.061984,7.324765,0.000323,0.009467,0.189146,-0.012434,6.256668
0.010000,0.061871,7.324768,0.000436,0.011356,0.188990,-0.015578,6.256266
0.010000,0.062908,7.324739,0.001474,0.103811,9.245456,905.646568,6.255797
0.010000,0.064463,7.324696,0.003030,0.155539,5.172844,-407.261182,6.255262
0.010000,0.066212,7.324647,0.004779,0.174962,1.942257,-323.058689,6.254660
0.010000,0.068156,7.324591,0.006724,0.194449,1.948667,0.641014,6.253991
0.010000,0.070294,7.324528,0.008862,0.213870,1.942174,-0.649278,6.253255
0.010000,0.072626,7.324457,0.011196,0.233347,1.947608,0.543405,6.252453
0.010000,0.075153,7.324378,0.013724,0.252776,1.942936,-0.467222,6.251585
0.010000,0.077874,7.324291,0.016446,0.272269,1.949325,0.638873,6.250650
0.010000,0.080789,7.324195,0.019363,0.291707,1.943767,-0.555808,6.249649
0.010000,0.083899,7.324089,0.022475,0.311177,1.946997,0.322999,6.248582
0.010000,0.087204,7.323972,0.025782,0.330663,1.948640,0.164297,6.247449
0.010000,0.090703,7.323845,0.029283,0.350126,1.946303,-0.233715,6.246250
0.010000,0.094396,7.323706,0.032979,0.369599,1.947270,0.096770,6.244986
0.010000,0.098284,7.323555,0.036870,0.389081,1.948161,0.089116,6.243656
0.010000,0.102367,7.323391,0.040956,0.408574,1.949357,0.119525,6.242261
0.010000,0.106644,7.323213,0.045236,0.428076,1.950197,0.084022,6.240801
0.010000,0.111115,7.323020,0.049712,0.447573,1.949689,-0.050802,6.239276
0.010000,0.115781,7.322811,0.054383,0.467076,1.950336,0.064732,6.237686
