dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.447275,5.539135,0.000028,0.005556,0.555556,55.555556,0.018321
0.010000,0.447281,5.539135,0.000034,0.000589,-0.496653,-105.220894,0.018300
0.010000,0.447294,5.539135,0.000047,0.001325,0.073571,57.022430,0.018253
0.010000,0.447316,5.539135,0.000069,0.002206,0.088141,1.456973,0.018175
0.010000,0.447347,5.539136,0.000100,0.003085,0.087879,-0.026212,0.018066
0.010000,0.447745,5.539143,0.000498,0.039853,3.676774,358.889551,0.017926
0.010000,0.448710,5.539160,0.001463,0.096497,5.664430,198.765629,0.017755
0.010000,0.449850,5.539180,0.002604,0.114028,1.753127,-391.130308,0.017553
0.010000,0.451166,5.539203,0.003919,0.131553,1.752481,-0.064664,0.017322
0.010000,0.452656,5.539229,0.005410,0.149069,1.751582,-0.089827,0.017060
0.010000,0.454322,5.539257,0.007076,0.166577,1.750764,-0.081813,0.016768
0.010000,0.456162,5.539288,0.008916,0.184074,1.749762,-0.100179,0.016447
0.010000,0.458177,5.539321,0.010932,0.201561,1.748655,-0.110734,0.016097
0.010000,0.460367,5.539355,0.013122,0.219035,1.747454,-0.120137,0.015718
0.010000,0.462732,5.539392,0.015487,0.236496,1.746072,-0.138138,0.015311
0.010000,0.465271,5.539430,0.018027,0.253943,1.744707,-0.136583,0.014877
0.010000,0.467985,5.539470,0.020740,0.271375,1.743241,-0.146537,0.014415
0.010000,0.470872,5.539511,0.023628,0.288790,1.741450,-0.179065,0.013927
0.010000,0.473934,5.539553,0.026690,0.306189,1.739880,-0.157087,0.013413
0.010000,0.477169,5.539595,0.029926,0.323568,1.737976,-0.190327,0.012874
0.010000,0.480578,5.539638,0.033335,0.340928,1.735989,-0.198744,0.012310
0.010000,0.484161,5.539681,0.036918,0.358268,1.734005,-0.198414,0.011723
0.010000,0.487916,5.539724,0.040674,0.375587,1.731845,-0.215937,0.011112
0.010000,0.491845,5.539767,0.044603,0.392883,1.729593,-0.225212,0.010479
0.010000,0.495946,5.539808,0.048704,0.410155,1.727249,-0.234475,0.009825
0.010000,0.500220,5.539849,0.052978,0.427402,1.724694,-0.255410,0.009150
0.010000,0.504666,5.539888,0.057424,0.444625,1.722240,-0.245482,0.008456
0.010000,0.509284,5.539925,0.062043,0.461820,1.719560,-0.267916,0.007742
0.010000,0.514074,5.539961,0.066832,0.478988,1.716734,-0.282634,0.007012
0.010000,0.519035,5.539994,0.071794,0.496127,1.713905,-0.282877,0.006264
0.010000,0.524168,5.540024,0.076926,0.513236,1.710955,-0.295078,0.005501
0.010000,0.529471,5.540051,0.082229,0.530315,1.707852,-0.310251,0.004723
