dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.452452,5.256607,0.001500,0.300000,30.000000,3000.000000,0.018045
0.010000,0.458171,5.256707,0.007500,0.900000,60.000000,3000.000000,0.016931
0.010000,0.470169,5.256897,0.019500,1.500000,60.000000,0.000000,0.014752
0.010000,0.488168,5.257134,0.037500,2.100000,60.000000,-0.000000,0.011604
0.010000,0.512167,5.257364,0.061500,2.700000,60.000000,0.000000,0.007631
0.010000,0.540666,5.257518,0.090000,3.000000,30.000000,-3000.000000,0.003246
0.010000,0.570666,5.257551,0.120000,3.000000,0.000000,-3000.000000,6.282206
0.010000,0.600666,5.257464,0.150000,3.000000,0.000000,0.000000,6.278378
0.010000,0.630665,5.257267,0.180000,3.000000,0.000000,0.000000,6.274948
0.010000,0.660664,5.256973,0.210000,3.000000,0.000000,0.000000,6.271914
0.010000,0.690661,5.256595,0.240000,3.000000,0.000000,0.000000,6.269275
0.010000,0.720658,5.256143,0.270000,3.000000,0.000000,0.000000,6.267030
0.010000,0.750654,5.255629,0.300000,3.000000,0.000000,0.000000,6.265178
0.010000,0.780648,5.255066,0.330000,3.000000,0.000000,0.000000,6.263719
0.010000,0.810642,5.254465,0.360000,3.000000,0.000000,0.000000,6.262652
0.010000,0.840636,5.253838,0.390000,3.000000,0.000000,0.000000,6.261977
0.010000,0.870629,5.253197,0.420000,3.000000,0.000000,0.000000,6.261693
0.010000,0.900622,5.252553,0.450000,3.000000,0.000000,0.000000,6.261800
0.010000,0.930615,5.251918,0.480000,3.000000,0.000000,0.000000,6.262298
0.010000,0.960609,5.251303,0.510000,3.000000,0.000000,0.000000,6.263187
0.010000,0.990603,5.250722,0.540000,3.000000,0.000000,0.000000,6.264469
0.010000,1.020599,5.250184,0.570000,3.000000,0.000000,0.000000,6.266142
0.010000,1.050595,5.249703,0.600000,3.000000,0.000000,0.000000,6.268209
0.010000,1.080592,5.249290,0.630000,3.000000,0.000000,0.000000,6.270669
0.010000,1.110590,5.248956,0.660000,3.000000,0.000000,0.000000,6.273524
0.010000,1.140589,5.248714,0.690000,3.000000,0.000000,0.000000,6.276775
0.010000,1.170589,5.248575,0.720000,3.000000,0.000000,0.000000,6.280422
0.010000,1.200589,5.248552,0.750000,3.000000,0.000000,0.000000,0.001282
0.010000,1.230588,5.248656,0.780000,3.000000,0.000000,0.000000,0.005726
0.010000,1.260587,5.248900,0.810000,3.000000,0.000000,0.000000,0.010570
0.010000,1.290585,5.249295,0.840000,3.000000,0.000000,0.000000,0.015816
0.010000,1.320580,5.249853,0.870000,3.000000,0.000000,0.000000,0.021465
0.010000,1.350570,5.250586,0.900000,3.000000,0.000000,0.000000,0.027516
0.010000,1.380556,5.251508,0.930000,3.000000,0.000000,0.000000,0.033972
0.010000,1.410535,5.252628,0.960000,3.000000,0.000000,0.000000,0.040832
0.010000,1.440506,5.253961,0.990000,3.000000,0.000000,0.000000,0.048098
0.010000,1.470465,5.255517,1.020000,3.000000,0.000000,0.000000,0.055768
0.010000,1.500411,5.257309,1.050000,3.000000,0.000000,0.000000,0.063844
0.010000,1.530342,5.259349,1.080000,3.000000,0.000000,0.000000,0.072323
0.010000,1.560254,5.261649,1.110000,3.000000,0.000000,0.000000,0.081205
0.010000,1.590143,5.264220,1.140000,3.000000,0.000000,0.000000,0.090487
0.010000,1.620007,5.267074,1.170000,3.000000,0.000000,0.000000,0.100168
0.010000,1.649841,5.270224,1.200000,3.000000,0.000000,0.000000,0.110244
0.010000,1.679641,5.273680,1.230000,3.000000,0.000000,0.000000,0.120712
0.010000,1.709403,5.277453,1.260000,3.000000,0.000000,0.000000,0.131566
0.010000,1.739121,5.281554,1.290000,3.000000,0.000000,0.000000,0.142801
0.010000,1.768790,5.285995,1.320000,3.000000,0.000000,0.000000,0.154411
0.010000,1.798405,5.290786,1.350000,3.000000,0.000000,0.000000,0.166387
0.010000,1.827960,5.295936,1.380000,3.000000,0.000000,0.000000,0.178722
0.010000,1.857447,5.301455,1.410000,3.000000,0.000000,0.000000,0.191405
0.010000,1.886862,5.307353,1.440000,3.000000,0.000000,0.000000,0.204426
0.010000,1.916196,5.313638,1.470000,3.000000,0.000000,0.000000,0.217773
0.010000,1.945442,5.320319,1.500000,3.000000,0.000000,0.000000,0.231432
0.010000,1.974593,5.327403,1.530000,3.000000,0.000000,0.000000,0.245390
0.010000,2.003642,5.334897,1.560000,3.000000,0.000000,0.000000,0.259631
0.010000,2.032580,5.342808,1.590000,3.000000,0.000000,0.000000,0.274138
0.010000,2.061399,5.351142,1.620000,3.000000,0.000000,0.000000,0.288893
0.010000,2.090090,5.359904,1.650000,3.000000,0.000000,0.000000,0.303879
0.010000,2.118647,5.369097,1.680000,3.000000,0.000000,0.000000,0.319076
0.010000,2.147059,5.378726,1.710000,3.000000,0.000000,0.000000,0.334462
0.010000,2.175319,5.388793,1.740000,3.000000,0.000000,0.000000,0.350018
0.010000,2.203418,5.399301,1.770000,3.000000,0.000000,0.000000,0.365722
0.010000,2.229721,5.409592,1.800000,3.000000,0.000000,0.000000,0.378877
