dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.457628,4.974079,0.000027,0.005333,0.533333,53.333333,0.018321
0.010000,0.457623,4.974079,0.000032,0.000565,-0.476787,-101.012013,0.018301
0.010000,0.457610,4.974079,0.000045,0.001272,0.070631,54.741763,0.018256
0.010000,0.457587,4.974079,0.000068,0.002259,0.098737,2.810595,0.018176
0.010000,0.457554,4.974078,0.000101,0.003384,0.112528,1.379083,0.018056
0.010000,0.458022,4.974086,0.000570,0.046832,4.344807,423.227987,0.017897
0.010000,0.459032,4.974104,0.001580,0.101049,5.421665,107.685769,0.017698
0.010000,0.460245,4.974126,0.002793,0.121277,2.022832,-339.883281,0.017460
0.010000,0.461660,4.974150,0.004208,0.141517,2.023938,0.110574,0.017184
0.010000,0.463277,4.974178,0.005826,0.161768,2.025124,0.118636,0.016869
0.010000,0.465097,4.974208,0.007646,0.182033,2.026499,0.137472,0.016516
0.010000,0.467120,4.974241,0.009669,0.202314,2.028062,0.156302,0.016126
0.010000,0.469346,4.974277,0.011896,0.222612,2.029813,0.175123,0.015700
0.010000,0.471775,4.974314,0.014325,0.242928,2.031588,0.177475,0.015237
0.010000,0.474407,4.974354,0.016957,0.263266,2.033835,0.224647,0.014739
0.010000,0.477243,4.974395,0.019794,0.283625,2.035896,0.206173,0.014207
0.010000,0.480283,4.974437,0.022834,0.304009,2.038428,0.253173,0.013641
0.010000,0.483527,4.974480,0.026078,0.324419,2.040982,0.255423,0.013042
0.010000,0.486975,4.974524,0.029527,0.344856,2.043723,0.274113,0.012412
0.010000,0.490628,4.974568,0.033180,0.365323,2.046651,0.292779,0.011751
0.010000,0.494486,4.974612,0.037038,0.385821,2.049765,0.311413,0.011061
0.010000,0.498549,4.974656,0.041101,0.406350,2.052970,0.320503,0.010342
0.010000,0.502818,4.974698,0.045371,0.426915,2.056452,0.348177,0.009595
0.010000,0.507293,4.974740,0.049846,0.447515,2.060025,0.357330,0.008823
0.010000,0.511975,4.974779,0.054527,0.468153,2.063841,0.381562,0.008027
0.010000,0.516863,4.974816,0.059416,0.488831,2.067746,0.390524,0.007207
0.010000,0.521958,4.974851,0.064511,0.509549,2.071836,0.408941,0.006365
0.010000,0.527261,4.974882,0.069814,0.530310,2.076109,0.427298,0.005503
0.010000,0.532772,4.974910,0.075325,0.551116,2.080565,0.445580,0.004622
0.010000,0.538492,4.974934,0.081045,0.571968,2.085202,0.463774,0.003725
0.010000,0.544421,4.974953,0.086974,0.592867,2.089949,0.474684,0.002812
0.010000,0.550559,4.974968,0.093112,0.613816,2.094877,0.492794,0.001885
0.010000,0.556907,4.974977,0.099460,0.634816,2.099976,0.509932,0.000947
0.010000,0.563466,4.974980,0.106019,0.655869,2.105278,0.530129,6.283184
0.010000,0.570235,4.974977,0.112788,0.676976,2.110687,0.540972,6.282227
0.010000,0.577217,4.974967,0.119770,0.698138,2.116276,0.558889,6.281265
0.010000,0.584410,4.974949,0.126963,0.719359,2.122043,0.576679,6.280299
0.010000,0.591817,4.974924,0.134370,0.740639,2.127986,0.594325,6.279330
0.010000,0.599436,4.974891,0.141990,0.761979,2.134014,0.602797,6.278362
0.010000,0.607270,4.974850,0.149823,0.783382,2.140308,0.629363,6.277397
0.010000,0.615318,4.974799,0.157872,0.804849,2.146670,0.636245,6.276436
0.010000,0.623582,4.974739,0.166136,0.826382,2.153285,0.661457,6.275482
0.010000,0.632062,4.974670,0.174616,0.847981,2.159986,0.670109,6.274538
0.010000,0.640758,4.974591,0.183312,0.869650,2.166862,0.687625,6.273605
0.010000,0.649671,4.974501,0.192226,0.891389,2.173912,0.704973,6.272687
0.010000,0.658803,4.974401,0.201358,0.913200,2.181133,0.722134,6.271786
0.010000,0.668153,4.974290,0.210709,0.935086,2.188524,0.739090,6.270904
0.010000,0.677722,4.974169,0.220279,0.957045,2.195958,0.743397,6.270045
0.010000,0.687512,4.974036,0.230070,0.979083,2.203755,0.779726,6.269210
0.010000,0.697523,4.973892,0.240082,1.001198,2.211523,0.776737,6.268403
0.010000,0.707756,4.973737,0.250316,1.023394,2.219556,0.803331,6.267627
0.010000,0.718211,4.973570,0.260773,1.045671,2.227734,0.817764,6.266884
0.010000,0.728890,4.973392,0.271453,1.068032,2.236061,0.832679,6.266177
0.010000,0.739793,4.973203,0.282358,1.090477,2.244558,0.849756,6.265510
0.010000,0.750922,4.973003,0.293488,1.113009,2.253172,0.861379,6.264885
0.010000,0.762276,4.972792,0.304844,1.135629,2.262043,0.887083,6.264305
0.010000,0.773857,4.972570,0.316428,1.158339,2.271004,0.896138,6.263775
