dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.540541,3.241581,0.001500,0.300000,30.000000,3000.000000,6.227726
0.010000,0.546212,3.241269,0.007180,0.567959,26.795888,-320.411214,6.228860
0.010000,0.557564,3.240665,0.018548,1.136846,56.888703,3009.281488,6.231095
0.010000,0.574618,3.239804,0.035624,1.707593,57.074718,18.601519,6.234365
0.010000,0.597405,3.238739,0.058435,2.281138,57.354530,27.981215,6.238571
0.010000,0.624534,3.237593,0.085589,2.715321,43.418241,-1393.628868,6.243337
0.010000,0.653172,3.236520,0.114247,2.865839,15.051782,-2836.645962,6.248085
0.010000,0.681893,3.235576,0.142984,2.873656,0.781736,-1427.004534,6.252556
0.010000,0.710696,3.234755,0.171798,2.881486,0.783002,0.126553,6.256750
0.010000,0.739581,3.234049,0.200692,2.889326,0.783958,0.095643,6.260666
0.010000,0.768546,3.233450,0.229663,2.897172,0.784651,0.069292,6.264305
0.010000,0.797592,3.232951,0.258714,2.905023,0.785125,0.047375,6.267666
0.010000,0.826718,3.232544,0.287842,2.912877,0.785414,0.028941,6.270750
0.010000,0.855924,3.232223,0.317050,2.920733,0.785555,0.014025,6.273555
0.010000,0.885209,3.231978,0.346336,2.928589,0.785575,0.002075,6.276082
0.010000,0.914573,3.231803,0.375700,2.936444,0.785514,-0.006164,6.278331
0.010000,0.944015,3.231690,0.405143,2.944298,0.785390,-0.012421,6.280302
0.010000,0.973537,3.231631,0.434664,2.952150,0.785228,-0.016155,6.281996
0.010000,1.003137,3.231617,0.464265,2.960001,0.785050,-0.017816,0.000226
0.010000,1.032815,3.231642,0.493943,2.967849,0.784872,-0.017799,0.001364
0.010000,1.062572,3.231696,0.523700,2.975696,0.784712,-0.016028,0.002224
0.010000,1.092408,3.231771,0.553535,2.983542,0.784580,-0.013168,0.002806
0.010000,1.122321,3.231861,0.583449,2.991387,0.784484,-0.009602,0.003111
0.010000,1.152313,3.231955,0.613442,2.999231,0.784431,-0.005305,0.003138
0.010000,1.182384,3.232046,0.643512,3.007076,0.784424,-0.000686,0.002888
0.010000,1.212533,3.232126,0.673662,3.014920,0.784465,0.004097,0.002360
0.010000,1.242761,3.232186,0.703889,3.022766,0.784548,0.008335,0.001554
0.010000,1.273067,3.232217,0.734195,3.030612,0.784670,0.012179,0.000471
0.010000,1.303452,3.232212,0.764580,3.038461,0.784822,0.015186,6.282295
0.010000,1.333915,3.232160,0.795043,3.046311,0.784993,0.017060,6.280656
0.010000,1.364456,3.232054,0.825585,3.054162,0.785169,0.017641,6.278739
0.010000,1.395076,3.231885,0.856205,3.062016,0.785332,0.016299,6.276545
0.010000,1.425773,3.231644,0.886904,3.069870,0.785460,0.012774,6.274072
0.010000,1.456549,3.231322,0.917681,3.077726,0.785534,0.007385,6.271321
0.010000,1.487402,3.230910,0.948537,3.085581,0.785526,-0.000765,6.268293
0.010000,1.518332,3.230399,0.979471,3.093435,0.785408,-0.011793,6.264986
0.010000,1.549339,3.229780,1.010484,3.101286,0.785147,-0.026115,6.261401
0.010000,1.580421,3.229043,1.041575,3.109133,0.784708,-0.043860,6.257539
0.010000,1.611579,3.228180,1.072745,3.116974,0.784057,-0.065132,6.253400
0.010000,1.642811,3.227181,1.103993,3.124806,0.783152,-0.090535,6.248983
0.010000,1.674117,3.226037,1.135319,3.132625,0.781949,-0.120214,6.244289
0.010000,1.705494,3.224739,1.166723,3.140429,0.780398,-0.155130,6.239320
0.010000,1.736942,3.223276,1.198206,3.148214,0.778459,-0.193876,6.234074
0.010000,1.768460,3.221641,1.229765,3.155974,0.776090,-0.236988,6.228554
0.010000,1.800044,3.219822,1.261402,3.163707,0.773223,-0.286637,6.222761
0.010000,1.831695,3.217812,1.293116,3.171405,0.769812,-0.341155,6.216695
0.010000,1.855143,3.216383,1.316608,2.349145,-82.225993,-8299.580465,6.233011
0.010000,1.878931,3.215453,1.340414,2.380612,3.146659,8537.265197,6.254929
0.010000,1.903128,3.215021,1.364615,2.420099,3.948794,80.213486,6.275449
0.010000,1.927721,3.215070,1.389208,2.459300,3.920011,-2.878294,0.011398
0.010000,1.952695,3.215580,1.414188,2.498002,3.870196,-4.981477,0.029162
0.010000,1.978038,3.216531,1.439549,2.536070,3.806898,-6.329837,0.045578
0.010000,2.003736,3.217900,1.465283,2.573396,3.732539,-7.435894,0.060675
0.010000,2.029775,3.219666,1.491382,2.609913,3.651694,-8.084516,0.074479
0.010000,2.056145,3.221803,1.517838,2.645599,3.568624,-8.307001,0.087020
0.010000,2.082834,3.224287,1.544642,2.680450,3.485072,-8.355205,0.098328
0.010000,2.109834,3.227091,1.571787,2.714484,3.403423,-8.164843,0.108432
0.010000,2.137136,3.230189,1.599265,2.747754,3.326952,-7.647119,0.117358
0.010000,2.164734,3.233555,1.627068,2.780305,3.255100,-7.185198,0.125133
0.010000,2.192624,3.237160,1.655190,2.812205,3.190054,-6.504577,0.131778
0.010000,2.220802,3.240977,1.683625,2.843539,3.133429,-5.662528,0.137315
0.010000,2.249267,3.244978,1.712369,2.874386,3.084620,-4.880864,0.141760
0.010000,2.278016,3.249133,1.741417,2.904832,3.044695,-3.992510,0.145128
0.010000,2.307052,3.253413,1.770767,2.934972,3.013972,-3.072292,0.147429
0.010000,2.336376,3.257790,1.800416,2.964901,2.992864,-2.110802,0.148672
0.010000,2.365992,3.262231,1.830363,2.994715,2.981445,-1.141913,0.148859
0.010000,2.395904,3.266706,1.860608,3.024512,2.979656,-0.178866,0.147991
0.010000,2.426118,3.271183,1.891152,3.054388,2.987614,0.795745,0.146067
0.010000,2.456641,3.275630,1.921997,3.084441,3.005253,1.763884,0.143078
0.010000,2.487479,3.280011,1.953144,3.114766,3.032510,2.725755,0.139017
0.010000,2.518640,3.284292,1.984599,3.145459,3.069335,3.682504,0.133869
0.010000,2.550135,3.288436,2.016365,3.176605,3.114619,4.528324,0.127619
0.010000,2.581972,3.292405,2.048448,3.208291,3.168624,5.400517,0.120248
0.010000,2.614159,3.296158,2.080854,3.240598,3.230671,6.204716,0.111733
0.010000,2.646708,3.299654,2.113590,3.273604,3.300573,6.990216,0.102050
0.010000,2.679627,3.302847,2.146663,3.307351,3.374758,7.418448,0.091172
0.010000,2.712925,3.305692,2.180082,3.341902,3.455094,8.033639,0.079072
0.010000,2.746609,3.308138,2.213855,3.377284,3.538167,8.307334,0.065720
0.010000,2.780686,3.310133,2.247990,3.413496,3.621164,8.299676,0.051085
0.010000,2.815159,3.311624,2.282496,3.450533,3.703724,8.255960,0.035140
0.010000,2.850030,3.312551,2.317379,3.488334,3.780060,7.633667,0.017857
0.010000,2.885297,3.312856,2.352647,3.526810,3.847635,6.757507,6.282397
0.010000,2.920953,3.312474,2.388305,3.565849,3.903871,5.623582,6.262371
0.010000,2.956988,3.311341,2.424358,3.605241,3.939202,3.533043,6.240950
0.010000,2.993383,3.309390,2.460805,3.644763,3.952250,1.304791,6.218129
0.010000,3.030115,3.306554,2.497647,3.684119,3.935549,-1.670056,6.193916
0.010000,3.067151,3.302764,2.534876,3.722949,3.883070,-5.247872,6.168328
0.010000,3.104451,3.297955,2.572484,3.760832,3.788229,-9.484143,6.141399
0.010000,3.141964,3.292062,2.610457,3.797292,3.646042,-14.218658,6.113179
0.010000,3.179630,3.285027,2.648776,3.831812,3.452023,-19.401892,6.083737
0.010000,3.217382,3.276796,2.687414,3.863843,3.203067,-24.895629,6.053161
0.010000,3.255140,3.267325,2.726342,3.892826,2.898338,-30.472870,6.021560
0.010000,3.292820,3.256579,2.765524,3.918213,2.538690,-35.964847,5.989059
0.010000,3.330329,3.244534,2.804919,3.939504,2.129131,-40.955900,5.955804
0.010000,3.367570,3.231181,2.844482,3.956301,1.679685,-44.944577,5.921955
0.010000,3.404446,3.216523,2.884165,3.968230,1.192836,-48.684904,5.887684
0.010000,3.440859,3.200578,2.923916,3.975157,0.692754,-50.008180,5.853167
0.010000,3.476716,3.183376,2.963686,3.976946,0.178876,-51.387861,5.818587
0.010000,3.511929,3.164961,3.003423,3.973722,-0.322355,-50.123047,5.784121
0.010000,3.546419,3.145388,3.043080,3.965694,-0.802841,-48.048640,5.749940
0.010000,3.580118,3.124720,3.082611,3.953149,-1.254479,-45.163761,5.716201
0.010000,3.612968,3.103028,3.121978,3.936652,-1.649742,-39.526340,5.683049
0.010000,3.644925,3.080386,3.161143,3.916502,-2.014990,-36.524761,5.650608
0.010000,3.675957,3.056872,3.200077,3.893443,-2.305933,-29.094280,5.618984
0.010000,3.706042,3.032562,3.238757,3.867923,-2.551945,-24.601198,5.588264
0.010000,3.735171,3.007532,3.277162,3.840521,-2.740244,-18.829941,5.558513
0.010000,3.763343,2.981855,3.315280,3.811795,-2.872551,-13.230692,5.529780
0.010000,3.790566,2.955599,3.353102,3.782197,-2.959807,-8.725588,5.502094
0.010000,3.816856,2.928827,3.390623,3.752172,-3.002557,-4.275010,5.475472
0.010000,3.842233,2.901600,3.427844,3.722017,-3.015504,-1.294677,5.449917
0.010000,3.866723,2.873969,3.464765,3.692176,-2.984012,3.149161,5.425419
0.010000,3.890353,2.845984,3.501393,3.662749,-2.942706,4.130627,5.401962
0.010000,3.911093,2.820302,3.534403,3.301030,-36.171923,-3322.921694,5.382137
0.010000,3.932373,2.792969,3.569043,3.464028,16.299824,5247.174694,5.365714
0.010000,3.953125,2.765404,3.603547,3.450338,-1.369005,-1766.882884,5.349776
0.010000,3.973359,2.737631,3.637909,3.436199,-1.413969,-4.496455,5.334338
0.010000,3.993085,2.709672,3.672126,3.421682,-1.451622,-3.765249,5.319414
0.010000,4.012316,2.681550,3.706194,3.406854,-1.482810,-3.118804,5.305015
0.010000,4.031064,2.653285,3.740112,3.391775,-1.507940,-2.513040,5.291149
0.010000,4.049343,2.624896,3.773877,3.376500,-1.527528,-1.958793,5.277824
0.010000,4.067168,2.596401,3.807488,3.361082,-1.541754,-1.422578,5.265045
0.010000,4.084555,2.567818,3.840943,3.345570,-1.551259,-0.950537,5.252815
0.010000,4.101520,2.539164,3.874243,3.329998,-1.557139,-0.587961,5.241136
0.010000,4.118079,2.510452,3.907388,3.314415,-1.558268,-0.112927,5.230009
0.010000,4.134249,2.481699,3.940376,3.298839,-1.557636,0.063181,5.219433
0.010000,4.150047,2.452916,3.973209,3.283311,-1.552791,0.484530,5.209406
0.010000,4.165491,2.424118,4.005887,3.267842,-1.546902,0.588937,5.199927
0.010000,4.180597,2.395314,4.038412,3.252459,-1.538348,0.855399,5.190993
0.010000,4.195384,2.366517,4.070784,3.237171,-1.528809,0.953824,5.182599
0.010000,4.209868,2.337736,4.103004,3.221991,-1.517947,1.086257,5.174743
0.010000,4.224066,2.308981,4.135073,3.206927,-1.506420,1.152697,5.167420
0.010000,4.237996,2.280261,4.166993,3.191984,-1.494338,1.208211,5.160625
0.010000,4.251674,2.251584,4.198764,3.177161,-1.482269,1.206871,5.154356
0.010000,4.265117,2.222959,4.230389,3.162462,-1.469838,1.243139,5.148606
0.010000,4.278341,2.194393,4.261868,3.147879,-1.458392,1.144544,5.143373
0.010000,4.291363,2.165893,4.293202,3.133415,-1.446346,1.204614,5.138651
0.010000,4.304198,2.137466,4.324392,3.119051,-1.436374,0.997168,5.134438
0.010000,4.316863,2.109118,4.355440,3.104795,-1.425605,1.076961,5.130729
0.010000,4.329372,2.080856,4.386347,3.090626,-1.416954,0.865076,5.127522
0.010000,4.341741,2.052687,4.417112,3.076539,-1.408692,0.826217,5.124814
0.010000,4.353984,2.024615,4.447737,3.062523,-1.401631,0.706044,5.122601
0.010000,4.366117,1.996648,4.478223,3.048562,-1.396074,0.555787,5.120883
0.010000,4.378153,1.968791,4.508569,3.034650,-1.391222,0.485127,5.119656
0.010000,4.390107,1.941049,4.538777,3.020769,-1.388075,0.314722,5.118921
0.010000,4.401993,1.913429,4.568846,3.006908,-1.386034,0.204074,5.118677
0.010000,4.413824,1.885936,4.598777,2.993054,-1.385402,0.063260,5.118923
0.010000,4.425613,1.858576,4.628569,2.979194,-1.386007,-0.060522,5.119659
0.010000,4.437374,1.831355,4.658222,2.965313,-1.388114,-0.210705,5.120887
0.010000,4.449120,1.804279,4.687736,2.951399,-1.391379,-0.326472,5.122606
0.010000,4.460864,1.777354,4.717110,2.937440,-1.395917,-0.453860,5.124820
0.010000,4.472617,1.750586,4.746344,2.923420,-1.401991,-0.607406,5.127530
0.010000,4.484393,1.723983,4.775438,2.909335,-1.408551,-0.655945,5.130739
0.010000,4.496202,1.697549,4.804389,2.895164,-1.417121,-0.856970,5.134449
0.010000,4.508058,1.671292,4.833198,2.880904,-1.425981,-0.886071,5.138663
0.010000,4.519971,1.645220,4.861864,2.866543,-1.436039,-1.005740,5.143386
0.010000,4.531953,1.619338,4.890385,2.852073,-1.447054,-1.101572,5.148621
0.010000,4.544015,1.593654,4.918760,2.837493,-1.458028,-1.097338,5.154372
0.010000,4.556167,1.568177,4.946987,2.822786,-1.470612,-1.258457,5.160643
0.010000,4.568422,1.542912,4.975067,2.807968,-1.481895,-1.128303,5.167439
0.010000,4.580788,1.517868,5.002997,2.793016,-1.495122,-1.322690,5.174763
0.010000,4.593276,1.493054,5.030777,2.777955,-1.506124,-1.100202,5.182621
0.010000,4.605896,1.468477,5.058404,2.762767,-1.518761,-1.263668,5.191016
0.010000,4.618657,1.444146,5.085879,2.747483,-1.528487,-0.972612,5.199952
0.010000,4.631570,1.420069,5.113200,2.732090,-1.539225,-1.073817,5.209433
0.010000,4.644642,1.396254,5.140366,2.716624,-1.546620,-0.739430,5.219461
0.010000,4.657882,1.372711,5.167377,2.701087,-1.553693,-0.707328,5.230038
0.010000,4.671300,1.349448,5.194232,2.685513,-1.557410,-0.371688,5.241167
0.010000,4.684902,1.326474,5.220932,2.669923,-1.558996,-0.158613,5.252848
0.010000,4.698697,1.303797,5.247475,2.654350,-1.557291,0.170513,5.265079
0.010000,4.712693,1.281426,5.273864,2.638835,-1.551566,0.572418,5.277860
0.010000,4.726895,1.259369,5.300098,2.623412,-1.542254,0.931224,5.291186
0.010000,4.741312,1.237634,5.326179,2.608135,-1.527710,1.454392,5.305053
0.010000,4.755950,1.216230,5.352110,2.593052,-1.508344,1.936622,5.319454
0.010000,4.770814,1.195164,5.377892,2.578220,-1.483120,2.522394,5.334379
0.010000,4.785911,1.174443,5.403529,2.563700,-1.452022,3.109844,5.349818
0.010000,4.801246,1.154075,5.429024,2.549560,-1.413991,3.803030,5.365758
0.010000,4.816824,1.134066,5.454383,2.535862,-1.369770,4.422174,5.382182
0.010000,4.832651,1.114422,5.479610,2.522685,-1.317760,5.200975,5.399073
0.010000,4.848732,1.095148,5.504711,2.510097,-1.258829,5.893092,5.416409
0.010000,4.865069,1.076249,5.529692,2.498168,-1.192824,6.600494,5.434167
0.010000,4.881670,1.057730,5.554562,2.486982,-1.118613,7.421106,5.452321
0.010000,4.898536,1.039595,5.579328,2.476593,-1.038874,7.973888,5.470842
0.010000,4.915672,1.021847,5.603999,2.467088,-0.950550,8.832437,5.489700
0.010000,4.933082,1.004488,5.628584,2.458514,-0.857407,9.314300,5.508861
0.010000,4.950768,0.987521,5.653093,2.450929,-0.758476,9.893108,5.528290
0.010000,4.968735,0.970947,5.677537,2.444400,-0.652929,10.554680,5.547951
0.010000,4.986986,0.954767,5.701927,2.438939,-0.546127,10.680217,5.567805
0.010000,5.005521,0.938983,5.726273,2.434587,-0.435114,11.101228,5.587812
0.010000,5.024346,0.923595,5.750587,2.431379,-0.320862,11.425198,5.607934
0.010000,5.043460,0.908601,5.774880,2.429309,-0.207018,11.384469,5.628128
0.010000,5.062866,0.894003,5.799163,2.428375,-0.093381,11.363684,5.648356
0.010000,5.082565,0.879799,5.823449,2.428565,0.019027,11.240796,5.668577
0.010000,5.102557,0.865989,5.847748,2.429858,0.129252,11.022480,5.688752
0.010000,5.122843,0.852571,5.872070,2.432222,0.236435,10.718327,5.708844
0.010000,5.143422,0.839544,5.896425,2.435564,0.334248,9.781262,5.728817
0.010000,5.164294,0.826906,5.920825,2.439918,0.435353,10.110534,5.748636
0.010000,5.185456,0.814657,5.945276,2.445163,0.524452,8.909899,5.768269
0.010000,5.206731,0.802888,5.969590,2.431355,-1.380741,-190.519278,5.787531
0.010000,5.226839,0.792247,5.992340,2.275060,-15.629531,-1424.878976,5.805292
0.010000,5.243697,0.783671,6.011254,1.891342,-38.371796,-2274.226589,5.819848
0.010000,5.256268,0.777474,6.025269,1.401553,-48.978850,-1060.705319,5.830505
