dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.524877,2.959440,0.001500,0.300000,30.000000,3000.000000,6.227726
0.010000,0.530868,2.959111,0.007500,0.900000,60.000000,3000.000000,6.228860
0.010000,0.542851,2.958473,0.019500,1.500000,60.000000,0.000000,6.231095
0.010000,0.560828,2.957565,0.037500,2.100000,60.000000,-0.000000,6.234365
0.010000,0.584802,2.956445,0.061500,2.700000,60.000000,0.000000,6.238571
0.010000,0.613277,2.955242,0.090000,3.000000,30.000000,-3000.000000,6.243337
0.010000,0.643256,2.954119,0.120000,3.000000,0.000000,-3000.000000,6.248085
0.010000,0.673239,2.953134,0.150000,3.000000,0.000000,0.000000,6.252556
0.010000,0.703227,2.952279,0.180000,3.000000,0.000000,0.000000,6.256750
0.010000,0.733218,2.951545,0.210000,3.000000,0.000000,0.000000,6.260666
0.010000,0.763212,2.950925,0.240000,3.000000,0.000000,0.000000,6.264305
0.010000,0.793207,2.950410,0.270000,3.000000,0.000000,0.000000,6.267666
0.010000,0.823204,2.949991,0.300000,3.000000,0.000000,0.000000,6.270750
0.010000,0.853203,2.949661,0.330000,3.000000,0.000000,0.000000,6.273555
0.010000,0.883201,2.949410,0.360000,3.000000,0.000000,0.000000,6.276082
0.010000,0.913201,2.949232,0.390000,3.000000,0.000000,0.000000,6.278331
0.010000,0.943201,2.949116,0.420000,3.000000,0.000000,0.000000,6.280302
0.010000,0.973201,2.949056,0.450000,3.000000,0.000000,0.000000,6.281996
0.010000,1.003201,2.949042,0.480000,3.000000,0.000000,0.000000,0.000226
0.010000,1.033201,2.949067,0.510000,3.000000,0.000000,0.000000,0.001364
0.010000,1.063201,2.949121,0.540000,3.000000,0.000000,0.000000,0.002224
0.010000,1.093200,2.949197,0.570000,3.000000,0.000000,0.000000,0.002806
0.010000,1.123200,2.949287,0.600000,3.000000,0.000000,0.000000,0.003111
0.010000,1.153200,2.949381,0.630000,3.000000,0.000000,0.000000,0.003138
0.010000,1.183200,2.949472,0.660000,3.000000,0.000000,0.000000,0.002888
0.010000,1.213200,2.949552,0.690000,3.000000,0.000000,0.000000,0.002360
0.010000,1.243200,2.949611,0.720000,3.000000,0.000000,0.000000,0.001554
0.010000,1.273200,2.949642,0.750000,3.000000,0.000000,0.000000,0.000471
0.010000,1.303200,2.949637,0.780000,3.000000,0.000000,0.000000,6.282295
0.010000,1.333200,2.949586,0.810000,3.000000,0.000000,0.000000,6.280656
0.010000,1.363200,2.949482,0.840000,3.000000,0.000000,0.000000,6.278739
0.010000,1.393199,2.949317,0.870000,3.000000,0.000000,0.000000,6.276545
0.010000,1.423198,2.949081,0.900000,3.000000,0.000000,0.000000,6.274072
0.010000,1.453197,2.948767,0.930000,3.000000,0.000000,0.000000,6.271321
0.010000,1.483194,2.948366,0.960000,3.000000,0.000000,0.000000,6.268293
0.010000,1.513190,2.947871,0.990000,3.000000,0.000000,0.000000,6.264986
0.010000,1.543184,2.947272,1.020000,3.000000,0.000000,0.000000,6.261401
0.010000,1.573175,2.946561,1.050000,3.000000,0.000000,0.000000,6.257539
0.010000,1.603164,2.945730,1.080000,3.000000,0.000000,0.000000,6.253400
0.010000,1.633148,2.944771,1.110000,3.000000,0.000000,0.000000,6.248983
0.010000,1.663128,2.943676,1.140000,3.000000,0.000000,0.000000,6.244289
0.010000,1.693103,2.942435,1.170000,3.000000,0.000000,0.000000,6.239320
0.010000,1.723070,2.941042,1.200000,3.000000,0.000000,0.000000,6.234074
0.010000,1.753030,2.939487,1.230000,3.000000,0.000000,0.000000,6.228554
0.010000,1.782980,2.937763,1.260000,3.000000,0.000000,0.000000,6.222761
0.010000,1.812920,2.935861,1.290000,3.000000,0.000000,0.000000,6.216695
0.010000,1.840971,2.934164,1.320000,3.000000,0.000000,0.000000,6.233011
0.010000,1.870947,2.932991,1.350000,3.000000,0.000000,0.000000,6.254929
0.010000,1.900942,2.932455,1.380000,3.000000,0.000000,0.000000,6.275449
0.010000,1.930941,2.932513,1.410000,3.000000,0.000000,0.000000,0.011398
0.010000,1.960935,2.933125,1.440000,3.000000,0.000000,0.000000,0.029162
0.010000,1.990913,2.934249,1.470000,3.000000,0.000000,0.000000,0.045578
0.010000,2.020870,2.935845,1.500000,3.000000,0.000000,0.000000,0.060675
0.010000,2.050802,2.937874,1.530000,3.000000,0.000000,0.000000,0.074479
0.010000,2.080703,2.940297,1.560000,3.000000,0.000000,0.000000,0.087020
0.010000,2.110574,2.943077,1.590000,3.000000,0.000000,0.000000,0.098328
0.010000,2.140414,2.946175,1.620000,3.000000,0.000000,0.000000,0.108432
0.010000,2.170222,2.949558,1.650000,3.000000,0.000000,0.000000,0.117358
0.010000,2.200002,2.953189,1.680000,3.000000,0.000000,0.000000,0.125133
0.010000,2.229754,2.957035,1.710000,3.000000,0.000000,0.000000,0.131778
0.010000,2.259482,2.961062,1.740000,3.000000,0.000000,0.000000,0.137315
0.010000,2.289190,2.965237,1.770000,3.000000,0.000000,0.000000,0.141760
0.010000,2.318882,2.969528,1.800000,3.000000,0.000000,0.000000,0.145128
