dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.508930,2.677316,0.000028,0.005556,0.555556,55.555556,6.227446
0.010000,0.508936,2.677315,0.000034,0.000598,-0.495798,-105.135375,6.227467
0.010000,0.508949,2.677315,0.000047,0.001344,0.074658,57.045597,6.227515
0.010000,0.508972,2.677313,0.000070,0.002239,0.089490,1.483254,6.227594
0.010000,0.509097,2.677306,0.000195,0.012539,1.029988,94.049819,6.227705
0.010000,0.509886,2.677263,0.000985,0.079023,6.648392,561.840381,6.227847
0.010000,0.510850,2.677209,0.001951,0.096577,1.755396,-489.299667,6.228021
0.010000,0.511990,2.677146,0.003092,0.114127,1.755007,-0.038860,6.228226
0.010000,0.513304,2.677074,0.004409,0.131672,1.754549,-0.045771,6.228462
0.010000,0.514794,2.676993,0.005901,0.149213,1.754014,-0.053566,6.228729
0.010000,0.516459,2.676902,0.007569,0.166747,1.753400,-0.061341,6.229027
0.010000,0.518299,2.676803,0.009411,0.184274,1.752709,-0.069093,6.229355
0.010000,0.520314,2.676695,0.011429,0.201793,1.751977,-0.073228,6.229713
0.010000,0.522504,2.676578,0.013622,0.219305,1.751129,-0.084764,6.230102
0.010000,0.524869,2.676453,0.015990,0.236807,1.750261,-0.086813,6.230519
0.010000,0.527409,2.676319,0.018533,0.254300,1.749268,-0.099291,6.230966
0.010000,0.530123,2.676178,0.021251,0.271782,1.748233,-0.103542,6.231442
0.010000,0.533011,2.676029,0.024144,0.289253,1.747119,-0.111347,6.231947
0.010000,0.536075,2.675873,0.027211,0.306713,1.745928,-0.119110,6.232479
0.010000,0.539312,2.675710,0.030452,0.324160,1.744688,-0.124009,6.233039
0.010000,0.542724,2.675539,0.033868,0.341593,1.743337,-0.135135,6.233627
0.010000,0.546310,2.675363,0.037458,0.359012,1.741945,-0.139146,6.234240
0.010000,0.550069,2.675180,0.041223,0.376417,1.740455,-0.149042,6.234880
0.010000,0.554003,2.674991,0.045161,0.393806,1.738914,-0.154121,6.235546
0.010000,0.558110,2.674796,0.049273,0.411179,1.737294,-0.161962,6.236236
0.010000,0.562391,2.674597,0.053558,0.428535,1.735597,-0.169744,6.236951
0.010000,0.566845,2.674392,0.058017,0.445873,1.733822,-0.177466,6.237690
0.010000,0.571472,2.674184,0.062649,0.463193,1.731971,-0.185128,6.238452
0.010000,0.576272,2.673971,0.067453,0.480494,1.730083,-0.188828,6.239236
0.010000,0.581245,2.673754,0.072431,0.497774,1.728063,-0.201939,6.240042
0.010000,0.586391,2.673534,0.077582,0.515035,1.726012,-0.205127,6.240869
0.010000,0.591709,2.673311,0.082904,0.532273,1.723882,-0.212961,6.241716
0.010000,0.597199,2.673086,0.088399,0.549490,1.721661,-0.222109,6.242583
0.010000,0.602861,2.672858,0.094066,0.566684,1.719385,-0.227612,6.243468
0.010000,0.608695,2.672629,0.099905,0.583854,1.717023,-0.236166,6.244371
0.010000,0.614701,2.672398,0.105915,0.601000,1.714583,-0.244059,6.245291
0.010000,0.620878,2.672167,0.112096,0.618121,1.712094,-0.248879,6.246228
0.010000,0.627226,2.671935,0.118448,0.635216,1.709499,-0.259508,6.247179
0.010000,0.633745,2.671704,0.124971,0.652284,1.706852,-0.264686,6.248145
0.010000,0.640434,2.671473,0.131664,0.669326,1.704129,-0.272281,6.249123
0.010000,0.647293,2.671242,0.138527,0.686339,1.701324,-0.280511,6.250114
0.010000,0.654323,2.671013,0.145561,0.703323,1.698452,-0.287212,6.251117
0.010000,0.661522,2.670786,0.152763,0.720278,1.695499,-0.295278,6.252129
0.010000,0.668891,2.670561,0.160135,0.737203,1.692476,-0.302298,6.253151
0.010000,0.676428,2.670338,0.167676,0.754097,1.689388,-0.308846,6.254181
0.010000,0.684135,2.670119,0.175386,0.770959,1.686213,-0.317514,6.255217
0.010000,0.692010,2.669903,0.183264,0.787789,1.682971,-0.324192,6.256260
0.010000,0.700053,2.669690,0.191310,0.804585,1.679656,-0.331490,6.257307
0.010000,0.708264,2.669482,0.199523,0.821348,1.676266,-0.338951,6.258357
0.010000,0.716642,2.669278,0.207904,0.838076,1.672803,-0.346331,6.259410
0.010000,0.725187,2.669080,0.216452,0.854769,1.669267,-0.353627,6.260463
0.010000,0.733899,2.668886,0.225166,0.871425,1.665661,-0.360554,6.261516
0.010000,0.742778,2.668698,0.234046,0.888045,1.661976,-0.368491,6.262568
0.010000,0.751822,2.668517,0.243093,0.904627,1.658224,-0.375240,6.263616
0.010000,0.761032,2.668341,0.252304,0.921171,1.654397,-0.382699,6.264660
0.010000,0.770408,2.668172,0.261681,0.937676,1.650498,-0.389932,6.265699
0.010000,0.779948,2.668011,0.271223,0.954142,1.646526,-0.397116,6.266730
0.010000,0.789652,2.667856,0.280928,0.970566,1.642482,-0.404445,6.267753
0.010000,0.799521,2.667709,0.290798,0.986950,1.638367,-0.411491,6.268766
0.010000,0.809552,2.667569,0.300831,1.003292,1.634180,-0.418738,6.269767
0.010000,0.819748,2.667437,0.311027,1.019591,1.629920,-0.425992,6.270755
0.010000,0.830105,2.667314,0.321385,1.035847,1.625588,-0.433175,6.271729
0.010000,0.840625,2.667198,0.331906,1.052059,1.621187,-0.440150,6.272686
0.010000,0.851307,2.667091,0.342588,1.068226,1.616712,-0.447444,6.273626
0.010000,0.862150,2.666992,0.353431,1.084348,1.612167,-0.454526,6.274547
0.010000,0.873154,2.666902,0.364436,1.100423,1.607549,-0.461740,6.275447
0.010000,0.884318,2.666821,0.375600,1.116452,1.602860,-0.468989,6.276324
0.010000,0.895642,2.666748,0.386924,1.132433,1.598104,-0.475535,6.277176
0.010000,0.907126,2.666684,0.398408,1.148366,1.593269,-0.483480,6.278003
0.010000,0.918768,2.666628,0.410051,1.164249,1.588369,-0.490026,6.278803
0.010000,0.930569,2.666581,0.421851,1.180083,1.583397,-0.497249,6.279572
0.010000,0.942527,2.666542,0.433810,1.195867,1.578352,-0.504472,6.280311
0.010000,0.954643,2.666512,0.445926,1.211599,1.573237,-0.511528,6.281016
0.010000,0.966916,2.666489,0.458199,1.227280,1.568048,-0.518909,6.281687
0.010000,0.979345,2.666475,0.470628,1.242907,1.562790,-0.525770,6.282320
0.010000,0.991930,2.666467,0.483213,1.258482,1.557460,-0.532953,6.282915
0.010000,1.004670,2.666468,0.495953,1.274003,1.552058,-0.540201,0.000285
0.010000,1.017565,2.666475,0.508847,1.289468,1.546581,-0.547720,0.000797
