dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.524672,2.959452,0.000028,0.005556,0.555556,55.555556,6.227507
0.010000,0.524672,2.959452,0.000139,0.016667,1.111111,55.555556,6.227523
0.010000,0.524672,2.959452,0.000389,0.033333,1.666667,55.555556,6.227558
0.010000,0.524672,2.959452,0.000806,0.050000,1.666667,0.000000,6.227617
0.010000,0.524766,2.959447,0.001389,0.066667,1.666667,-0.000000,6.227700
0.010000,0.525515,2.959405,0.002139,0.083333,1.666667,0.000000,6.227806
0.010000,0.526430,2.959354,0.003056,0.100000,1.666667,0.000000,6.227936
0.010000,0.527512,2.959295,0.004139,0.116667,1.666667,-0.000000,6.228089
0.010000,0.528760,2.959226,0.005389,0.133333,1.666667,0.000000,6.228266
0.010000,0.530175,2.959148,0.006806,0.150000,1.666667,0.000000,6.228465
0.010000,0.531756,2.959062,0.008389,0.166667,1.666667,0.000000,6.228688
0.010000,0.533503,2.958967,0.010139,0.183333,1.666667,0.000000,6.228933
0.010000,0.535417,2.958863,0.012056,0.200000,1.666667,-0.000000,6.229201
0.010000,0.537497,2.958751,0.014139,0.216667,1.666667,0.000000,6.229492
0.010000,0.539744,2.958630,0.016389,0.233333,1.666667,0.000000,6.229805
0.010000,0.542157,2.958502,0.018806,0.250000,1.666667,0.000000,6.230140
0.010000,0.544737,2.958365,0.021389,0.266667,1.666667,0.000000,6.230496
0.010000,0.547483,2.958221,0.024139,0.283333,1.666667,0.000000,6.230875
0.010000,0.550396,2.958069,0.027056,0.300000,1.666667,0.000000,6.231275
0.010000,0.553475,2.957910,0.030139,0.316667,1.666667,0.000000,6.231695
0.010000,0.556721,2.957743,0.033389,0.333333,1.666667,-0.000000,6.232137
0.010000,0.560133,2.957570,0.036806,0.350000,1.666667,0.000000,6.232599
0.010000,0.563712,2.957389,0.040389,0.366667,1.666667,-0.000000,6.233081
0.010000,0.567457,2.957203,0.044139,0.383333,1.666667,-0.000000,6.233583
0.010000,0.571369,2.957009,0.048056,0.400000,1.666667,0.000000,6.234104
0.010000,0.575448,2.956810,0.052139,0.416667,1.666667,-0.000000,6.234644
0.010000,0.579693,2.956605,0.056389,0.433333,1.666667,0.000000,6.235203
0.010000,0.584104,2.956395,0.060806,0.450000,1.666667,-0.000000,6.235780
0.010000,0.588683,2.956179,0.065389,0.466667,1.666667,0.000000,6.236375
0.010000,0.593427,2.955958,0.070139,0.483333,1.666667,-0.000000,6.236987
0.010000,0.598339,2.955732,0.075056,0.500000,1.666667,0.000000,6.237615
0.010000,0.603417,2.955502,0.080139,0.516667,1.666667,-0.000000,6.238261
0.010000,0.608662,2.955268,0.085389,0.533333,1.666667,0.000000,6.238922
0.010000,0.614073,2.955031,0.090806,0.550000,1.666667,0.000000,6.239598
0.010000,0.619651,2.954789,0.096389,0.566667,1.666667,-0.000000,6.240289
0.010000,0.625396,2.954545,0.102139,0.583333,1.666667,0.000000,6.240995
0.010000,0.631308,2.954297,0.108056,0.600000,1.666667,-0.000000,6.241714
0.010000,0.637386,2.954047,0.114139,0.616667,1.666667,0.000000,6.242446
0.010000,0.643631,2.953795,0.120389,0.633333,1.666667,0.000000,6.243191
0.010000,0.650042,2.953541,0.126806,0.650000,1.666667,-0.000000,6.243948
0.010000,0.656621,2.953285,0.133389,0.666667,1.666667,0.000000,6.244716
0.010000,0.663366,2.953028,0.140139,0.683333,1.666667,0.000000,6.245494
0.010000,0.670278,2.952770,0.147056,0.700000,1.666667,0.000000,6.246283
0.010000,0.677356,2.952512,0.154139,0.716667,1.666667,-0.000000,6.247081
0.010000,0.684602,2.952253,0.161389,0.733333,1.666667,0.000000,6.247887
0.010000,0.692014,2.951994,0.168806,0.750000,1.666667,-0.000000,6.248702
0.010000,0.699593,2.951736,0.176389,0.766667,1.666667,0.000000,6.249523
0.010000,0.707339,2.951478,0.184139,0.783333,1.666667,0.000000,6.250351
0.010000,0.715251,2.951222,0.192056,0.800000,1.666667,-0.000000,6.251185
0.010000,0.723330,2.950967,0.200139,0.816667,1.666667,0.000000,6.252023
0.010000,0.731576,2.950713,0.208389,0.833333,1.666667,0.000000,6.252866
0.010000,0.739989,2.950461,0.216806,0.850000,1.666667,0.000000,6.253711
0.010000,0.748569,2.950212,0.225389,0.866667,1.666667,-0.000000,6.254559
0.010000,0.757316,2.949965,0.234139,0.883333,1.666667,0.000000,6.255409
0.010000,0.766229,2.949722,0.243056,0.900000,1.666667,0.000000,6.256259
0.010000,0.775309,2.949481,0.252139,0.916667,1.666667,0.000000,6.257110
0.010000,0.784556,2.949244,0.261389,0.933333,1.666667,0.000000,6.257959
0.010000,0.793970,2.949010,0.270806,0.950000,1.666667,-0.000000,6.258806
0.010000,0.803550,2.948781,0.280389,0.966667,1.666667,0.000000,6.259650
0.010000,0.813298,2.948555,0.290139,0.983333,1.666667,-0.000000,6.260491
0.010000,0.823212,2.948334,0.300056,1.000000,1.666667,0.000000,6.261326
0.010000,0.833293,2.948118,0.310139,1.016667,1.666667,-0.000000,6.262156
0.010000,0.843541,2.947907,0.320389,1.033333,1.666667,0.000000,6.262979
0.010000,0.853955,2.947701,0.330806,1.050000,1.666667,0.000000,6.263794
0.010000,0.864537,2.947500,0.341389,1.066667,1.666667,-0.000000,6.264601
0.010000,0.875285,2.947304,0.352139,1.083333,1.666667,0.000000,6.265397
0.010000,0.886200,2.947114,0.363056,1.100000,1.666667,-0.000000,6.266183
0.010000,0.897282,2.946930,0.374139,1.116667,1.666667,0.000000,6.266956
0.010000,0.908530,2.946752,0.385389,1.133333,1.666667,0.000000,6.267717
0.010000,0.919946,2.946580,0.396806,1.150000,1.666667,0.000000,6.268463
0.010000,0.931528,2.946413,0.408389,1.166667,1.666667,-0.000000,6.269194
0.010000,0.943277,2.946253,0.420139,1.183333,1.666667,0.000000,6.269909
0.010000,0.955193,2.946099,0.432056,1.200000,1.666667,0.000000,6.270605
0.010000,0.967275,2.945951,0.444139,1.216667,1.666667,0.000000,6.271284
0.010000,0.979524,2.945810,0.456389,1.233333,1.666667,-0.000000,6.271942
0.010000,0.991940,2.945674,0.468806,1.250000,1.666667,0.000000,6.272579
0.010000,1.004523,2.945544,0.481389,1.266667,1.666667,0.000000,6.273193
0.010000,1.017272,2.945421,0.494139,1.283333,1.666667,-0.000000,6.273784
0.010000,1.030188,2.945303,0.507056,1.300000,1.666667,0.000000,6.274350
0.010000,1.043271,2.945191,0.520139,1.316667,1.666667,-0.000000,6.274890
0.010000,1.056521,2.945085,0.533389,1.333333,1.666667,0.000000,6.275402
0.010000,1.069937,2.944983,0.546806,1.350000,1.666667,0.000000,6.275886
0.010000,1.083520,2.944887,0.560389,1.366667,1.666667,-0.000000,6.276339
0.010000,1.097270,2.944796,0.574139,1.383333,1.666667,0.000000,6.276761
0.010000,1.111186,2.944710,0.588056,1.400000,1.666667,0.000000,6.277150
0.010000,1.125269,2.944627,0.602139,1.416667,1.666667,-0.000000,6.277506
0.010000,1.139519,2.944549,0.616389,1.433333,1.666667,0.000000,6.277825
0.010000,1.153935,2.944473,0.630806,1.450000,1.666667,-0.000000,6.278108
0.010000,1.168519,2.944401,0.645389,1.466667,1.666667,0.000000,6.278352
0.010000,1.183268,2.944331,0.660139,1.483333,1.666667,-0.000000,6.278557
0.010000,1.198185,2.944264,0.675056,1.500000,1.666667,0.000000,6.278720
0.010000,1.213268,2.944197,0.690139,1.516667,1.666667,0.000000,6.278841
0.010000,1.228518,2.944132,0.705389,1.533333,1.666667,0.000000,6.278918
0.010000,1.243934,2.944066,0.720806,1.550000,1.666667,0.000000,6.278949
0.010000,1.259518,2.944000,0.736389,1.566667,1.666667,0.000000,6.278932
0.010000,1.275268,2.943933,0.752139,1.583333,1.666667,-0.000000,6.278867
0.010000,1.291184,2.943863,0.768056,1.600000,1.666667,0.000000,6.278752
