dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.508947,2.677315,0.000028,0.005556,0.555556,55.555556,6.227507
0.010000,0.508952,2.677314,0.000032,0.000446,-0.510967,-106.652275,6.227523
0.010000,0.508962,2.677314,0.000042,0.001003,0.055711,56.667780,6.227558
0.010000,0.508978,2.677313,0.000059,0.001671,0.066790,1.107893,6.227617
0.010000,0.509096,2.677306,0.000176,0.011744,1.007352,94.056211,6.227700
0.010000,0.509874,2.677263,0.000956,0.078003,6.625846,561.849390,6.227806
0.010000,0.510826,2.677210,0.001910,0.095333,1.732969,-489.287637,6.227936
0.010000,0.511951,2.677148,0.003036,0.112660,1.732722,-0.024761,6.228089
0.010000,0.513249,2.677077,0.004336,0.129984,1.732430,-0.029141,6.228266
0.010000,0.514720,2.676996,0.005809,0.147305,1.732088,-0.034175,6.228465
0.010000,0.516364,2.676906,0.007455,0.164622,1.731696,-0.039197,6.228688
0.010000,0.518180,2.676807,0.009275,0.181934,1.731254,-0.044205,6.228933
0.010000,0.520170,2.676700,0.011267,0.199242,1.730789,-0.046508,6.229201
0.010000,0.522332,2.676583,0.013433,0.216545,1.730246,-0.054339,6.229492
0.010000,0.524667,2.676458,0.015771,0.233842,1.729695,-0.055059,6.229805
0.010000,0.527175,2.676324,0.018282,0.251132,1.729059,-0.063610,6.230140
0.010000,0.529855,2.676183,0.020967,0.268416,1.728399,-0.065975,6.230496
0.010000,0.532708,2.676033,0.023824,0.285693,1.727689,-0.071008,6.230875
0.010000,0.535734,2.675875,0.026853,0.302963,1.726929,-0.076015,6.231275
0.010000,0.538932,2.675709,0.030055,0.320224,1.726141,-0.078819,6.231695
0.010000,0.542302,2.675536,0.033430,0.337477,1.725277,-0.086402,6.232137
0.010000,0.545845,2.675356,0.036977,0.354721,1.724392,-0.088518,6.232599
0.010000,0.549560,2.675169,0.040697,0.371955,1.723440,-0.095172,6.233081
0.010000,0.553447,2.674975,0.044589,0.389180,1.722459,-0.098076,6.233583
0.010000,0.557506,2.674775,0.048653,0.406394,1.721428,-0.103124,6.234104
0.010000,0.561736,2.674568,0.052889,0.423597,1.720347,-0.108137,6.234644
0.010000,0.566139,2.674355,0.057297,0.440790,1.719216,-0.113114,6.235203
0.010000,0.570714,2.674137,0.061876,0.457970,1.718035,-0.118056,6.235780
0.010000,0.575460,2.673913,0.066628,0.475138,1.716838,-0.119721,6.236375
0.010000,0.580377,2.673684,0.071551,0.492294,1.715547,-0.129122,6.236987
0.010000,0.585466,2.673451,0.076645,0.509436,1.714243,-0.130338,6.237615
0.010000,0.590727,2.673213,0.081911,0.526565,1.712889,-0.135417,6.238261
0.010000,0.596158,2.672970,0.087347,0.543680,1.711473,-0.141575,6.238922
0.010000,0.601760,2.672724,0.092955,0.560780,1.710027,-0.144673,6.239598
0.010000,0.607534,2.672474,0.098734,0.577865,1.708523,-0.150319,6.240289
0.010000,0.613478,2.672221,0.104683,0.594935,1.706968,-0.155561,6.240995
0.010000,0.619592,2.671965,0.110803,0.611989,1.705389,-0.157893,6.241714
0.010000,0.625877,2.671707,0.117093,0.629026,1.703733,-0.165549,6.242446
0.010000,0.632332,2.671446,0.123554,0.646047,1.702051,-0.168210,6.243191
0.010000,0.638958,2.671183,0.130184,0.663050,1.700321,-0.173034,6.243948
0.010000,0.645753,2.670919,0.136985,0.680035,1.698534,-0.178679,6.244716
0.010000,0.652718,2.670654,0.143955,0.697002,1.696709,-0.182526,6.245494
0.010000,0.659852,2.670388,0.151094,0.713951,1.694828,-0.188073,6.246283
0.010000,0.667156,2.670121,0.158403,0.730880,1.692904,-0.192431,6.247081
0.010000,0.674629,2.669854,0.165881,0.747789,1.690943,-0.196063,6.247887
0.010000,0.682272,2.669587,0.173528,0.764678,1.688919,-0.202404,6.248702
0.010000,0.690083,2.669321,0.181343,0.781547,1.686857,-0.206245,6.249523
0.010000,0.698062,2.669056,0.189327,0.798394,1.684748,-0.210881,6.250351
0.010000,0.706210,2.668791,0.197479,0.815220,1.682591,-0.215730,6.251185
0.010000,0.714526,2.668529,0.205799,0.832024,1.680385,-0.220529,6.252023
0.010000,0.723010,2.668268,0.214288,0.848805,1.678133,-0.225279,6.252866
0.010000,0.731662,2.668009,0.222943,0.865564,1.675842,-0.229034,6.253711
0.010000,0.740481,2.667753,0.231766,0.882299,1.673489,-0.235310,6.254559
0.010000,0.749468,2.667499,0.240756,0.899010,1.671103,-0.238642,6.255409
0.010000,0.758621,2.667249,0.249913,0.915696,1.668665,-0.243804,6.256259
0.010000,0.767942,2.667002,0.259237,0.932358,1.666179,-0.248577,6.257110
0.010000,0.777428,2.666759,0.268727,0.948995,1.663648,-0.253078,6.257959
0.010000,0.787081,2.666519,0.278383,0.965605,1.661073,-0.257556,6.258806
0.010000,0.796901,2.666284,0.288205,0.982190,1.658447,-0.262568,6.259650
0.010000,0.806885,2.666053,0.298192,0.998748,1.655777,-0.267013,6.260491
0.010000,0.817036,2.665827,0.308345,1.015278,1.653061,-0.271573,6.261326
0.010000,0.827351,2.665606,0.318663,1.031781,1.650298,-0.276286,6.262156
0.010000,0.837831,2.665390,0.329145,1.048256,1.647489,-0.280939,6.262979
0.010000,0.848476,2.665179,0.339792,1.064702,1.644634,-0.285492,6.263794
0.010000,0.859286,2.664974,0.350604,1.081120,1.641733,-0.290116,6.264601
0.010000,0.870259,2.664774,0.361579,1.097508,1.638786,-0.294716,6.265397
0.010000,0.881396,2.664580,0.372717,1.113866,1.635792,-0.299343,6.266183
0.010000,0.892696,2.664393,0.384019,1.130193,1.632753,-0.303870,6.266956
0.010000,0.904160,2.664211,0.395484,1.146490,1.629668,-0.308561,6.267717
0.010000,0.915786,2.664035,0.407112,1.162755,1.626537,-0.313063,6.268463
0.010000,0.927575,2.663866,0.418902,1.178989,1.623361,-0.317653,6.269194
0.010000,0.939525,2.663703,0.430853,1.195190,1.620138,-0.322250,6.269909
0.010000,0.951638,2.663547,0.442967,1.211359,1.616870,-0.326802,6.270605
0.010000,0.963912,2.663396,0.455242,1.227494,1.613555,-0.331461,6.271284
0.010000,0.976347,2.663253,0.467678,1.243596,1.610196,-0.335943,6.271942
0.010000,0.988943,2.663115,0.480275,1.259664,1.606791,-0.340496,6.272579
0.010000,1.001699,2.662984,0.493032,1.275698,1.603340,-0.345097,6.273193
0.010000,1.014616,2.662858,0.505949,1.291696,1.599842,-0.349836,6.273784
0.010000,1.027692,2.662739,0.519025,1.307659,1.596301,-0.354126,6.274350
0.010000,1.040927,2.662626,0.532261,1.323586,1.592712,-0.358846,6.274890
0.010000,1.054321,2.662518,0.545656,1.339477,1.589077,-0.363510,6.275402
0.010000,1.067874,2.662416,0.559209,1.355331,1.585397,-0.367971,6.275886
0.010000,1.081585,2.662319,0.572921,1.371148,1.581672,-0.372487,6.276339
0.010000,1.095454,2.662227,0.586790,1.386927,1.577898,-0.377442,6.276761
0.010000,1.109481,2.662140,0.600816,1.402667,1.574082,-0.381625,6.277150
0.010000,1.123664,2.662057,0.615000,1.418370,1.570217,-0.386470,6.277506
0.010000,1.138004,2.661978,0.629341,1.434033,1.566306,-0.391077,6.277825
0.010000,1.152501,2.661902,0.643837,1.449656,1.562349,-0.395681,6.278108
0.010000,1.167153,2.661829,0.658489,1.465240,1.558346,-0.400308,6.278352
0.010000,1.181961,2.661759,0.673297,1.480783,1.554296,-0.404996,6.278557
0.010000,1.196923,2.661691,0.688260,1.496285,1.550199,-0.409690,6.278720
0.010000,1.212041,2.661625,0.703378,1.511745,1.546057,-0.414277,6.278841
0.010000,1.227312,2.661559,0.718649,1.527164,1.541866,-0.419036,6.278918
0.010000,1.242737,2.661494,0.734075,1.542540,1.537629,-0.423732,6.278949
0.010000,1.258316,2.661428,0.749653,1.557874,1.533345,-0.428422,6.278932
0.010000,1.274047,2.661360,0.765385,1.573164,1.529013,-0.433141,6.278867
0.010000,1.289931,2.661291,0.781269,1.588410,1.524635,-0.437887,6.278752
0.010000,1.305967,2.661219,0.797305,1.603612,1.520208,-0.442659,6.278585
0.010000,1.322155,2.661142,0.813493,1.618770,1.515735,-0.447282,6.278365
0.010000,1.338493,2.661061,0.829832,1.633882,1.511213,-0.452219,6.278089
0.010000,1.354983,2.660975,0.846321,1.648948,1.506645,-0.456839,6.277757
0.010000,1.371622,2.660881,0.862961,1.663968,1.502029,-0.461560,6.277367
0.010000,1.388411,2.660780,0.879750,1.678942,1.497365,-0.466436,6.276916
0.010000,1.405350,2.660669,0.896689,1.693869,1.492654,-0.471021,6.276404
0.010000,1.422437,2.660549,0.913776,1.708748,1.487895,-0.475909,6.275829
0.010000,1.439672,2.660416,0.931012,1.723578,1.483089,-0.480623,6.275189
0.010000,1.457055,2.660271,0.948396,1.738361,1.478240,-0.484950,6.274482
0.010000,1.474585,2.660112,0.965927,1.753094,1.473338,-0.490115,6.273707
0.010000,1.492262,2.659937,0.983605,1.767778,1.468394,-0.494404,6.272862
0.010000,1.510085,2.659745,1.001429,1.782412,1.463404,-0.498995,6.271944
0.010000,1.528054,2.659534,1.019399,1.796996,1.458369,-0.503536,6.270953
0.010000,1.546168,2.659303,1.037514,1.811529,1.453289,-0.508000,6.269887
0.010000,1.564426,2.659050,1.055774,1.826010,1.448165,-0.512364,6.268743
0.010000,1.582828,2.658773,1.074178,1.840440,1.443000,-0.516496,6.267520
0.010000,1.601374,2.658471,1.092727,1.854818,1.437792,-0.520797,6.266216
0.010000,1.620063,2.658141,1.111418,1.869144,1.432546,-0.524689,6.264829
0.010000,1.638893,2.657781,1.130252,1.883416,1.427259,-0.528671,6.263357
0.010000,1.657866,2.657390,1.149229,1.897636,1.421936,-0.532324,6.261799
0.010000,1.676979,2.656966,1.168347,1.911802,1.416577,-0.535860,6.260153
0.010000,1.696233,2.656506,1.187606,1.925913,1.411186,-0.539134,6.258415
0.010000,1.715626,2.656008,1.207005,1.939971,1.405760,-0.542542,6.256586
0.010000,1.735158,2.655469,1.226545,1.953974,1.400313,-0.544756,6.254662
0.010000,1.754829,2.654888,1.246224,1.967922,1.394832,-0.548089,6.252642
0.010000,1.774637,2.654262,1.266043,1.981816,1.389337,-0.549529,6.250524
0.010000,1.794582,2.653588,1.285999,1.995654,1.383817,-0.551916,6.248306
0.010000,1.812515,2.652951,1.303943,1.794381,-20.127315,-2151.113190,6.249041
0.010000,1.836948,2.652269,1.328385,2.444238,64.985720,8511.303452,6.261519
0.010000,1.861492,2.651888,1.352933,2.454737,1.049943,-6393.577717,6.273778
0.010000,1.886141,2.651805,1.377582,2.464950,1.021236,-2.870723,0.002624
