dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.524877,2.959440,0.001500,0.300000,30.000000,3000.000000,6.227716
0.010000,0.530868,2.959110,0.007500,0.900000,60.000000,3000.000000,6.228563
0.010000,0.542851,2.958465,0.019500,1.500000,60.000000,0.000000,6.230236
0.010000,0.560827,2.957535,0.037500,2.100000,60.000000,-0.000000,6.232693
0.010000,0.584798,2.956362,0.061500,2.700000,60.000000,0.000000,6.235870
0.010000,0.613268,2.955066,0.090000,3.000000,30.000000,-3000.000000,6.239498
0.010000,0.643242,2.953811,0.120000,3.000000,0.000000,-3000.000000,6.243145
0.010000,0.673220,2.952662,0.150000,3.000000,0.000000,0.000000,6.246616
0.010000,0.703202,2.951615,0.180000,3.000000,0.000000,0.000000,6.249911
0.010000,0.733187,2.950664,0.210000,3.000000,0.000000,0.000000,6.253029
0.010000,0.763174,2.949804,0.240000,3.000000,0.000000,0.000000,6.255970
0.010000,0.793164,2.949030,0.270000,3.000000,0.000000,0.000000,6.258734
0.010000,0.823156,2.948336,0.300000,3.000000,0.000000,0.000000,6.261322
0.010000,0.853150,2.947716,0.330000,3.000000,0.000000,0.000000,6.263732
0.010000,0.883145,2.947167,0.360000,3.000000,0.000000,0.000000,6.265965
0.010000,0.913141,2.946681,0.390000,3.000000,0.000000,0.000000,6.268021
0.010000,0.943138,2.946255,0.420000,3.000000,0.000000,0.000000,6.269900
0.010000,0.973136,2.945883,0.450000,3.000000,0.000000,0.000000,6.271602
0.010000,1.003134,2.945558,0.480000,3.000000,0.000000,0.000000,6.273127
0.010000,1.033133,2.945277,0.510000,3.000000,0.000000,0.000000,6.274474
0.010000,1.063132,2.945034,0.540000,3.000000,0.000000,0.000000,6.275645
0.010000,1.093131,2.944823,0.570000,3.000000,0.000000,0.000000,6.276638
0.010000,1.123130,2.944639,0.600000,3.000000,0.000000,0.000000,6.277454
0.010000,1.153130,2.944477,0.630000,3.000000,0.000000,0.000000,6.278093
0.010000,1.183130,2.944332,0.660000,3.000000,0.000000,0.000000,6.278555
0.010000,1.213129,2.944198,0.690000,3.000000,0.000000,0.000000,6.278840
0.010000,1.243129,2.944070,0.720000,3.000000,0.000000,0.000000,6.278948
0.010000,1.273129,2.943942,0.750000,3.000000,0.000000,0.000000,6.278879
0.010000,1.303128,2.943809,0.780000,3.000000,0.000000,0.000000,6.278633
0.010000,1.333128,2.943667,0.810000,3.000000,0.000000,0.000000,6.278210
0.010000,1.363128,2.943509,0.840000,3.000000,0.000000,0.000000,6.277610
0.010000,1.393127,2.943331,0.870000,3.000000,0.000000,0.000000,6.276832
0.010000,1.423126,2.943126,0.900000,3.000000,0.000000,0.000000,6.275878
0.010000,1.453125,2.942890,0.930000,3.000000,0.000000,0.000000,6.274746
0.010000,1.483124,2.942618,0.960000,3.000000,0.000000,0.000000,6.273438
0.010000,1.513123,2.942304,0.990000,3.000000,0.000000,0.000000,6.271952
0.010000,1.543120,2.941942,1.020000,3.000000,0.000000,0.000000,6.270289
0.010000,1.573118,2.941528,1.050000,3.000000,0.000000,0.000000,6.268449
0.010000,1.603114,2.941056,1.080000,3.000000,0.000000,0.000000,6.266431
0.010000,1.633109,2.940521,1.110000,3.000000,0.000000,0.000000,6.264237
0.010000,1.663103,2.939918,1.140000,3.000000,0.000000,0.000000,6.261865
0.010000,1.693095,2.939240,1.170000,3.000000,0.000000,0.000000,6.259317
0.010000,1.723086,2.938484,1.200000,3.000000,0.000000,0.000000,6.256591
0.010000,1.753074,2.937643,1.230000,3.000000,0.000000,0.000000,6.253689
0.010000,1.783060,2.936713,1.260000,3.000000,0.000000,0.000000,6.250610
0.010000,1.813042,2.935687,1.290000,3.000000,0.000000,0.000000,6.247354
0.010000,1.840015,2.934847,1.320000,3.000000,0.000000,0.000000,6.259715
0.010000,1.870011,2.934405,1.350000,3.000000,0.000000,0.000000,6.277129
0.010000,1.900011,2.934477,1.380000,3.000000,0.000000,0.000000,0.010706
0.010000,1.930005,2.935041,1.410000,3.000000,0.000000,0.000000,0.026811
0.010000,1.959987,2.936079,1.440000,3.000000,0.000000,0.000000,0.042260
0.010000,1.989950,2.937569,1.470000,3.000000,0.000000,0.000000,0.057053
0.010000,2.019887,2.939493,1.500000,3.000000,0.000000,0.000000,0.071193
0.010000,2.049796,2.941831,1.530000,3.000000,0.000000,0.000000,0.084685
0.010000,2.079671,2.944562,1.560000,3.000000,0.000000,0.000000,0.097537
0.010000,2.109510,2.947667,1.590000,3.000000,0.000000,0.000000,0.109757
0.010000,2.139310,2.951128,1.620000,3.000000,0.000000,0.000000,0.121352
0.010000,2.169068,2.954924,1.650000,3.000000,0.000000,0.000000,0.132333
0.010000,2.198785,2.959038,1.680000,3.000000,0.000000,0.000000,0.142711
0.010000,2.228458,2.963452,1.710000,3.000000,0.000000,0.000000,0.152494
0.010000,2.258088,2.968147,1.740000,3.000000,0.000000,0.000000,0.161695
0.010000,2.287676,2.973106,1.770000,3.000000,0.000000,0.000000,0.170323
0.010000,2.317220,2.978311,1.800000,3.000000,0.000000,0.000000,0.178389
0.010000,2.346724,2.983747,1.830000,3.000000,0.000000,0.000000,0.185904
0.010000,2.376187,2.989396,1.860000,3.000000,0.000000,0.000000,0.192877
