dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.509211,2.677300,0.001500,0.300000,30.000000,3000.000000,6.227716
0.010000,0.515441,2.676957,0.007739,0.623932,32.393224,239.322419,6.228563
0.010000,0.527895,2.676286,0.020212,1.247272,62.333946,2994.072231,6.230236
0.010000,0.546565,2.675320,0.038906,1.869424,62.215258,-11.868891,6.232693
0.010000,0.571433,2.674103,0.063804,2.489793,62.036849,-17.840863,6.235870
0.010000,0.600927,2.672760,0.093329,2.952506,46.271282,-1576.556703,6.239498
0.010000,0.631931,2.671462,0.124360,3.103056,15.055043,-3121.623885,6.243145
0.010000,0.662889,2.670276,0.155341,3.098079,-0.497686,-1555.272860,6.246616
0.010000,0.693801,2.669197,0.186272,3.093095,-0.498383,-0.069720,6.249911
0.010000,0.724667,2.668218,0.217153,3.088106,-0.498958,-0.057493,6.253029
0.010000,0.755485,2.667334,0.247984,3.083112,-0.499426,-0.046814,6.255970
0.010000,0.786256,2.666539,0.278765,3.078114,-0.499792,-0.036666,6.258734
0.010000,0.816979,2.665828,0.309496,3.073113,-0.500074,-0.028175,6.261322
0.010000,0.847653,2.665195,0.340177,3.068110,-0.500283,-0.020850,6.263732
0.010000,0.878279,2.664634,0.370808,3.063106,-0.500429,-0.014647,6.265965
0.010000,0.908856,2.664139,0.401389,3.058100,-0.500524,-0.009464,6.268021
0.010000,0.939384,2.663705,0.431920,3.053095,-0.500575,-0.005119,6.269900
0.010000,0.969863,2.663327,0.462401,3.048089,-0.500592,-0.001732,6.271602
0.010000,1.000292,2.662998,0.492832,3.043083,-0.500584,0.000855,6.273127
0.010000,1.030671,2.662713,0.523213,3.038077,-0.500557,0.002655,6.274474
0.010000,1.061001,2.662467,0.553543,3.033072,-0.500518,0.003943,6.275645
0.010000,1.091281,2.662254,0.583824,3.028068,-0.500471,0.004663,6.276638
0.010000,1.121511,2.662069,0.614055,3.023063,-0.500424,0.004744,6.277454
0.010000,1.151691,2.661906,0.644235,3.018059,-0.500379,0.004469,6.278093
0.010000,1.181821,2.661760,0.674366,3.013056,-0.500341,0.003846,6.278555
0.010000,1.211901,2.661626,0.704446,3.008053,-0.500311,0.002936,6.278840
0.010000,1.241932,2.661497,0.734477,3.003050,-0.500292,0.001950,6.278948
