dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.540545,3.241581,0.001500,0.300000,30.000000,3000.000000,6.227711
0.010000,0.546335,3.241261,0.007299,0.579946,27.994633,-200.536749,6.228421
0.010000,0.557922,3.240634,0.018903,1.160324,58.037769,3004.313673,6.229825
0.010000,0.575313,3.239723,0.036318,1.741566,58.124160,8.639085,6.231893
0.010000,0.598526,3.238563,0.059559,2.324105,58.253967,12.980648,6.234579
0.010000,0.626124,3.237264,0.087188,2.762875,43.876941,-1437.702537,6.237662
0.010000,0.655214,3.235984,0.116306,2.911813,14.893879,-2898.306195,6.240783
0.010000,0.684344,3.234792,0.145461,2.915434,0.362019,-1453.186027,6.243775
0.010000,0.713513,3.233684,0.174651,2.919059,0.362492,0.047289,6.246640
0.010000,0.742722,3.232657,0.203878,2.922688,0.362895,0.040311,6.249376
0.010000,0.771970,3.231706,0.233141,2.926320,0.363231,0.033608,6.251983
0.010000,0.801256,3.230828,0.262441,2.929955,0.363515,0.028367,6.254462
0.010000,0.830581,3.230021,0.291777,2.933592,0.363748,0.023295,6.256812
0.010000,0.859944,3.229279,0.321149,2.937232,0.363935,0.018775,6.259033
0.010000,0.889345,3.228600,0.350558,2.940873,0.364084,0.014844,6.261126
0.010000,0.918783,3.227980,0.380003,2.944515,0.364195,0.011155,6.263089
0.010000,0.948260,3.227415,0.409485,2.948157,0.364278,0.008266,6.264924
0.010000,0.977773,3.226901,0.439003,2.951801,0.364335,0.005699,6.266629
0.010000,1.007324,3.226435,0.468557,2.955444,0.364370,0.003530,6.268206
0.010000,1.036912,3.226014,0.498148,2.959088,0.364388,0.001714,6.269654
0.010000,1.066537,3.225633,0.527775,2.962732,0.364390,0.000296,6.270973
0.010000,1.096198,3.225289,0.557439,2.966376,0.364383,-0.000738,6.272163
0.010000,1.125897,3.224977,0.587139,2.970020,0.364367,-0.001572,6.273224
0.010000,1.155632,3.224695,0.616876,2.973663,0.364346,-0.002106,6.274156
0.010000,1.185404,3.224439,0.646649,2.977306,0.364322,-0.002403,6.274959
0.010000,1.215213,3.224204,0.676458,2.980949,0.364297,-0.002548,6.275633
0.010000,1.245058,3.223987,0.706304,2.984592,0.364274,-0.002297,6.276178
0.010000,1.274940,3.223784,0.736187,2.988235,0.364253,-0.002129,6.276595
0.010000,1.304858,3.223592,0.766105,2.991877,0.364235,-0.001755,6.276882
0.010000,1.334812,3.223405,0.796061,2.995519,0.364222,-0.001288,6.277041
0.010000,1.364803,3.223222,0.826052,2.999161,0.364215,-0.000752,6.277070
0.010000,1.394831,3.223037,0.856080,3.002804,0.364213,-0.000159,6.276971
0.010000,1.424895,3.222847,0.886145,3.006446,0.364217,0.000397,6.276743
0.010000,1.454995,3.222648,0.916246,3.010088,0.364226,0.000946,6.276386
0.010000,1.485132,3.222436,0.946383,3.013730,0.364241,0.001450,6.275900
0.010000,1.515304,3.222208,0.976557,3.017373,0.364260,0.001884,6.275285
0.010000,1.545514,3.221958,1.006767,3.021016,0.364282,0.002255,6.274542
0.010000,1.575759,3.221684,1.037013,3.024659,0.364305,0.002304,6.273669
0.010000,1.606040,3.221381,1.067296,3.028302,0.364329,0.002369,6.272667
0.010000,1.636358,3.221045,1.097616,3.031946,0.364351,0.002183,6.271537
0.010000,1.666712,3.220673,1.127972,3.035589,0.364369,0.001772,6.270277
0.010000,1.697101,3.220260,1.158364,3.039233,0.364380,0.001152,6.268889
0.010000,1.727526,3.219802,1.188793,3.042877,0.364381,0.000101,6.267372
0.010000,1.757987,3.219295,1.219258,3.046521,0.364370,-0.001143,6.265725
0.010000,1.788484,3.218736,1.249760,3.050164,0.364342,-0.002724,6.263950
0.010000,1.819016,3.218120,1.280298,3.053807,0.364296,-0.004697,6.262046
0.010000,1.845559,3.217569,1.306846,2.654870,-39.893664,-4025.795944,6.263486
0.010000,1.874870,3.217027,1.336163,2.931615,27.674500,6756.816404,6.265906
0.010000,1.904205,3.216555,1.365501,2.933890,0.227455,-2744.704503,6.268246
0.010000,1.933564,3.216150,1.394863,2.936165,0.227492,0.003664,6.270505
0.010000,1.962946,3.215809,1.424248,2.938440,0.227500,0.000799,6.272683
0.010000,1.992352,3.215532,1.453655,2.940715,0.227490,-0.001004,6.274781
0.010000,2.021781,3.215314,1.483085,2.942989,0.227464,-0.002615,6.276799
0.010000,2.051233,3.215155,1.512537,2.945264,0.227423,-0.004040,6.278736
0.010000,2.080709,3.215051,1.542013,2.947537,0.227358,-0.006548,6.280592
0.010000,2.110207,3.215001,1.571511,2.949810,0.227295,-0.006276,6.282369
0.010000,2.139728,3.215002,1.601032,2.952082,0.227234,-0.006128,0.000879
0.010000,2.169271,3.215052,1.630575,2.954354,0.227154,-0.007970,0.002494
0.010000,2.198837,3.215149,1.660141,2.956625,0.227068,-0.008577,0.004029
0.010000,2.228426,3.215290,1.689730,2.958894,0.226978,-0.009042,0.005484
0.010000,2.258037,3.215473,1.719342,2.961163,0.226884,-0.009371,0.006858
0.010000,2.287670,3.215695,1.748976,2.963431,0.226768,-0.011632,0.008153
0.010000,2.317326,3.215955,1.778633,2.965698,0.226691,-0.007703,0.009366
0.010000,2.347004,3.216250,1.808313,2.967964,0.226598,-0.009312,0.010500
0.010000,2.376705,3.216578,1.838015,2.970229,0.226503,-0.009440,0.011554
0.010000,2.406428,3.216936,1.867740,2.972493,0.226411,-0.009204,0.012527
0.010000,2.436173,3.217322,1.897488,2.974756,0.226322,-0.008875,0.013421
0.010000,2.465940,3.217734,1.927258,2.977019,0.226231,-0.009113,0.014234
0.010000,2.495730,3.218169,1.957051,2.979280,0.226150,-0.008144,0.014967
0.010000,2.525541,3.218626,1.986866,2.981541,0.226087,-0.006257,0.015620
0.010000,2.555376,3.219100,2.016704,2.983801,0.226020,-0.006753,0.016194
0.010000,2.585232,3.219591,2.046565,2.986061,0.225959,-0.006071,0.016687
0.010000,2.615111,3.220096,2.076448,2.988320,0.225906,-0.005338,0.017100
0.010000,2.645013,3.220613,2.106354,2.990578,0.225860,-0.004561,0.017434
0.010000,2.674936,3.221139,2.136282,2.992837,0.225818,-0.004244,0.017687
0.010000,2.704882,3.221671,2.166233,2.995094,0.225797,-0.002039,0.017861
0.010000,2.734851,3.222208,2.196206,2.997352,0.225777,-0.002017,0.017954
0.010000,2.764842,3.222747,2.226203,2.999610,0.225765,-0.001152,0.017968
0.010000,2.794856,3.223286,2.256221,3.001868,0.225763,-0.000263,0.017902
0.010000,2.824893,3.223821,2.286262,3.004125,0.225769,0.000629,0.017756
0.010000,2.854952,3.224352,2.316326,3.006383,0.225788,0.001904,0.017530
0.010000,2.885034,3.224875,2.346413,3.008641,0.225814,0.002560,0.017224
0.010000,2.915138,3.225388,2.376522,3.010900,0.225844,0.003067,0.016839
0.010000,2.945266,3.225889,2.406653,3.013159,0.225885,0.004072,0.016373
0.010000,2.975416,3.226374,2.436807,3.015418,0.225934,0.004872,0.015827
0.010000,3.005589,3.226843,2.466984,3.017678,0.225990,0.005633,0.015202
0.010000,3.035785,3.227291,2.497184,3.019938,0.226057,0.006698,0.014496
0.010000,3.066004,3.227718,2.527406,3.022200,0.226139,0.008157,0.013711
0.010000,3.096246,3.228119,2.557650,3.024462,0.226203,0.006399,0.012845
0.010000,3.126511,3.228494,2.587917,3.026725,0.226284,0.008123,0.011899
0.010000,3.156799,3.228839,2.618207,3.028988,0.226370,0.008584,0.010873
0.010000,3.187110,3.229152,2.648520,3.031253,0.226459,0.008965,0.009767
0.010000,3.217444,3.229431,2.678855,3.033518,0.226552,0.009259,0.008581
0.010000,3.247801,3.229672,2.709213,3.035785,0.226664,0.011215,0.007315
0.010000,3.278181,3.229874,2.739593,3.038053,0.226750,0.008567,0.005968
0.010000,3.308583,3.230034,2.769997,3.040321,0.226838,0.008849,0.004541
0.010000,3.339009,3.230150,2.800423,3.042590,0.226932,0.009365,0.003034
0.010000,3.369458,3.230218,2.830871,3.044861,0.227023,0.009111,0.001446
0.010000,3.399929,3.230237,2.861342,3.047132,0.227110,0.008727,6.282964
0.010000,3.430423,3.230204,2.891837,3.049404,0.227195,0.008463,6.281215
0.010000,3.460940,3.230116,2.922353,3.051676,0.227289,0.009438,6.279387
0.010000,3.491479,3.229971,2.952893,3.053950,0.227333,0.004405,6.277477
0.010000,3.522040,3.229766,2.983455,3.056224,0.227390,0.005669,6.275488
0.010000,3.552624,3.229499,3.014040,3.058498,0.227435,0.004519,6.273417
0.010000,3.583230,3.229168,3.044648,3.060773,0.227467,0.003195,6.271267
0.010000,3.613858,3.228769,3.075278,3.063048,0.227484,0.001689,6.269036
0.010000,3.644508,3.228300,3.105931,3.065322,0.227490,0.000539,6.266724
0.010000,3.675179,3.227758,3.136607,3.067597,0.227473,-0.001638,6.264332
0.010000,3.705871,3.227142,3.167306,3.069871,0.227420,-0.005280,6.261859
0.010000,3.736585,3.226448,3.198028,3.072145,0.227357,-0.006370,6.259306
0.010000,3.767319,3.225673,3.228772,3.074418,0.227268,-0.008889,6.256672
0.010000,3.798074,3.224816,3.259539,3.076689,0.227152,-0.011630,6.253958
0.010000,3.828849,3.223873,3.290328,3.078959,0.227006,-0.014599,6.251164
0.010000,3.859644,3.222843,3.321140,3.081227,0.226825,-0.018010,6.248289
0.010000,3.890459,3.221722,3.351975,3.083494,0.226606,-0.021908,6.245335
0.010000,3.921293,3.220508,3.382833,3.085757,0.226356,-0.025001,6.242300
0.010000,3.952145,3.219197,3.413713,3.088018,0.226067,-0.028981,6.239185
0.010000,3.983016,3.217789,3.444616,3.090275,0.225735,-0.033180,6.235990
0.010000,4.013904,3.216280,3.475541,3.092529,0.225358,-0.037638,6.232715
0.010000,4.044810,3.214667,3.506489,3.094778,0.224935,-0.042360,6.229361
0.010000,4.075732,3.212948,3.537459,3.097022,0.224436,-0.049900,6.225928
0.010000,4.106671,3.211120,3.568452,3.099261,0.223907,-0.052891,6.222415
0.010000,4.137625,3.209181,3.599467,3.101495,0.223338,-0.056866,6.218823
0.010000,4.168595,3.207128,3.630504,3.103722,0.222697,-0.064098,6.215152
0.010000,4.199578,3.204959,3.661563,3.105942,0.221995,-0.070187,6.211403
0.010000,4.230575,3.202670,3.692645,3.108154,0.221230,-0.076552,6.207576
0.010000,4.261585,3.200261,3.723749,3.110358,0.220398,-0.083193,6.203670
0.010000,4.292608,3.197727,3.754874,3.112552,0.219391,-0.100709,6.199687
0.010000,4.323641,3.195066,3.786021,3.114737,0.218501,-0.089009,6.195627
0.010000,4.354685,3.192276,3.817191,3.116911,0.217451,-0.104966,6.191489
0.010000,4.385739,3.189355,3.848381,3.119075,0.216324,-0.112707,6.187275
0.010000,4.416801,3.186300,3.879594,3.121226,0.215117,-0.120706,6.182985
0.010000,4.447871,3.183108,3.910827,3.123364,0.213827,-0.128960,6.178619
0.010000,4.478948,3.179777,3.942082,3.125487,0.212281,-0.154587,6.174178
0.010000,4.510031,3.176304,3.973358,3.127596,0.210934,-0.134765,6.169663
0.010000,4.541118,3.172688,4.004655,3.129690,0.209401,-0.153299,6.165073
0.010000,4.572209,3.168925,4.035973,3.131768,0.207754,-0.164712,6.160410
0.010000,4.603302,3.165013,4.067311,3.133828,0.206012,-0.174136,6.155674
0.010000,4.634396,3.160951,4.098670,3.135869,0.204058,-0.195431,6.150865
0.010000,4.665491,3.156735,4.130048,3.137889,0.202011,-0.204715,6.145985
0.010000,4.696584,3.152364,4.161447,3.139890,0.200150,-0.186051,6.141035
0.010000,4.727675,3.147835,4.192866,3.141870,0.198009,-0.214108,6.136014
0.010000,4.758761,3.143146,4.224304,3.143828,0.195765,-0.224380,6.130924
0.010000,4.789842,3.138295,4.255762,3.145760,0.193169,-0.259605,6.125766
0.010000,4.820917,3.133279,4.287239,3.147666,0.190681,-0.248880,6.120540
0.010000,4.851983,3.128097,4.318734,3.149550,0.188332,-0.234897,6.115247
0.010000,4.883040,3.122746,4.350248,3.151406,0.185662,-0.266974,6.109889
0.010000,4.912013,3.117600,4.379675,2.942733,-20.867296,-2105.295839,6.105878
0.010000,4.935516,3.113656,4.403507,2.383156,-55.957728,-3509.043122,6.127706
0.010000,4.959493,3.110152,4.427738,2.423139,3.998262,5995.598924,6.148119
0.010000,4.983931,3.107070,4.452369,2.463092,3.995300,-0.296178,6.167118
0.010000,5.008815,3.104394,4.477397,2.502790,3.969809,-2.549092,6.184713
0.010000,5.034132,3.102104,4.502818,2.542056,3.926663,-4.314547,6.200918
0.010000,5.059868,3.100177,4.528625,2.580765,3.870890,-5.577340,6.215753
0.010000,5.086008,3.098592,4.554814,2.618839,3.807359,-6.353108,6.229241
0.010000,5.112540,3.097324,4.581376,2.656223,3.738359,-6.899941,6.241407
0.010000,5.139451,3.096349,4.608305,2.692908,3.668595,-6.976478,6.252274
0.010000,5.166731,3.095640,4.635594,2.728908,3.599969,-6.862618,6.261867
0.010000,5.194370,3.095169,4.663237,2.764253,3.534449,-6.551960,6.270210
0.010000,5.222359,3.094908,4.691227,2.798993,3.474001,-6.044775,6.277323
0.010000,5.250690,3.094829,4.719559,2.833191,3.419881,-5.411981,0.000041
0.010000,5.279360,3.094900,4.748228,2.866927,3.373582,-4.629957,0.004750
0.010000,5.308362,3.095092,4.777231,2.900282,3.335482,-3.809936,0.008279
0.010000,5.337694,3.095373,4.806564,2.933345,3.306303,-2.917950,0.010638
0.010000,5.367354,3.095709,4.836226,2.966210,3.286508,-1.979457,0.011833
0.010000,5.397342,3.096067,4.866216,2.998974,3.276372,-1.013668,0.011870
0.010000,5.427657,3.096413,4.896533,3.031734,3.276026,-0.034536,0.010747
0.010000,5.458301,3.096710,4.927179,3.064589,3.285474,0.944790,0.008461
0.010000,5.489277,3.096922,4.958156,3.097635,3.304586,1.911153,0.005006
0.010000,5.520587,3.097009,4.989465,3.130966,3.333092,2.850595,0.000371
0.010000,5.552233,3.096931,5.021112,3.164671,3.370567,3.747565,6.277728
0.010000,5.584220,3.096647,5.053100,3.198836,3.416476,4.590913,6.270692
0.010000,5.616551,3.096113,5.085436,3.233537,3.470129,5.365269,6.262427
0.010000,5.649229,3.095282,5.118124,3.268836,3.529838,5.970922,6.252913
0.010000,5.682256,3.094107,5.151172,3.304784,3.594854,6.501597,6.242126
0.010000,5.715633,3.092537,5.184586,3.341417,3.663281,6.842714,6.230043
0.010000,5.749361,3.090519,5.218374,3.378755,3.733823,7.054155,6.216638
0.010000,5.783435,3.087999,5.252541,3.416773,3.801729,6.790604,6.201888
0.010000,5.817852,3.084919,5.287096,3.455432,3.865903,6.417408,6.185770
0.010000,5.852602,3.081219,5.322042,3.494659,3.922757,5.685350,6.168263
0.010000,5.887673,3.076838,5.357385,3.534316,3.965680,4.292305,6.149352
0.010000,5.923046,3.071713,5.393128,3.574251,3.993477,2.779698,6.129028
0.010000,5.958698,3.065779,5.429270,3.614220,3.996958,0.348178,6.107289
0.010000,5.994598,3.058972,5.465810,3.653958,3.973735,-2.322365,6.084143
0.010000,6.030708,3.051230,5.502741,3.693115,3.915743,-5.799151,6.059611
0.010000,6.066983,3.042490,5.540054,3.731298,3.818273,-9.746985,6.033728
0.010000,6.103368,3.032695,5.577734,3.768054,3.675638,-14.263593,6.006543
0.010000,6.139801,3.021792,5.615763,3.802893,3.483869,-19.176856,5.978125
0.010000,6.176209,3.009736,5.654116,3.835287,3.239394,-24.447466,5.948560
0.010000,6.212515,2.996489,5.692763,3.864707,2.942000,-29.739422,5.917954
0.010000,6.248633,2.982024,5.731670,3.890633,2.592639,-34.936143,5.886429
0.010000,6.284471,2.966325,5.770796,3.912593,2.195955,-39.668326,5.854128
0.010000,6.319937,2.949390,5.810097,3.930154,1.756114,-43.984145,5.821204
0.010000,6.354936,2.931230,5.849527,3.943032,1.287820,-46.829383,5.787825
0.010000,6.389376,2.911867,5.889037,3.951007,0.797429,-49.039128,5.754163
0.010000,6.423169,2.891338,5.928578,3.954010,0.300322,-49.710650,5.720395
0.010000,6.456235,2.869691,5.968099,3.952099,-0.191118,-49.144069,5.686695
0.010000,6.488500,2.846984,6.007553,3.945444,-0.665448,-47.432976,5.653230
0.010000,6.519904,2.823283,6.046897,3.934395,-1.104916,-43.946782,5.620156
0.010000,6.550396,2.798658,6.086090,3.919334,-1.506058,-40.114211,5.587616
0.010000,6.579938,2.773186,6.125098,3.900749,-1.858580,-35.252185,5.555734
0.010000,6.608504,2.746942,6.163889,3.879104,-2.164474,-30.589415,5.524617
0.010000,6.636078,2.720002,6.202439,3.855038,-2.406549,-24.207494,5.494353
0.010000,6.662657,2.692439,6.240729,3.828989,-2.604959,-19.841035,5.465011
0.010000,6.688245,2.664325,6.278744,3.801530,-2.745840,-14.088084,5.436641
0.010000,6.712853,2.635723,6.316475,3.773110,-2.841997,-9.615646,5.409278
0.010000,6.735211,2.608321,6.351841,3.536566,-23.654465,-2081.246836,5.384483
0.010000,6.754081,2.584493,6.382236,3.039490,-49.707549,-2605.308405,5.379930
