dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.524672,2.959452,0.000028,0.005556,0.555556,55.555556,6.227536
0.010000,0.524672,2.959452,0.000139,0.016667,1.111111,55.555556,6.227549
0.010000,0.524672,2.959452,0.000389,0.033333,1.666667,55.555556,6.227579
0.010000,0.524672,2.959452,0.000806,0.050000,1.666667,0.000000,6.227629
0.010000,0.524766,2.959447,0.001389,0.066667,1.666667,-0.000000,6.227698
0.010000,0.525515,2.959405,0.002139,0.083333,1.666667,0.000000,6.227787
0.010000,0.526430,2.959354,0.003056,0.100000,1.666667,0.000000,6.227896
0.010000,0.527512,2.959294,0.004139,0.116667,1.666667,-0.000000,6.228024
0.010000,0.528760,2.959226,0.005389,0.133333,1.666667,0.000000,6.228172
0.010000,0.530175,2.959148,0.006806,0.150000,1.666667,0.000000,6.228339
0.010000,0.531756,2.959061,0.008389,0.166667,1.666667,0.000000,6.228526
0.010000,0.533503,2.958966,0.010139,0.183333,1.666667,0.000000,6.228731
0.010000,0.535417,2.958862,0.012056,0.200000,1.666667,-0.000000,6.228956
0.010000,0.537497,2.958749,0.014139,0.216667,1.666667,0.000000,6.229200
0.010000,0.539744,2.958628,0.016389,0.233333,1.666667,0.000000,6.229463
0.010000,0.542157,2.958498,0.018806,0.250000,1.666667,0.000000,6.229744
0.010000,0.544737,2.958361,0.021389,0.266667,1.666667,0.000000,6.230044
0.010000,0.547483,2.958215,0.024139,0.283333,1.666667,0.000000,6.230362
0.010000,0.550395,2.958062,0.027056,0.300000,1.666667,0.000000,6.230699
0.010000,0.553475,2.957901,0.030139,0.316667,1.666667,0.000000,6.231053
0.010000,0.556720,2.957732,0.033389,0.333333,1.666667,-0.000000,6.231425
0.010000,0.560132,2.957556,0.036806,0.350000,1.666667,0.000000,6.231814
0.010000,0.563711,2.957372,0.040389,0.366667,1.666667,-0.000000,6.232220
0.010000,0.567456,2.957182,0.044139,0.383333,1.666667,-0.000000,6.232644
0.010000,0.571368,2.956985,0.048056,0.400000,1.666667,0.000000,6.233084
0.010000,0.575446,2.956782,0.052139,0.416667,1.666667,-0.000000,6.233541
0.010000,0.579691,2.956572,0.056389,0.433333,1.666667,0.000000,6.234014
0.010000,0.584102,2.956356,0.060806,0.450000,1.666667,-0.000000,6.234502
0.010000,0.588680,2.956134,0.065389,0.466667,1.666667,0.000000,6.235006
0.010000,0.593425,2.955906,0.070139,0.483333,1.666667,-0.000000,6.235525
0.010000,0.598336,2.955673,0.075056,0.500000,1.666667,0.000000,6.236060
0.010000,0.603414,2.955435,0.080139,0.516667,1.666667,-0.000000,6.236608
0.010000,0.608658,2.955192,0.085389,0.533333,1.666667,0.000000,6.237171
0.010000,0.614069,2.954945,0.090806,0.550000,1.666667,0.000000,6.237747
0.010000,0.619647,2.954693,0.096389,0.566667,1.666667,-0.000000,6.238337
0.010000,0.625391,2.954437,0.102139,0.583333,1.666667,0.000000,6.238940
0.010000,0.631302,2.954177,0.108056,0.600000,1.666667,-0.000000,6.239555
0.010000,0.637380,2.953913,0.114139,0.616667,1.666667,0.000000,6.240183
0.010000,0.643624,2.953647,0.120389,0.633333,1.666667,0.000000,6.240822
0.010000,0.650035,2.953377,0.126806,0.650000,1.666667,-0.000000,6.241473
0.010000,0.656613,2.953105,0.133389,0.666667,1.666667,0.000000,6.242134
0.010000,0.663357,2.952830,0.140139,0.683333,1.666667,0.000000,6.242806
0.010000,0.670268,2.952553,0.147056,0.700000,1.666667,0.000000,6.243487
0.010000,0.677346,2.952274,0.154139,0.716667,1.666667,-0.000000,6.244178
0.010000,0.684591,2.951994,0.161389,0.733333,1.666667,0.000000,6.244878
0.010000,0.692002,2.951713,0.168806,0.750000,1.666667,-0.000000,6.245586
0.010000,0.699580,2.951430,0.176389,0.766667,1.666667,0.000000,6.246302
0.010000,0.707325,2.951147,0.184139,0.783333,1.666667,0.000000,6.247025
0.010000,0.715236,2.950864,0.192056,0.800000,1.666667,-0.000000,6.247755
0.010000,0.723315,2.950581,0.200139,0.816667,1.666667,0.000000,6.248491
0.010000,0.731560,2.950298,0.208389,0.833333,1.666667,0.000000,6.249232
0.010000,0.739972,2.950015,0.216806,0.850000,1.666667,0.000000,6.249978
0.010000,0.748551,2.949733,0.225389,0.866667,1.666667,-0.000000,6.250729
0.010000,0.757296,2.949453,0.234139,0.883333,1.666667,0.000000,6.251484
0.010000,0.766208,2.949173,0.243056,0.900000,1.666667,0.000000,6.252241
0.010000,0.775287,2.948896,0.252139,0.916667,1.666667,0.000000,6.253002
0.010000,0.784533,2.948620,0.261389,0.933333,1.666667,0.000000,6.253764
0.010000,0.793946,2.948347,0.270806,0.950000,1.666667,-0.000000,6.254527
0.010000,0.803526,2.948076,0.280389,0.966667,1.666667,0.000000,6.255290
0.010000,0.813272,2.947808,0.290139,0.983333,1.666667,-0.000000,6.256054
0.010000,0.823185,2.947543,0.300056,1.000000,1.666667,0.000000,6.256816
0.010000,0.833265,2.947280,0.310139,1.016667,1.666667,-0.000000,6.257577
0.010000,0.843512,2.947022,0.320389,1.033333,1.666667,0.000000,6.258336
0.010000,0.853925,2.946767,0.330806,1.050000,1.666667,0.000000,6.259091
0.010000,0.864506,2.946516,0.341389,1.066667,1.666667,-0.000000,6.259843
0.010000,0.875253,2.946269,0.352139,1.083333,1.666667,0.000000,6.260590
0.010000,0.886167,2.946027,0.363056,1.100000,1.666667,-0.000000,6.261332
0.010000,0.897247,2.945789,0.374139,1.116667,1.666667,0.000000,6.262067
0.010000,0.908495,2.945555,0.385389,1.133333,1.666667,0.000000,6.262796
0.010000,0.919909,2.945326,0.396806,1.150000,1.666667,0.000000,6.263517
0.010000,0.931491,2.945103,0.408389,1.166667,1.666667,-0.000000,6.264229
0.010000,0.943239,2.944884,0.420139,1.183333,1.666667,0.000000,6.264932
0.010000,0.955153,2.944671,0.432056,1.200000,1.666667,0.000000,6.265625
0.010000,0.967235,2.944463,0.444139,1.216667,1.666667,0.000000,6.266306
0.010000,0.979483,2.944260,0.456389,1.233333,1.666667,-0.000000,6.266976
0.010000,0.991898,2.944063,0.468806,1.250000,1.666667,0.000000,6.267633
0.010000,1.004480,2.943871,0.481389,1.266667,1.666667,0.000000,6.268276
0.010000,1.017229,2.943685,0.494139,1.283333,1.666667,-0.000000,6.268905
0.010000,1.030144,2.943505,0.507056,1.300000,1.666667,0.000000,6.269518
0.010000,1.043226,2.943330,0.520139,1.316667,1.666667,-0.000000,6.270114
0.010000,1.056475,2.943161,0.533389,1.333333,1.666667,0.000000,6.270693
0.010000,1.069891,2.942997,0.546806,1.350000,1.666667,0.000000,6.271254
0.010000,1.083473,2.942838,0.560389,1.366667,1.666667,-0.000000,6.271796
0.010000,1.097222,2.942685,0.574139,1.383333,1.666667,0.000000,6.272317
0.010000,1.111138,2.942538,0.588056,1.400000,1.666667,0.000000,6.272817
0.010000,1.125221,2.942395,0.602139,1.416667,1.666667,-0.000000,6.273295
0.010000,1.139470,2.942257,0.616389,1.433333,1.666667,0.000000,6.273749
0.010000,1.153886,2.942125,0.630806,1.450000,1.666667,-0.000000,6.274179
0.010000,1.168469,2.941996,0.645389,1.466667,1.666667,0.000000,6.274584
0.010000,1.183219,2.941872,0.660139,1.483333,1.666667,-0.000000,6.274962
0.010000,1.198135,2.941752,0.675056,1.500000,1.666667,0.000000,6.275313
0.010000,1.213218,2.941636,0.690139,1.516667,1.666667,0.000000,6.275636
0.010000,1.228467,2.941523,0.705389,1.533333,1.666667,0.000000,6.275929
0.010000,1.243884,2.941413,0.720806,1.550000,1.666667,0.000000,6.276191
0.010000,1.259467,2.941306,0.736389,1.566667,1.666667,0.000000,6.276422
0.010000,1.275216,2.941201,0.752139,1.583333,1.666667,-0.000000,6.276619
0.010000,1.291132,2.941098,0.768056,1.600000,1.666667,0.000000,6.276783
0.010000,1.307216,2.940996,0.784139,1.616667,1.666667,-0.000000,6.276912
0.010000,1.323465,2.940895,0.800389,1.633333,1.666667,0.000000,6.277004
0.010000,1.339882,2.940794,0.816806,1.650000,1.666667,0.000000,6.277059
0.010000,1.356465,2.940693,0.833389,1.666667,1.666667,-0.000000,6.277075
0.010000,1.373214,2.940590,0.850139,1.683333,1.666667,0.000000,6.277051
0.010000,1.390131,2.940486,0.867056,1.700000,1.666667,0.000000,6.276987
0.010000,1.407214,2.940379,0.884139,1.716667,1.666667,-0.000000,6.276880
0.010000,1.424463,2.940269,0.901389,1.733333,1.666667,0.000000,6.276729
0.010000,1.441880,2.940155,0.918806,1.750000,1.666667,-0.000000,6.276534
0.010000,1.459462,2.940036,0.936389,1.766667,1.666667,0.000000,6.276293
0.010000,1.477212,2.939911,0.954139,1.783333,1.666667,0.000000,6.276005
0.010000,1.495128,2.939780,0.972056,1.800000,1.666667,-0.000000,6.275669
0.010000,1.513211,2.939640,0.990139,1.816667,1.666667,0.000000,6.275282
0.010000,1.531460,2.939492,1.008389,1.833333,1.666667,-0.000000,6.274845
0.010000,1.549876,2.939334,1.026806,1.850000,1.666667,0.000000,6.274355
0.010000,1.568459,2.939165,1.045389,1.866667,1.666667,-0.000000,6.273812
0.010000,1.587208,2.938984,1.064139,1.883333,1.666667,0.000000,6.273213
0.010000,1.606124,2.938789,1.083056,1.900000,1.666667,0.000000,6.272558
0.010000,1.625206,2.938579,1.102139,1.916667,1.666667,0.000000,6.271846
0.010000,1.644455,2.938354,1.121389,1.933333,1.666667,-0.000000,6.271074
0.010000,1.663870,2.938111,1.140806,1.950000,1.666667,0.000000,6.270242
0.010000,1.683451,2.937849,1.160389,1.966667,1.666667,-0.000000,6.269348
0.010000,1.703199,2.937566,1.180139,1.983333,1.666667,0.000000,6.268391
0.010000,1.723114,2.937261,1.200056,2.000000,1.666667,-0.000000,6.267369
0.010000,1.743194,2.936933,1.220139,2.016667,1.666667,0.000000,6.266281
0.010000,1.763441,2.936579,1.240389,2.033333,1.666667,0.000000,6.265125
0.010000,1.783854,2.936198,1.260806,2.050000,1.666667,0.000000,6.263901
0.010000,1.804434,2.935788,1.281389,2.066667,1.666667,0.000000,6.262606
0.010000,1.822135,2.935414,1.302139,2.083333,1.666667,0.000000,6.262007
0.010000,1.843048,2.934989,1.323056,2.100000,1.666667,-0.000000,6.263736
0.010000,1.864127,2.934597,1.344139,2.116667,1.666667,0.000000,6.265440
0.010000,1.885374,2.934238,1.365389,2.133333,1.666667,0.000000,6.267116
0.010000,1.906789,2.933912,1.386806,2.150000,1.666667,0.000000,6.268765
0.010000,1.928370,2.933618,1.408389,2.166667,1.666667,0.000000,6.270386
0.010000,1.950118,2.933357,1.430139,2.183333,1.666667,-0.000000,6.271976
0.010000,1.972034,2.933129,1.452056,2.200000,1.666667,0.000000,6.273536
0.010000,1.994116,2.932932,1.474139,2.216667,1.666667,-0.000000,6.275064
0.010000,2.016366,2.932768,1.496389,2.233333,1.666667,0.000000,6.276560
0.010000,2.038782,2.932636,1.518806,2.250000,1.666667,0.000000,6.278023
0.010000,2.061365,2.932536,1.541389,2.266667,1.666667,0.000000,6.279450
0.010000,2.084115,2.932467,1.564139,2.283333,1.666667,0.000000,6.280842
0.010000,2.107032,2.932429,1.587056,2.300000,1.666667,0.000000,6.282198
0.010000,2.130115,2.932421,1.610139,2.316667,1.666667,-0.000000,0.000331
0.010000,2.153365,2.932444,1.633389,2.333333,1.666667,0.000000,0.001610
0.010000,2.176781,2.932496,1.656806,2.350000,1.666667,-0.000000,0.002850
0.010000,2.200365,2.932578,1.680389,2.366667,1.666667,0.000000,0.004049
0.010000,2.224114,2.932688,1.704139,2.383333,1.666667,-0.000000,0.005206
0.010000,2.248031,2.932826,1.728056,2.400000,1.666667,0.000000,0.006321
0.010000,2.272113,2.932991,1.752139,2.416667,1.666667,0.000000,0.007392
0.010000,2.296363,2.933183,1.776389,2.433333,1.666667,0.000000,0.008418
0.010000,2.320778,2.933400,1.800806,2.450000,1.666667,-0.000000,0.009398
0.010000,2.345360,2.933643,1.825389,2.466667,1.666667,0.000000,0.010331
0.010000,2.370109,2.933910,1.850139,2.483333,1.666667,0.000000,0.011216
0.010000,2.394996,2.934199,1.875028,2.494444,1.111111,-55.555556,0.012051
0.010000,2.419967,2.934510,1.900000,2.500000,0.555556,-55.555556,0.012834
0.010000,2.444964,2.934840,1.925000,2.500000,0.000000,-55.555556,0.013562
0.010000,2.469962,2.935188,1.950000,2.500000,0.000000,0.000000,0.014234
0.010000,2.494959,2.935551,1.975000,2.500000,0.000000,0.000000,0.014850
0.010000,2.519956,2.935930,2.000000,2.500000,0.000000,0.000000,0.015411
