dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.508955,2.677314,0.000028,0.005556,0.555556,55.555556,6.227536
0.010000,0.508959,2.677314,0.000032,0.000373,-0.518223,-107.377852,6.227549
0.010000,0.508967,2.677313,0.000040,0.000840,0.046648,56.487061,6.227579
0.010000,0.508981,2.677313,0.000054,0.001399,0.055931,0.928352,6.227629
0.010000,0.509095,2.677306,0.000168,0.011364,0.996524,94.059276,6.227698
0.010000,0.509869,2.677263,0.000943,0.077515,6.615061,561.853715,6.227787
0.010000,0.510815,2.677211,0.001890,0.094737,1.722242,-489.281866,6.227896
0.010000,0.511933,2.677149,0.003010,0.111958,1.722062,-0.017993,6.228024
0.010000,0.513222,2.677078,0.004301,0.129177,1.721851,-0.021160,6.228172
0.010000,0.514684,2.676998,0.005765,0.146393,1.721602,-0.024872,6.228339
0.010000,0.516318,2.676908,0.007401,0.163606,1.721316,-0.028575,6.228526
0.010000,0.518123,2.676810,0.009210,0.180816,1.720994,-0.032269,6.228731
0.010000,0.520101,2.676702,0.011190,0.198022,1.720657,-0.033693,6.228956
0.010000,0.522250,2.676586,0.013342,0.215225,1.720259,-0.039752,6.229200
0.010000,0.524571,2.676461,0.015666,0.232423,1.719861,-0.039839,6.229463
0.010000,0.527063,2.676327,0.018162,0.249617,1.719396,-0.046508,6.229744
0.010000,0.529727,2.676185,0.020830,0.266807,1.718916,-0.047975,6.230044
0.010000,0.532563,2.676034,0.023670,0.283991,1.718399,-0.051684,6.230362
0.010000,0.535571,2.675876,0.026682,0.301169,1.717845,-0.055374,6.230699
0.010000,0.538750,2.675709,0.029866,0.318342,1.717274,-0.057189,6.231053
0.010000,0.542100,2.675535,0.033221,0.335508,1.716643,-0.063065,6.231425
0.010000,0.545622,2.675353,0.036747,0.352668,1.716000,-0.064293,6.231814
0.010000,0.549316,2.675164,0.040445,0.369821,1.715306,-0.069388,6.232220
0.010000,0.553181,2.674968,0.044315,0.386967,1.714593,-0.071273,6.232644
0.010000,0.557216,2.674765,0.048356,0.404106,1.713843,-0.074990,6.233084
0.010000,0.561424,2.674555,0.052569,0.421236,1.713057,-0.078681,6.233541
0.010000,0.565802,2.674338,0.056952,0.438358,1.712233,-0.082347,6.234014
0.010000,0.570351,2.674115,0.061507,0.455472,1.711373,-0.085987,6.234502
0.010000,0.575071,2.673887,0.066233,0.472577,1.710506,-0.086743,6.235006
0.010000,0.579962,2.673652,0.071129,0.489673,1.709563,-0.094289,6.235525
0.010000,0.585024,2.673412,0.076197,0.506759,1.708617,-0.094637,6.236060
0.010000,0.590257,2.673167,0.081435,0.523835,1.707633,-0.098398,6.236608
0.010000,0.595660,2.672916,0.086844,0.540901,1.706602,-0.103102,6.237171
0.010000,0.601234,2.672661,0.092424,0.557957,1.705551,-0.105096,6.237747
0.010000,0.606978,2.672402,0.098174,0.575001,1.704457,-0.109337,6.238337
0.010000,0.612893,2.672138,0.104094,0.592035,1.703324,-0.113288,6.238940
0.010000,0.618977,2.671871,0.110185,0.609057,1.702179,-0.114525,6.239555
0.010000,0.625232,2.671600,0.116445,0.626066,1.700973,-0.120653,6.240183
0.010000,0.631657,2.671325,0.122876,0.643064,1.699751,-0.122181,6.240822
0.010000,0.638251,2.671048,0.129477,0.660049,1.698494,-0.125727,6.241473
0.010000,0.645016,2.670768,0.136247,0.677021,1.697193,-0.130032,6.242134
0.010000,0.651950,2.670485,0.143187,0.693979,1.695867,-0.132596,6.242806
0.010000,0.659053,2.670201,0.150296,0.710924,1.694498,-0.136882,6.243487
0.010000,0.666326,2.669914,0.157574,0.727855,1.693099,-0.139984,6.244178
0.010000,0.673769,2.669627,0.165022,0.744772,1.691676,-0.142282,6.244878
0.010000,0.681380,2.669338,0.172639,0.761674,1.690202,-0.147412,6.245586
0.010000,0.689160,2.669048,0.180424,0.778561,1.688702,-0.149932,6.246302
0.010000,0.697109,2.668757,0.188379,0.795433,1.687169,-0.153299,6.247025
0.010000,0.705227,2.668466,0.196502,0.812289,1.685601,-0.156879,6.247755
0.010000,0.713513,2.668176,0.204793,0.829129,1.683996,-0.160420,6.248491
0.010000,0.721967,2.667886,0.213253,0.845952,1.682357,-0.163925,6.249232
0.010000,0.730590,2.667596,0.221880,0.862759,1.680694,-0.166285,6.249978
0.010000,0.739381,2.667307,0.230676,0.879549,1.678979,-0.171519,6.250729
0.010000,0.748339,2.667020,0.239639,0.896321,1.677245,-0.173371,6.251484
0.010000,0.757466,2.666734,0.248770,0.913076,1.675471,-0.177395,6.252241
0.010000,0.766760,2.666450,0.258068,0.929813,1.673662,-0.180912,6.253002
0.010000,0.776221,2.666168,0.267533,0.946531,1.671821,-0.184142,6.253764
0.010000,0.785849,2.665888,0.277165,0.963231,1.669948,-0.187289,6.254527
0.010000,0.795644,2.665611,0.286964,0.979911,1.668036,-0.191185,6.255290
0.010000,0.805606,2.665337,0.296930,0.996572,1.666093,-0.194365,6.256054
0.010000,0.815735,2.665066,0.307062,1.013213,1.664117,-0.197571,6.256816
0.010000,0.826029,2.664798,0.317361,1.029834,1.662106,-0.201125,6.257577
0.010000,0.836490,2.664534,0.327825,1.046435,1.660060,-0.204576,6.258336
