dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.447411,5.539137,0.000028,0.005556,0.555556,55.555556,0.017839
0.010000,0.447408,5.539137,0.000031,0.000276,-0.527978,-108.353393,0.017849
0.010000,0.447402,5.539137,0.000037,0.000620,0.034469,56.244714,0.017871
0.010000,0.447392,5.539137,0.000047,0.001034,0.041356,0.688685,0.017907
0.010000,0.447377,5.539136,0.000062,0.001447,0.041343,-0.001253,0.017959
0.010000,0.447717,5.539143,0.000402,0.034032,3.258496,321.715285,0.018024
0.010000,0.448611,5.539159,0.001296,0.089393,5.536056,227.755966,0.018105
0.010000,0.449668,5.539178,0.002352,0.105647,1.625387,-391.066846,0.018200
0.010000,0.450886,5.539200,0.003571,0.121901,1.625403,0.001539,0.018310
0.010000,0.452268,5.539226,0.004953,0.138156,1.625486,0.008350,0.018434
0.010000,0.453812,5.539254,0.006497,0.154411,1.625494,0.000827,0.018573
0.010000,0.455518,5.539286,0.008204,0.170666,1.625542,0.004722,0.018726
0.010000,0.457387,5.539321,0.010073,0.186922,1.625594,0.005235,0.018894
0.010000,0.459418,5.539360,0.012105,0.203178,1.625646,0.005260,0.019076
0.010000,0.461612,5.539402,0.014299,0.219436,1.625736,0.008967,0.019273
0.010000,0.463969,5.539447,0.016656,0.235694,1.625779,0.004285,0.019485
0.010000,0.466488,5.539497,0.019175,0.251952,1.625826,0.004672,0.019711
0.010000,0.469169,5.539550,0.021858,0.268212,1.625969,0.014359,0.019951
0.010000,0.472013,5.539607,0.024702,0.284471,1.625983,0.001348,0.020205
0.010000,0.475020,5.539668,0.027710,0.300732,1.626095,0.011263,0.020474
0.010000,0.478189,5.539734,0.030880,0.316994,1.626207,0.011113,0.020758
0.010000,0.481521,5.539803,0.034212,0.333257,1.626276,0.006980,0.021055
0.010000,0.485016,5.539877,0.037707,0.349521,1.626381,0.010511,0.021367
0.010000,0.488673,5.539956,0.041365,0.365786,1.626487,0.010560,0.021693
0.010000,0.492492,5.540040,0.045186,0.382052,1.626594,0.010649,0.022033
0.010000,0.496475,5.540128,0.049169,0.398319,1.626749,0.015567,0.022388
0.010000,0.500619,5.540222,0.053315,0.414588,1.626823,0.007399,0.022756
0.010000,0.504927,5.540321,0.057623,0.430857,1.626959,0.013619,0.023139
0.010000,0.509397,5.540425,0.062095,0.447128,1.627109,0.014915,0.023535
0.010000,0.514030,5.540535,0.066729,0.463401,1.627234,0.012579,0.023946
0.010000,0.518825,5.540651,0.071525,0.479674,1.627364,0.012993,0.024370
0.010000,0.523783,5.540773,0.076485,0.495949,1.627522,0.015779,0.024809
0.010000,0.528904,5.540901,0.081607,0.512226,1.627683,0.016104,0.025261
0.010000,0.534187,5.541036,0.086892,0.528505,1.627834,0.015138,0.025726
0.010000,0.539633,5.541177,0.092340,0.544785,1.628003,0.016814,0.026206
0.010000,0.545242,5.541325,0.097951,0.561066,1.628162,0.015889,0.026699
0.010000,0.551013,5.541481,0.103724,0.577349,1.628324,0.016295,0.027206
0.010000,0.556947,5.541644,0.109661,0.593635,1.628511,0.018624,0.027726
0.010000,0.563044,5.541815,0.115760,0.609922,1.628710,0.019942,0.028259
0.010000,0.569303,5.541993,0.122022,0.626210,1.628875,0.016531,0.028806
0.010000,0.575726,5.542180,0.128447,0.642501,1.629070,0.019439,0.029367
0.010000,0.582311,5.542376,0.135035,0.658794,1.629301,0.023120,0.029940
0.010000,0.589059,5.542580,0.141786,0.675089,1.629475,0.017443,0.030527
0.010000,0.595969,5.542793,0.148700,0.691386,1.629690,0.021456,0.031127
0.010000,0.603043,5.543015,0.155776,0.707685,1.629906,0.021605,0.031739
0.010000,0.610279,5.543247,0.163016,0.723986,1.630124,0.021781,0.032365
0.010000,0.617678,5.543489,0.170419,0.740290,1.630363,0.023897,0.033004
0.010000,0.625239,5.543741,0.177985,0.756596,1.630594,0.023089,0.033655
0.010000,0.632964,5.544004,0.185714,0.772904,1.630801,0.020768,0.034319
0.010000,0.640851,5.544277,0.193606,0.789215,1.631092,0.029088,0.034996
0.010000,0.648902,5.544562,0.201662,0.805528,1.631292,0.019963,0.035685
0.010000,0.657115,5.544858,0.209880,0.821843,1.631575,0.028290,0.036386
0.010000,0.665491,5.545166,0.218262,0.838162,1.631832,0.025729,0.037100
0.010000,0.674029,5.545486,0.226806,0.854482,1.632085,0.025337,0.037826
0.010000,0.682731,5.545819,0.235514,0.870806,1.632358,0.027277,0.038564
0.010000,0.691596,5.546164,0.244386,0.887132,1.632633,0.027509,0.039315
0.010000,0.700623,5.546522,0.253420,0.903461,1.632911,0.027771,0.040077
0.010000,0.709814,5.546895,0.262618,0.919794,1.633219,0.030775,0.040851
0.010000,0.719167,5.547281,0.271980,0.936129,1.633490,0.027166,0.041637
0.010000,0.728683,5.547681,0.281504,0.952466,1.633784,0.029366,0.042434
0.010000,0.738362,5.548096,0.291192,0.968808,1.634109,0.032516,0.043243
