dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.452452,5.256607,0.000028,0.005556,0.555556,55.555556,6.276598
0.010000,0.452452,5.256607,0.000139,0.016667,1.111111,55.555556,6.276604
0.010000,0.452452,5.256607,0.000389,0.033333,1.666667,55.555556,6.276618
0.010000,0.452452,5.256607,0.000806,0.050000,1.666667,0.000000,6.276641
0.010000,0.452452,5.256607,0.001389,0.066667,1.666667,-0.000000,6.276673
0.010000,0.452807,5.256605,0.002139,0.083333,1.666667,0.000000,6.276714
0.010000,0.453724,5.256599,0.003056,0.100000,1.666667,0.000000,6.276764
0.010000,0.454807,5.256592,0.004139,0.116667,1.666667,-0.000000,6.276824
0.010000,0.456057,5.256584,0.005389,0.133333,1.666667,0.000000,6.276892
0.010000,0.457474,5.256575,0.006806,0.150000,1.666667,0.000000,6.276970
0.010000,0.459057,5.256565,0.008389,0.166667,1.666667,0.000000,6.277058
0.010000,0.460807,5.256555,0.010139,0.183333,1.666667,0.000000,6.277155
0.010000,0.462724,5.256543,0.012056,0.200000,1.666667,-0.000000,6.277261
0.010000,0.464807,5.256531,0.014139,0.216667,1.666667,0.000000,6.277377
0.010000,0.467057,5.256518,0.016389,0.233333,1.666667,0.000000,6.277503
0.010000,0.469473,5.256505,0.018806,0.250000,1.666667,0.000000,6.277638
0.010000,0.472057,5.256490,0.021389,0.266667,1.666667,0.000000,6.277783
0.010000,0.474807,5.256476,0.024139,0.283333,1.666667,0.000000,6.277938
0.010000,0.477723,5.256461,0.027056,0.300000,1.666667,0.000000,6.278104
0.010000,0.480807,5.256445,0.030139,0.316667,1.666667,0.000000,6.278279
0.010000,0.484057,5.256430,0.033389,0.333333,1.666667,-0.000000,6.278465
0.010000,0.487473,5.256414,0.036806,0.350000,1.666667,0.000000,6.278661
0.010000,0.491057,5.256398,0.040389,0.366667,1.666667,-0.000000,6.278868
0.010000,0.494806,5.256382,0.044139,0.383333,1.666667,-0.000000,6.279085
0.010000,0.498723,5.256367,0.048056,0.400000,1.666667,0.000000,6.279313
0.010000,0.502806,5.256351,0.052139,0.416667,1.666667,-0.000000,6.279553
0.010000,0.507056,5.256336,0.056389,0.433333,1.666667,0.000000,6.279803
0.010000,0.511473,5.256322,0.060806,0.450000,1.666667,-0.000000,6.280065
0.010000,0.516056,5.256308,0.065389,0.466667,1.666667,0.000000,6.280338
0.010000,0.520806,5.256295,0.070139,0.483333,1.666667,-0.000000,6.280623
0.010000,0.525723,5.256284,0.075056,0.500000,1.666667,0.000000,6.280920
0.010000,0.530806,5.256273,0.080139,0.516667,1.666667,-0.000000,6.281229
0.010000,0.536056,5.256263,0.085389,0.533333,1.666667,0.000000,6.281551
0.010000,0.541473,5.256256,0.090806,0.550000,1.666667,0.000000,6.281884
0.010000,0.547056,5.256249,0.096389,0.566667,1.666667,-0.000000,6.282231
0.010000,0.552806,5.256245,0.102139,0.583333,1.666667,0.000000,6.282591
0.010000,0.558723,5.256242,0.108056,0.600000,1.666667,-0.000000,6.282963
0.010000,0.564806,5.256242,0.114139,0.616667,1.666667,0.000000,0.000164
0.010000,0.571056,5.256244,0.120389,0.633333,1.666667,0.000000,0.000564
0.010000,0.577473,5.256249,0.126806,0.650000,1.666667,-0.000000,0.000977
0.010000,0.584056,5.256257,0.133389,0.666667,1.666667,0.000000,0.001405
0.010000,0.590806,5.256268,0.140139,0.683333,1.666667,0.000000,0.001848
0.010000,0.597723,5.256283,0.147056,0.700000,1.666667,0.000000,0.002304
0.010000,0.604806,5.256301,0.154139,0.716667,1.666667,-0.000000,0.002776
0.010000,0.612056,5.256322,0.161389,0.733333,1.666667,0.000000,0.003264
0.010000,0.619473,5.256349,0.168806,0.750000,1.666667,-0.000000,0.003766
0.010000,0.627056,5.256379,0.176389,0.766667,1.666667,0.000000,0.004285
0.010000,0.634806,5.256414,0.184139,0.783333,1.666667,0.000000,0.004820
0.010000,0.642723,5.256455,0.192056,0.800000,1.666667,-0.000000,0.005371
