dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.457492,4.974077,0.000028,0.005556,0.555556,55.555556,0.017839
0.010000,0.457495,4.974077,0.000031,0.000276,-0.527978,-108.353393,0.017849
0.010000,0.457501,4.974077,0.000037,0.000620,0.034469,56.244714,0.017871
0.010000,0.457512,4.974077,0.000047,0.001034,0.041356,0.688685,0.017907
0.010000,0.457526,4.974078,0.000062,0.001447,0.041343,-0.001253,0.017959
0.010000,0.457903,4.974084,0.000439,0.037754,3.630637,358.929415,0.018024
0.010000,0.458843,4.974101,0.001378,0.093940,5.618663,198.802576,0.018105
0.010000,0.459953,4.974121,0.002489,0.111020,1.707941,-391.072164,0.018200
0.010000,0.461233,4.974145,0.003770,0.128099,1.707892,-0.004908,0.018310
0.010000,0.462685,4.974172,0.005221,0.145178,1.707905,0.001243,0.018434
0.010000,0.464307,4.974202,0.006844,0.162256,1.707828,-0.007669,0.018573
0.010000,0.466100,4.974235,0.008637,0.179334,1.707782,-0.004585,0.018726
0.010000,0.468064,4.974272,0.010601,0.196411,1.707732,-0.005055,0.018894
0.010000,0.470199,4.974312,0.012736,0.213488,1.707671,-0.006039,0.019076
0.010000,0.472504,4.974357,0.015042,0.230564,1.707640,-0.003157,0.019273
0.010000,0.474980,4.974405,0.017518,0.247640,1.707549,-0.009090,0.019485
0.010000,0.477626,4.974457,0.020166,0.264714,1.707452,-0.009699,0.019711
0.010000,0.480444,4.974512,0.022983,0.281789,1.707446,-0.000539,0.019951
0.010000,0.483432,4.974572,0.025972,0.298862,1.707294,-0.015228,0.020205
0.010000,0.486590,4.974637,0.029131,0.315934,1.707236,-0.005833,0.020474
0.010000,0.489920,4.974705,0.032461,0.333006,1.707166,-0.007015,0.020758
0.010000,0.493420,4.974779,0.035962,0.350076,1.707042,-0.012382,0.021055
0.010000,0.497090,4.974856,0.039634,0.367146,1.706945,-0.009701,0.021367
0.010000,0.500932,4.974939,0.043476,0.384214,1.706838,-0.010680,0.021693
0.010000,0.504944,4.975027,0.047489,0.401281,1.706722,-0.011620,0.022033
0.010000,0.509126,4.975120,0.051672,0.418348,1.706647,-0.007491,0.022388
0.010000,0.513479,4.975218,0.056026,0.435412,1.706476,-0.017108,0.022756
0.010000,0.518003,4.975322,0.060551,0.452476,1.706360,-0.011617,0.023139
0.010000,0.522697,4.975431,0.065246,0.469539,1.706247,-0.011301,0.023535
0.010000,0.527561,4.975547,0.070112,0.486600,1.706099,-0.014801,0.023946
0.010000,0.532596,4.975669,0.075149,0.503659,1.705944,-0.015417,0.024370
0.010000,0.537802,4.975797,0.080356,0.520717,1.705809,-0.013545,0.024809
0.010000,0.543178,4.975931,0.085734,0.537774,1.705666,-0.014262,0.025261
0.010000,0.548725,4.976073,0.091282,0.554829,1.705503,-0.016336,0.025726
0.010000,0.554441,4.976221,0.097001,0.571882,1.705347,-0.015641,0.026206
0.010000,0.560329,4.976377,0.102890,0.588934,1.705170,-0.017679,0.026699
0.010000,0.566386,4.976540,0.108950,0.605984,1.704987,-0.018323,0.027206
0.010000,0.572614,4.976711,0.115180,0.623032,1.704817,-0.016953,0.027726
0.010000,0.579013,4.976890,0.121581,0.640078,1.704651,-0.016647,0.028259
0.010000,0.585581,4.977078,0.128152,0.657123,1.704437,-0.021308,0.028806
0.010000,0.592320,4.977274,0.134894,0.674165,1.704244,-0.019341,0.029367
0.010000,0.599229,4.977479,0.141806,0.691206,1.704078,-0.016568,0.029940
0.010000,0.606308,4.977693,0.148889,0.708244,1.703842,-0.023616,0.030527
0.010000,0.613558,4.977917,0.156141,0.725281,1.703637,-0.020502,0.031127
0.010000,0.620977,4.978150,0.163565,0.742315,1.703423,-0.021444,0.031739
0.010000,0.628567,4.978393,0.171158,0.759347,1.703199,-0.022363,0.032365
0.010000,0.636326,4.978647,0.178922,0.776377,1.702987,-0.021251,0.033004
0.010000,0.644256,4.978911,0.186856,0.793404,1.702755,-0.023209,0.033655
0.010000,0.652355,4.979187,0.194960,0.810429,1.702487,-0.026757,0.034319
0.010000,0.660625,4.979473,0.203235,0.827452,1.702295,-0.019151,0.034996
0.010000,0.669064,4.979772,0.211679,0.844472,1.701997,-0.029841,0.035685
0.010000,0.677674,4.980082,0.220294,0.861490,1.701775,-0.022235,0.036386
0.010000,0.686453,4.980405,0.229079,0.878505,1.701514,-0.026050,0.037100
0.010000,0.695402,4.980740,0.238035,0.895518,1.701238,-0.027593,0.037826
0.010000,0.704520,4.981089,0.247160,0.912527,1.700971,-0.026695,0.038564
0.010000,0.713809,4.981451,0.256455,0.929534,1.700695,-0.027592,0.039315
0.010000,0.723267,4.981826,0.265921,0.946538,1.700411,-0.028460,0.040077
0.010000,0.732894,4.982216,0.275556,0.963540,1.700146,-0.026459,0.040851
0.010000,0.742691,4.982620,0.285361,0.980538,1.699832,-0.031390,0.041637
0.010000,0.752658,4.983040,0.295337,0.997533,1.699530,-0.030237,0.042434
0.010000,0.762794,4.983474,0.305482,1.014526,1.699249,-0.028094,0.043243
0.010000,0.773099,4.983924,0.315797,1.031515,1.698922,-0.032671,0.044063
0.010000,0.783574,4.984390,0.326282,1.048501,1.698605,-0.031747,0.044895
0.010000,0.794218,4.984873,0.336937,1.065484,1.698291,-0.031332,0.045738
0.010000,0.805031,4.985373,0.347762,1.082464,1.697973,-0.031809,0.046592
0.010000,0.816013,4.985889,0.358756,1.099440,1.697629,-0.034450,0.047457
0.010000,0.827164,4.986424,0.369920,1.116413,1.697303,-0.032577,0.048333
0.010000,0.838485,4.986977,0.381254,1.133383,1.696951,-0.035198,0.049219
0.010000,0.849974,4.987548,0.392757,1.150349,1.696596,-0.035511,0.050116
0.010000,0.861632,4.988138,0.404431,1.167311,1.696245,-0.035074,0.051024
0.010000,0.873459,4.988747,0.416273,1.184270,1.695895,-0.035004,0.051942
0.010000,0.885455,4.989376,0.428285,1.201225,1.695514,-0.038081,0.052870
0.010000,0.897619,4.990026,0.440467,1.218177,1.695143,-0.037187,0.053808
0.010000,0.909952,4.990696,0.452818,1.235124,1.694782,-0.036025,0.054756
0.010000,0.922454,4.991387,0.465339,1.252068,1.694382,-0.040060,0.055714
0.010000,0.935124,4.992100,0.478029,1.269008,1.693994,-0.038728,0.056681
0.010000,0.947962,4.992835,0.490889,1.285944,1.693599,-0.039521,0.057658
0.010000,0.960969,4.993592,0.503917,1.302876,1.693196,-0.040278,0.058645
0.010000,0.974144,4.994372,0.517115,1.319804,1.692798,-0.039844,0.059641
0.010000,0.987487,4.995176,0.530483,1.336728,1.692379,-0.041891,0.060646
0.010000,1.000998,4.996003,0.544019,1.353647,1.691950,-0.042898,0.061659
0.010000,1.014677,4.996854,0.557725,1.370563,1.691548,-0.040176,0.062682
0.010000,1.028525,4.997731,0.571600,1.387474,1.691096,-0.045269,0.063713
0.010000,1.042539,4.998632,0.585643,1.404380,1.690667,-0.042835,0.064753
0.010000,1.056722,4.999559,0.599856,1.421283,1.690231,-0.043593,0.065801
0.010000,1.071072,5.000512,0.614238,1.438181,1.689775,-0.045602,0.066857
0.010000,1.085590,5.001492,0.628789,1.455074,1.689323,-0.045279,0.067922
0.010000,1.100275,5.002499,0.643508,1.471962,1.688863,-0.045984,0.068994
0.010000,1.115127,5.003534,0.658397,1.488846,1.688398,-0.046441,0.070074
0.010000,1.130147,5.004596,0.673454,1.505726,1.687931,-0.046752,0.071161
0.010000,1.145334,5.005687,0.688680,1.522600,1.687446,-0.048505,0.072256
0.010000,1.160688,5.006807,0.704075,1.539470,1.686967,-0.047838,0.073358
0.010000,1.176209,5.007956,0.719638,1.556335,1.686477,-0.049057,0.074466
0.010000,1.191897,5.009135,0.735370,1.573194,1.685985,-0.049188,0.075582
0.010000,1.207751,5.010345,0.751271,1.590049,1.685481,-0.050410,0.076705
0.010000,1.223772,5.011585,0.767340,1.606899,1.684976,-0.050455,0.077833
0.010000,1.239960,5.012857,0.783577,1.623744,1.684465,-0.051133,0.078969
0.010000,1.256313,5.014160,0.799983,1.640583,1.683947,-0.051773,0.080110
0.010000,1.272834,5.015496,0.816557,1.657417,1.683423,-0.052376,0.081257
0.010000,1.289520,5.016865,0.833299,1.674246,1.682894,-0.052942,0.082410
0.010000,1.306373,5.018267,0.850210,1.691070,1.682359,-0.053474,0.083569
0.010000,1.323391,5.019702,0.867289,1.707888,1.681819,-0.053983,0.084732
0.010000,1.340575,5.021172,0.884536,1.724701,1.681273,-0.054644,0.085901
0.010000,1.357925,5.022676,0.901951,1.741508,1.680721,-0.055217,0.087075
0.010000,1.375441,5.024216,0.919534,1.758310,1.680164,-0.055636,0.088254
0.010000,1.393122,5.025791,0.937285,1.775106,1.679602,-0.056293,0.089438
0.010000,1.410968,5.027402,0.955204,1.791896,1.679031,-0.057022,0.090625
0.010000,1.428980,5.029049,0.973291,1.808681,1.678459,-0.057253,0.091817
0.010000,1.447157,5.030734,0.991546,1.825459,1.677880,-0.057921,0.093013
0.010000,1.465498,5.032456,1.009968,1.842232,1.677292,-0.058774,0.094213
0.010000,1.484005,5.034216,1.028558,1.858999,1.676703,-0.058862,0.095416
0.010000,1.502676,5.036014,1.047316,1.875760,1.676110,-0.059363,0.096623
0.010000,1.521512,5.037852,1.066241,1.892515,1.675504,-0.060547,0.097832
0.010000,1.540512,5.039728,1.085333,1.909264,1.674901,-0.060344,0.099045
0.010000,1.559677,5.041644,1.104593,1.926007,1.674284,-0.061632,0.100260
0.010000,1.579005,5.043600,1.124021,1.942744,1.673672,-0.061186,0.101478
0.010000,1.598498,5.045597,1.143616,1.959475,1.673048,-0.062477,0.102698
0.010000,1.618155,5.047635,1.163378,1.976199,1.672418,-0.062988,0.103920
0.010000,1.637975,5.049715,1.183307,1.992917,1.671784,-0.063357,0.105144
0.010000,1.657959,5.051836,1.203403,2.009628,1.671145,-0.063908,0.106369
0.010000,1.678106,5.054000,1.223666,2.026333,1.670503,-0.064212,0.107596
0.010000,1.698417,5.056206,1.244097,2.043032,1.669857,-0.064594,0.108824
0.010000,1.718891,5.058456,1.264694,2.059724,1.669205,-0.065181,0.110053
0.010000,1.739528,5.060749,1.285458,2.076409,1.668533,-0.067264,0.111282
0.010000,1.760328,5.063086,1.306389,2.093088,1.667887,-0.064599,0.112512
0.010000,1.781291,5.065468,1.327487,2.109760,1.667204,-0.068221,0.113742
0.010000,1.802416,5.067895,1.348751,2.126425,1.666534,-0.067052,0.114972
0.010000,1.823704,5.070366,1.370182,2.143084,1.665859,-0.067510,0.116202
0.010000,1.845154,5.072883,1.391779,2.159736,1.665173,-0.068574,0.117432
0.010000,1.866767,5.075447,1.413543,2.176380,1.664484,-0.068923,0.118660
0.010000,1.888541,5.078056,1.435473,2.193018,1.663791,-0.069245,0.119887
0.010000,1.910477,5.080712,1.457569,2.209649,1.663096,-0.069541,0.121114
0.010000,1.932575,5.083416,1.479832,2.226273,1.662386,-0.070968,0.122338
0.010000,1.954835,5.086166,1.502261,2.242890,1.661679,-0.070716,0.123561
0.010000,1.977256,5.088965,1.524856,2.259500,1.660978,-0.070079,0.124782
0.010000,1.999838,5.091811,1.547617,2.276102,1.660245,-0.073349,0.126001
0.010000,2.022582,5.094706,1.570544,2.292698,1.659534,-0.071137,0.127217
0.010000,2.045486,5.097650,1.593637,2.309286,1.658810,-0.072356,0.128430
0.010000,2.068552,5.100643,1.616896,2.325866,1.658075,-0.073464,0.129641
0.010000,2.091778,5.103685,1.640320,2.342440,1.657338,-0.073743,0.130848
