dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.447374,5.539136,0.001500,0.300000,30.000000,3000.000000,0.017968
0.010000,0.452945,5.539238,0.007071,0.557128,25.712824,-428.717569,0.018495
0.010000,0.464646,5.539461,0.018774,1.170311,61.318311,3560.548695,0.019545
0.010000,0.482198,5.539818,0.036331,1.755626,58.531475,-278.683649,0.021116
0.010000,0.505604,5.540336,0.059742,2.341132,58.550622,1.914769,0.023199
0.010000,0.533401,5.541015,0.087547,2.780538,43.940521,-1461.010174,0.025657
0.010000,0.562665,5.541804,0.116821,2.927404,14.686603,-2925.391778,0.028226
0.010000,0.591931,5.542668,0.146101,2.927941,0.053760,-1463.284273,0.030776
0.010000,0.621201,5.543606,0.175386,2.928481,0.053979,0.021895,0.033307
0.010000,0.650474,5.544618,0.204676,2.929023,0.054191,0.021176,0.035819
0.010000,0.679749,5.545704,0.233972,2.929567,0.054405,0.021452,0.038312
0.010000,0.709027,5.546862,0.263273,2.930113,0.054597,0.019131,0.040785
0.010000,0.738308,5.548093,0.292579,2.930661,0.054782,0.018538,0.043239
0.010000,0.767591,5.549396,0.321891,2.931210,0.054966,0.018412,0.045673
0.010000,0.796877,5.550770,0.351209,2.931762,0.055144,0.017742,0.048088
0.010000,0.826164,5.552215,0.380532,2.932315,0.055315,0.017083,0.050483
0.010000,0.855454,5.553729,0.409861,2.932870,0.055479,0.016435,0.052859
0.010000,0.884745,5.555314,0.439195,2.933426,0.055637,0.015796,0.055215
0.010000,0.914039,5.556967,0.468535,2.933984,0.055791,0.015439,0.057551
0.010000,0.943333,5.558689,0.497880,2.934543,0.055938,0.014654,0.059867
0.010000,0.972630,5.560479,0.527231,2.935104,0.056072,0.013434,0.062164
0.010000,1.001928,5.562336,0.556588,2.935666,0.056206,0.013357,0.064440
0.010000,1.031227,5.564260,0.585950,2.936230,0.056333,0.012773,0.066697
0.010000,1.060527,5.566250,0.615318,2.936794,0.056455,0.012199,0.068934
0.010000,1.089829,5.568306,0.644692,2.937360,0.056572,0.011636,0.071151
0.010000,1.119131,5.570427,0.674071,2.937927,0.056683,0.011084,0.073347
0.010000,1.148435,5.572612,0.703456,2.938494,0.056788,0.010543,0.075524
0.010000,1.177739,5.574861,0.732847,2.939063,0.056889,0.010074,0.077680
0.010000,1.207045,5.577174,0.762243,2.939633,0.056983,0.009465,0.079817
0.010000,1.236351,5.579549,0.791645,2.940204,0.057072,0.008854,0.081933
0.010000,1.265657,5.581987,0.821053,2.940775,0.057157,0.008495,0.084029
0.010000,1.294964,5.584486,0.850466,2.941348,0.057237,0.008009,0.086104
0.010000,1.324272,5.587046,0.879886,2.941921,0.057312,0.007535,0.088160
0.010000,1.353580,5.589667,0.909310,2.942495,0.057383,0.007071,0.090195
0.010000,1.382888,5.592347,0.938741,2.943069,0.057449,0.006618,0.092209
0.010000,1.412197,5.595087,0.968178,2.943644,0.057511,0.006177,0.094204
0.010000,1.441506,5.597885,0.997620,2.944220,0.057568,0.005704,0.096178
0.010000,1.470815,5.600742,1.027068,2.944796,0.057619,0.005103,0.098131
0.010000,1.500124,5.603656,1.056522,2.945373,0.057670,0.005102,0.100064
0.010000,1.529434,5.606627,1.085981,2.945950,0.057715,0.004522,0.101977
0.010000,1.558743,5.609654,1.115446,2.946528,0.057757,0.004135,0.103869
0.010000,1.588052,5.612738,1.144917,2.947106,0.057794,0.003758,0.105741
0.010000,1.617361,5.615876,1.174394,2.947684,0.057828,0.003391,0.107593
0.010000,1.646671,5.619069,1.203877,2.948263,0.057858,0.003036,0.109424
0.010000,1.675980,5.622316,1.233365,2.948841,0.057885,0.002690,0.111234
0.010000,1.705289,5.625616,1.262859,2.949420,0.057908,0.002224,0.113024
0.010000,1.734598,5.628969,1.292359,2.950000,0.057924,0.001649,0.114793
0.010000,1.763906,5.632374,1.321865,2.950579,0.057946,0.002165,0.116542
0.010000,1.793215,5.635831,1.351377,2.951159,0.057960,0.001414,0.118271
0.010000,1.822523,5.639339,1.380894,2.951738,0.057971,0.001120,0.119979
0.010000,1.851831,5.642898,1.410417,2.952318,0.057979,0.000835,0.121666
0.010000,1.881139,5.646506,1.439946,2.952898,0.057985,0.000560,0.123333
0.010000,1.910446,5.650164,1.469481,2.953478,0.057988,0.000295,0.124979
0.010000,1.939753,5.653870,1.499022,2.954058,0.057988,0.000040,0.126605
0.010000,1.969060,5.657624,1.528568,2.954638,0.057979,-0.000935,0.128210
0.010000,1.998367,5.661426,1.558120,2.955217,0.057980,0.000071,0.129795
0.010000,2.027673,5.665275,1.587678,2.955797,0.057975,-0.000505,0.131359
0.010000,2.056979,5.669170,1.617242,2.956377,0.057966,-0.000886,0.132903
0.010000,2.086285,5.673110,1.646812,2.956956,0.057955,-0.001096,0.134426
0.010000,2.115590,5.677096,1.676387,2.957536,0.057942,-0.001296,0.135929
