dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.003401,0.372417,0.000023,0.004543,0.454350,45.434994,2.494165
0.010000,5.003438,0.372389,0.000069,0.004587,0.004395,-44.995461,2.494327
0.010000,5.003520,0.372327,0.000172,0.010317,0.572911,56.851607,2.494693
0.010000,5.003657,0.372224,0.000344,0.017178,0.686171,11.325985,2.495300
0.010000,5.003849,0.372079,0.000584,0.024016,0.683774,-0.239738,2.496150
0.010000,5.004095,0.371894,0.000892,0.030820,0.680422,-0.335148,2.497241
0.010000,5.004180,0.371830,0.000997,0.010542,-2.027870,-270.829228,2.498571
0.010000,5.003825,0.372096,0.001441,0.044320,3.377869,540.573904,2.500136
0.010000,5.003413,0.372403,0.001954,0.051393,0.707294,-267.057550,2.501937
0.010000,5.002943,0.372752,0.002539,0.058462,0.706894,-0.039996,2.503967
0.010000,5.002415,0.373142,0.003196,0.065729,0.726693,1.979954,2.506224
0.010000,5.001826,0.373575,0.003927,0.073024,0.729512,0.281905,2.508704
0.010000,5.001177,0.374050,0.004731,0.080488,0.746402,1.689009,2.511402
0.010000,5.000464,0.374568,0.005612,0.088089,0.760080,1.367742,2.514316
0.010000,4.999688,0.375129,0.006571,0.095819,0.773000,1.292010,2.517438
0.010000,4.998845,0.375734,0.007607,0.103668,0.784868,1.186797,2.520762
0.010000,4.997936,0.376382,0.008724,0.111712,0.804392,1.952393,2.524285
0.010000,4.996956,0.377074,0.009924,0.119921,0.820957,1.656556,2.528001
0.010000,4.995906,0.377811,0.011207,0.128307,0.838564,1.760632,2.531902
0.010000,4.994782,0.378593,0.012575,0.136878,0.857167,1.860330,2.535982
0.010000,4.993583,0.379419,0.014032,0.145613,0.873457,1.629043,2.540235
0.010000,4.992307,0.380291,0.015577,0.154559,0.894589,2.113144,2.544653
0.010000,4.990951,0.381208,0.017214,0.163728,0.916861,2.227173,2.549229
0.010000,4.989512,0.382171,0.018946,0.173117,0.938931,2.207058,2.553958
0.010000,4.987990,0.383180,0.020772,0.182637,0.951986,1.305458,2.558828
0.010000,4.986380,0.384235,0.022697,0.192464,0.982684,3.069825,2.563836
