dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.173832,0.597810,0.000023,0.004543,0.454350,45.434994,2.494165
0.010000,5.173832,0.597810,0.000114,0.013630,0.908700,45.434994,2.494327
0.010000,5.173832,0.597810,0.000318,0.027261,1.363050,45.434994,2.494693
0.010000,5.173832,0.597810,0.000659,0.040891,1.363050,-0.000000,2.495300
0.010000,5.173832,0.597810,0.001136,0.054522,1.363050,0.000000,2.496150
0.010000,5.173832,0.597810,0.001749,0.068152,1.363050,-0.000000,2.497241
0.010000,5.173616,0.597972,0.002499,0.081783,1.363050,0.000000,2.498571
0.010000,5.172907,0.598502,0.003385,0.095413,1.363050,0.000000,2.500136
0.010000,5.172087,0.599113,0.004407,0.109044,1.363050,-0.000000,2.501937
0.010000,5.171157,0.599804,0.005566,0.122674,1.363050,0.000000,2.503967
0.010000,5.170116,0.600574,0.006861,0.136305,1.363050,0.000000,2.506224
0.010000,5.168963,0.601421,0.008292,0.149935,1.363050,0.000000,2.508704
0.010000,5.167698,0.602347,0.009859,0.163566,1.363050,-0.000000,2.511402
0.010000,5.166320,0.603349,0.011563,0.177196,1.363050,0.000000,2.514316
0.010000,5.164828,0.604427,0.013403,0.190827,1.363050,0.000000,2.517438
0.010000,5.163222,0.605579,0.015380,0.204457,1.363050,0.000000,2.520762
0.010000,5.161502,0.606805,0.017492,0.218088,1.363050,-0.000000,2.524285
0.010000,5.159665,0.608103,0.019742,0.231718,1.363050,0.000000,2.528001
0.010000,5.157712,0.609473,0.022127,0.245349,1.363050,0.000000,2.531902
0.010000,5.155642,0.610913,0.024648,0.258979,1.363050,0.000000,2.535982
0.010000,5.153454,0.612421,0.027306,0.272610,1.363050,-0.000000,2.540235
0.010000,5.151146,0.613997,0.030101,0.286240,1.363050,0.000000,2.544653
0.010000,5.148719,0.615639,0.033031,0.299871,1.363050,-0.000000,2.549229
0.010000,5.146170,0.617345,0.036098,0.313501,1.363050,0.000000,2.553958
0.010000,5.143500,0.619114,0.039301,0.327132,1.363050,0.000000,2.558828
0.010000,5.140707,0.620945,0.042641,0.340762,1.363050,0.000000,2.563836
0.010000,5.137791,0.622836,0.046117,0.354393,1.363050,0.000000,2.568971
0.010000,5.134750,0.624785,0.049729,0.368023,1.363050,-0.000000,2.574227
0.010000,5.131583,0.626791,0.053477,0.381654,1.363050,0.000000,2.579595
0.010000,5.128290,0.628852,0.057362,0.395284,1.363050,-0.000000,2.585068
