dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.344264,0.823202,0.000023,0.004543,0.454350,45.434994,2.494165
0.010000,5.344227,0.823230,0.000069,0.004587,0.004395,-44.995461,2.494327
0.010000,5.344145,0.823292,0.000172,0.010317,0.572911,56.851607,2.494693
0.010000,5.344008,0.823395,0.000344,0.017178,0.686171,11.325985,2.495300
0.010000,5.343816,0.823540,0.000584,0.024016,0.683774,-0.239738,2.496150
0.010000,5.343570,0.823725,0.000892,0.030820,0.680422,-0.335148,2.497241
0.010000,5.343053,0.824113,0.001538,0.064594,3.377392,269.696999,2.498571
0.010000,5.341989,0.824908,0.002866,0.132812,6.821776,344.438365,2.500136
0.010000,5.340761,0.825824,0.004398,0.153166,2.035394,-478.638228,2.501937
0.010000,5.339371,0.826856,0.006129,0.173154,1.998799,-3.659512,2.503967
0.010000,5.337816,0.828005,0.008062,0.193332,2.017780,1.898091,2.506224
0.010000,5.336099,0.829268,0.010194,0.213155,1.982305,-3.547503,2.508704
0.010000,5.334219,0.830644,0.012524,0.232996,1.984082,0.177759,2.511402
0.010000,5.332175,0.832130,0.015051,0.252718,1.972295,-1.178750,2.514316
0.010000,5.329968,0.833724,0.017774,0.272264,1.954551,-1.774403,2.517438
0.010000,5.327599,0.835424,0.020689,0.291568,1.930433,-2.411710,2.520762
0.010000,5.325068,0.837228,0.023798,0.310814,1.924530,-0.590333,2.524285
0.010000,5.322374,0.839132,0.027096,0.329883,1.906943,-1.758689,2.528001
0.010000,5.319519,0.841135,0.030584,0.348776,1.889253,-1.769041,2.531902
0.010000,5.316502,0.843233,0.034259,0.367491,1.871498,-1.775469,2.535982
0.010000,5.313324,0.845424,0.038119,0.385942,1.845122,-2.637641,2.540235
0.010000,5.309986,0.847703,0.042161,0.404236,1.829446,-1.567608,2.544653
0.010000,5.306487,0.850069,0.046385,0.422381,1.814461,-1.498431,2.549229
0.010000,5.302828,0.852519,0.050788,0.440350,1.796886,-1.757581,2.553958
0.010000,5.299011,0.855049,0.055367,0.457901,1.755121,-4.176478,2.558828
0.010000,5.295034,0.857655,0.060122,0.475466,1.756503,0.138251,2.563836
0.010000,5.290901,0.860335,0.065049,0.492672,1.720649,-3.585380,2.568971
0.010000,5.286609,0.863086,0.070146,0.509757,1.708467,-1.218202,2.574227
0.010000,5.282161,0.865904,0.075411,0.526487,1.672952,-3.551521,2.579595
0.010000,5.277557,0.868785,0.080843,0.543158,1.667125,-0.582697,2.585068
0.010000,5.272798,0.871728,0.086437,0.559472,1.631394,-3.573089,2.590638
0.010000,5.267886,0.874727,0.092193,0.575570,1.609780,-2.161390,2.596295
0.010000,5.262820,0.877780,0.098108,0.591512,1.594212,-1.556855,2.602034
0.010000,5.257601,0.880885,0.104180,0.607212,1.570043,-2.416848,2.607845
0.010000,5.252231,0.884037,0.110407,0.622678,1.546614,-2.342990,2.613721
0.010000,5.246711,0.887233,0.116786,0.637918,1.523951,-2.266209,2.619655
0.010000,5.241041,0.890472,0.123316,0.652939,1.502082,-2.186980,2.625637
0.010000,5.235223,0.893749,0.129993,0.667749,1.481024,-2.105765,2.631662
0.010000,5.229258,0.897061,0.136817,0.682357,1.460794,-2.023017,2.637722
0.010000,5.223146,0.900407,0.143784,0.696771,1.441402,-1.939172,2.643809
