dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.328825,0.872635,0.000028,0.005556,0.555556,55.555556,0.605230
0.010000,6.328823,0.872634,0.000030,0.000225,-0.533085,-108.864012,0.605238
0.010000,6.328819,0.872631,0.000035,0.000506,0.028099,56.118381,0.605256
0.010000,6.328812,0.872626,0.000044,0.000843,0.033746,0.564659,0.605286
0.010000,6.328802,0.872619,0.000055,0.001181,0.033794,0.004855,0.605327
0.010000,6.328790,0.872611,0.000071,0.001520,0.033862,0.006802,0.605381
0.010000,6.328774,0.872600,0.000089,0.001859,0.033950,0.008754,0.605447
0.010000,6.328756,0.872588,0.000111,0.002200,0.034057,0.010713,0.605525
0.010000,6.329537,0.873128,0.001061,0.094988,9.278802,924.474444,0.605615
0.010000,6.330678,0.873919,0.002449,0.138794,4.380626,-489.817536,0.605717
0.010000,6.331953,0.874802,0.004000,0.155074,1.627994,-275.263194,0.605831
0.010000,6.333362,0.875778,0.005714,0.171441,1.636700,0.870551,0.605958
0.010000,6.334905,0.876847,0.007591,0.187734,1.629297,-0.740304,0.606097
0.010000,6.336582,0.878010,0.009632,0.204044,1.631015,0.171788,0.606249
0.010000,6.338393,0.879266,0.011836,0.220367,1.632325,0.131076,0.606413
0.010000,6.340338,0.880615,0.014202,0.236666,1.629903,-0.242230,0.606590
0.010000,6.342416,0.882057,0.016732,0.252960,1.629350,-0.055336,0.606780
0.010000,6.344628,0.883593,0.019425,0.269294,1.633412,0.406231,0.606982
0.010000,6.346973,0.885222,0.022280,0.285546,1.625224,-0.818793,0.607198
0.010000,6.349452,0.886944,0.025299,0.301863,1.631712,0.648795,0.607427
0.010000,6.352064,0.888760,0.028481,0.318169,1.630526,-0.118571,0.607670
0.010000,6.354810,0.890670,0.031825,0.334430,1.626151,-0.437529,0.607926
0.010000,6.357688,0.892674,0.035332,0.350696,1.626540,0.038927,0.608195
0.010000,6.360699,0.894771,0.039001,0.366963,1.626755,0.021505,0.608479
0.010000,6.363844,0.896962,0.042834,0.383257,1.629393,0.263741,0.608777
0.010000,6.367121,0.899247,0.046829,0.399522,1.626456,-0.293647,0.609089
0.010000,6.370531,0.901627,0.050987,0.415771,1.624931,-0.152509,0.609416
0.010000,6.374073,0.904100,0.055307,0.432015,1.624391,-0.054064,0.609757
0.010000,6.377747,0.906668,0.059790,0.448251,1.623654,-0.073653,0.610114
0.010000,6.381553,0.909330,0.064434,0.464479,1.622717,-0.093734,0.610486
0.010000,6.385492,0.912086,0.069242,0.480734,1.625584,0.286705,0.610873
0.010000,6.389562,0.914938,0.074211,0.496958,1.622341,-0.324292,0.611276
0.010000,6.393764,0.917884,0.079343,0.513159,1.620127,-0.221416,0.611696
0.010000,6.398096,0.920924,0.084636,0.529343,1.618348,-0.177883,0.612132
0.010000,6.402560,0.924060,0.090091,0.545513,1.617030,-0.131818,0.612584
0.010000,6.407156,0.927291,0.095709,0.561768,1.625506,0.847685,0.613054
0.010000,6.411882,0.930617,0.101488,0.577899,1.613160,-1.234690,0.613541
0.010000,6.416738,0.934039,0.107429,0.594048,1.614879,0.171941,0.614046
0.010000,6.421725,0.937556,0.113531,0.610246,1.619795,0.491580,0.614569
0.010000,6.426841,0.941169,0.119794,0.626325,1.607852,-1.194322,0.615110
0.010000,6.432087,0.944878,0.126220,0.642528,1.620282,1.243011,0.615671
0.010000,6.437463,0.948683,0.132805,0.658587,1.605953,-1.432909,0.616251
0.010000,6.442968,0.952585,0.139553,0.674724,1.613651,0.769820,0.616851
0.010000,6.448602,0.956582,0.146461,0.690817,1.609323,-0.432817,0.617471
0.010000,6.454364,0.960677,0.153529,0.706854,1.603741,-0.558188,0.618113
0.010000,6.460254,0.964868,0.160759,0.722953,1.609853,0.611190,0.618775
