dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.489596,0.640254,0.000028,0.005556,0.555556,55.555556,0.605230
0.010000,6.489596,0.640254,0.000139,0.016667,1.111111,55.555556,0.605238
0.010000,6.489596,0.640254,0.000389,0.033333,1.666667,55.555556,0.605256
0.010000,6.489596,0.640254,0.000806,0.050000,1.666667,0.000000,0.605286
0.010000,6.489596,0.640254,0.001389,0.066667,1.666667,-0.000000,0.605327
0.010000,6.489596,0.640254,0.002139,0.083333,1.666667,0.000000,0.605381
0.010000,6.489596,0.640254,0.003056,0.100000,1.666667,0.000000,0.605447
0.010000,6.489596,0.640254,0.004139,0.116667,1.666667,-0.000000,0.605525
0.010000,6.490398,0.640809,0.005389,0.133333,1.666667,0.000000,0.605615
0.010000,6.491563,0.641615,0.006806,0.150000,1.666667,0.000000,0.605717
0.010000,6.492864,0.642517,0.008389,0.166667,1.666667,0.000000,0.605831
0.010000,6.494303,0.643513,0.010139,0.183333,1.666667,0.000000,0.605958
0.010000,6.495878,0.644605,0.012056,0.200000,1.666667,-0.000000,0.606097
0.010000,6.497590,0.645792,0.014139,0.216667,1.666667,0.000000,0.606249
0.010000,6.499439,0.647074,0.016389,0.233333,1.666667,0.000000,0.606413
0.010000,6.501425,0.648452,0.018806,0.250000,1.666667,0.000000,0.606590
0.010000,6.503547,0.649925,0.021389,0.266667,1.666667,0.000000,0.606780
0.010000,6.505806,0.651493,0.024139,0.283333,1.666667,0.000000,0.606982
0.010000,6.508202,0.653157,0.027056,0.300000,1.666667,0.000000,0.607198
0.010000,6.510734,0.654916,0.030139,0.316667,1.666667,0.000000,0.607427
0.010000,6.513402,0.656772,0.033389,0.333333,1.666667,-0.000000,0.607670
0.010000,6.516207,0.658723,0.036806,0.350000,1.666667,0.000000,0.607926
0.010000,6.519148,0.660770,0.040389,0.366667,1.666667,-0.000000,0.608195
0.010000,6.522225,0.662913,0.044139,0.383333,1.666667,-0.000000,0.608479
0.010000,6.525438,0.665152,0.048056,0.400000,1.666667,0.000000,0.608777
0.010000,6.528788,0.667488,0.052139,0.416667,1.666667,-0.000000,0.609089
0.010000,6.532273,0.669920,0.056389,0.433333,1.666667,0.000000,0.609416
0.010000,6.535894,0.672449,0.060806,0.450000,1.666667,-0.000000,0.609757
0.010000,6.539651,0.675074,0.065389,0.466667,1.666667,0.000000,0.610114
0.010000,6.543544,0.677796,0.070139,0.483333,1.666667,-0.000000,0.610486
0.010000,6.547572,0.680616,0.075056,0.500000,1.666667,0.000000,0.610873
0.010000,6.551735,0.683532,0.080139,0.516667,1.666667,-0.000000,0.611276
0.010000,6.556034,0.686546,0.085389,0.533333,1.666667,0.000000,0.611696
0.010000,6.560468,0.689658,0.090806,0.550000,1.666667,0.000000,0.612132
0.010000,6.565036,0.692867,0.096389,0.566667,1.666667,-0.000000,0.612584
0.010000,6.569740,0.696174,0.102139,0.583333,1.666667,0.000000,0.613054
0.010000,6.574579,0.699580,0.108056,0.600000,1.666667,-0.000000,0.613541
0.010000,6.579551,0.703084,0.114139,0.616667,1.666667,0.000000,0.614046
0.010000,6.584659,0.706686,0.120389,0.633333,1.666667,0.000000,0.614569
0.010000,6.589900,0.710387,0.126806,0.650000,1.666667,-0.000000,0.615110
0.010000,6.595276,0.714188,0.133389,0.666667,1.666667,0.000000,0.615671
0.010000,6.600785,0.718088,0.140139,0.683333,1.666667,0.000000,0.616251
0.010000,6.606429,0.722087,0.147056,0.700000,1.666667,0.000000,0.616851
0.010000,6.612205,0.726186,0.154139,0.716667,1.666667,-0.000000,0.617471
0.010000,6.618115,0.730386,0.161389,0.733333,1.666667,0.000000,0.618113
0.010000,6.624158,0.734686,0.168806,0.750000,1.666667,-0.000000,0.618775
0.010000,6.630334,0.739086,0.176389,0.766667,1.666667,0.000000,0.619460
0.010000,6.636643,0.743588,0.184139,0.783333,1.666667,0.000000,0.620166
0.010000,6.643083,0.748192,0.192056,0.800000,1.666667,-0.000000,0.620896
0.010000,6.649656,0.752897,0.200139,0.816667,1.666667,0.000000,0.621650
0.010000,6.656361,0.757704,0.208389,0.833333,1.666667,0.000000,0.622428
0.010000,6.663197,0.762613,0.216806,0.850000,1.666667,0.000000,0.623231
0.010000,6.670165,0.767626,0.225389,0.866667,1.666667,-0.000000,0.624059
0.010000,6.677263,0.772742,0.234139,0.883333,1.666667,0.000000,0.624914
0.010000,6.684493,0.777962,0.243056,0.900000,1.666667,0.000000,0.625796
0.010000,6.691852,0.783286,0.252139,0.916667,1.666667,0.000000,0.626706
0.010000,6.699342,0.788714,0.261389,0.933333,1.666667,0.000000,0.627644
0.010000,6.706961,0.794247,0.270806,0.950000,1.666667,-0.000000,0.628613
