dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.650368,0.407872,0.000028,0.005556,0.555556,55.555556,0.605230
0.010000,6.650369,0.407873,0.000030,0.000225,-0.533085,-108.864012,0.605238
0.010000,6.650374,0.407876,0.000035,0.000506,0.028099,56.118381,0.605256
0.010000,6.650381,0.407881,0.000044,0.000843,0.033746,0.564659,0.605286
0.010000,6.650390,0.407888,0.000055,0.001181,0.033794,0.004855,0.605327
0.010000,6.650403,0.407896,0.000071,0.001520,0.033862,0.006802,0.605381
0.010000,6.650418,0.407907,0.000089,0.001859,0.033950,0.008754,0.605447
0.010000,6.650436,0.407919,0.000111,0.002200,0.034057,0.010713,0.605525
0.010000,6.651259,0.408489,0.001112,0.100073,9.787288,975.323126,0.605615
0.010000,6.652447,0.409312,0.002558,0.144566,4.449360,-533.792851,0.605717
0.010000,6.653775,0.410232,0.004173,0.161536,1.697016,-275.234362,0.605831
0.010000,6.655243,0.411249,0.005959,0.178602,1.706527,0.951105,0.605958
0.010000,6.656851,0.412363,0.007915,0.195595,1.699307,-0.722066,0.606097
0.010000,6.658598,0.413574,0.010041,0.212611,1.701636,0.232979,0.606249
0.010000,6.660486,0.414883,0.012337,0.229647,1.703593,0.195621,0.606413
0.010000,6.662512,0.416289,0.014804,0.246664,1.701709,-0.188338,0.606590
0.010000,6.664679,0.417792,0.017441,0.263682,1.701824,0.011510,0.606780
0.010000,6.666985,0.419394,0.020248,0.280750,1.706804,0.497954,0.606982
0.010000,6.669430,0.421092,0.023226,0.297741,1.699065,-0.773880,0.607198
0.010000,6.672015,0.422889,0.026374,0.314808,1.706682,0.761651,0.607427
0.010000,6.674740,0.424783,0.029693,0.331871,1.706353,-0.032809,0.607670
0.010000,6.677604,0.426776,0.033182,0.348899,1.702754,-0.359996,0.607926
0.010000,6.680608,0.428866,0.036841,0.365941,1.704180,0.142674,0.608195
0.010000,6.683751,0.431055,0.040671,0.382996,1.705485,0.130462,0.608479
0.010000,6.687033,0.433342,0.044672,0.400089,1.709380,0.389478,0.608777
0.010000,6.690455,0.435729,0.048843,0.417165,1.707519,-0.186077,0.609089
0.010000,6.694016,0.438213,0.053186,0.434237,1.707194,-0.032507,0.609416
0.010000,6.697716,0.440797,0.057699,0.451316,1.707962,0.076799,0.609757
0.010000,6.701556,0.443480,0.062383,0.468402,1.708592,0.063064,0.610114
0.010000,6.705534,0.446263,0.067238,0.485493,1.709082,0.048989,0.610486
0.010000,6.709652,0.449145,0.072264,0.502629,1.713622,0.453920,0.610873
0.010000,6.713909,0.452127,0.077462,0.519748,1.711848,-0.177376,0.611276
0.010000,6.718305,0.455209,0.082830,0.536860,1.711223,-0.062440,0.611696
0.010000,6.722839,0.458391,0.088370,0.553971,1.711131,-0.009215,0.612132
0.010000,6.727512,0.461674,0.094081,0.571087,1.711601,0.046991,0.612584
0.010000,6.732325,0.465058,0.099964,0.588311,1.722414,1.081280,0.613054
0.010000,6.737276,0.468542,0.106018,0.605426,1.711509,-1.090544,0.613541
0.010000,6.742365,0.472128,0.112244,0.622581,1.715420,0.391172,0.614046
0.010000,6.747594,0.475816,0.118642,0.639808,1.722782,0.736139,0.614569
0.010000,6.752960,0.479606,0.125212,0.656934,1.712564,-1.021779,0.615110
0.010000,6.758465,0.483498,0.131954,0.674214,1.728009,1.544482,0.615671
0.010000,6.764108,0.487492,0.138867,0.691369,1.715486,-1.252279,0.616251
0.010000,6.769890,0.491589,0.145954,0.708631,1.726187,1.070131,0.616851
0.010000,6.775809,0.495790,0.153212,0.725875,1.724380,-0.180716,0.617471
