dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.117392,0.635557,0.001500,0.300000,30.000000,3000.000000,0.026151
0.010000,0.120607,0.635646,0.007500,0.900000,60.000000,3000.000000,0.028024
0.010000,0.132602,0.636005,0.019500,1.500000,60.000000,0.000000,0.031761
0.010000,0.150591,0.636626,0.037500,2.100000,60.000000,-0.000000,0.037342
0.010000,0.174571,0.637611,0.061500,2.700000,60.000000,0.000000,0.044734
0.010000,0.203036,0.639010,0.090000,3.000000,30.000000,-3000.000000,0.053437
0.010000,0.232986,0.640748,0.120000,3.000000,0.000000,-3000.000000,0.062508
0.010000,0.262919,0.642757,0.150000,3.000000,0.000000,0.000000,0.071480
0.010000,0.292832,0.645032,0.180000,3.000000,0.000000,0.000000,0.080351
0.010000,0.322724,0.647571,0.210000,3.000000,0.000000,0.000000,0.089116
0.010000,0.352593,0.650371,0.240000,3.000000,0.000000,0.000000,0.097772
0.010000,0.382437,0.653427,0.270000,3.000000,0.000000,0.000000,0.106315
0.010000,0.412254,0.656737,0.300000,3.000000,0.000000,0.000000,0.114741
0.010000,0.442042,0.660295,0.330000,3.000000,0.000000,0.000000,0.123048
0.010000,0.471800,0.664100,0.360000,3.000000,0.000000,0.000000,0.131233
0.010000,0.501526,0.668145,0.390000,3.000000,0.000000,0.000000,0.139292
0.010000,0.531218,0.672429,0.420000,3.000000,0.000000,0.000000,0.147224
0.010000,0.560876,0.676946,0.450000,3.000000,0.000000,0.000000,0.155024
0.010000,0.590498,0.681692,0.480000,3.000000,0.000000,0.000000,0.162692
0.010000,0.620083,0.686663,0.510000,3.000000,0.000000,0.000000,0.170225
0.010000,0.649631,0.691854,0.540000,3.000000,0.000000,0.000000,0.177621
0.010000,0.679139,0.697263,0.570000,3.000000,0.000000,0.000000,0.184877
0.010000,0.708608,0.702883,0.600000,3.000000,0.000000,0.000000,0.191993
0.010000,0.738036,0.708710,0.630000,3.000000,0.000000,0.000000,0.198967
0.010000,0.767424,0.714740,0.660000,3.000000,0.000000,0.000000,0.205796
0.010000,0.796770,0.720969,0.690000,3.000000,0.000000,0.000000,0.212481
0.010000,0.826074,0.727392,0.720000,3.000000,0.000000,0.000000,0.219019
0.010000,0.855337,0.734004,0.750000,3.000000,0.000000,0.000000,0.225411
0.010000,0.884557,0.740801,0.780000,3.000000,0.000000,0.000000,0.231654
0.010000,0.913734,0.747778,0.810000,3.000000,0.000000,0.000000,0.237748
0.010000,0.942869,0.754930,0.840000,3.000000,0.000000,0.000000,0.243692
0.010000,0.971961,0.762253,0.870000,3.000000,0.000000,0.000000,0.249486
0.010000,1.001011,0.769743,0.900000,3.000000,0.000000,0.000000,0.255129
0.010000,1.030019,0.777394,0.930000,3.000000,0.000000,0.000000,0.260621
0.010000,1.058985,0.785202,0.960000,3.000000,0.000000,0.000000,0.265961
0.010000,1.087910,0.793163,0.990000,3.000000,0.000000,0.000000,0.271150
0.010000,1.116793,0.801271,1.020000,3.000000,0.000000,0.000000,0.276187
0.010000,1.145636,0.809523,1.050000,3.000000,0.000000,0.000000,0.281072
0.010000,1.174439,0.817913,1.080000,3.000000,0.000000,0.000000,0.285804
0.010000,1.203202,0.826437,1.110000,3.000000,0.000000,0.000000,0.290385
0.010000,1.231927,0.835090,1.140000,3.000000,0.000000,0.000000,0.294813
0.010000,1.260614,0.843869,1.170000,3.000000,0.000000,0.000000,0.299090
0.010000,1.289264,0.852768,1.200000,3.000000,0.000000,0.000000,0.303215
0.010000,1.317877,0.861783,1.230000,3.000000,0.000000,0.000000,0.307189
0.010000,1.346455,0.870909,1.260000,3.000000,0.000000,0.000000,0.311011
0.010000,1.374999,0.880143,1.290000,3.000000,0.000000,0.000000,0.314682
0.010000,1.403509,0.889479,1.320000,3.000000,0.000000,0.000000,0.318202
0.010000,1.431987,0.898913,1.350000,3.000000,0.000000,0.000000,0.321572
0.010000,1.460434,0.908441,1.380000,3.000000,0.000000,0.000000,0.324791
0.010000,1.488851,0.918058,1.410000,3.000000,0.000000,0.000000,0.327861
0.010000,1.517238,0.927760,1.440000,3.000000,0.000000,0.000000,0.330781
0.010000,1.545598,0.937543,1.470000,3.000000,0.000000,0.000000,0.333551
0.010000,1.573932,0.947403,1.500000,3.000000,0.000000,0.000000,0.336173
0.010000,1.602240,0.957335,1.530000,3.000000,0.000000,0.000000,0.338646
0.010000,1.630525,0.967334,1.560000,3.000000,0.000000,0.000000,0.340971
0.010000,1.658787,0.977397,1.590000,3.000000,0.000000,0.000000,0.343148
0.010000,1.687027,0.987520,1.620000,3.000000,0.000000,0.000000,0.345178
0.010000,1.715248,0.997698,1.650000,3.000000,0.000000,0.000000,0.347060
0.010000,1.743450,1.007927,1.680000,3.000000,0.000000,0.000000,0.348794
0.010000,1.771636,1.018202,1.710000,3.000000,0.000000,0.000000,0.350383
0.010000,1.799805,1.028521,1.740000,3.000000,0.000000,0.000000,0.351824
0.010000,1.827961,1.038878,1.770000,3.000000,0.000000,0.000000,0.353119
0.010000,1.856104,1.049269,1.800000,3.000000,0.000000,0.000000,0.354268
0.010000,1.884235,1.059690,1.830000,3.000000,0.000000,0.000000,0.355272
0.010000,1.912357,1.070138,1.860000,3.000000,0.000000,0.000000,0.356129
0.010000,1.940471,1.080608,1.890000,3.000000,0.000000,0.000000,0.356841
0.010000,1.968578,1.091096,1.920000,3.000000,0.000000,0.000000,0.357407
0.010000,1.996680,1.101597,1.950000,3.000000,0.000000,0.000000,0.357829
0.010000,2.024778,1.112109,1.980000,3.000000,0.000000,0.000000,0.358104
0.010000,2.052874,1.122626,2.010000,3.000000,0.000000,0.000000,0.358235
0.010000,2.080970,1.133145,2.040000,3.000000,0.000000,0.000000,0.358220
0.010000,2.109066,1.143661,2.070000,3.000000,0.000000,0.000000,0.358060
0.010000,2.137165,1.154171,2.100000,3.000000,0.000000,0.000000,0.357755
0.010000,2.165268,1.164670,2.130000,3.000000,0.000000,0.000000,0.357304
0.010000,2.193376,1.175155,2.160000,3.000000,0.000000,0.000000,0.356708
0.010000,2.221491,1.185620,2.190000,3.000000,0.000000,0.000000,0.355967
0.010000,2.249615,1.196063,2.220000,3.000000,0.000000,0.000000,0.355080
0.010000,2.277749,1.206479,2.250000,3.000000,0.000000,0.000000,0.354047
0.010000,2.305894,1.216864,2.280000,3.000000,0.000000,0.000000,0.352868
0.010000,2.334053,1.227213,2.310000,3.000000,0.000000,0.000000,0.351544
0.010000,2.362225,1.237523,2.340000,3.000000,0.000000,0.000000,0.350072
0.010000,2.390414,1.247790,2.370000,3.000000,0.000000,0.000000,0.348454
0.010000,2.418620,1.258008,2.400000,3.000000,0.000000,0.000000,0.346690
0.010000,2.446845,1.268175,2.430000,3.000000,0.000000,0.000000,0.344778
0.010000,2.475089,1.278286,2.460000,3.000000,0.000000,0.000000,0.342719
0.010000,2.503356,1.288337,2.490000,3.000000,0.000000,0.000000,0.340512
0.010000,2.531645,1.298323,2.520000,3.000000,0.000000,0.000000,0.338157
0.010000,2.559958,1.308240,2.550000,3.000000,0.000000,0.000000,0.335653
0.010000,2.588297,1.318085,2.580000,3.000000,0.000000,0.000000,0.333001
0.010000,2.616663,1.327852,2.610000,3.000000,0.000000,0.000000,0.330200
0.010000,2.645056,1.337537,2.640000,3.000000,0.000000,0.000000,0.327250
0.010000,2.673479,1.347137,2.670000,3.000000,0.000000,0.000000,0.324150
0.010000,2.701932,1.356646,2.700000,3.000000,0.000000,0.000000,0.320900
0.010000,2.730416,1.366061,2.730000,3.000000,0.000000,0.000000,0.317500
0.010000,2.758933,1.375376,2.760000,3.000000,0.000000,0.000000,0.313949
0.010000,2.787484,1.384588,2.790000,3.000000,0.000000,0.000000,0.310248
0.010000,2.816069,1.393692,2.820000,3.000000,0.000000,0.000000,0.306395
0.010000,2.844690,1.402684,2.850000,3.000000,0.000000,0.000000,0.302391
0.010000,2.873347,1.411559,2.880000,3.000000,0.000000,0.000000,0.298235
0.010000,2.902041,1.420313,2.910000,3.000000,0.000000,0.000000,0.293928
0.010000,2.930774,1.428940,2.940000,3.000000,0.000000,0.000000,0.289468
0.010000,2.959545,1.437438,2.970000,3.000000,0.000000,0.000000,0.284857
0.010000,2.988356,1.445800,3.000000,3.000000,0.000000,0.000000,0.280093
0.010000,3.017207,1.454023,3.030000,3.000000,0.000000,0.000000,0.275178
0.010000,3.046099,1.462101,3.060000,3.000000,0.000000,0.000000,0.270110
0.010000,3.075032,1.470031,3.090000,3.000000,0.000000,0.000000,0.264891
0.010000,3.104007,1.477808,3.120000,3.000000,0.000000,0.000000,0.259519
0.010000,3.133023,1.485427,3.150000,3.000000,0.000000,0.000000,0.253997
0.010000,3.162082,1.492883,3.180000,3.000000,0.000000,0.000000,0.248323
0.010000,3.191183,1.500172,3.210000,3.000000,0.000000,0.000000,0.242498
0.010000,3.220326,1.507289,3.240000,3.000000,0.000000,0.000000,0.236524
0.010000,3.249512,1.514230,3.270000,3.000000,0.000000,0.000000,0.230399
0.010000,3.278741,1.520990,3.300000,3.000000,0.000000,0.000000,0.224126
0.010000,3.308011,1.527564,3.330000,3.000000,0.000000,0.000000,0.217705
0.010000,3.337324,1.533948,3.360000,3.000000,0.000000,0.000000,0.211137
0.010000,3.366679,1.540136,3.390000,3.000000,0.000000,0.000000,0.204423
0.010000,3.396075,1.546126,3.420000,3.000000,0.000000,0.000000,0.197564
0.010000,3.425511,1.551912,3.450000,3.000000,0.000000,0.000000,0.190561
0.010000,3.454988,1.557489,3.480000,3.000000,0.000000,0.000000,0.183417
0.010000,3.484505,1.562854,3.510000,3.000000,0.000000,0.000000,0.176132
0.010000,3.514060,1.568001,3.540000,3.000000,0.000000,0.000000,0.168708
0.010000,3.543653,1.572927,3.570000,3.000000,0.000000,0.000000,0.161148
0.010000,3.573282,1.577627,3.600000,3.000000,0.000000,0.000000,0.153453
0.010000,3.602947,1.582097,3.630000,3.000000,0.000000,0.000000,0.145625
0.010000,3.632646,1.586332,3.660000,3.000000,0.000000,0.000000,0.137668
0.010000,3.662379,1.590329,3.690000,3.000000,0.000000,0.000000,0.129583
0.010000,3.692143,1.594084,3.720000,3.000000,0.000000,0.000000,0.121373
0.010000,3.721937,1.597592,3.750000,3.000000,0.000000,0.000000,0.113042
0.010000,3.751759,1.600851,3.780000,3.000000,0.000000,0.000000,0.104591
0.010000,3.781608,1.603855,3.810000,3.000000,0.000000,0.000000,0.096025
0.010000,3.811482,1.606602,3.840000,3.000000,0.000000,0.000000,0.087347
0.010000,3.841379,1.609088,3.870000,3.000000,0.000000,0.000000,0.078560
0.010000,3.871297,1.611310,3.900000,3.000000,0.000000,0.000000,0.069668
0.010000,3.901233,1.613264,3.930000,3.000000,0.000000,0.000000,0.060676
0.010000,3.931185,1.614947,3.960000,3.000000,0.000000,0.000000,0.051586
0.010000,3.961152,1.616357,3.990000,3.000000,0.000000,0.000000,0.042404
0.010000,3.991131,1.617490,4.020000,3.000000,0.000000,0.000000,0.033133
0.010000,4.021118,1.618343,4.050000,3.000000,0.000000,0.000000,0.023778
0.010000,4.051113,1.618915,4.080000,3.000000,0.000000,0.000000,0.014344
0.010000,4.081111,1.619203,4.110000,3.000000,0.000000,0.000000,0.004836
0.010000,4.111111,1.619205,4.140000,3.000000,0.000000,0.000000,6.278443
0.010000,4.141110,1.618918,4.170000,3.000000,0.000000,0.000000,6.268800
0.010000,4.171104,1.618341,4.200000,3.000000,0.000000,0.000000,6.259097
0.010000,4.199384,1.617686,4.230000,3.000000,0.000000,0.000000,0.000400
0.010000,4.229340,1.619095,4.260000,3.000000,0.000000,0.000000,0.091297
0.010000,4.259076,1.623015,4.290000,3.000000,0.000000,0.000000,0.168718
0.010000,4.288458,1.629045,4.320000,3.000000,0.000000,0.000000,0.234247
0.010000,4.317424,1.636835,4.350000,3.000000,0.000000,0.000000,0.289674
0.010000,4.345957,1.646095,4.380000,3.000000,0.000000,0.000000,0.336671
0.010000,4.374061,1.656584,4.410000,3.000000,0.000000,0.000000,0.376678
0.010000,4.401759,1.668106,4.440000,3.000000,0.000000,0.000000,0.410884
0.010000,4.429077,1.680501,4.470000,3.000000,0.000000,0.000000,0.440252
0.010000,4.456048,1.693636,4.500000,3.000000,0.000000,0.000000,0.465556
0.010000,4.482702,1.707403,4.530000,3.000000,0.000000,0.000000,0.487417
0.010000,4.509071,1.721709,4.560000,3.000000,0.000000,0.000000,0.506332
0.010000,4.535184,1.736478,4.590000,3.000000,0.000000,0.000000,0.522702
0.010000,4.561069,1.751642,4.620000,3.000000,0.000000,0.000000,0.536848
0.010000,4.586752,1.767146,4.650000,3.000000,0.000000,0.000000,0.549034
0.010000,4.612258,1.782938,4.680000,3.000000,0.000000,0.000000,0.559470
0.010000,4.637612,1.798976,4.710000,3.000000,0.000000,0.000000,0.568329
0.010000,4.662834,1.815219,4.740000,3.000000,0.000000,0.000000,0.575749
0.010000,4.687946,1.831633,4.770000,3.000000,0.000000,0.000000,0.581840
0.010000,4.712968,1.848183,4.800000,3.000000,0.000000,0.000000,0.586691
