dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.076951,7.889716,0.001500,0.300000,30.000000,3000.000000,6.256729
0.010000,0.080571,7.889618,0.005121,0.362107,6.210672,-2378.932842,6.255489
0.010000,0.093264,7.889250,0.017819,1.269805,90.769781,8455.910978,6.253019
0.010000,0.112294,7.888641,0.036859,1.904025,63.422036,-2734.774525,6.249338
0.010000,0.137652,7.887720,0.062234,2.537431,63.340612,-8.142450,6.244474
0.010000,0.167739,7.886469,0.092346,3.011277,47.384647,-1595.596444,6.238766
0.010000,0.199378,7.884968,0.124021,3.167488,15.621023,-3176.362411,6.232839
0.010000,0.230984,7.883283,0.155672,3.165117,-0.237118,-1585.814153,6.226996
0.010000,0.262556,7.881416,0.187300,3.162713,-0.240314,-0.319568,6.221237
0.010000,0.294093,7.879370,0.218902,3.160280,-0.243339,-0.302481,6.215565
0.010000,0.325593,7.877148,0.250481,3.157818,-0.246196,-0.285693,6.209980
0.010000,0.357055,7.874753,0.282034,3.155330,-0.248827,-0.263070,6.204483
0.010000,0.388479,7.872189,0.313562,3.152818,-0.251175,-0.234802,6.199074
0.010000,0.419863,7.869459,0.345065,3.150280,-0.253844,-0.266976,6.193756
0.010000,0.451207,7.866565,0.376542,3.147719,-0.256064,-0.221966,6.188528
0.010000,0.482510,7.863512,0.407993,3.145138,-0.258135,-0.207058,6.183392
0.010000,0.513771,7.860302,0.439419,3.142537,-0.260061,-0.192597,6.178348
0.010000,0.544989,7.856939,0.470818,3.139919,-0.261847,-0.178598,6.173396
0.010000,0.576165,7.853426,0.502191,3.137284,-0.263497,-0.165073,6.168538
0.010000,0.607297,7.849765,0.533537,3.134635,-0.264868,-0.137064,6.163773
0.010000,0.638385,7.845961,0.564857,3.131970,-0.266455,-0.158669,6.159102
0.010000,0.669428,7.842017,0.596150,3.129293,-0.267727,-0.127255,6.154527
0.010000,0.700426,7.837936,0.627416,3.126604,-0.268883,-0.115589,6.150046
0.010000,0.731380,7.833721,0.658655,3.123905,-0.269928,-0.104541,6.145661
0.010000,0.762288,7.829375,0.689867,3.121196,-0.270868,-0.094000,6.141372
0.010000,0.793150,7.824903,0.721052,3.118479,-0.271698,-0.082986,6.137179
0.010000,0.823967,7.820306,0.752209,3.115755,-0.272449,-0.075044,6.133083
0.010000,0.854738,7.815589,0.783339,3.113023,-0.273136,-0.068682,6.129083
0.010000,0.885463,7.810755,0.814442,3.110286,-0.273701,-0.056554,6.125180
0.010000,0.916141,7.805807,0.845518,3.107545,-0.274186,-0.048510,6.121374
0.010000,0.946774,7.800748,0.876566,3.104799,-0.274596,-0.040949,6.117665
0.010000,0.977362,7.795581,0.907586,3.102049,-0.274934,-0.033862,6.114054
0.010000,1.007903,7.790310,0.938579,3.099297,-0.275245,-0.031091,6.110540
0.010000,1.038399,7.784939,0.969545,3.096542,-0.275450,-0.020448,6.107123
0.010000,1.068850,7.779469,1.000482,3.093786,-0.275586,-0.013608,6.103804
0.010000,1.099255,7.773905,1.031393,3.091030,-0.275684,-0.009806,6.100583
0.010000,1.129615,7.768249,1.062276,3.088272,-0.275733,-0.004955,6.097459
0.010000,1.159931,7.762505,1.093131,3.085515,-0.275739,-0.000515,6.094433
0.010000,1.190203,7.756676,1.123958,3.082758,-0.275703,0.003524,6.091504
0.010000,1.220430,7.750765,1.154758,3.080001,-0.275726,-0.002290,6.088673
0.010000,1.250614,7.744776,1.185531,3.077245,-0.275535,0.019115,6.085939
0.010000,1.280755,7.738711,1.216276,3.074491,-0.275397,0.013843,6.083303
0.010000,1.310853,7.732573,1.246993,3.071739,-0.275235,0.016131,6.080764
0.010000,1.340909,7.726367,1.277683,3.068988,-0.275052,0.018350,6.078323
0.010000,1.370922,7.720093,1.308345,3.066240,-0.274849,0.020247,6.075978
0.010000,1.400895,7.713757,1.338980,3.063494,-0.274633,0.021600,6.073731
0.010000,1.430827,7.707361,1.369588,3.060749,-0.274498,0.013524,6.071582
0.010000,1.460718,7.700907,1.400168,3.058007,-0.274155,0.034275,6.069529
0.010000,1.490569,7.694399,1.430720,3.055268,-0.273905,0.025013,6.067573
0.010000,1.520382,7.687841,1.461246,3.052531,-0.273650,0.025486,6.065714
0.010000,1.550156,7.681234,1.491744,3.049798,-0.273393,0.025715,6.063951
0.010000,1.579891,7.674582,1.522214,3.047066,-0.273136,0.025714,6.062286
0.010000,1.609590,7.667888,1.552658,3.044337,-0.272881,0.025497,6.060717
0.010000,1.639251,7.661155,1.583074,3.041610,-0.272692,0.018920,6.059244
0.010000,1.668877,7.654386,1.613463,3.038886,-0.272396,0.029545,6.057868
0.010000,1.698466,7.647583,1.643824,3.036165,-0.272140,0.025624,6.056588
0.010000,1.728021,7.640751,1.674159,3.033446,-0.271912,0.022778,6.055405
0.010000,1.757542,7.633891,1.704466,3.030729,-0.271696,0.021655,6.054317
0.010000,1.787029,7.627006,1.734746,3.028014,-0.271492,0.020390,6.053326
0.010000,1.816483,7.620100,1.764999,3.025301,-0.271302,0.018995,6.052430
0.010000,1.845905,7.613175,1.795225,3.022590,-0.271138,0.016411,6.051631
0.010000,1.875295,7.606234,1.825424,3.019880,-0.270996,0.014181,6.050927
0.010000,1.904655,7.599280,1.855596,3.017172,-0.270816,0.017998,6.050320
