dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.069477,7.607240,0.000027,0.005333,0.533333,53.333333,6.257034
0.010000,0.069477,7.607240,0.000133,0.016000,1.066667,53.333333,6.257012
0.010000,0.069477,7.607240,0.000373,0.032000,1.600000,53.333333,6.256962
0.010000,0.069477,7.607240,0.000800,0.053333,2.133333,53.333333,6.256874
0.010000,0.069477,7.607240,0.001440,0.074667,2.133333,0.000000,6.256742
0.010000,0.069477,7.607240,0.002293,0.096000,2.133333,-0.000000,6.256565
0.010000,0.069477,7.607240,0.003360,0.117333,2.133333,0.000000,6.256345
0.010000,0.069887,7.607229,0.004640,0.138667,2.133333,0.000000,6.256080
0.010000,0.071380,7.607189,0.006133,0.160000,2.133333,0.000000,6.255772
0.010000,0.073086,7.607141,0.007840,0.181333,2.133333,-0.000000,6.255419
0.010000,0.075005,7.607088,0.009760,0.202667,2.133333,0.000000,6.255023
0.010000,0.077138,7.607027,0.011893,0.224000,2.133333,0.000000,6.254584
0.010000,0.079483,7.606960,0.014240,0.245333,2.133333,-0.000000,6.254100
0.010000,0.082042,7.606884,0.016800,0.266667,2.133333,0.000000,6.253574
0.010000,0.084814,7.606802,0.019573,0.288000,2.133333,-0.000000,6.253004
0.010000,0.087800,7.606711,0.022560,0.309333,2.133333,0.000000,6.252391
0.010000,0.090998,7.606611,0.025760,0.330667,2.133333,-0.000000,6.251736
0.010000,0.094410,7.606502,0.029173,0.352000,2.133333,0.000000,6.251037
0.010000,0.098034,7.606384,0.032800,0.373333,2.133333,-0.000000,6.250296
0.010000,0.101872,7.606257,0.036640,0.394667,2.133333,0.000000,6.249513
0.010000,0.105923,7.606119,0.040693,0.416000,2.133333,-0.000000,6.248688
0.010000,0.110187,7.605970,0.044960,0.437333,2.133333,0.000000,6.247820
0.010000,0.114664,7.605809,0.049440,0.458667,2.133333,0.000000,6.246912
0.010000,0.119355,7.605637,0.054133,0.480000,2.133333,-0.000000,6.245961
0.010000,0.124258,7.605452,0.059040,0.501333,2.133333,0.000000,6.244970
0.010000,0.129374,7.605253,0.064160,0.522667,2.133333,-0.000000,6.243938
0.010000,0.134703,7.605041,0.069493,0.544000,2.133333,0.000000,6.242866
0.010000,0.140245,7.604815,0.075040,0.565333,2.133333,0.000000,6.241753
0.010000,0.146000,7.604573,0.080800,0.586667,2.133333,0.000000,6.240601
0.010000,0.151968,7.604315,0.086773,0.608000,2.133333,0.000000,6.239409
0.010000,0.158148,7.604040,0.092960,0.629333,2.133333,-0.000000,6.238178
0.010000,0.164542,7.603748,0.099360,0.650667,2.133333,0.000000,6.236908
0.010000,0.171148,7.603438,0.105973,0.672000,2.133333,-0.000000,6.235600
0.010000,0.177966,7.603109,0.112800,0.693333,2.133333,0.000000,6.234254
0.010000,0.184998,7.602760,0.119840,0.714667,2.133333,0.000000,6.232871
0.010000,0.192242,7.602390,0.127093,0.736000,2.133333,0.000000,6.231450
0.010000,0.199698,7.601998,0.134560,0.757333,2.133333,-0.000000,6.229993
0.010000,0.207367,7.601584,0.142240,0.778667,2.133333,0.000000,6.228499
0.010000,0.215248,7.601147,0.150133,0.800000,2.133333,0.000000,6.226970
0.010000,0.223342,7.600685,0.158240,0.821333,2.133333,0.000000,6.225406
0.010000,0.231647,7.600198,0.166560,0.842667,2.133333,0.000000,6.223806
0.010000,0.240165,7.599684,0.175093,0.864000,2.133333,0.000000,6.222173
0.010000,0.248895,7.599144,0.183840,0.885333,2.133333,-0.000000,6.220506
0.010000,0.257837,7.598575,0.192800,0.906667,2.133333,0.000000,6.218806
0.010000,0.266991,7.597977,0.201973,0.928000,2.133333,-0.000000,6.217074
0.010000,0.276356,7.597348,0.211360,0.949333,2.133333,0.000000,6.215310
0.010000,0.285934,7.596689,0.220960,0.970667,2.133333,-0.000000,6.213514
0.010000,0.295723,7.595997,0.230773,0.992000,2.133333,-0.000000,6.211688
0.010000,0.305723,7.595271,0.240800,1.013333,2.133333,0.000000,6.209832
0.010000,0.315935,7.594511,0.251040,1.034667,2.133333,-0.000000,6.207947
0.010000,0.326358,7.593715,0.261493,1.056000,2.133333,0.000000,6.206032
0.010000,0.336992,7.592883,0.272160,1.077333,2.133333,0.000000,6.204090
0.010000,0.347837,7.592012,0.283040,1.098667,2.133333,-0.000000,6.202121
0.010000,0.358893,7.591103,0.294133,1.120000,2.133333,0.000000,6.200125
0.010000,0.370160,7.590153,0.305440,1.141333,2.133333,0.000000,6.198103
0.010000,0.381637,7.589163,0.316960,1.162667,2.133333,-0.000000,6.196057
0.010000,0.393325,7.588130,0.328693,1.184000,2.133333,0.000000,6.193986
0.010000,0.405223,7.587053,0.340640,1.205333,2.133333,0.000000,6.191892
0.010000,0.417331,7.585932,0.352800,1.226667,2.133333,0.000000,6.189775
0.010000,0.429649,7.584764,0.365173,1.248000,2.133333,0.000000,6.187636
0.010000,0.442177,7.583550,0.377760,1.269333,2.133333,-0.000000,6.185477
0.010000,0.454915,7.582287,0.390560,1.290667,2.133333,0.000000,6.183297
0.010000,0.467862,7.580975,0.403573,1.312000,2.133333,0.000000,6.181098
0.010000,0.481018,7.579613,0.416800,1.333333,2.133333,0.000000,6.178881
0.010000,0.494383,7.578199,0.430240,1.354667,2.133333,-0.000000,6.176647
0.010000,0.507958,7.576731,0.443893,1.376000,2.133333,0.000000,6.174396
