dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.062088,7.324762,0.000028,0.005556,0.555556,55.555556,6.257034
0.010000,0.062081,7.324762,0.000034,0.000650,-0.490545,-104.610078,6.257011
0.010000,0.062067,7.324763,0.000049,0.001463,0.081251,57.179626,6.256959
0.010000,0.062042,7.324763,0.000073,0.002437,0.097471,1.622000,6.256873
0.010000,0.062008,7.324764,0.000107,0.003411,0.097416,-0.005481,6.256752
0.010000,0.061964,7.324765,0.000151,0.004385,0.097339,-0.007676,6.256597
0.010000,0.061911,7.324767,0.000205,0.005357,0.097241,-0.009873,6.256408
0.010000,0.061847,7.324768,0.000268,0.006328,0.097120,-0.012074,6.256184
0.010000,0.062934,7.324739,0.001355,0.108661,10.233219,1013.609931,6.255925
0.010000,0.064267,7.324702,0.002689,0.133401,2.474005,-775.921469,6.255633
0.010000,0.065757,7.324661,0.004180,0.149095,1.569419,-90.458536,6.255306
0.010000,0.067405,7.324615,0.005828,0.164807,1.571184,0.176447,6.254945
0.010000,0.069209,7.324563,0.007633,0.180503,1.569674,-0.150962,6.254550
0.010000,0.071171,7.324507,0.009595,0.196215,1.571117,0.144273,6.254121
0.010000,0.073289,7.324445,0.011714,0.211919,1.570447,-0.066958,6.253658
0.010000,0.075564,7.324377,0.013990,0.227637,1.571751,0.130405,6.253162
0.010000,0.077997,7.324303,0.016424,0.243345,1.570786,-0.096518,6.252631
0.010000,0.080586,7.324223,0.019015,0.259070,1.572571,0.178519,6.252068
0.010000,0.083333,7.324137,0.021763,0.274789,1.571917,-0.065404,6.251470
0.010000,0.086236,7.324044,0.024668,0.290511,1.572203,0.028572,6.250840
0.010000,0.089297,7.323944,0.027730,0.306243,1.573169,0.096642,6.250176
0.010000,0.092515,7.323837,0.030950,0.321979,1.573632,0.046268,6.249479
0.010000,0.095890,7.323722,0.034327,0.337716,1.573626,-0.000639,6.248749
0.010000,0.099423,7.323599,0.037862,0.353457,1.574163,0.053748,6.247987
0.010000,0.103112,7.323467,0.041554,0.369204,1.574702,0.053877,6.247192
0.010000,0.106959,7.323327,0.045403,0.384957,1.575243,0.054106,6.246365
0.010000,0.110964,7.323178,0.049410,0.400715,1.575787,0.054436,6.245506
0.010000,0.115125,7.323019,0.053575,0.416478,1.576336,0.054871,6.244614
0.010000,0.119445,7.322850,0.057898,0.432247,1.576890,0.055414,6.243691
0.010000,0.123921,7.322671,0.062378,0.448021,1.577451,0.056067,6.242736
0.010000,0.128555,7.322482,0.067016,0.463802,1.578019,0.056833,6.241750
0.010000,0.133347,7.322280,0.071812,0.479588,1.578596,0.057714,6.240733
0.010000,0.138296,7.322068,0.076766,0.495387,1.579969,0.137262,6.239685
0.010000,0.143403,7.321843,0.081877,0.511188,1.580042,0.007347,6.238606
0.010000,0.148668,7.321605,0.087147,0.526993,1.580518,0.047575,6.237497
0.010000,0.154090,7.321354,0.092575,0.542811,1.581782,0.126387,6.236358
0.010000,0.159670,7.321089,0.098162,0.558636,1.582563,0.078049,6.235189
0.010000,0.165408,7.320810,0.103906,0.574462,1.582616,0.005372,6.233991
0.010000,0.171304,7.320516,0.109810,0.590310,1.584794,0.217804,6.232763
0.010000,0.177357,7.320207,0.115871,0.606151,1.584076,-0.071819,6.231506
0.010000,0.183569,7.319881,0.122091,0.622016,1.586490,0.241389,6.230221
0.010000,0.189939,7.319540,0.128470,0.637877,1.586123,-0.036675,6.228907
0.010000,0.196466,7.319180,0.135008,0.653754,1.587710,0.158711,6.227565
0.010000,0.203152,7.318804,0.141704,0.669642,1.588721,0.101043,6.226196
0.010000,0.209996,7.318408,0.148559,0.685534,1.589232,0.051086,6.224800
0.010000,0.216998,7.317994,0.155574,0.701438,1.590400,0.116783,6.223376
0.010000,0.224159,7.317560,0.162747,0.717359,1.592070,0.167067,6.221926
0.010000,0.231477,7.317106,0.170080,0.733284,1.592507,0.043694,6.220450
0.010000,0.238955,7.316630,0.177572,0.749220,1.593669,0.116230,6.218947
0.010000,0.246590,7.316133,0.185224,0.765169,1.594842,0.117247,6.217420
0.010000,0.254384,7.315614,0.193035,0.781129,1.596026,0.118434,6.215867
0.010000,0.262337,7.315072,0.201006,0.797101,1.597224,0.119788,6.214290
0.010000,0.270448,7.314505,0.209137,0.813086,1.598437,0.121307,6.212689
0.010000,0.278717,7.313915,0.217428,0.829082,1.599667,0.122989,6.211064
0.010000,0.287146,7.313299,0.225879,0.845092,1.600915,0.124832,6.209416
0.010000,0.295733,7.312657,0.234490,0.861113,1.602184,0.126832,6.207745
0.010000,0.304479,7.311988,0.243262,0.877148,1.603474,0.128987,6.206051
0.010000,0.313384,7.311292,0.252194,0.893201,1.605288,0.181435,6.204336
0.010000,0.322448,7.310568,0.261286,0.909263,1.606242,0.095384,6.202600
0.010000,0.331670,7.309815,0.270540,0.925339,1.607544,0.130269,6.200842
0.010000,0.341052,7.309033,0.279954,0.941432,1.609290,0.174572,6.199065
0.010000,0.350593,7.308220,0.289529,0.957540,1.610798,0.150797,6.197267
0.010000,0.360293,7.307375,0.299266,0.973658,1.611834,0.103614,6.195450
0.010000,0.370152,7.306499,0.309164,0.989800,1.614210,0.237587,6.193615
0.010000,0.380170,7.305590,0.319223,1.005948,1.614822,0.061185,6.191761
0.010000,0.390348,7.304647,0.329445,1.022122,1.617360,0.253786,6.189889
0.010000,0.400685,7.303670,0.339828,1.038304,1.618201,0.084147,6.188001
0.010000,0.411181,7.302658,0.350373,1.054507,1.620323,0.212204,6.186096
0.010000,0.421837,7.301610,0.361080,1.070726,1.621923,0.159972,6.184176
0.010000,0.432652,7.300525,0.371950,1.086961,1.623462,0.153868,6.182240
0.010000,0.443627,7.299402,0.382982,1.103215,1.625362,0.189974,6.180289
0.010000,0.454762,7.298241,0.394177,1.119488,1.627316,0.195490,6.178325
0.010000,0.466056,7.297041,0.405534,1.135777,1.628886,0.156941,6.176347
0.010000,0.477510,7.295801,0.417055,1.152084,1.630762,0.187599,6.174356
0.010000,0.489124,7.294521,0.428739,1.168411,1.632656,0.189464,6.172353
0.010000,0.500897,7.293198,0.440587,1.184757,1.634571,0.191491,6.170340
0.010000,0.512831,7.291834,0.452598,1.201122,1.636508,0.193671,6.168315
0.010000,0.524924,7.290426,0.464773,1.217506,1.638468,0.195996,6.166280
0.010000,0.537177,7.288974,0.477112,1.233911,1.640453,0.198457,6.164236
0.010000,0.549591,7.287478,0.489616,1.250336,1.642463,0.201046,6.162184
0.010000,0.562165,7.285936,0.502283,1.266781,1.644501,0.203753,6.160124
0.010000,0.574898,7.284347,0.515116,1.283246,1.646566,0.206568,6.158056
0.010000,0.587792,7.282712,0.528113,1.299734,1.648769,0.220256,6.155982
0.010000,0.600847,7.281028,0.541276,1.316242,1.650851,0.208263,6.153903
0.010000,0.614061,7.279296,0.554603,1.332772,1.652937,0.208508,6.151819
0.010000,0.627437,7.277515,0.568097,1.349324,1.655173,0.223621,6.149731
0.010000,0.640972,7.275683,0.581756,1.365898,1.657466,0.229290,6.147639
0.010000,0.654668,7.273801,0.595581,1.382494,1.659559,0.209377,6.145545
0.010000,0.668525,7.271866,0.609572,1.399114,1.661988,0.242865,6.143449
0.010000,0.682543,7.269880,0.623729,1.415755,1.664143,0.215531,6.141353
0.010000,0.696721,7.267840,0.638053,1.432421,1.666584,0.244098,6.139256
0.010000,0.711060,7.265747,0.652545,1.449109,1.668832,0.224788,6.137160
0.010000,0.725560,7.263599,0.667203,1.465822,1.671286,0.245418,6.135066
0.010000,0.740221,7.261395,0.682028,1.482559,1.673639,0.235291,6.132974
0.010000,0.755043,7.259136,0.697022,1.499319,1.676070,0.243067,6.130886
0.010000,0.770026,7.256820,0.712183,1.516105,1.678533,0.246336,6.128802
0.010000,0.785170,7.254447,0.727512,1.532914,1.680995,0.246186,6.126722
0.010000,0.800476,7.252016,0.743009,1.549749,1.683494,0.249879,6.124649
0.010000,0.815943,7.249527,0.758675,1.566610,1.686018,0.252392,6.122583
0.010000,0.831572,7.246979,0.774510,1.583495,1.688562,0.254420,6.120524
0.010000,0.847362,7.244371,0.790514,1.600407,1.691128,0.256546,6.118474
0.010000,0.863314,7.241703,0.806688,1.617344,1.693715,0.258757,6.116434
0.010000,0.879427,7.238974,0.823031,1.634307,1.696326,0.261041,6.114404
0.010000,0.895703,7.236183,0.839544,1.651297,1.698959,0.263387,6.112386
0.010000,0.912140,7.233331,0.856227,1.668313,1.701617,0.265782,6.110380
0.010000,0.928740,7.230417,0.873080,1.685356,1.704299,0.268217,6.108387
0.010000,0.945502,7.227439,0.890105,1.702426,1.707006,0.270680,6.106408
0.010000,0.962426,7.224399,0.907300,1.719523,1.709735,0.272877,6.104445
0.010000,0.979513,7.221294,0.924666,1.736647,1.712369,0.263408,6.102498
0.010000,0.996762,7.218126,0.942204,1.753799,1.715243,0.287342,6.100568
0.010000,1.014174,7.214893,0.959914,1.770980,1.718047,0.280459,6.098656
0.010000,1.031750,7.211595,0.977796,1.788187,1.720700,0.265253,6.096764
0.010000,1.049488,7.208233,0.995850,1.805423,1.723658,0.295837,6.094891
0.010000,1.067389,7.204804,1.014077,1.822688,1.726442,0.278420,6.093040
0.010000,1.085454,7.201310,1.032477,1.839981,1.729290,0.284740,6.091211
0.010000,1.103683,7.197750,1.051050,1.857302,1.732190,0.290014,6.089405
0.010000,1.122075,7.194123,1.069797,1.874653,1.735099,0.290879,6.087623
0.010000,1.140632,7.190430,1.088717,1.892033,1.737926,0.282786,6.085867
0.010000,1.159352,7.186671,1.107811,1.909443,1.741006,0.307977,6.084137
0.010000,1.178238,7.182845,1.127080,1.926881,1.743832,0.282631,6.082434
0.010000,1.197287,7.178951,1.146524,1.944349,1.746811,0.297811,6.080759
0.010000,1.216502,7.174991,1.166142,1.961848,1.749877,0.306660,6.079114
0.010000,1.235882,7.170964,1.185936,1.979377,1.752869,0.299161,6.077500
0.010000,1.255427,7.166870,1.205905,1.996935,1.755882,0.301274,6.075917
0.010000,1.275138,7.162709,1.226050,2.014524,1.758884,0.300223,6.074366
0.010000,1.295014,7.158481,1.246372,2.032144,1.761963,0.307905,6.072850
0.010000,1.315057,7.154187,1.266870,2.049795,1.765079,0.311647,6.071368
0.010000,1.335267,7.149825,1.287545,2.067477,1.768181,0.310169,6.069922
0.010000,1.355643,7.145398,1.308396,2.085190,1.771305,0.312425,6.068513
0.010000,1.376187,7.140904,1.329426,2.102934,1.774424,0.311909,6.067143
0.010000,1.396898,7.136344,1.350633,2.120709,1.777561,0.313651,6.065811
0.010000,1.417777,7.131718,1.372018,2.138517,1.780792,0.323086,6.064520
0.010000,1.438824,7.127027,1.393582,2.156357,1.784009,0.321681,6.063271
0.010000,1.460040,7.122271,1.415324,2.174230,1.787248,0.323943,6.062064
0.010000,1.481425,7.117451,1.437245,2.192134,1.790443,0.319523,6.060901
0.010000,1.502979,7.112566,1.459346,2.210071,1.793668,0.322509,6.059782
0.010000,1.524703,7.107618,1.481626,2.228042,1.797089,0.342096,6.058710
0.010000,1.546597,7.102607,1.504087,2.246045,1.800299,0.320945,6.057686
0.010000,1.568662,7.097534,1.526728,2.264082,1.803662,0.336361,6.056710
0.010000,1.590899,7.092399,1.549549,2.282152,1.807064,0.340191,6.055783
0.010000,1.613307,7.087204,1.572552,2.300256,1.810374,0.331009,6.054907
0.010000,1.635887,7.081948,1.595736,2.318394,1.813852,0.347745,6.054084
0.010000,1.658640,7.076632,1.619101,2.336567,1.817271,0.341971,6.053314
0.010000,1.681567,7.071259,1.642649,2.354774,1.820685,0.341369,6.052598
0.010000,1.704667,7.065827,1.666379,2.373017,1.824260,0.357460,6.051938
0.010000,1.727942,7.060340,1.690292,2.391294,1.827728,0.346820,6.051335
0.010000,1.751391,7.054796,1.714388,2.409606,1.831246,0.351801,6.050790
0.010000,1.775017,7.049199,1.738668,2.427955,1.834875,0.362871,6.050305
0.010000,1.798819,7.043548,1.763131,2.446340,1.838470,0.359503,6.049880
0.010000,1.822797,7.037845,1.787779,2.464761,1.842099,0.362978,6.049518
0.010000,1.846927,7.032098,1.812583,2.480449,1.568825,-27.327482,6.049219
0.010000,1.871154,7.026321,1.837490,2.490625,1.017600,-55.122419,6.048986
0.010000,1.895425,7.020528,1.862442,2.495272,0.464728,-55.287264,6.048819
0.010000,1.919713,7.014727,1.887414,2.497150,0.187761,-27.696643,6.048718
0.010000,1.944020,7.008921,1.912404,2.499027,0.187752,-0.000919,6.048683
0.010000,1.968344,7.003110,1.937413,2.500905,0.187747,-0.000565,6.048715
0.010000,1.992688,6.997297,1.962441,2.502782,0.187751,0.000429,6.048814
0.010000,2.017050,6.991482,1.987488,2.504660,0.187765,0.001422,6.048979
0.010000,2.041432,6.985668,2.012553,2.506538,0.187789,0.002410,6.049210
0.010000,2.065833,6.979855,2.037637,2.508416,0.187823,0.003388,6.049508
0.010000,2.090255,6.974047,2.062740,2.510295,0.187867,0.004354,6.049872
0.010000,2.114697,6.968244,2.087862,2.512174,0.187920,0.005303,6.050303
0.010000,2.139160,6.962448,2.113002,2.514054,0.187982,0.006231,6.050800
0.010000,2.163645,6.956660,2.138162,2.515934,0.188053,0.007135,6.051364
0.010000,2.188151,6.950883,2.163340,2.517816,0.188133,0.008010,6.051995
0.010000,2.212680,6.945118,2.188537,2.519698,0.188222,0.008853,6.052692
0.010000,2.237231,6.939367,2.213753,2.521581,0.188319,0.009660,6.053456
0.010000,2.261805,6.933630,2.238987,2.523465,0.188423,0.010426,6.054286
0.010000,2.286403,6.927911,2.264241,2.525351,0.188534,0.011148,6.055183
0.010000,2.311024,6.922211,2.289513,2.527237,0.188652,0.011821,6.056147
0.010000,2.335669,6.916530,2.314804,2.529125,0.188803,0.015048,6.057178
0.010000,2.360338,6.910872,2.340115,2.531014,0.188914,0.011058,6.058275
0.010000,2.385033,6.905237,2.365444,2.532905,0.189044,0.013081,6.059440
0.010000,2.409752,6.899628,2.390792,2.534797,0.189183,0.013914,6.060671
0.010000,2.434497,6.894046,2.416159,2.536690,0.189326,0.014281,6.061970
0.010000,2.459268,6.888493,2.441544,2.538585,0.189472,0.014574,6.063335
0.010000,2.484065,6.882970,2.466949,2.540481,0.189620,0.014790,6.064768
0.010000,2.508889,6.877479,2.492373,2.542379,0.189769,0.014923,6.066267
0.010000,2.533740,6.872023,2.517816,2.544278,0.189919,0.014971,6.067834
0.010000,2.558618,6.866602,2.543278,2.546178,0.190068,0.014927,6.069469
0.010000,2.583524,6.861219,2.568758,2.548081,0.190216,0.014788,6.071170
0.010000,2.608457,6.855875,2.594258,2.549984,0.190361,0.014549,6.072939
0.010000,2.633419,6.850572,2.619777,2.551889,0.190504,0.014206,6.074775
0.010000,2.658410,6.845312,2.645315,2.553796,0.190641,0.013754,6.076679
0.010000,2.683429,6.840096,2.670872,2.555703,0.190773,0.013189,6.078650
0.010000,2.708477,6.834926,2.696448,2.557612,0.190898,0.012507,6.080689
0.010000,2.733555,6.829805,2.722043,2.559523,0.191015,0.011702,6.082796
0.010000,2.758662,6.824734,2.747658,2.561434,0.191123,0.010770,6.084970
0.010000,2.783799,6.819714,2.773291,2.563346,0.191220,0.009707,6.087211
0.010000,2.808966,6.814748,2.798944,2.565259,0.191307,0.008709,6.089521
0.010000,2.834164,6.809837,2.824616,2.567173,0.191403,0.009599,6.091898
0.010000,2.859392,6.804983,2.850306,2.569087,0.191431,0.002795,6.094343
0.010000,2.884651,6.800189,2.876016,2.571002,0.191471,0.004012,6.096856
0.010000,2.909941,6.795455,2.901746,2.572917,0.191493,0.002227,6.099436
0.010000,2.935262,6.790783,2.927494,2.574832,0.191496,0.000284,6.102085
0.010000,2.960614,6.786177,2.953261,2.576747,0.191478,-0.001821,6.104801
0.010000,2.985998,6.781636,2.979048,2.578661,0.191437,-0.004090,6.107584
0.010000,3.011413,6.777164,3.004854,2.580575,0.191372,-0.006529,6.110436
0.010000,3.036860,6.772762,3.030679,2.582488,0.191280,-0.009141,6.113355
0.010000,3.062339,6.768432,3.056523,2.584399,0.191161,-0.011930,6.116342
0.010000,3.087849,6.764176,3.082386,2.586309,0.191012,-0.014899,6.119396
0.010000,3.113392,6.759995,3.108268,2.588218,0.190831,-0.018051,6.122518
0.010000,3.138966,6.755892,3.134169,2.590124,0.190618,-0.021389,6.125708
0.010000,3.164572,6.751869,3.160089,2.592028,0.190368,-0.024917,6.128964
0.010000,3.190210,6.747926,3.186029,2.593928,0.190082,-0.028636,6.132288
0.010000,3.215880,6.744068,3.211987,2.595826,0.189757,-0.032549,6.135680
0.010000,3.241582,6.740294,3.237964,2.597720,0.189390,-0.036657,6.139138
0.010000,3.267315,6.736608,3.263960,2.599610,0.188980,-0.040964,6.142663
0.010000,3.293080,6.733010,3.289975,2.601495,0.188526,-0.045469,6.146255
0.010000,3.318876,6.729503,3.316009,2.603375,0.188024,-0.050173,6.149913
0.010000,3.344704,6.726090,3.342061,2.605250,0.187473,-0.055078,6.153638
0.010000,3.370563,6.722770,3.368133,2.607119,0.186871,-0.060183,6.157429
