dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674538,4.391995,0.000028,0.005556,0.555556,55.555556,0.000363
0.010000,1.674540,4.391995,0.000029,0.000172,-0.538396,-109.395161,0.000357
0.010000,1.674544,4.391995,0.000033,0.000386,0.021455,55.985125,0.000344
0.010000,1.674550,4.391995,0.000040,0.000644,0.025761,0.430584,0.000321
0.010000,1.674559,4.391995,0.000049,0.000902,0.025788,0.002687,0.000289
0.010000,1.674571,4.391995,0.000060,0.001160,0.025826,0.003762,0.000248
0.010000,1.674585,4.391995,0.000075,0.001419,0.025874,0.004838,0.000198
0.010000,1.674602,4.391995,0.000091,0.001678,0.025933,0.005915,0.000138
0.010000,1.674621,4.391995,0.000111,0.001938,0.026003,0.006993,0.000070
0.010000,1.674789,4.391995,0.000279,0.016831,1.489267,146.326382,6.283177
0.010000,1.676397,4.391995,0.001887,0.160811,14.397999,1290.873246,6.283090
0.010000,1.678175,4.391995,0.003664,0.177729,1.691861,-1270.613856,6.282994
0.010000,1.680121,4.391994,0.005611,0.194645,1.691594,-0.026650,6.282888
0.010000,1.682237,4.391993,0.007727,0.211582,1.693709,0.211468,6.282773
0.010000,1.684522,4.391992,0.010012,0.228534,1.695169,0.146051,6.282648
0.010000,1.686977,4.391991,0.012467,0.245445,1.691124,-0.404493,6.282514
0.010000,1.689601,4.391989,0.015090,0.262394,1.694919,0.379466,6.282371
0.010000,1.692394,4.391986,0.017884,0.279337,1.694283,-0.063604,6.282217
0.010000,1.695357,4.391983,0.020846,0.296254,1.691679,-0.260444,6.282054
0.010000,1.698489,4.391980,0.023979,0.313232,1.697819,0.614061,6.281882
0.010000,1.701790,4.391975,0.027280,0.330135,1.690289,-0.753027,6.281699
0.010000,1.705261,4.391969,0.030751,0.347128,1.699294,0.900504,6.281507
0.010000,1.708902,4.391963,0.034392,0.364036,1.690776,-0.851803,6.281304
0.010000,1.712712,4.391955,0.038202,0.381023,1.698676,0.789977,6.281092
0.010000,1.716692,4.391947,0.042181,0.397954,1.693165,-0.551079,6.280869
0.010000,1.720841,4.391937,0.046331,0.414914,1.695933,0.276782,6.280636
0.010000,1.725160,4.391925,0.050649,0.431888,1.697481,0.154787,6.280393
0.010000,1.729648,4.391912,0.055138,0.448827,1.693864,-0.361639,6.280139
0.010000,1.734306,4.391897,0.059796,0.465808,1.698086,0.422133,6.279874
0.010000,1.739134,4.391880,0.064624,0.482786,1.697812,-0.027408,6.279599
0.010000,1.744131,4.391862,0.069621,0.499743,1.695733,-0.207890,6.279313
0.010000,1.749298,4.391841,0.074788,0.516708,1.696466,0.073291,6.279016
0.010000,1.754635,4.391818,0.080125,0.533712,1.700393,0.392777,6.278708
0.010000,1.760142,4.391792,0.085632,0.550696,1.698450,-0.194362,6.278389
0.010000,1.765819,4.391764,0.091309,0.567677,1.698053,-0.039652,6.278059
0.010000,1.771665,4.391733,0.097156,0.584664,1.698696,0.064334,6.277717
0.010000,1.777682,4.391699,0.103172,0.601657,1.699318,0.062113,6.277363
0.010000,1.783868,4.391662,0.109359,0.618656,1.699916,0.059823,6.276997
0.010000,1.790225,4.391622,0.115715,0.635661,1.700490,0.057461,6.276620
0.010000,1.796751,4.391578,0.122242,0.652672,1.701041,0.055026,6.276230
0.010000,1.803448,4.391530,0.128939,0.669687,1.701566,0.052516,6.275829
0.010000,1.810315,4.391478,0.135806,0.686708,1.702065,0.049929,6.275414
0.010000,1.817352,4.391421,0.142843,0.703733,1.702538,0.047264,6.274987
0.010000,1.824559,4.391361,0.150051,0.720763,1.702983,0.044520,6.274548
0.010000,1.831937,4.391295,0.157429,0.737797,1.703400,0.041694,6.274095
0.010000,1.839485,4.391225,0.164977,0.754835,1.703788,0.038785,6.273629
0.010000,1.847204,4.391149,0.172696,0.771876,1.704146,0.035791,6.273150
0.010000,1.855092,4.391068,0.180585,0.788921,1.704473,0.032712,6.272657
0.010000,1.863152,4.390981,0.188645,0.805969,1.704768,0.029545,6.272150
0.010000,1.871382,4.390888,0.196876,0.823059,1.709022,0.425385,6.271630
0.010000,1.879782,4.390789,0.205277,0.840127,1.706799,-0.222275,6.271095
0.010000,1.888353,4.390683,0.213849,0.857188,1.706067,-0.073217,6.270545
0.010000,1.897095,4.390570,0.222591,0.874252,1.706458,0.039114,6.269981
0.010000,1.906008,4.390450,0.231505,0.891387,1.713473,0.701483,6.269402
0.010000,1.915092,4.390322,0.240590,0.908458,1.707092,-0.638139,6.268808
0.010000,1.924346,4.390186,0.249845,0.925546,1.708761,0.166969,6.268198
0.010000,1.933772,4.390042,0.259272,0.942693,1.714783,0.602114,6.267573
0.010000,1.943369,4.389889,0.268870,0.959772,1.707815,-0.696740,6.266931
0.010000,1.953137,4.389727,0.278639,0.976933,1.716162,0.834677,6.266274
0.010000,1.963076,4.389556,0.288580,0.994038,1.710441,-0.572050,6.265600
0.010000,1.973186,4.389374,0.298692,1.011203,1.716552,0.611005,6.264909
0.010000,1.983468,4.389183,0.308975,1.028325,1.712202,-0.434929,6.264201
0.010000,1.993921,4.388980,0.319430,1.045518,1.719245,0.704288,6.263475
0.010000,2.004545,4.388767,0.330056,1.062642,1.712489,-0.675599,6.262732
0.010000,2.015341,4.388542,0.340855,1.079864,1.722129,0.963961,6.261971
0.010000,2.026309,4.388305,0.351825,1.097026,1.716237,-0.589151,6.261191
0.010000,2.037448,4.388056,0.362967,1.114200,1.717409,0.117136,6.260393
0.010000,2.048760,4.387793,0.374282,1.131449,1.724928,0.751963,6.259576
0.010000,2.060243,4.387517,0.385768,1.148642,1.719226,-0.570201,6.258739
0.010000,2.071898,4.387227,0.397427,1.165849,1.720734,0.150744,6.257883
0.010000,2.083725,4.386923,0.409258,1.183094,1.724526,0.379268,6.257007
0.010000,2.095724,4.386603,0.421261,1.200358,1.726360,0.183383,6.256110
0.010000,2.107895,4.386268,0.433437,1.217604,1.724571,-0.178899,6.255192
0.010000,2.120239,4.385917,0.445786,1.234864,1.726005,0.143335,6.254253
0.010000,2.132755,4.385548,0.458307,1.252138,1.727420,0.141508,6.253293
0.010000,2.145443,4.385163,0.471002,1.269426,1.728815,0.139537,6.252310
0.010000,2.158304,4.384759,0.483869,1.286728,1.730189,0.137420,6.251305
0.010000,2.171338,4.384337,0.496909,1.304043,1.731541,0.135157,6.250277
0.010000,2.184544,4.383895,0.510123,1.321372,1.732868,0.132748,6.249226
0.010000,2.197924,4.383433,0.523510,1.338714,1.734170,0.130192,6.248151
