dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674641,4.109420,0.000028,0.005556,0.555556,55.555556,0.000363
0.010000,1.674641,4.109420,0.000139,0.016667,1.111111,55.555556,0.000357
0.010000,1.674641,4.109420,0.000389,0.033333,1.666667,55.555556,0.000344
0.010000,1.674641,4.109420,0.000806,0.050000,1.666667,0.000000,0.000321
0.010000,1.674641,4.109420,0.001389,0.066667,1.666667,-0.000000,0.000289
0.010000,1.674641,4.109420,0.002139,0.083333,1.666667,0.000000,0.000248
0.010000,1.674641,4.109420,0.003056,0.100000,1.666667,0.000000,0.000198
0.010000,1.674641,4.109420,0.004139,0.116667,1.666667,-0.000000,0.000138
0.010000,1.674641,4.109420,0.005389,0.133333,1.666667,0.000000,0.000070
0.010000,1.674787,4.109420,0.006806,0.150000,1.666667,0.000000,6.283177
0.010000,1.676370,4.109420,0.008389,0.166667,1.666667,0.000000,6.283090
0.010000,1.678120,4.109420,0.010139,0.183333,1.666667,0.000000,6.282994
0.010000,1.680037,4.109419,0.012056,0.200000,1.666667,-0.000000,6.282888
0.010000,1.682120,4.109419,0.014139,0.216667,1.666667,0.000000,6.282773
0.010000,1.684370,4.109417,0.016389,0.233333,1.666667,0.000000,6.282648
0.010000,1.686787,4.109416,0.018806,0.250000,1.666667,0.000000,6.282514
0.010000,1.689370,4.109414,0.021389,0.266667,1.666667,0.000000,6.282371
0.010000,1.692120,4.109412,0.024139,0.283333,1.666667,0.000000,6.282217
0.010000,1.695037,4.109409,0.027056,0.300000,1.666667,0.000000,6.282054
0.010000,1.698120,4.109405,0.030139,0.316667,1.666667,0.000000,6.281882
0.010000,1.701370,4.109400,0.033389,0.333333,1.666667,-0.000000,6.281699
0.010000,1.704787,4.109395,0.036806,0.350000,1.666667,0.000000,6.281507
0.010000,1.708370,4.109388,0.040389,0.366667,1.666667,-0.000000,6.281304
0.010000,1.712120,4.109381,0.044139,0.383333,1.666667,-0.000000,6.281092
0.010000,1.716037,4.109372,0.048056,0.400000,1.666667,0.000000,6.280869
0.010000,1.720120,4.109362,0.052139,0.416667,1.666667,-0.000000,6.280636
0.010000,1.724370,4.109351,0.056389,0.433333,1.666667,0.000000,6.280393
0.010000,1.728787,4.109338,0.060806,0.450000,1.666667,-0.000000,6.280139
0.010000,1.733370,4.109324,0.065389,0.466667,1.666667,0.000000,6.279874
0.010000,1.738120,4.109307,0.070139,0.483333,1.666667,-0.000000,6.279599
0.010000,1.743037,4.109289,0.075056,0.500000,1.666667,0.000000,6.279313
0.010000,1.748120,4.109269,0.080139,0.516667,1.666667,-0.000000,6.279016
0.010000,1.753370,4.109246,0.085389,0.533333,1.666667,0.000000,6.278708
0.010000,1.758787,4.109221,0.090806,0.550000,1.666667,0.000000,6.278389
0.010000,1.764370,4.109193,0.096389,0.566667,1.666667,-0.000000,6.278059
0.010000,1.770120,4.109163,0.102139,0.583333,1.666667,0.000000,6.277717
0.010000,1.776037,4.109129,0.108056,0.600000,1.666667,-0.000000,6.277363
0.010000,1.782120,4.109093,0.114139,0.616667,1.666667,0.000000,6.276997
0.010000,1.788370,4.109053,0.120389,0.633333,1.666667,0.000000,6.276620
0.010000,1.794786,4.109009,0.126806,0.650000,1.666667,-0.000000,6.276230
0.010000,1.801369,4.108962,0.133389,0.666667,1.666667,0.000000,6.275829
0.010000,1.808119,4.108911,0.140139,0.683333,1.666667,0.000000,6.275414
0.010000,1.815036,4.108856,0.147056,0.700000,1.666667,0.000000,6.274987
0.010000,1.822119,4.108796,0.154139,0.716667,1.666667,-0.000000,6.274548
0.010000,1.829368,4.108732,0.161389,0.733333,1.666667,0.000000,6.274095
0.010000,1.836785,4.108663,0.168806,0.750000,1.666667,-0.000000,6.273629
0.010000,1.844368,4.108589,0.176389,0.766667,1.666667,0.000000,6.273150
