dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674743,3.826845,0.000027,0.005333,0.533333,53.333333,0.000363
0.010000,1.674742,3.826845,0.000028,0.000165,-0.516860,-105.019359,0.000358
0.010000,1.674738,3.826845,0.000032,0.000371,0.020597,53.745697,0.000345
0.010000,1.674731,3.826845,0.000039,0.000659,0.028850,0.825368,0.000321
0.010000,1.674721,3.826845,0.000049,0.000989,0.033004,0.415371,0.000286
0.010000,1.674708,3.826845,0.000062,0.001320,0.033057,0.005283,0.000239
0.010000,1.674692,3.826845,0.000078,0.001651,0.033127,0.007046,0.000181
0.010000,1.674672,3.826845,0.000098,0.001983,0.033216,0.008811,0.000111
0.010000,1.674649,3.826845,0.000121,0.002316,0.033321,0.010578,0.000029
0.010000,1.675803,3.826845,0.001276,0.115437,11.312055,1127.873390,6.283120
0.010000,1.677693,3.826845,0.003166,0.189023,7.358569,-395.348577,6.283015
0.010000,1.679793,3.826844,0.005266,0.210001,2.097824,-526.074544,6.282897
0.010000,1.682103,3.826843,0.007576,0.230998,2.099674,0.185002,6.282767
0.010000,1.684623,3.826842,0.010096,0.252006,2.100855,0.118076,6.282626
0.010000,1.687353,3.826841,0.012826,0.272965,2.095879,-0.497561,6.282472
0.010000,1.690293,3.826838,0.015765,0.293988,2.102250,0.637083,6.282305
0.010000,1.693442,3.826835,0.018915,0.314943,2.095529,-0.672071,6.282127
0.010000,1.696802,3.826831,0.022274,0.335948,2.100511,0.498129,6.281936
0.010000,1.700371,3.826826,0.025843,0.356899,2.095058,-0.545237,6.281732
0.010000,1.704150,3.826821,0.029622,0.377908,2.100905,0.584721,6.281516
0.010000,1.708138,3.826813,0.033611,0.398848,2.094009,-0.689608,6.281287
0.010000,1.712337,3.826805,0.037809,0.419838,2.099052,0.504231,6.281045
0.010000,1.716745,3.826795,0.042217,0.440801,2.096245,-0.280647,6.280790
0.010000,1.721362,3.826783,0.046835,0.461743,2.094224,-0.202088,6.280522
0.010000,1.726189,3.826770,0.051662,0.482711,2.096775,0.255115,6.280240
0.010000,1.731226,3.826754,0.056698,0.503675,2.096436,-0.033984,6.279945
0.010000,1.736472,3.826736,0.061945,0.524612,2.093745,-0.269103,6.279637
0.010000,1.741928,3.826716,0.067400,0.545549,2.093625,-0.011913,6.279314
0.010000,1.747592,3.826693,0.073065,0.566483,2.093429,-0.019610,6.278978
0.010000,1.753466,3.826667,0.078939,0.587415,2.093155,-0.027458,6.278627
0.010000,1.759550,3.826639,0.085023,0.608346,2.093115,-0.004017,6.278262
0.010000,1.765842,3.826606,0.091315,0.629273,2.092752,-0.036297,6.277882
0.010000,1.772344,3.826571,0.097817,0.650185,2.091199,-0.155279,6.277487
0.010000,1.779055,3.826531,0.104528,0.671091,2.090586,-0.061310,6.277078
0.010000,1.785975,3.826487,0.111448,0.691998,2.090669,0.008355,6.276653
0.010000,1.793104,3.826439,0.118577,0.712900,2.090244,-0.042497,6.276213
0.010000,1.800441,3.826386,0.125915,0.733789,2.088898,-0.134676,6.275757
0.010000,1.807988,3.826329,0.133462,0.754668,2.087935,-0.096305,6.275285
0.010000,1.815743,3.826265,0.141217,0.775537,2.086877,-0.105749,6.274797
0.010000,1.823707,3.826197,0.149181,0.796394,2.085723,-0.115397,6.274292
0.010000,1.831879,3.826122,0.157354,0.817260,2.086510,0.078685,6.273770
0.010000,1.840260,3.826041,0.165735,0.838131,2.087154,0.064413,6.273232
0.010000,1.848849,3.825953,0.174324,0.858955,2.082391,-0.476253,6.272676
0.010000,1.857646,3.825858,0.183122,0.879778,2.082315,-0.007677,6.272102
0.010000,1.866652,3.825755,0.192129,0.900638,2.085952,0.363709,6.271511
0.010000,1.875865,3.825645,0.201343,0.921419,2.078162,-0.778958,6.270901
0.010000,1.885287,3.825526,0.210765,0.942255,2.083523,0.536038,6.270273
0.010000,1.894917,3.825399,0.220396,0.963030,2.077576,-0.594709,6.269625
0.010000,1.904754,3.825262,0.230234,0.983835,2.080516,0.294084,6.268958
0.010000,1.914799,3.825116,0.240280,1.004588,2.075268,-0.524819,6.268272
0.010000,1.925052,3.824959,0.250534,1.025388,2.079966,0.469800,6.267566
0.010000,1.935511,3.824792,0.260995,1.046109,2.072152,-0.781388,6.266839
0.010000,1.946179,3.824614,0.271664,1.066879,2.076923,0.477057,6.266091
0.010000,1.957053,3.824424,0.282540,1.087611,2.073253,-0.366956,6.265322
0.010000,1.968134,3.824221,0.293623,1.108313,2.070209,-0.304419,6.264531
0.010000,1.979423,3.824006,0.304913,1.129024,2.071052,0.084316,6.263718
0.010000,1.990918,3.823777,0.316410,1.149746,2.072207,0.115516,6.262883
0.010000,2.002619,3.823535,0.328115,1.170419,2.067360,-0.484708,6.262025
0.010000,2.014527,3.823278,0.340026,1.191084,2.066433,-0.092691,6.261143
0.010000,2.026642,3.823005,0.352143,1.211738,2.065403,-0.103068,6.260237
0.010000,2.038962,3.822716,0.364467,1.232380,2.064264,-0.113836,6.259307
0.010000,2.051489,3.822411,0.376997,1.253011,2.063014,-0.125001,6.258352
0.010000,2.064221,3.822089,0.389733,1.273627,2.061649,-0.136571,6.257372
0.010000,2.077159,3.821748,0.402675,1.294229,2.060163,-0.148555,6.256365
0.010000,2.090302,3.821389,0.415824,1.314814,2.058554,-0.160959,6.255332
0.010000,2.103650,3.821010,0.429177,1.335382,2.056816,-0.173790,6.254272
0.010000,2.117204,3.820611,0.442737,1.355932,2.054945,-0.187057,6.253184
0.010000,2.130962,3.820190,0.456501,1.376461,2.052937,-0.200766,6.252068
0.010000,2.144925,3.819747,0.470471,1.396969,2.050788,-0.214925,6.250924
0.010000,2.159092,3.819282,0.484646,1.417473,2.050384,-0.040447,6.249749
0.010000,2.173463,3.818793,0.499025,1.437981,2.050782,0.039864,6.248545
0.010000,2.188038,3.818279,0.513610,1.458425,2.044381,-0.640184,6.247309
0.010000,2.202817,3.817739,0.528398,1.478841,2.041633,-0.274715,6.246042
0.010000,2.217799,3.817172,0.543391,1.499319,2.047768,0.613460,6.244743
0.010000,2.232985,3.816578,0.558588,1.519688,2.036957,-1.081118,6.243411
0.010000,2.248373,3.815955,0.573989,1.540076,2.038788,0.183090,6.242046
0.010000,2.263964,3.815303,0.589593,1.560444,2.036836,-0.195165,6.240645
0.010000,2.279757,3.814619,0.605401,1.580771,2.032708,-0.412769,6.239210
0.010000,2.295751,3.813903,0.621412,1.601097,2.032539,-0.016905,6.237739
0.010000,2.311948,3.813155,0.637626,1.621393,2.029648,-0.289098,6.236231
0.010000,2.328346,3.812371,0.654042,1.641632,2.023856,-0.579255,6.234685
0.010000,2.344945,3.811553,0.670662,1.661929,2.029719,0.586371,6.233101
0.010000,2.361744,3.810697,0.687483,1.682120,2.019117,-1.060258,6.231478
0.010000,2.378744,3.809803,0.704506,1.702294,2.017361,-0.175604,6.229814
0.010000,2.395943,3.808869,0.721731,1.722497,2.020284,0.292273,6.228109
0.010000,2.413342,3.807895,0.739157,1.742636,2.013886,-0.639767,6.226361
0.010000,2.430940,3.806878,0.756784,1.762738,2.010219,-0.366699,6.224571
0.010000,2.448737,3.805817,0.774613,1.782816,2.007789,-0.242955,6.222736
0.010000,2.466732,3.804711,0.792641,1.802867,2.005179,-0.261051,6.220856
