dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.673951,4.391994,0.000028,0.005556,0.555556,55.555556,0.002440
0.010000,1.673979,4.391994,0.000055,0.002736,-0.281964,-83.751913,0.002343
0.010000,1.674040,4.391994,0.000117,0.006157,0.342068,62.403184,0.002125
0.010000,1.674143,4.391995,0.000219,0.010263,0.410681,6.861267,0.001762
0.010000,1.674287,4.391995,0.000363,0.014374,0.411042,0.036073,0.001253
0.010000,1.674471,4.391995,0.000548,0.018489,0.411546,0.050418,0.000599
0.010000,1.674929,4.391995,0.001005,0.045718,2.722906,231.135993,6.282984
0.010000,1.676280,4.391994,0.002357,0.135146,8.942778,621.987176,6.282036
0.010000,1.677839,4.391991,0.003915,0.155865,2.071883,-687.089476,6.280943
0.010000,1.679607,4.391986,0.005684,0.176826,2.096144,2.426105,6.279700
0.010000,1.681583,4.391978,0.007659,0.197579,2.075261,-2.088305,6.278309
0.010000,1.683769,4.391966,0.009846,0.218626,2.104713,2.945252,6.276767
0.010000,1.686164,4.391948,0.012240,0.239475,2.084913,-1.980030,6.275075
0.010000,1.688768,4.391925,0.014844,0.260395,2.092016,0.710329,6.273231
0.010000,1.691582,4.391894,0.017659,0.281497,2.110193,1.817694,6.271232
0.010000,1.694607,4.391855,0.020684,0.302518,2.102113,-0.808047,6.269079
0.010000,1.697843,4.391805,0.023920,0.323583,2.106492,0.437936,6.266771
0.010000,1.701289,4.391744,0.027367,0.344701,2.111763,0.527134,6.264304
0.010000,1.704947,4.391671,0.031026,0.365867,2.116571,0.480738,6.261678
0.010000,1.708817,4.391582,0.034897,0.387076,2.120915,0.434429,6.258891
0.010000,1.712899,4.391477,0.038980,0.408324,2.124798,0.388270,6.255941
0.010000,1.717194,4.391353,0.043277,0.429712,2.138840,1.404212,6.252826
0.010000,1.721703,4.391209,0.047788,0.451106,2.139385,0.054525,6.249544
0.010000,1.726425,4.391042,0.052513,0.472481,2.137495,-0.189036,6.246093
0.010000,1.731361,4.390849,0.057453,0.494036,2.155478,1.798284,6.242471
0.010000,1.736513,4.390630,0.062609,0.515590,2.155451,-0.002677,6.238675
0.010000,1.741879,4.390380,0.067982,0.537236,2.164571,0.911966,6.234703
0.010000,1.747461,4.390098,0.073570,0.558892,2.165627,0.105654,6.230553
0.010000,1.753260,4.389780,0.079378,0.580767,2.187460,2.183325,6.226222
0.010000,1.759275,4.389423,0.085404,0.602568,2.180076,-0.738464,6.221707
0.010000,1.765507,4.389025,0.091649,0.624475,2.190713,1.063761,6.217007
0.010000,1.771957,4.388581,0.098113,0.646481,2.200656,0.994264,6.212117
0.010000,1.778624,4.388090,0.104799,0.668580,2.209896,0.923999,6.207036
0.010000,1.785510,4.387546,0.111707,0.690765,2.218426,0.853034,6.201760
0.010000,1.792616,4.386947,0.118837,0.713027,2.226241,0.781428,6.196286
0.010000,1.799940,4.386288,0.126191,0.735360,2.233333,0.709240,6.190611
0.010000,1.807483,4.385565,0.133768,0.757757,2.239698,0.636519,6.184734
0.010000,1.815245,4.384775,0.141570,0.780211,2.245331,0.563307,6.178650
0.010000,1.823227,4.383912,0.149599,0.802858,2.264764,1.943320,6.172356
0.010000,1.831428,4.382972,0.157854,0.825499,2.264029,-0.073592,6.165851
0.010000,1.839849,4.381951,0.166336,0.848243,2.274451,1.042221,6.159130
0.010000,1.848489,4.380843,0.175047,0.871057,2.281411,0.695994,6.152191
0.010000,1.857348,4.379644,0.183987,0.894016,2.295864,1.445373,6.145031
0.010000,1.866425,4.378347,0.193157,0.916958,2.294208,-0.165608,6.137647
0.010000,1.875721,4.376949,0.202557,0.940004,2.304566,1.035757,6.130038
0.010000,1.885234,4.375442,0.212188,0.963139,2.313534,0.896797,6.122200
0.010000,1.894963,4.373822,0.222052,0.986350,2.321085,0.755127,6.114130
0.010000,1.904908,4.372082,0.232148,1.009622,2.327194,0.610907,6.105827
0.010000,1.915068,4.370216,0.242477,1.032940,2.331837,0.464304,6.097290
0.010000,1.925440,4.368218,0.253040,1.056290,2.334992,0.315486,6.088515
0.010000,1.936023,4.366082,0.263837,1.079656,2.336638,0.164629,6.079502
0.010000,1.946816,4.363801,0.274868,1.103092,2.343564,0.692557,6.070250
0.010000,1.957815,4.361368,0.286133,1.126570,2.347841,0.427743,6.060758
0.010000,1.969020,4.358777,0.297633,1.149994,2.342347,-0.549485,6.051026
0.010000,1.980426,4.356020,0.309368,1.173466,2.347196,0.484968,6.041053
