dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674641,4.109420,0.000027,0.005333,0.533333,53.333333,0.002441
0.010000,1.674641,4.109420,0.000133,0.016000,1.066667,53.333333,0.002348
0.010000,1.674641,4.109420,0.000373,0.032000,1.600000,53.333333,0.002138
0.010000,1.674641,4.109420,0.000800,0.053333,2.133333,53.333333,0.001766
0.010000,1.674641,4.109420,0.001440,0.074667,2.133333,0.000000,0.001208
0.010000,1.674641,4.109420,0.002293,0.096000,2.133333,-0.000000,0.000464
0.010000,1.675176,4.109420,0.003360,0.117333,2.133333,0.000000,6.282717
0.010000,1.676456,4.109419,0.004640,0.138667,2.133333,0.000000,6.281598
0.010000,1.677950,4.109415,0.006133,0.160000,2.133333,0.000000,6.280290
0.010000,1.679656,4.109409,0.007840,0.181333,2.133333,-0.000000,6.278791
0.010000,1.681576,4.109399,0.009760,0.202667,2.133333,0.000000,6.277101
0.010000,1.683710,4.109384,0.011893,0.224000,2.133333,0.000000,6.275218
0.010000,1.686056,4.109363,0.014240,0.245333,2.133333,-0.000000,6.273141
0.010000,1.688616,4.109334,0.016800,0.266667,2.133333,0.000000,6.270867
0.010000,1.691389,4.109297,0.019573,0.288000,2.133333,-0.000000,6.268395
0.010000,1.694375,4.109249,0.022560,0.309333,2.133333,0.000000,6.265722
0.010000,1.697575,4.109188,0.025760,0.330667,2.133333,-0.000000,6.262846
0.010000,1.700987,4.109113,0.029173,0.352000,2.133333,0.000000,6.259765
0.010000,1.704613,4.109022,0.032800,0.373333,2.133333,-0.000000,6.256476
0.010000,1.708451,4.108913,0.036640,0.394667,2.133333,0.000000,6.252977
0.010000,1.712503,4.108783,0.040693,0.416000,2.133333,-0.000000,6.249264
0.010000,1.716766,4.108630,0.044960,0.437333,2.133333,0.000000,6.245335
0.010000,1.721243,4.108451,0.049440,0.458667,2.133333,0.000000,6.241186
0.010000,1.725932,4.108244,0.054133,0.480000,2.133333,-0.000000,6.236814
0.010000,1.730832,4.108005,0.059040,0.501333,2.133333,0.000000,6.232215
0.010000,1.735945,4.107732,0.064160,0.522667,2.133333,-0.000000,6.227386
0.010000,1.741269,4.107421,0.069493,0.544000,2.133333,0.000000,6.222323
0.010000,1.746805,4.107069,0.075040,0.565333,2.133333,0.000000,6.217022
0.010000,1.752551,4.106673,0.080800,0.586667,2.133333,0.000000,6.211479
0.010000,1.758508,4.106227,0.086773,0.608000,2.133333,0.000000,6.205690
0.010000,1.764674,4.105730,0.092960,0.629333,2.133333,-0.000000,6.199652
0.010000,1.771050,4.105176,0.099360,0.650667,2.133333,0.000000,6.193358
0.010000,1.777635,4.104561,0.105973,0.672000,2.133333,-0.000000,6.186807
0.010000,1.784428,4.103881,0.112800,0.693333,2.133333,0.000000,6.179992
0.010000,1.791427,4.103131,0.119840,0.714667,2.133333,0.000000,6.172911
0.010000,1.798634,4.102306,0.127093,0.736000,2.133333,0.000000,6.165558
0.010000,1.806046,4.101402,0.134560,0.757333,2.133333,-0.000000,6.157929
0.010000,1.813662,4.100412,0.142240,0.778667,2.133333,0.000000,6.150021
0.010000,1.821481,4.099332,0.150133,0.800000,2.133333,0.000000,6.141829
0.010000,1.829501,4.098156,0.158240,0.821333,2.133333,0.000000,6.133350
0.010000,1.837723,4.096878,0.166560,0.842667,2.133333,0.000000,6.124578
0.010000,1.846143,4.095492,0.175093,0.864000,2.133333,0.000000,6.115512
0.010000,1.854759,4.093992,0.183840,0.885333,2.133333,-0.000000,6.106149
0.010000,1.863572,4.092372,0.192800,0.906667,2.133333,0.000000,6.096484
0.010000,1.872577,4.090624,0.201973,0.928000,2.133333,-0.000000,6.086516
0.010000,1.881773,4.088743,0.211360,0.949333,2.133333,0.000000,6.076243
0.010000,1.891158,4.086721,0.220960,0.970667,2.133333,-0.000000,6.065663
0.010000,1.900728,4.084551,0.230773,0.992000,2.133333,-0.000000,6.054776
0.010000,1.910481,4.082226,0.240800,1.013333,2.133333,0.000000,6.043581
0.010000,1.920415,4.079739,0.251040,1.034667,2.133333,-0.000000,6.032079
0.010000,1.930525,4.077082,0.261493,1.056000,2.133333,0.000000,6.020270
0.010000,1.940808,4.074247,0.272160,1.077333,2.133333,0.000000,6.008159
0.010000,1.951260,4.071228,0.283040,1.098667,2.133333,-0.000000,5.995747
0.010000,1.961878,4.068015,0.294133,1.120000,2.133333,0.000000,5.983039
0.010000,1.972657,4.064602,0.305440,1.141333,2.133333,0.000000,5.970041
0.010000,1.983593,4.060981,0.316960,1.162667,2.133333,-0.000000,5.956758
0.010000,1.994681,4.057143,0.328693,1.184000,2.133333,0.000000,5.943199
0.010000,2.005916,4.053082,0.340640,1.205333,2.133333,0.000000,5.929373
0.010000,2.017293,4.048788,0.352800,1.226667,2.133333,0.000000,5.915290
0.010000,2.028806,4.044256,0.365173,1.248000,2.133333,0.000000,5.900963
0.010000,2.040450,4.039476,0.377760,1.269333,2.133333,-0.000000,5.886404
0.010000,2.052218,4.034442,0.390560,1.290667,2.133333,0.000000,5.871628
0.010000,2.064105,4.029147,0.403573,1.312000,2.133333,0.000000,5.856652
0.010000,2.076105,4.023584,0.416800,1.333333,2.133333,0.000000,5.841493
0.010000,2.088211,4.017746,0.430240,1.354667,2.133333,-0.000000,5.826170
0.010000,2.100416,4.011627,0.443893,1.376000,2.133333,0.000000,5.810704
0.010000,2.112713,4.005220,0.457760,1.397333,2.133333,-0.000000,5.795115
