dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.675330,3.826846,0.000027,0.005333,0.533333,53.333333,0.002441
0.010000,1.675304,3.826846,0.000053,0.002626,-0.270686,-80.401898,0.002348
0.010000,1.675245,3.826846,0.000112,0.005910,0.328382,59.906741,0.002138
0.010000,1.675140,3.826845,0.000217,0.010510,0.459936,13.155436,0.001766
0.010000,1.674982,3.826845,0.000375,0.015770,0.526074,6.613787,0.001208
0.010000,1.674772,3.826845,0.000585,0.021038,0.526782,0.070804,0.000464
0.010000,1.675044,3.826845,0.000858,0.027239,0.620100,9.331773,6.282717
0.010000,1.676008,3.826844,0.001821,0.096386,6.914651,629.455088,6.281598
0.010000,1.677131,3.826841,0.002945,0.112345,1.595885,-531.876550,6.280290
0.010000,1.678415,3.826837,0.004228,0.128327,1.598271,0.238590,6.278791
0.010000,1.679857,3.826829,0.005671,0.144259,1.593141,-0.512983,6.277101
0.010000,1.681458,3.826818,0.007272,0.160109,1.585027,-0.811441,6.275218
0.010000,1.683218,3.826802,0.009031,0.175935,1.582642,-0.238439,6.273141
0.010000,1.685135,3.826781,0.010949,0.191737,1.580209,-0.243329,6.270867
0.010000,1.687209,3.826753,0.013023,0.207472,1.573451,-0.675775,6.268395
0.010000,1.689440,3.826717,0.015255,0.223138,1.566583,-0.686804,6.265722
0.010000,1.691828,3.826671,0.017642,0.238765,1.562672,-0.391086,6.262846
0.010000,1.694370,3.826616,0.020185,0.254294,1.552946,-0.972606,6.259765
0.010000,1.697066,3.826548,0.022883,0.269729,1.543539,-0.940739,6.256476
0.010000,1.699916,3.826467,0.025734,0.285100,1.537042,-0.649672,6.252977
0.010000,1.702919,3.826371,0.028738,0.300448,1.534783,-0.225967,6.249264
0.010000,1.706073,3.826258,0.031894,0.315609,1.516173,-1.860923,6.245335
0.010000,1.709378,3.826126,0.035202,0.330769,1.515996,-0.017718,6.241186
0.010000,1.712833,3.825973,0.038660,0.345797,1.502738,-1.325867,6.236814
0.010000,1.716436,3.825797,0.042267,0.360705,1.490825,-1.191288,6.232215
0.010000,1.720186,3.825597,0.046022,0.375529,1.482416,-0.840830,6.227386
0.010000,1.724082,3.825369,0.049925,0.390258,1.472847,-0.956964,6.222323
0.010000,1.728122,3.825113,0.053974,0.404879,1.462163,-1.068369,6.217022
0.010000,1.732306,3.824824,0.058167,0.419383,1.450421,-1.174214,6.211479
0.010000,1.736632,3.824500,0.062505,0.433760,1.437685,-1.273623,6.205690
0.010000,1.741097,3.824140,0.066985,0.448001,1.424028,-1.365685,6.199652
0.010000,1.745702,3.823740,0.071607,0.462188,1.418704,-0.532387,6.193358
0.010000,1.750443,3.823297,0.076369,0.476194,1.400614,-1.808971,6.186807
0.010000,1.755320,3.822809,0.081270,0.490117,1.392282,-0.833175,6.179992
0.010000,1.760330,3.822272,0.086309,0.503865,1.374811,-1.747127,6.172911
0.010000,1.765472,3.821684,0.091484,0.517569,1.370430,-0.438136,6.165558
0.010000,1.770744,3.821041,0.096795,0.531112,1.354303,-1.612657,6.157929
0.010000,1.776144,3.820339,0.102241,0.544532,1.341957,-1.234588,6.150021
0.010000,1.781670,3.819576,0.107819,0.557840,1.330872,-1.108584,6.141829
0.010000,1.787320,3.818747,0.113529,0.571035,1.319433,-1.143832,6.133350
0.010000,1.793092,3.817850,0.119371,0.584153,1.311838,-0.759509,6.124578
0.010000,1.798984,3.816880,0.125343,0.597166,1.301286,-1.055180,6.115512
0.010000,1.804994,3.815834,0.131443,0.610035,1.286955,-1.433133,6.106149
0.010000,1.811121,3.814707,0.137672,0.622923,1.288773,0.181751,6.096484
