dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.602154,4.344079,0.000028,0.005556,0.555556,55.555556,0.002170
0.010000,1.602164,4.344079,0.000037,0.000970,-0.458594,-101.414909,0.002136
0.010000,1.602186,4.344079,0.000059,0.002182,0.121217,57.981078,0.002059
0.010000,1.602222,4.344079,0.000096,0.003637,0.145498,2.428087,0.001930
0.010000,1.602273,4.344079,0.000147,0.005092,0.145566,0.006791,0.001750
0.010000,1.602339,4.344079,0.000212,0.006549,0.145661,0.009506,0.001518
0.010000,1.602419,4.344079,0.000292,0.008007,0.145783,0.012219,0.001235
0.010000,1.602513,4.344080,0.000387,0.009466,0.145933,0.014931,0.000900
0.010000,1.602623,4.344080,0.000496,0.010927,0.146109,0.017641,0.000513
0.010000,1.602747,4.344080,0.000620,0.012390,0.146312,0.020348,0.000074
0.010000,1.604229,4.344079,0.002103,0.148263,13.587258,1344.094567,6.282769
0.010000,1.606133,4.344078,0.004007,0.190409,4.214564,-937.269424,6.282226
0.010000,1.608218,4.344075,0.006091,0.208448,1.803966,-241.059819,6.281631
0.010000,1.610482,4.344071,0.008356,0.226475,1.802651,-0.131508,6.280984
0.010000,1.612932,4.344065,0.010806,0.244967,1.849236,4.658570,6.280283
0.010000,1.615562,4.344056,0.013435,0.262961,1.799399,-4.983708,6.279529
0.010000,1.618372,4.344045,0.016245,0.280987,1.802632,0.323306,6.278723
0.010000,1.621366,4.344030,0.019240,0.299483,1.849563,4.693091,6.277862
0.010000,1.624540,4.344012,0.022414,0.317411,1.792823,-5.673999,6.276948
0.010000,1.627898,4.343989,0.025772,0.335766,1.835419,4.259551,6.275979
0.010000,1.631437,4.343962,0.029311,0.353896,1.813000,-2.241862,6.274956
0.010000,1.635158,4.343929,0.033032,0.372127,1.823154,1.015430,6.273878
0.010000,1.639061,4.343891,0.036935,0.390357,1.823006,-0.014870,6.272744
0.010000,1.643147,4.343846,0.041022,0.408613,1.825634,0.262850,6.271555
0.010000,1.647415,4.343794,0.045289,0.426778,1.816441,-0.919318,6.270311
0.010000,1.651866,4.343733,0.049741,0.445206,1.842788,2.634731,6.269009
0.010000,1.656498,4.343664,0.054374,0.463227,1.802153,-4.063578,6.267651
0.010000,1.661315,4.343586,0.059192,0.481797,1.856999,5.484621,6.266235
0.010000,1.666315,4.343498,0.064192,0.499983,1.818561,-3.843729,6.264762
0.010000,1.671495,4.343398,0.069373,0.518137,1.815368,-0.319349,6.263230
0.010000,1.676861,4.343287,0.074740,0.536734,1.859693,4.432457,6.261639
0.010000,1.682410,4.343163,0.080290,0.555012,1.827851,-3.184202,6.259989
0.010000,1.688141,4.343025,0.086023,0.573276,1.826360,-0.149078,6.258279
0.010000,1.694055,4.342872,0.091939,0.591585,1.830926,0.456656,6.256508
0.010000,1.700154,4.342704,0.098041,0.610167,1.858190,2.726379,6.254676
0.010000,1.706437,4.342519,0.104326,0.628578,1.841173,-1.701716,6.252782
0.010000,1.712904,4.342316,0.110796,0.646968,1.838921,-0.225208,6.250826
0.010000,1.719554,4.342094,0.117450,0.665392,1.842468,0.354683,6.248807
0.010000,1.726388,4.341852,0.124289,0.683850,1.845755,0.328713,6.246724
0.010000,1.733407,4.341588,0.131312,0.702338,1.848782,0.302680,6.244576
0.010000,1.740609,4.341302,0.138520,0.720853,1.851548,0.276604,6.242363
0.010000,1.747997,4.340992,0.145914,0.739394,1.854053,0.250510,6.240084
0.010000,1.755569,4.340656,0.153494,0.757957,1.856297,0.224420,6.237739
0.010000,1.763326,4.340294,0.161259,0.776540,1.858281,0.198357,6.235325
0.010000,1.771268,4.339904,0.169211,0.795140,1.860004,0.172345,6.232843
0.010000,1.779394,4.339484,0.177348,0.813754,1.861468,0.146409,6.230292
0.010000,1.787706,4.339033,0.185672,0.832381,1.862674,0.120575,6.227671
0.010000,1.796202,4.338550,0.194182,0.851017,1.863623,0.094867,6.224979
0.010000,1.804884,4.338032,0.202879,0.869667,1.864948,0.132543,6.222215
0.010000,1.813753,4.337478,0.211765,0.888622,1.895544,3.059578,6.219378
0.010000,1.822806,4.336886,0.220838,0.907310,1.868744,-2.679961,6.216467
0.010000,1.832045,4.336255,0.230098,0.925996,1.868645,-0.009866,6.213481
0.010000,1.841468,4.335582,0.239545,0.944725,1.872922,0.427670,6.210420
0.010000,1.851080,4.334867,0.249184,0.963826,1.910122,3.720016,6.207281
0.010000,1.860876,4.334106,0.259009,0.982532,1.870518,-3.960395,6.204065
0.010000,1.870857,4.333298,0.269023,1.001372,1.884069,1.355104,6.200770
0.010000,1.881026,4.332441,0.279228,1.020491,1.911877,2.780739,6.197394
0.010000,1.891378,4.331532,0.289620,1.039191,1.869980,-4.189705,6.193938
0.010000,1.901919,4.330570,0.300204,1.058483,1.929204,5.922460,6.190398
0.010000,1.912643,4.329553,0.310977,1.077228,1.874487,-5.471721,6.186776
0.010000,1.923555,4.328477,0.321942,1.096556,1.932856,5.836887,6.183069
0.010000,1.934651,4.327341,0.333096,1.115373,1.881649,-5.120719,6.179276
0.010000,1.945935,4.326142,0.344444,1.134770,1.939752,5.810314,6.175395
0.010000,1.957404,4.324878,0.355981,1.153782,1.901132,-3.861982,6.171427
0.010000,1.969057,4.323547,0.367711,1.172918,1.913677,1.254495,6.167369
0.010000,1.980898,4.322144,0.379634,1.192349,1.943047,2.936946,6.163220
0.010000,1.992923,4.320669,0.391749,1.211499,1.914959,-2.808785,6.158979
0.010000,2.005132,4.319118,0.404056,1.230722,1.922387,0.742874,6.154644
0.010000,2.017527,4.317488,0.416558,1.250176,1.945372,2.298490,6.150215
0.010000,2.030107,4.315776,0.429254,1.269607,1.943050,-0.232253,6.145689
0.010000,2.042871,4.313980,0.442144,1.288981,1.937462,-0.558788,6.141066
0.010000,2.055819,4.312096,0.455228,1.308413,1.943208,0.574612,6.136345
0.010000,2.068950,4.310122,0.468507,1.327898,1.948514,0.530602,6.131523
0.010000,2.082265,4.308053,0.481981,1.347432,1.953380,0.486548,6.126600
0.010000,2.095762,4.305887,0.495652,1.367010,1.957805,0.442520,6.121574
0.010000,2.109442,4.303621,0.509518,1.386628,1.961791,0.398585,6.116444
0.010000,2.123304,4.301251,0.523581,1.406282,1.965339,0.354812,6.111209
0.010000,2.137346,4.298773,0.537840,1.425966,1.968451,0.311272,6.105867
0.010000,2.151570,4.296184,0.552297,1.445677,1.971132,0.268034,6.100416
0.010000,2.165972,4.293481,0.566951,1.465411,1.973383,0.225168,6.094856
0.010000,2.180553,4.290659,0.581803,1.485163,1.975211,0.182743,6.089186
0.010000,2.195313,4.287715,0.596854,1.505096,1.993280,1.806876,6.083403
0.010000,2.210251,4.284644,0.612104,1.525000,1.990430,-0.284922,6.077507
0.010000,2.225364,4.281444,0.627552,1.544816,1.981516,-0.891464,6.071496
0.010000,2.240652,4.278110,0.643199,1.564692,1.987654,0.613816,6.065371
0.010000,2.256115,4.274637,0.659047,1.584847,2.015436,2.778191,6.059127
0.010000,2.271749,4.271022,0.675094,1.604681,1.983485,-3.195087,6.052766
0.010000,2.287556,4.267260,0.691342,1.624814,2.013260,2.977513,6.046286
0.010000,2.303532,4.263347,0.707790,1.644809,1.999521,-1.373956,6.039686
0.010000,2.319676,4.259278,0.724440,1.664940,2.013089,1.356815,6.032965
0.010000,2.335987,4.255050,0.741289,1.684969,2.002931,-1.015817,6.026122
0.010000,2.352464,4.250657,0.758342,1.705228,2.025906,2.297585,6.019156
0.010000,2.369102,4.246096,0.775594,1.725244,2.001507,-2.439927,6.012068
0.010000,2.385903,4.241361,0.793049,1.745497,2.025306,2.379858,6.004855
0.010000,2.402862,4.236447,0.810706,1.765709,2.021237,-0.406832,5.997517
0.010000,2.419978,4.231351,0.828565,1.785842,2.013354,-0.788338,5.990055
0.010000,2.437248,4.226067,0.846625,1.806014,2.017123,0.376860,5.982467
0.010000,2.454670,4.220590,0.864887,1.826257,2.024340,0.721748,5.974754
0.010000,2.472242,4.214916,0.883353,1.846529,2.027152,0.281218,5.966916
0.010000,2.489960,4.209040,0.902020,1.866718,2.018925,-0.822772,5.958952
0.010000,2.507822,4.202956,0.920889,1.886909,2.019153,0.022825,5.950863
0.010000,2.525823,4.196661,0.939960,1.907094,2.018473,-0.068021,5.942649
0.010000,2.543962,4.190148,0.959233,1.927263,2.016898,-0.157433,5.934311
0.010000,2.562235,4.183414,0.978707,1.947408,2.014446,-0.245195,5.925849
0.010000,2.580638,4.176453,0.998382,1.967524,2.011688,-0.275867,5.917265
0.010000,2.599168,4.169260,1.018259,1.987715,2.019031,0.734320,5.908559
0.010000,2.617820,4.161831,1.038337,2.007758,2.004333,-1.469829,5.899733
0.010000,2.636591,4.154160,1.058614,2.027742,1.998355,-0.597760,5.890788
0.010000,2.655475,4.146244,1.079091,2.047658,1.991613,-0.674148,5.881726
0.010000,2.674471,4.138077,1.099768,2.067695,2.003767,1.215358,5.872549
0.010000,2.693572,4.129655,1.120642,2.087494,1.979901,-2.386619,5.863260
0.010000,2.712773,4.120974,1.141715,2.107251,1.975672,-0.422850,5.853859
0.010000,2.732071,4.112028,1.162985,2.127036,1.978483,0.281076,5.844351
0.010000,2.751459,4.102814,1.184451,2.146588,1.955212,-2.327144,5.834738
0.010000,2.770933,4.093328,1.206113,2.166206,1.961738,0.652682,5.825023
0.010000,2.790487,4.083565,1.227969,2.185612,1.940625,-2.111343,5.815210
0.010000,2.810116,4.073521,1.250019,2.204933,1.932128,-0.849695,5.805302
0.010000,2.829816,4.063194,1.272261,2.224235,1.930239,-0.188875,5.795303
0.010000,2.849578,4.052578,1.294694,2.243307,1.907145,-2.309449,5.785218
0.010000,2.869398,4.041672,1.317317,2.262274,1.896760,-1.038458,5.775050
0.010000,2.889271,4.030471,1.340129,2.281162,1.888732,-0.802826,5.764805
0.010000,2.909189,4.018972,1.363128,2.299905,1.874276,-1.445649,5.754487
