dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.602768,4.061505,0.000027,0.005333,0.533333,53.333333,0.002171
0.010000,1.602768,4.061505,0.000133,0.016000,1.066667,53.333333,0.002138
0.010000,1.602768,4.061505,0.000373,0.032000,1.600000,53.333333,0.002063
0.010000,1.602768,4.061505,0.000800,0.053333,2.133333,53.333333,0.001932
0.010000,1.602768,4.061505,0.001440,0.074667,2.133333,0.000000,0.001734
0.010000,1.602768,4.061505,0.002293,0.096000,2.133333,-0.000000,0.001470
0.010000,1.602768,4.061505,0.003360,0.117333,2.133333,0.000000,0.001141
0.010000,1.602768,4.061505,0.004640,0.138667,2.133333,0.000000,0.000745
0.010000,1.602768,4.061505,0.006133,0.160000,2.133333,0.000000,0.000283
0.010000,1.603562,4.061505,0.007840,0.181333,2.133333,-0.000000,6.282939
0.010000,1.605483,4.061504,0.009760,0.202667,2.133333,0.000000,6.282344
0.010000,1.607616,4.061501,0.011893,0.224000,2.133333,0.000000,6.281682
0.010000,1.609962,4.061497,0.014240,0.245333,2.133333,-0.000000,6.280952
0.010000,1.612523,4.061490,0.016800,0.266667,2.133333,0.000000,6.280155
0.010000,1.615296,4.061480,0.019573,0.288000,2.133333,-0.000000,6.279290
0.010000,1.618283,4.061467,0.022560,0.309333,2.133333,0.000000,6.278356
0.010000,1.621483,4.061450,0.025760,0.330667,2.133333,-0.000000,6.277354
0.010000,1.624896,4.061429,0.029173,0.352000,2.133333,0.000000,6.276283
0.010000,1.628523,4.061401,0.032800,0.373333,2.133333,-0.000000,6.275141
0.010000,1.632362,4.061368,0.036640,0.394667,2.133333,0.000000,6.273930
0.010000,1.636415,4.061328,0.040693,0.416000,2.133333,-0.000000,6.272648
0.010000,1.640682,4.061280,0.044960,0.437333,2.133333,0.000000,6.271295
0.010000,1.645161,4.061224,0.049440,0.458667,2.133333,0.000000,6.269870
0.010000,1.649855,4.061158,0.054133,0.480000,2.133333,-0.000000,6.268372
0.010000,1.654761,4.061081,0.059040,0.501333,2.133333,0.000000,6.266801
0.010000,1.659879,4.060993,0.064160,0.522667,2.133333,-0.000000,6.265157
0.010000,1.665211,4.060892,0.069493,0.544000,2.133333,0.000000,6.263439
0.010000,1.670758,4.060778,0.075040,0.565333,2.133333,0.000000,6.261644
0.010000,1.676517,4.060648,0.080800,0.586667,2.133333,0.000000,6.259774
0.010000,1.682488,4.060503,0.086773,0.608000,2.133333,0.000000,6.257827
0.010000,1.688672,4.060340,0.092960,0.629333,2.133333,-0.000000,6.255802
0.010000,1.695070,4.060158,0.099360,0.650667,2.133333,0.000000,6.253698
0.010000,1.701680,4.059956,0.105973,0.672000,2.133333,-0.000000,6.251515
0.010000,1.708503,4.059732,0.112800,0.693333,2.133333,0.000000,6.249252
0.010000,1.715539,4.059485,0.119840,0.714667,2.133333,0.000000,6.246907
0.010000,1.722787,4.059213,0.127093,0.736000,2.133333,0.000000,6.244479
0.010000,1.730248,4.058914,0.134560,0.757333,2.133333,-0.000000,6.241968
0.010000,1.737921,4.058588,0.142240,0.778667,2.133333,0.000000,6.239373
0.010000,1.745806,4.058232,0.150133,0.800000,2.133333,0.000000,6.236691
0.010000,1.753902,4.057844,0.158240,0.821333,2.133333,0.000000,6.233923
0.010000,1.762212,4.057422,0.166560,0.842667,2.133333,0.000000,6.231066
0.010000,1.770734,4.056965,0.175093,0.864000,2.133333,0.000000,6.228120
0.010000,1.779466,4.056471,0.183840,0.885333,2.133333,-0.000000,6.225083
0.010000,1.788410,4.055936,0.192800,0.906667,2.133333,0.000000,6.221955
0.010000,1.797566,4.055360,0.201973,0.928000,2.133333,-0.000000,6.218732
0.010000,1.806931,4.054740,0.211360,0.949333,2.133333,0.000000,6.215415
0.010000,1.816509,4.054074,0.220960,0.970667,2.133333,-0.000000,6.212002
0.010000,1.826295,4.053359,0.230773,0.992000,2.133333,-0.000000,6.208491
0.010000,1.836293,4.052592,0.240800,1.013333,2.133333,0.000000,6.204880
0.010000,1.846499,4.051772,0.251040,1.034667,2.133333,-0.000000,6.201170
0.010000,1.856917,4.050896,0.261493,1.056000,2.133333,0.000000,6.197356
0.010000,1.867542,4.049961,0.272160,1.077333,2.133333,0.000000,6.193439
0.010000,1.878376,4.048964,0.283040,1.098667,2.133333,-0.000000,6.189416
0.010000,1.889419,4.047903,0.294133,1.120000,2.133333,0.000000,6.185285
0.010000,1.900669,4.046774,0.305440,1.141333,2.133333,0.000000,6.181046
0.010000,1.912126,4.045574,0.316960,1.162667,2.133333,-0.000000,6.176696
0.010000,1.923789,4.044301,0.328693,1.184000,2.133333,0.000000,6.172234
0.010000,1.935660,4.042951,0.340640,1.205333,2.133333,0.000000,6.167657
0.010000,1.947736,4.041521,0.352800,1.226667,2.133333,0.000000,6.162964
0.010000,1.960016,4.040008,0.365173,1.248000,2.133333,0.000000,6.158153
0.010000,1.972501,4.038407,0.377760,1.269333,2.133333,-0.000000,6.153222
0.010000,1.985189,4.036716,0.390560,1.290667,2.133333,0.000000,6.148169
0.010000,1.998079,4.034931,0.403573,1.312000,2.133333,0.000000,6.142992
0.010000,2.011170,4.033049,0.416800,1.333333,2.133333,0.000000,6.137690
0.010000,2.024463,4.031064,0.430240,1.354667,2.133333,-0.000000,6.132260
0.010000,2.037956,4.028974,0.443893,1.376000,2.133333,0.000000,6.126701
0.010000,2.051647,4.026774,0.457760,1.397333,2.133333,-0.000000,6.121010
0.010000,2.065535,4.024460,0.471840,1.418667,2.133333,0.000000,6.115185
0.010000,2.079620,4.022028,0.486133,1.440000,2.133333,0.000000,6.109226
0.010000,2.093900,4.019473,0.500640,1.461333,2.133333,-0.000000,6.103128
0.010000,2.108373,4.016792,0.515360,1.482667,2.133333,0.000000,6.096892
0.010000,2.123040,4.013980,0.530293,1.504000,2.133333,-0.000000,6.090514
0.010000,2.137896,4.011031,0.545440,1.525333,2.133333,0.000000,6.083994
0.010000,2.152943,4.007941,0.560800,1.546667,2.133333,0.000000,6.077328
0.010000,2.168176,4.004706,0.576373,1.568000,2.133333,-0.000000,6.070516
0.010000,2.183595,4.001321,0.592160,1.589333,2.133333,0.000000,6.063555
0.010000,2.199199,3.997779,0.608160,1.610667,2.133333,0.000000,6.056445
0.010000,2.214983,3.994077,0.624373,1.632000,2.133333,0.000000,6.049183
0.010000,2.230947,3.990209,0.640800,1.653333,2.133333,0.000000,6.041768
0.010000,2.247090,3.986170,0.657440,1.674667,2.133333,-0.000000,6.034198
0.010000,2.263408,3.981954,0.674293,1.696000,2.133333,0.000000,6.026473
0.010000,2.279898,3.977556,0.691360,1.717333,2.133333,-0.000000,6.018590
0.010000,2.296558,3.972970,0.708640,1.738667,2.133333,0.000000,6.010550
0.010000,2.313386,3.968190,0.726133,1.760000,2.133333,0.000000,6.002351
0.010000,2.330378,3.963212,0.743840,1.781333,2.133333,-0.000000,5.993993
0.010000,2.347531,3.958029,0.761760,1.802667,2.133333,0.000000,5.985474
0.010000,2.364844,3.952634,0.779893,1.824000,2.133333,-0.000000,5.976795
0.010000,2.382312,3.947023,0.798240,1.845333,2.133333,0.000000,5.967955
0.010000,2.399931,3.941190,0.816800,1.866667,2.133333,-0.000000,5.958954
0.010000,2.417699,3.935128,0.835573,1.888000,2.133333,-0.000000,5.949794
0.010000,2.435611,3.928831,0.854560,1.909333,2.133333,0.000000,5.940474
0.010000,2.453663,3.922294,0.873760,1.930667,2.133333,-0.000000,5.930995
0.010000,2.471853,3.915509,0.893173,1.952000,2.133333,-0.000000,5.921358
0.010000,2.490174,3.908472,0.912800,1.973333,2.133333,0.000000,5.911565
0.010000,2.508624,3.901176,0.932640,1.994667,2.133333,-0.000000,5.901617
