dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.603252,3.778930,0.001500,0.300000,30.000000,3000.000000,0.001715
0.010000,1.603182,3.778930,0.001570,0.007015,-29.298542,-5929.854200,6.283045
0.010000,1.614128,3.778908,0.012516,1.094628,108.761391,13805.993324,6.279313
0.010000,1.630531,3.778798,0.028919,1.640251,54.562210,-5419.918142,6.273658
0.010000,1.652368,3.778507,0.050758,2.183891,54.364071,-19.813885,6.266012
0.010000,1.678250,3.777943,0.076646,2.588813,40.492132,-1387.193880,6.256772
0.010000,1.705434,3.777090,0.103844,2.719816,13.100313,-2739.181935,6.246854
0.010000,1.732552,3.775968,0.130985,2.714097,-0.571865,-1367.217735,6.236737
0.010000,1.759600,3.774571,0.158069,2.708396,-0.570132,0.173256,6.226419
0.010000,1.786575,3.772896,0.185096,2.702692,-0.570363,-0.023108,6.215897
0.010000,1.813472,3.770939,0.212064,2.696835,-0.585712,-1.534922,6.205169
0.010000,1.840288,3.768696,0.238974,2.690948,-0.588689,-0.297700,6.194234
0.010000,1.867020,3.766162,0.265825,2.685132,-0.581660,0.702893,6.183089
0.010000,1.893660,3.763334,0.292616,2.679051,-0.608071,-2.641108,6.171735
0.010000,1.920208,3.760208,0.319347,2.673153,-0.589824,1.824784,6.160169
0.010000,1.946660,3.756780,0.346019,2.667226,-0.592694,-0.287032,6.148391
0.010000,1.973008,3.753046,0.372631,2.661183,-0.604292,-1.159768,6.136401
0.010000,1.999250,3.749003,0.399183,2.655182,-0.600100,0.419147,6.124200
0.010000,2.025382,3.744647,0.425675,2.649229,-0.595263,0.483664,6.111789
0.010000,2.051399,3.739975,0.452109,2.643333,-0.589610,0.565354,6.099169
0.010000,2.077298,3.734983,0.478484,2.637503,-0.582965,0.664495,6.086342
0.010000,2.103073,3.729669,0.504801,2.631752,-0.575154,0.781145,6.073311
0.010000,2.128721,3.724028,0.531062,2.626092,-0.566002,0.915114,6.060078
0.010000,2.154237,3.718059,0.557268,2.620538,-0.555343,1.065949,6.046649
0.010000,2.179618,3.711758,0.583419,2.615108,-0.543014,1.232914,6.033028
0.010000,2.204859,3.705123,0.609517,2.609820,-0.528864,1.414979,6.019221
0.010000,2.229956,3.698152,0.635564,2.604692,-0.512756,1.610819,6.005232
0.010000,2.254904,3.690842,0.661561,2.599746,-0.494568,1.818809,5.991071
0.010000,2.279702,3.683192,0.687513,2.595149,-0.459767,3.480040,5.976743
0.010000,2.304345,3.675198,0.713420,2.590694,-0.445507,1.426032,5.962258
0.010000,2.328829,3.666860,0.739284,2.586434,-0.425981,1.952574,5.947626
0.010000,2.353151,3.658176,0.765110,2.582629,-0.380519,4.546245,5.932855
0.010000,2.377308,3.649145,0.790900,2.578986,-0.364221,1.629752,5.917957
