dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.603381,4.344079,0.000028,0.005556,0.555556,55.555556,6.281015
0.010000,1.603371,4.344079,0.000037,0.000970,-0.458594,-101.414909,6.281049
0.010000,1.603349,4.344079,0.000059,0.002182,0.121217,57.981078,6.281127
0.010000,1.603313,4.344079,0.000096,0.003637,0.145498,2.428087,6.281255
0.010000,1.603262,4.344079,0.000147,0.005092,0.145566,0.006791,6.281436
0.010000,1.603197,4.344079,0.000212,0.006549,0.145661,0.009506,6.281667
0.010000,1.603116,4.344079,0.000292,0.008007,0.145783,0.012219,6.281951
0.010000,1.603022,4.344080,0.000387,0.009466,0.145933,0.014931,6.282286
0.010000,1.602913,4.344080,0.000496,0.010927,0.146109,0.017641,6.282672
0.010000,1.602789,4.344080,0.000620,0.012390,0.146312,0.020348,6.283111
0.010000,1.603994,4.344080,0.001825,0.120526,10.813594,1066.728193,0.000416
0.010000,1.605591,4.344081,0.003423,0.159728,3.920203,-689.339167,0.000959
0.010000,1.607339,4.344083,0.005171,0.174823,1.509481,-241.072185,0.001554
0.010000,1.609238,4.344087,0.007070,0.189897,1.507340,-0.214116,0.002201
0.010000,1.611292,4.344092,0.009123,0.205349,1.545257,3.791717,0.002902
0.010000,1.613496,4.344099,0.011327,0.220372,1.502243,-4.301385,0.003656
0.010000,1.615850,4.344109,0.013681,0.235408,1.503639,0.139575,0.004463
0.010000,1.618358,4.344121,0.016189,0.250823,1.541531,3.789197,0.005324
0.010000,1.621015,4.344136,0.018847,0.265748,1.492493,-4.903765,0.006238
0.010000,1.623825,4.344155,0.021657,0.281014,1.526550,3.405660,0.007206
0.010000,1.626786,4.344178,0.024618,0.296074,1.506077,-2.047305,0.008230
0.010000,1.629898,4.344206,0.027730,0.311202,1.512771,0.669475,0.009308
0.010000,1.633161,4.344238,0.030993,0.326310,1.510745,-0.202638,0.010441
0.010000,1.636575,4.344275,0.034407,0.341419,1.510941,0.019650,0.011630
0.010000,1.640139,4.344319,0.037971,0.356431,1.501165,-0.977623,0.012875
0.010000,1.643855,4.344369,0.041688,0.371640,1.520966,1.980081,0.014176
0.010000,1.647719,4.344427,0.045553,0.386488,1.484751,-3.621498,0.015534
0.010000,1.651737,4.344492,0.049570,0.401769,1.528108,4.335720,0.016950
0.010000,1.655903,4.344566,0.053737,0.416704,1.493541,-3.456735,0.018424
