dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.602768,4.061505,0.001500,0.300000,30.000000,3000.000000,6.281470
0.010000,1.603222,4.061505,0.007500,0.900000,60.000000,3000.000000,0.000141
0.010000,1.615223,4.061529,0.019500,1.500000,60.000000,0.000000,0.003873
0.010000,1.633223,4.061649,0.037500,2.100000,60.000000,-0.000000,0.009527
0.010000,1.657220,4.061969,0.061500,2.700000,60.000000,0.000000,0.017173
0.010000,1.685712,4.062590,0.090000,3.000000,30.000000,-3000.000000,0.026413
0.010000,1.715699,4.063531,0.120000,3.000000,0.000000,-3000.000000,0.036332
0.010000,1.745673,4.064771,0.150000,3.000000,0.000000,0.000000,0.046449
0.010000,1.775632,4.066318,0.180000,3.000000,0.000000,0.000000,0.056767
0.010000,1.805575,4.068178,0.210000,3.000000,0.000000,0.000000,0.067289
0.010000,1.835495,4.070355,0.240000,3.000000,0.000000,0.000000,0.078016
0.010000,1.865390,4.072856,0.270000,3.000000,0.000000,0.000000,0.088951
0.010000,1.895257,4.075687,0.300000,3.000000,0.000000,0.000000,0.100096
0.010000,1.925088,4.078853,0.330000,3.000000,0.000000,0.000000,0.111450
0.010000,1.954882,4.082362,0.360000,3.000000,0.000000,0.000000,0.123017
0.010000,1.984634,4.086218,0.390000,3.000000,0.000000,0.000000,0.134795
0.010000,2.014337,4.090427,0.420000,3.000000,0.000000,0.000000,0.146784
0.010000,2.043987,4.094995,0.450000,3.000000,0.000000,0.000000,0.158985
0.010000,2.073578,4.099928,0.480000,3.000000,0.000000,0.000000,0.171396
0.010000,2.103105,4.105230,0.510000,3.000000,0.000000,0.000000,0.184017
0.010000,2.132562,4.110908,0.540000,3.000000,0.000000,0.000000,0.196844
0.010000,2.161944,4.116966,0.570000,3.000000,0.000000,0.000000,0.209875
0.010000,2.191244,4.123410,0.600000,3.000000,0.000000,0.000000,0.223107
0.010000,2.220455,4.130244,0.630000,3.000000,0.000000,0.000000,0.236536
0.010000,2.249571,4.137472,0.660000,3.000000,0.000000,0.000000,0.250157
0.010000,2.278585,4.145098,0.690000,3.000000,0.000000,0.000000,0.263965
0.010000,2.307491,4.153128,0.720000,3.000000,0.000000,0.000000,0.277953
0.010000,2.336279,4.161563,0.750000,3.000000,0.000000,0.000000,0.292114
0.010000,2.364946,4.170407,0.780000,3.000000,0.000000,0.000000,0.306442
0.010000,2.393482,4.179664,0.810000,3.000000,0.000000,0.000000,0.320927
0.010000,2.421880,4.189335,0.840000,3.000000,0.000000,0.000000,0.335559
0.010000,2.450133,4.199422,0.870000,3.000000,0.000000,0.000000,0.350330
0.010000,2.478233,4.209928,0.900000,3.000000,0.000000,0.000000,0.365228
0.010000,2.506173,4.220852,0.930000,3.000000,0.000000,0.000000,0.380241
0.010000,2.533945,4.232196,0.960000,3.000000,0.000000,0.000000,0.395358
0.010000,2.561542,4.243960,0.990000,3.000000,0.000000,0.000000,0.410565
0.010000,2.588956,4.256144,1.020000,3.000000,0.000000,0.000000,0.425849
0.010000,2.616181,4.268746,1.050000,3.000000,0.000000,0.000000,0.441197
0.010000,2.643208,4.281764,1.080000,3.000000,0.000000,0.000000,0.456592
0.010000,2.670032,4.295198,1.110000,3.000000,0.000000,0.000000,0.472020
0.010000,2.696645,4.309045,1.140000,3.000000,0.000000,0.000000,0.487467
0.010000,2.723041,4.323300,1.170000,3.000000,0.000000,0.000000,0.502916
0.010000,2.749214,4.337962,1.200000,3.000000,0.000000,0.000000,0.518352
0.010000,2.775157,4.353026,1.230000,3.000000,0.000000,0.000000,0.533759
0.010000,2.800866,4.368487,1.260000,3.000000,0.000000,0.000000,0.549121
0.010000,2.826335,4.384340,1.290000,3.000000,0.000000,0.000000,0.564422
0.010000,2.851558,4.400581,1.320000,3.000000,0.000000,0.000000,0.579646
0.010000,2.876532,4.417202,1.350000,3.000000,0.000000,0.000000,0.594779
0.010000,2.901253,4.434198,1.380000,3.000000,0.000000,0.000000,0.609805
0.010000,2.925717,4.451562,1.410000,3.000000,0.000000,0.000000,0.624710
0.010000,2.949920,4.469287,1.440000,3.000000,0.000000,0.000000,0.639480
0.010000,2.973860,4.487366,1.470000,3.000000,0.000000,0.000000,0.654100
0.010000,2.997535,4.505791,1.500000,3.000000,0.000000,0.000000,0.668559
0.010000,3.020943,4.524555,1.530000,3.000000,0.000000,0.000000,0.682843
0.010000,3.044082,4.543649,1.560000,3.000000,0.000000,0.000000,0.696941
0.010000,3.066951,4.563065,1.590000,3.000000,0.000000,0.000000,0.710843
0.010000,3.089550,4.582794,1.620000,3.000000,0.000000,0.000000,0.724537
0.010000,3.111879,4.602829,1.650000,3.000000,0.000000,0.000000,0.738015
0.010000,3.133939,4.623161,1.680000,3.000000,0.000000,0.000000,0.751268
0.010000,3.155729,4.643780,1.710000,3.000000,0.000000,0.000000,0.764288
0.010000,3.177252,4.664679,1.740000,3.000000,0.000000,0.000000,0.777069
0.010000,3.198508,4.685849,1.770000,3.000000,0.000000,0.000000,0.789603
0.010000,3.219500,4.707281,1.800000,3.000000,0.000000,0.000000,0.801885
0.010000,3.240230,4.728966,1.830000,3.000000,0.000000,0.000000,0.813910
0.010000,3.260700,4.750896,1.860000,3.000000,0.000000,0.000000,0.825675
0.010000,3.280915,4.773064,1.890000,3.000000,0.000000,0.000000,0.837176
