dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.602283,3.778930,0.001500,0.300000,30.000000,3000.000000,6.281470
0.010000,1.603262,3.778930,0.002479,0.097886,-20.211436,-5021.143636,0.000141
0.010000,1.616317,3.778956,0.015534,1.305541,120.765527,14097.696315,0.003873
0.010000,1.635915,3.779087,0.035132,1.959811,65.426970,-5533.855649,0.009527
0.010000,1.662072,3.779436,0.061292,2.616002,65.619104,19.213417,0.017173
0.010000,1.693175,3.780114,0.092403,3.111027,49.502548,-1611.655607,0.026413
0.010000,1.725963,3.781142,0.125206,3.280350,16.932333,-3257.021501,0.036332
0.010000,1.758793,3.782501,0.158065,3.285844,0.549383,-1638.295065,0.046449
0.010000,1.791664,3.784199,0.190980,3.291518,0.567385,1.800265,0.056767
0.010000,1.824574,3.786242,0.223953,3.297337,0.581845,1.445977,0.067289
0.010000,1.857518,3.788639,0.256984,3.303100,0.576388,-0.545684,0.078016
0.010000,1.890493,3.791398,0.290074,3.308944,0.584319,0.793053,0.088951
0.010000,1.923494,3.794526,0.323223,3.314972,0.602795,1.847621,0.100096
0.010000,1.956516,3.798032,0.356431,3.320750,0.577881,-2.491447,0.111450
0.010000,1.989556,3.801922,0.389699,3.326809,0.605896,2.801529,0.123017
0.010000,2.022608,3.806206,0.423028,3.332863,0.605355,-0.054110,0.134795
0.010000,2.055666,3.810891,0.456415,3.338773,0.591049,-1.430604,0.146784
0.010000,2.088723,3.815984,0.489862,3.344708,0.593438,0.238949,0.158985
0.010000,2.121773,3.821493,0.523369,3.350642,0.593464,0.002575,0.171396
0.010000,2.154810,3.827426,0.556934,3.356553,0.591091,-0.237260,0.184017
0.010000,2.187827,3.833790,0.590558,3.362416,0.586295,-0.479667,0.196844
0.010000,2.220815,3.840592,0.624241,3.368207,0.579058,-0.723686,0.209875
0.010000,2.253766,3.847839,0.657980,3.373901,0.569375,-0.968293,0.223107
0.010000,2.286673,3.855537,0.691774,3.379473,0.557251,-1.212403,0.236536
0.010000,2.319524,3.863692,0.725623,3.384900,0.542702,-1.454871,0.250157
0.010000,2.352312,3.872311,0.759525,3.390158,0.525757,-1.694500,0.263965
0.010000,2.385026,3.881398,0.793477,3.395222,0.506457,-1.930048,0.277953
0.010000,2.417655,3.890958,0.827478,3.400071,0.484854,-2.160234,0.292114
0.010000,2.450190,3.900997,0.861526,3.404871,0.479978,-0.487601,0.306442
0.010000,2.482620,3.911516,0.895620,3.409302,0.443118,-3.686026,0.320927
0.010000,2.514931,3.922520,0.929753,3.413381,0.407948,-3.517015,0.335559
0.010000,2.547115,3.934011,0.963927,3.417401,0.401990,-0.595785,0.350330
0.010000,2.579158,3.945991,0.998137,3.420927,0.352567,-4.942330,0.365228
0.010000,2.611049,3.958460,1.032379,3.424201,0.327400,-2.516659,0.380241
0.010000,2.642776,3.971420,1.066650,3.427129,0.292833,-3.456760,0.395358
0.010000,2.674326,3.984869,1.100947,3.429681,0.255160,-3.767274,0.410565
0.010000,2.705686,3.998806,1.135265,3.431828,0.214739,-4.042103,0.425849
0.010000,2.736847,4.013230,1.169602,3.433664,0.183622,-3.111726,0.441197
0.010000,2.767793,4.028136,1.203951,3.434948,0.128345,-5.527699,0.456592
0.010000,2.798515,4.043522,1.238311,3.435963,0.101470,-2.687492,0.472020
0.010000,2.829000,4.059383,1.272675,3.436460,0.049780,-5.168943,0.487467
0.010000,2.859237,4.075714,1.307040,3.436489,0.002912,-4.686811,0.502916
0.010000,2.889215,4.092507,1.341402,3.436131,-0.035854,-3.876649,0.518352
0.010000,2.918924,4.109757,1.375755,3.435345,-0.078632,-4.277718,0.533759
0.010000,2.948353,4.127455,1.410096,3.434050,-0.129426,-5.079407,0.549121
0.010000,2.977492,4.145593,1.444419,3.432320,-0.173033,-4.360730,0.564422
0.010000,3.006332,4.164162,1.478720,3.430156,-0.216415,-4.338212,0.579646
0.010000,3.034866,4.183153,1.512996,3.427585,-0.257128,-4.071312,0.594779
0.010000,3.063086,4.202555,1.547242,3.424582,-0.300261,-4.313328,0.609805
0.010000,3.090984,4.222356,1.581453,3.421147,-0.343476,-4.321472,0.624710
0.010000,3.118555,4.242547,1.615627,3.417316,-0.383080,-3.960412,0.639480
0.010000,3.145792,4.263116,1.649758,3.413104,-0.421234,-3.815368,0.654100
0.010000,3.172691,4.284050,1.683843,3.408527,-0.457755,-3.652125,0.668559
