dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674721,4.391995,0.001500,0.300000,30.000000,3000.000000,6.282902
0.010000,1.675468,4.391995,0.002248,0.074784,-22.521574,-5252.157447,0.000046
0.010000,1.687281,4.392000,0.014060,1.181250,110.646595,13316.816962,0.000710
0.010000,1.704996,4.392021,0.031776,1.771529,59.027839,-5161.875573,0.001718
0.010000,1.728609,4.392078,0.055389,2.361319,58.979044,-4.879558,0.003086
0.010000,1.756639,4.392187,0.083419,2.803039,44.171973,-1480.707073,0.004749
0.010000,1.786132,4.392354,0.112912,2.949309,14.627017,-2954.495632,0.006542
0.010000,1.815612,4.392574,0.142393,2.948067,-0.124201,-1475.121816,0.008380
0.010000,1.845078,4.392848,0.171860,2.946740,-0.132741,-0.853959,0.010265
0.010000,1.874531,4.393179,0.201315,2.945451,-0.128833,0.390791,0.012196
0.010000,1.903969,4.393567,0.230756,2.944106,-0.134514,-0.568124,0.014173
0.010000,1.933393,4.394014,0.260184,2.942763,-0.134352,0.016259,0.016199
0.010000,1.962803,4.394520,0.289598,2.941405,-0.135791,-0.143881,0.018273
0.010000,1.992198,4.395089,0.318998,2.939996,-0.140846,-0.505590,0.020396
0.010000,2.021577,4.395720,0.348384,2.938631,-0.136504,0.434245,0.022568
0.010000,2.050941,4.396415,0.377756,2.937168,-0.146287,-0.978297,0.024791
0.010000,2.080288,4.397176,0.407113,2.935760,-0.140830,0.545675,0.027065
0.010000,2.109619,4.398004,0.436456,2.934279,-0.148075,-0.724513,0.029391
0.010000,2.138934,4.398901,0.465784,2.932781,-0.149841,-0.176587,0.031769
0.010000,2.168231,4.399867,0.495097,2.931307,-0.147393,0.244857,0.034201
0.010000,2.197510,4.400905,0.524394,2.929742,-0.156501,-0.910790,0.036686
0.010000,2.226771,4.402016,0.553676,2.928210,-0.153223,0.327709,0.039227
0.010000,2.256013,4.403202,0.582943,2.926637,-0.157309,-0.408565,0.041824
0.010000,2.285236,4.404464,0.612193,2.925004,-0.163296,-0.598661,0.044477
0.010000,2.314439,4.405803,0.641427,2.923414,-0.158939,0.435718,0.047188
0.010000,2.343622,4.407221,0.670644,2.921754,-0.166054,-0.711570,0.049957
0.010000,2.372784,4.408721,0.699845,2.920047,-0.170633,-0.457863,0.052786
0.010000,2.401925,4.410302,0.729029,2.918374,-0.167370,0.326320,0.055675
0.010000,2.431044,4.411968,0.758195,2.916640,-0.173350,-0.598081,0.058625
0.010000,2.460140,4.413720,0.787344,2.914854,-0.178567,-0.521635,0.061638
0.010000,2.489212,4.415559,0.816474,2.913066,-0.178893,-0.032608,0.064714
0.010000,2.518261,4.417487,0.845587,2.911276,-0.178931,-0.003826,0.067855
0.010000,2.547285,4.419506,0.874681,2.909405,-0.187155,-0.822348,0.071061
0.010000,2.576283,4.421617,0.903756,2.907503,-0.190119,-0.296459,0.074333
0.010000,2.605256,4.423823,0.932812,2.905603,-0.190047,0.007243,0.077674
0.010000,2.634201,4.426126,0.961849,2.903676,-0.192703,-0.265650,0.081083
0.010000,2.663118,4.428526,0.990866,2.901679,-0.199653,-0.695014,0.084563
0.010000,2.692007,4.431026,1.019862,2.899650,-0.202929,-0.327573,0.088114
0.010000,2.720866,4.433628,1.048838,2.897587,-0.206284,-0.335454,0.091737
0.010000,2.749694,4.436334,1.077793,2.895532,-0.205496,0.078732,0.095435
0.010000,2.778491,4.439145,1.106727,2.893410,-0.212248,-0.675157,0.099207
0.010000,2.807256,4.442064,1.135640,2.891239,-0.217133,-0.488482,0.103056
0.010000,2.835987,4.445092,1.164530,2.889030,-0.220841,-0.370845,0.106983
