dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674641,4.109420,0.000027,0.005333,0.533333,53.333333,6.282822
0.010000,1.674641,4.109420,0.000133,0.016000,1.066667,53.333333,6.282828
0.010000,1.674641,4.109420,0.000373,0.032000,1.600000,53.333333,6.282841
0.010000,1.674641,4.109420,0.000800,0.053333,2.133333,53.333333,6.282864
0.010000,1.674641,4.109420,0.001440,0.074667,2.133333,0.000000,6.282899
0.010000,1.674641,4.109420,0.002293,0.096000,2.133333,-0.000000,6.282946
0.010000,1.674641,4.109420,0.003360,0.117333,2.133333,0.000000,6.283004
0.010000,1.674641,4.109420,0.004640,0.138667,2.133333,0.000000,6.283074
0.010000,1.674641,4.109420,0.006133,0.160000,2.133333,0.000000,6.283156
0.010000,1.675821,4.109420,0.007840,0.181333,2.133333,-0.000000,0.000065
0.010000,1.677742,4.109420,0.009760,0.202667,2.133333,0.000000,0.000171
0.010000,1.679875,4.109421,0.011893,0.224000,2.133333,0.000000,0.000288
0.010000,1.682221,4.109422,0.014240,0.245333,2.133333,-0.000000,0.000418
0.010000,1.684782,4.109423,0.016800,0.266667,2.133333,0.000000,0.000560
0.010000,1.687555,4.109425,0.019573,0.288000,2.133333,-0.000000,0.000714
0.010000,1.690542,4.109427,0.022560,0.309333,2.133333,0.000000,0.000880
0.010000,1.693741,4.109430,0.025760,0.330667,2.133333,-0.000000,0.001058
0.010000,1.697155,4.109434,0.029173,0.352000,2.133333,0.000000,0.001249
0.010000,1.700781,4.109439,0.032800,0.373333,2.133333,-0.000000,0.001453
0.010000,1.704622,4.109445,0.036640,0.394667,2.133333,0.000000,0.001669
0.010000,1.708675,4.109452,0.040693,0.416000,2.133333,-0.000000,0.001898
0.010000,1.712942,4.109461,0.044960,0.437333,2.133333,0.000000,0.002140
0.010000,1.717422,4.109471,0.049440,0.458667,2.133333,0.000000,0.002395
0.010000,1.722115,4.109483,0.054133,0.480000,2.133333,-0.000000,0.002663
0.010000,1.727021,4.109497,0.059040,0.501333,2.133333,0.000000,0.002945
0.010000,1.732141,4.109512,0.064160,0.522667,2.133333,-0.000000,0.003240
0.010000,1.737475,4.109531,0.069493,0.544000,2.133333,0.000000,0.003549
0.010000,1.743021,4.109551,0.075040,0.565333,2.133333,0.000000,0.003871
0.010000,1.748781,4.109574,0.080800,0.586667,2.133333,0.000000,0.004208
0.010000,1.754754,4.109601,0.086773,0.608000,2.133333,0.000000,0.004558
0.010000,1.760941,4.109630,0.092960,0.629333,2.133333,-0.000000,0.004924
0.010000,1.767341,4.109663,0.099360,0.650667,2.133333,0.000000,0.005303
0.010000,1.773954,4.109699,0.105973,0.672000,2.133333,-0.000000,0.005698
0.010000,1.780781,4.109739,0.112800,0.693333,2.133333,0.000000,0.006107
0.010000,1.787821,4.109784,0.119840,0.714667,2.133333,0.000000,0.006532
0.010000,1.795074,4.109833,0.127093,0.736000,2.133333,0.000000,0.006972
0.010000,1.802540,4.109887,0.134560,0.757333,2.133333,-0.000000,0.007428
