dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674538,3.826845,0.000028,0.005556,0.555556,55.555556,6.282822
0.010000,1.674540,3.826845,0.000029,0.000172,-0.538396,-109.395161,6.282828
0.010000,1.674544,3.826845,0.000033,0.000386,0.021455,55.985125,6.282842
0.010000,1.674550,3.826845,0.000040,0.000644,0.025761,0.430584,6.282864
0.010000,1.674559,3.826845,0.000049,0.000902,0.025788,0.002687,6.282896
0.010000,1.674571,3.826845,0.000060,0.001160,0.025826,0.003762,6.282937
0.010000,1.674585,3.826845,0.000075,0.001419,0.025874,0.004838,6.282988
0.010000,1.674602,3.826845,0.000091,0.001678,0.025933,0.005915,6.283047
0.010000,1.674621,3.826845,0.000111,0.001938,0.026003,0.006993,6.283116
0.010000,1.674789,3.826845,0.000279,0.016831,1.489267,146.326382,0.000008
0.010000,1.676397,3.826845,0.001887,0.160811,14.397999,1290.873246,0.000095
0.010000,1.678175,3.826845,0.003664,0.177729,1.691861,-1270.613856,0.000192
0.010000,1.680121,3.826846,0.005611,0.194645,1.691594,-0.026650,0.000297
0.010000,1.682237,3.826847,0.007727,0.211582,1.693709,0.211468,0.000412
0.010000,1.684522,3.826848,0.010012,0.228534,1.695169,0.146051,0.000537
0.010000,1.686977,3.826849,0.012467,0.245445,1.691124,-0.404493,0.000671
0.010000,1.689601,3.826851,0.015090,0.262394,1.694919,0.379466,0.000815
0.010000,1.692394,3.826854,0.017884,0.279337,1.694283,-0.063604,0.000968
0.010000,1.695357,3.826857,0.020846,0.296254,1.691679,-0.260444,0.001131
0.010000,1.698489,3.826861,0.023979,0.313232,1.697819,0.614061,0.001304
0.010000,1.701790,3.826865,0.027280,0.330135,1.690289,-0.753027,0.001486
0.010000,1.705261,3.826871,0.030751,0.347128,1.699294,0.900504,0.001679
0.010000,1.708902,3.826877,0.034392,0.364036,1.690776,-0.851803,0.001881
0.010000,1.712712,3.826885,0.038202,0.381023,1.698676,0.789977,0.002094
0.010000,1.716692,3.826893,0.042181,0.397954,1.693165,-0.551079,0.002316
0.010000,1.720841,3.826904,0.046331,0.414914,1.695933,0.276782,0.002549
0.010000,1.725160,3.826915,0.050649,0.431888,1.697481,0.154787,0.002793
0.010000,1.729648,3.826928,0.055138,0.448827,1.693864,-0.361639,0.003046
0.010000,1.734306,3.826943,0.059796,0.465808,1.698086,0.422133,0.003311
0.010000,1.739134,3.826960,0.064624,0.482786,1.697812,-0.027408,0.003586
0.010000,1.744131,3.826978,0.069621,0.499743,1.695733,-0.207890,0.003872
0.010000,1.749298,3.826999,0.074788,0.516708,1.696466,0.073291,0.004169
0.010000,1.754635,3.827022,0.080125,0.533712,1.700393,0.392777,0.004477
0.010000,1.760142,3.827048,0.085632,0.550696,1.698450,-0.194362,0.004796
0.010000,1.765819,3.827076,0.091309,0.567677,1.698053,-0.039652,0.005127
0.010000,1.771665,3.827107,0.097156,0.584664,1.698696,0.064334,0.005469
0.010000,1.777682,3.827141,0.103172,0.601657,1.699318,0.062113,0.005822
0.010000,1.783868,3.827178,0.109359,0.618656,1.699916,0.059823,0.006188
0.010000,1.790225,3.827218,0.115715,0.635661,1.700490,0.057461,0.006565
0.010000,1.796751,3.827263,0.122242,0.652672,1.701041,0.055026,0.006955
0.010000,1.803448,3.827310,0.128939,0.669687,1.701566,0.052516,0.007357
0.010000,1.810315,3.827362,0.135806,0.686708,1.702065,0.049929,0.007771
0.010000,1.817352,3.827419,0.142843,0.703733,1.702538,0.047264,0.008198
0.010000,1.824559,3.827479,0.150051,0.720763,1.702983,0.044520,0.008638
0.010000,1.831937,3.827545,0.157429,0.737797,1.703400,0.041694,0.009090
0.010000,1.839485,3.827615,0.164977,0.754835,1.703788,0.038785,0.009556
0.010000,1.847204,3.827691,0.172696,0.771876,1.704146,0.035791,0.010035
0.010000,1.855092,3.827772,0.180585,0.788921,1.704473,0.032712,0.010528
0.010000,1.863152,3.827859,0.188645,0.805969,1.704768,0.029545,0.011035
0.010000,1.871382,3.827952,0.196876,0.823059,1.709022,0.425385,0.011556
0.010000,1.879782,3.828051,0.205277,0.840127,1.706799,-0.222275,0.012091
0.010000,1.888353,3.828157,0.213849,0.857188,1.706067,-0.073217,0.012640
0.010000,1.897095,3.828270,0.222591,0.874252,1.706458,0.039114,0.013204
0.010000,1.906008,3.828390,0.231505,0.891387,1.713473,0.701483,0.013783
0.010000,1.915092,3.828518,0.240590,0.908458,1.707092,-0.638139,0.014378
0.010000,1.924346,3.828654,0.249845,0.925546,1.708761,0.166969,0.014987
0.010000,1.933772,3.828798,0.259272,0.942693,1.714783,0.602114,0.015613
0.010000,1.943369,3.828951,0.268870,0.959772,1.707815,-0.696740,0.016254
0.010000,1.953137,3.829113,0.278639,0.976933,1.716162,0.834677,0.016912
