dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674762,4.391995,0.001500,0.300000,30.000000,3000.000000,6.282755
0.010000,1.677705,4.391996,0.004443,0.294281,-0.571910,-3057.190975,0.000493
0.010000,1.689183,4.392012,0.015921,1.147824,85.354347,8592.625697,0.002339
0.010000,1.706399,4.392076,0.033137,1.721641,57.381633,-2797.271433,0.005112
0.010000,1.729353,4.392236,0.056091,2.295361,57.372000,-0.963250,0.008815
0.010000,1.756606,4.392536,0.083346,2.725492,43.013127,-1435.887302,0.013221
0.010000,1.785289,4.392982,0.112033,2.868677,14.318473,-2869.465415,0.017868
0.010000,1.813967,4.393561,0.140717,2.868408,-0.026861,-1434.533439,0.022525
0.010000,1.842640,4.394274,0.169398,2.868147,-0.026082,0.077948,0.027191
0.010000,1.871306,4.395121,0.198077,2.867895,-0.025203,0.087871,0.031866
0.010000,1.899966,4.396102,0.226754,2.867652,-0.024314,0.088917,0.036550
0.010000,1.928619,4.397217,0.255428,2.867418,-0.023414,0.089959,0.041242
0.010000,1.957263,4.398466,0.284100,2.867193,-0.022504,0.090996,0.045941
0.010000,1.985900,4.399850,0.312770,2.866977,-0.021584,0.092025,0.050649
0.010000,2.014527,4.401369,0.341437,2.866771,-0.020654,0.093044,0.055364
0.010000,2.043145,4.403023,0.370103,2.866573,-0.019713,0.094049,0.060085
0.010000,2.071753,4.404812,0.398767,2.866386,-0.018763,0.095040,0.064814
0.010000,2.100350,4.406736,0.427429,2.866208,-0.017803,0.096012,0.069548
0.010000,2.128937,4.408795,0.456089,2.866039,-0.016833,0.096964,0.074289
0.010000,2.157511,4.410990,0.484748,2.865887,-0.015263,0.156988,0.079035
0.010000,2.186074,4.413321,0.513406,2.865741,-0.014555,0.070845,0.083786
0.010000,2.214624,4.415787,0.542062,2.865603,-0.013860,0.069476,0.088542
0.010000,2.243160,4.418388,0.570716,2.865474,-0.012859,0.100117,0.093303
0.010000,2.271683,4.421126,0.599370,2.865356,-0.011849,0.100943,0.098067
0.010000,2.300191,4.423999,0.628023,2.865247,-0.010832,0.101736,0.102836
0.010000,2.328684,4.427008,0.656674,2.865154,-0.009365,0.146735,0.107608
0.010000,2.357161,4.430153,0.685325,2.865072,-0.008184,0.118049,0.112383
0.010000,2.385623,4.433434,0.713975,2.864994,-0.007750,0.043422,0.117161
0.010000,2.414067,4.436851,0.742624,2.864927,-0.006708,0.104189,0.121940
0.010000,2.442495,4.440404,0.771273,2.864871,-0.005660,0.104795,0.126722
0.010000,2.470905,4.444093,0.799921,2.864830,-0.004102,0.155839,0.131506
0.010000,2.499296,4.447917,0.828569,2.864800,-0.002992,0.110929,0.136290
0.010000,2.527669,4.451877,0.857217,2.864775,-0.002515,0.047750,0.141076
0.010000,2.556022,4.455973,0.885864,2.864760,-0.001450,0.106469,0.145862
0.010000,2.584356,4.460205,0.914512,2.864758,-0.000211,0.123866,0.150647
0.010000,2.612669,4.464572,0.943160,2.864774,0.001568,0.177979,0.155433
0.010000,2.640961,4.469075,0.971808,2.864791,0.001723,0.015436,0.160218
0.010000,2.669231,4.473713,1.000456,2.864819,0.002797,0.107423,0.165001
0.010000,2.697479,4.478486,1.029104,2.864860,0.004133,0.133573,0.169784
0.010000,2.725705,4.483394,1.057754,2.864917,0.005681,0.154869,0.174564
0.010000,2.753907,4.488437,1.086403,2.864977,0.005976,0.029509,0.179342
0.010000,2.782086,4.493616,1.115054,2.865047,0.007052,0.107587,0.184118
0.010000,2.810240,4.498928,1.143705,2.865134,0.008717,0.166508,0.188891
0.010000,2.838370,4.504375,1.172357,2.865229,0.009508,0.079030,0.193660
0.010000,2.866474,4.509957,1.201011,2.865332,0.010216,0.070818,0.198426
0.010000,2.894553,4.515672,1.229665,2.865446,0.011457,0.124136,0.203187
0.010000,2.922605,4.521521,1.258321,2.865576,0.013011,0.155382,0.207944
0.010000,2.950631,4.527504,1.286978,2.865710,0.013351,0.033970,0.212697
0.010000,2.978629,4.533620,1.315637,2.865854,0.014409,0.105824,0.217444
0.010000,3.006600,4.539870,1.344297,2.866015,0.016153,0.174380,0.222185
0.010000,3.034542,4.546252,1.372959,2.866180,0.016506,0.035360,0.226921
0.010000,3.062455,4.552767,1.401622,2.866355,0.017487,0.098024,0.231650
0.010000,3.090340,4.559414,1.430288,2.866546,0.019016,0.152966,0.236373
0.010000,3.118194,4.566193,1.458955,2.866742,0.019649,0.063302,0.241089
0.010000,3.146018,4.573103,1.487624,2.866947,0.020505,0.085577,0.245797
0.010000,3.173811,4.580145,1.516296,2.867166,0.021892,0.138654,0.250498
0.010000,3.201574,4.587318,1.544970,2.867392,0.022639,0.074731,0.255191
0.010000,3.229304,4.594622,1.573646,2.867627,0.023452,0.081289,0.259875
0.010000,3.257003,4.602056,1.602325,2.867874,0.024733,0.128087,0.264551
0.010000,3.284669,4.609620,1.631006,2.868129,0.025499,0.076673,0.269217
0.010000,3.312301,4.617314,1.659690,2.868392,0.026315,0.081547,0.273875
0.010000,3.339901,4.625137,1.688377,2.868667,0.027502,0.118663,0.278522
0.010000,3.367466,4.633088,1.717066,2.868950,0.028248,0.074644,0.283160
0.010000,3.394998,4.641169,1.745759,2.869241,0.029083,0.083506,0.287787
0.010000,3.422494,4.649377,1.774454,2.869542,0.030168,0.108499,0.292404
0.010000,3.449955,4.657713,1.803153,2.869851,0.030895,0.072731,0.297010
0.010000,3.477381,4.666176,1.831854,2.870169,0.031746,0.085051,0.301604
0.010000,3.504771,4.674765,1.860559,2.870496,0.032710,0.096387,0.306187
0.010000,3.532124,4.683481,1.889268,2.870830,0.033446,0.073669,0.310758
0.010000,3.559440,4.692323,1.917979,2.871173,0.034294,0.084758,0.315317
0.010000,3.586719,4.701290,1.946695,2.871524,0.035111,0.081738,0.319863
0.010000,3.613961,4.710382,1.975414,2.871883,0.035901,0.078939,0.324397
0.010000,3.641165,4.719599,2.004136,2.872250,0.036707,0.080592,0.328918
0.010000,3.668330,4.728939,2.032862,2.872624,0.037390,0.068309,0.333426
0.010000,3.695457,4.738403,2.061592,2.873007,0.038241,0.085087,0.337920
0.010000,3.722544,4.747990,2.090326,2.873396,0.038967,0.072623,0.342400
0.010000,3.749592,4.757699,2.119064,2.873792,0.039563,0.059624,0.346866
0.010000,3.776600,4.767530,2.147806,2.874197,0.040447,0.088351,0.351318
0.010000,3.803569,4.777482,2.176552,2.874607,0.041077,0.063028,0.355756
0.010000,3.830496,4.787556,2.205302,2.875023,0.041619,0.054250,0.360178
0.010000,3.857384,4.797749,2.234057,2.875449,0.042514,0.089429,0.364586
0.010000,3.884229,4.808063,2.262816,2.875879,0.043045,0.053113,0.368978
0.010000,3.911034,4.818495,2.291579,2.876315,0.043543,0.049845,0.373355
0.010000,3.937797,4.829046,2.320346,2.876759,0.044438,0.089485,0.377717
0.010000,3.964517,4.839716,2.349119,2.877208,0.044884,0.044580,0.382062
0.010000,3.991196,4.850502,2.377895,2.877661,0.045316,0.043260,0.386391
0.010000,4.017832,4.861406,2.406676,2.878123,0.046217,0.090092,0.390704
0.010000,4.044425,4.872426,2.435462,2.878589,0.046612,0.039474,0.395001
0.010000,4.070975,4.883562,2.464253,2.879058,0.046919,0.030640,0.399281
0.010000,4.097481,4.894813,2.493048,2.879537,0.047850,0.093185,0.403544
0.010000,4.123944,4.906178,2.521848,2.880019,0.048252,0.040130,0.407790
0.010000,4.150363,4.917658,2.550653,2.880503,0.048327,0.007525,0.412018
0.010000,4.176737,4.929250,2.579463,2.880996,0.049337,0.101005,0.416230
0.010000,4.203067,4.940956,2.608278,2.881494,0.049815,0.047843,0.420423
0.010000,4.229353,4.952774,2.637098,2.881990,0.049543,-0.027199,0.424600
0.010000,4.255594,4.964703,2.665923,2.882496,0.050665,0.112199,0.428758
0.010000,4.281789,4.976743,2.694753,2.883007,0.051107,0.044163,0.432898
0.010000,4.307939,4.988893,2.723588,2.883517,0.050993,-0.011395,0.437020
0.010000,4.334044,5.001154,2.752429,2.884033,0.051613,0.061963,0.441124
0.010000,4.360103,5.013523,2.781274,2.884556,0.052256,0.064358,0.445209
0.010000,4.386116,5.026000,2.810125,2.885081,0.052453,0.019704,0.449276
0.010000,4.412083,5.038585,2.838981,2.885603,0.052280,-0.017295,0.453324
0.010000,4.438004,5.051278,2.867843,2.886136,0.053267,0.098612,0.457354
0.010000,4.463878,5.064076,2.896709,2.886672,0.053583,0.031619,0.461364
0.010000,4.489706,5.076981,2.925581,2.887206,0.053393,-0.018982,0.465356
0.010000,4.515487,5.089991,2.954459,2.887743,0.053767,0.037372,0.469328
0.010000,4.541221,5.103105,2.983342,2.888288,0.054412,0.064579,0.473282
