dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674641,4.109420,0.000027,0.005333,0.533333,53.333333,6.282529
0.010000,1.674641,4.109420,0.000133,0.016000,1.066667,53.333333,6.282545
0.010000,1.674641,4.109420,0.000373,0.032000,1.600000,53.333333,6.282582
0.010000,1.674641,4.109420,0.000800,0.053333,2.133333,53.333333,6.282648
0.010000,1.674641,4.109420,0.001440,0.074667,2.133333,0.000000,6.282746
0.010000,1.674641,4.109420,0.002293,0.096000,2.133333,-0.000000,6.282877
0.010000,1.674641,4.109420,0.003360,0.117333,2.133333,0.000000,6.283041
0.010000,1.674984,4.109420,0.004640,0.138667,2.133333,0.000000,0.000053
0.010000,1.676478,4.109420,0.006133,0.160000,2.133333,0.000000,0.000282
0.010000,1.678184,4.109421,0.007840,0.181333,2.133333,-0.000000,0.000545
0.010000,1.680104,4.109422,0.009760,0.202667,2.133333,0.000000,0.000840
0.010000,1.682237,4.109424,0.011893,0.224000,2.133333,0.000000,0.001168
0.010000,1.684584,4.109428,0.014240,0.245333,2.133333,-0.000000,0.001530
0.010000,1.687144,4.109432,0.016800,0.266667,2.133333,0.000000,0.001924
0.010000,1.689917,4.109438,0.019573,0.288000,2.133333,-0.000000,0.002350
0.010000,1.692904,4.109446,0.022560,0.309333,2.133333,0.000000,0.002810
0.010000,1.696104,4.109455,0.025760,0.330667,2.133333,-0.000000,0.003303
0.010000,1.699517,4.109468,0.029173,0.352000,2.133333,0.000000,0.003829
0.010000,1.703144,4.109483,0.032800,0.373333,2.133333,-0.000000,0.004388
0.010000,1.706984,4.109501,0.036640,0.394667,2.133333,0.000000,0.004980
0.010000,1.711037,4.109522,0.040693,0.416000,2.133333,-0.000000,0.005604
0.010000,1.715304,4.109547,0.044960,0.437333,2.133333,0.000000,0.006262
0.010000,1.719784,4.109577,0.049440,0.458667,2.133333,0.000000,0.006954
0.010000,1.724477,4.109611,0.054133,0.480000,2.133333,-0.000000,0.007678
0.010000,1.729383,4.109651,0.059040,0.501333,2.133333,0.000000,0.008435
0.010000,1.734503,4.109696,0.064160,0.522667,2.133333,-0.000000,0.009226
0.010000,1.739836,4.109747,0.069493,0.544000,2.133333,0.000000,0.010050
0.010000,1.745383,4.109806,0.075040,0.565333,2.133333,0.000000,0.010907
0.010000,1.751142,4.109871,0.080800,0.586667,2.133333,0.000000,0.011798
0.010000,1.757115,4.109944,0.086773,0.608000,2.133333,0.000000,0.012722
0.010000,1.763301,4.110026,0.092960,0.629333,2.133333,-0.000000,0.013679
0.010000,1.769701,4.110117,0.099360,0.650667,2.133333,0.000000,0.014670
0.010000,1.776313,4.110217,0.105973,0.672000,2.133333,-0.000000,0.015694
0.010000,1.783139,4.110328,0.112800,0.693333,2.133333,0.000000,0.016752
0.010000,1.790178,4.110449,0.119840,0.714667,2.133333,0.000000,0.017843
0.010000,1.797430,4.110583,0.127093,0.736000,2.133333,0.000000,0.018968
0.010000,1.804895,4.110729,0.134560,0.757333,2.133333,-0.000000,0.020127
0.010000,1.812574,4.110888,0.142240,0.778667,2.133333,0.000000,0.021320
0.010000,1.820465,4.111061,0.150133,0.800000,2.133333,0.000000,0.022546
0.010000,1.828570,4.111249,0.158240,0.821333,2.133333,0.000000,0.023806
0.010000,1.836887,4.111452,0.166560,0.842667,2.133333,0.000000,0.025100
0.010000,1.845418,4.111672,0.175093,0.864000,2.133333,0.000000,0.026427
0.010000,1.854161,4.111909,0.183840,0.885333,2.133333,-0.000000,0.027789
0.010000,1.863117,4.112165,0.192800,0.906667,2.133333,0.000000,0.029185
0.010000,1.872287,4.112439,0.201973,0.928000,2.133333,-0.000000,0.030614
0.010000,1.881669,4.112733,0.211360,0.949333,2.133333,0.000000,0.032078
0.010000,1.891264,4.113048,0.220960,0.970667,2.133333,-0.000000,0.033576
0.010000,1.901071,4.113385,0.230773,0.992000,2.133333,-0.000000,0.035108
0.010000,1.911091,4.113745,0.240800,1.013333,2.133333,0.000000,0.036675
0.010000,1.921324,4.114128,0.251040,1.034667,2.133333,-0.000000,0.038275
0.010000,1.931769,4.114537,0.261493,1.056000,2.133333,0.000000,0.039910
0.010000,1.942427,4.114971,0.272160,1.077333,2.133333,0.000000,0.041580
0.010000,1.953298,4.115433,0.283040,1.098667,2.133333,-0.000000,0.043283
0.010000,1.964380,4.115923,0.294133,1.120000,2.133333,0.000000,0.045022
0.010000,1.975675,4.116441,0.305440,1.141333,2.133333,0.000000,0.046794
0.010000,1.987182,4.116991,0.316960,1.162667,2.133333,-0.000000,0.048602
0.010000,1.998901,4.117572,0.328693,1.184000,2.133333,0.000000,0.050444
0.010000,2.010831,4.118185,0.340640,1.205333,2.133333,0.000000,0.052320
0.010000,2.022974,4.118833,0.352800,1.226667,2.133333,0.000000,0.054231
0.010000,2.035329,4.119515,0.365173,1.248000,2.133333,0.000000,0.056177
0.010000,2.047895,4.120235,0.377760,1.269333,2.133333,-0.000000,0.058158
0.010000,2.060672,4.120991,0.390560,1.290667,2.133333,0.000000,0.060173
0.010000,2.073661,4.121787,0.403573,1.312000,2.133333,0.000000,0.062224
0.010000,2.086862,4.122624,0.416800,1.333333,2.133333,0.000000,0.064309
0.010000,2.100273,4.123502,0.430240,1.354667,2.133333,-0.000000,0.066429
