dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.674519,3.826845,0.001500,0.300000,30.000000,3000.000000,6.282755
0.010000,1.677983,3.826846,0.004964,0.346425,4.642519,-2535.748093,0.000493
0.010000,1.690505,3.826864,0.017486,1.252180,90.575528,8593.300935,0.002339
0.010000,1.709289,3.826934,0.036270,1.878353,62.617243,-2795.828518,0.005112
0.010000,1.734334,3.827108,0.061316,2.504639,62.628562,1.131877,0.008815
0.010000,1.764077,3.827436,0.091061,2.974484,46.984559,-1564.400343,0.013221
0.010000,1.795387,3.827922,0.122374,3.131317,15.683316,-3130.124212,0.017868
0.010000,1.826696,3.828555,0.153690,3.131588,0.027116,-1565.620096,0.022525
0.010000,1.858005,3.829333,0.185008,3.131850,0.026132,-0.098372,0.027191
0.010000,1.889312,3.830258,0.216329,3.132102,0.025231,-0.090081,0.031866
0.010000,1.920618,3.831329,0.247653,3.132345,0.024317,-0.091416,0.036550
0.010000,1.951920,3.832547,0.278979,3.132579,0.023390,-0.092687,0.041242
0.010000,1.983218,3.833912,0.310307,3.132804,0.022451,-0.093895,0.045941
0.010000,2.014512,3.835425,0.341637,3.133019,0.021501,-0.095040,0.050649
0.010000,2.045800,3.837085,0.372969,3.133224,0.020539,-0.096121,0.055364
0.010000,2.077082,3.838893,0.404303,3.133420,0.019568,-0.097140,0.060085
0.010000,2.108357,3.840848,0.435639,3.133606,0.018587,-0.098096,0.064814
0.010000,2.139624,3.842952,0.466977,3.133782,0.017597,-0.098990,0.069548
0.010000,2.170882,3.845204,0.498317,3.133948,0.016599,-0.099822,0.074289
0.010000,2.202131,3.847604,0.529658,3.134110,0.016239,-0.035964,0.079035
0.010000,2.233370,3.850153,0.561000,3.134259,0.014921,-0.131858,0.083786
0.010000,2.264598,3.852850,0.592344,3.134395,0.013571,-0.134978,0.088542
0.010000,2.295814,3.855696,0.623689,3.134520,0.012541,-0.102988,0.093303
0.010000,2.327017,3.858691,0.655036,3.134635,0.011506,-0.103508,0.098067
0.010000,2.358206,3.861835,0.686383,3.134740,0.010466,-0.103969,0.102836
0.010000,2.389381,3.865127,0.717732,3.134839,0.009907,-0.055964,0.107608
0.010000,2.420541,3.868569,0.749081,3.134929,0.009022,-0.088475,0.112383
0.010000,2.451685,3.872159,0.780431,3.135002,0.007310,-0.171168,0.117161
0.010000,2.482811,3.875898,0.811782,3.135065,0.006254,-0.105615,0.121940
0.010000,2.513921,3.879786,0.843133,3.135117,0.005196,-0.105782,0.126722
0.010000,2.545011,3.883822,0.874484,3.135164,0.004690,-0.050647,0.131506
0.010000,2.576083,3.888008,0.905836,3.135201,0.003686,-0.100415,0.136290
0.010000,2.607134,3.892342,0.937189,3.135220,0.001985,-0.170078,0.141076
0.010000,2.638164,3.896825,0.968541,3.135230,0.000923,-0.106231,0.145862
0.010000,2.669172,3.901456,0.999893,3.135230,0.000048,-0.087497,0.150647
0.010000,2.700158,3.906235,1.031245,3.135228,-0.000237,-0.028476,0.155433
0.010000,2.731121,3.911163,1.062598,3.135205,-0.002302,-0.206460,0.160218
0.010000,2.762059,3.916239,1.093949,3.135171,-0.003360,-0.105774,0.165001
0.010000,2.792972,3.921462,1.125301,3.135130,-0.004130,-0.077037,0.169784
0.010000,2.823859,3.926833,1.156651,3.135083,-0.004665,-0.053510,0.174564
0.010000,2.854720,3.932352,1.188002,3.135018,-0.006569,-0.190361,0.179342
0.010000,2.885553,3.938018,1.219351,3.134941,-0.007613,-0.104477,0.184118
0.010000,2.916358,3.943830,1.250700,3.134861,-0.008008,-0.039465,0.188891
0.010000,2.947134,3.949790,1.282047,3.134768,-0.009353,-0.134538,0.193660
0.010000,2.977880,3.955896,1.313394,3.134660,-0.010781,-0.142762,0.198426
0.010000,3.008596,3.962148,1.344739,3.134544,-0.011617,-0.083572,0.203187
0.010000,3.039280,3.968546,1.376084,3.134423,-0.012101,-0.048445,0.207944
0.010000,3.069932,3.975090,1.407426,3.134284,-0.013903,-0.180191,0.212697
0.010000,3.100551,3.981779,1.438768,3.134135,-0.014907,-0.100428,0.217444
0.010000,3.131137,3.988612,1.470108,3.133983,-0.015150,-0.024210,0.222185
0.010000,3.161689,3.995590,1.501446,3.133814,-0.016898,-0.174883,0.226921
0.010000,3.192205,4.002712,1.532782,3.133635,-0.017947,-0.104898,0.231650
0.010000,3.222685,4.009978,1.564117,3.133451,-0.018380,-0.043299,0.236373
0.010000,3.253129,4.017388,1.595449,3.133253,-0.019777,-0.139689,0.241089
0.010000,3.283536,4.024940,1.626780,3.133044,-0.020913,-0.113603,0.245797
0.010000,3.313904,4.032634,1.658108,3.132830,-0.021451,-0.053791,0.250498
0.010000,3.344234,4.040471,1.689434,3.132603,-0.022669,-0.121750,0.255191
0.010000,3.374525,4.048449,1.720757,3.132365,-0.023795,-0.112592,0.259875
0.010000,3.404776,4.056568,1.752079,3.132121,-0.024389,-0.059413,0.264551
0.010000,3.434986,4.064827,1.783397,3.131866,-0.025523,-0.113433,0.269217
0.010000,3.465154,4.073227,1.814713,3.131600,-0.026582,-0.105880,0.273875
0.010000,3.495280,4.081766,1.846027,3.131328,-0.027213,-0.063068,0.278522
0.010000,3.525364,4.090444,1.877337,3.131045,-0.028300,-0.108761,0.283160
0.010000,3.555405,4.099261,1.908645,3.130752,-0.029267,-0.096645,0.287787
0.010000,3.585401,4.108215,1.939949,3.130453,-0.029935,-0.066878,0.292404
0.010000,3.615353,4.117307,1.971251,3.130143,-0.030969,-0.103340,0.297010
0.010000,3.645260,4.126536,2.002549,3.129825,-0.031841,-0.087269,0.301604
0.010000,3.675121,4.135900,2.033844,3.129499,-0.032564,-0.072227,0.306187
0.010000,3.704936,4.145401,2.065135,3.129164,-0.033506,-0.094260,0.310758
0.010000,3.734703,4.155036,2.096424,3.128821,-0.034300,-0.079375,0.315317
0.010000,3.764423,4.164806,2.127708,3.128470,-0.035098,-0.079826,0.319863
0.010000,3.794095,4.174709,2.158989,3.128111,-0.035898,-0.079987,0.324397
0.010000,3.823719,4.184745,2.190267,3.127745,-0.036651,-0.075254,0.328918
0.010000,3.853293,4.194914,2.221541,3.127369,-0.037507,-0.085653,0.333426
0.010000,3.882818,4.205214,2.252810,3.126988,-0.038151,-0.064371,0.337920
0.010000,3.912292,4.215646,2.284076,3.126599,-0.038900,-0.074894,0.342400
0.010000,3.941716,4.226208,2.315338,3.126201,-0.039759,-0.085951,0.346866
0.010000,3.971089,4.236899,2.346596,3.125799,-0.040275,-0.051586,0.351318
0.010000,4.000410,4.247720,2.377850,3.125388,-0.041035,-0.075997,0.355756
0.010000,4.029679,4.258669,2.409100,3.124970,-0.041859,-0.082365,0.360178
0.010000,4.058895,4.269746,2.440346,3.124547,-0.042268,-0.040942,0.364586
0.010000,4.088058,4.280949,2.471587,3.124117,-0.043040,-0.077212,0.368978
0.010000,4.117168,4.292279,2.502823,3.123678,-0.043816,-0.077525,0.373355
0.010000,4.146223,4.303734,2.534056,3.123237,-0.044128,-0.031244,0.377717
0.010000,4.175225,4.315314,2.565284,3.122788,-0.044896,-0.076765,0.382062
0.010000,4.204172,4.327018,2.596507,3.122332,-0.045645,-0.074923,0.386391
