dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.009283,6.786448,0.000028,0.005556,0.555556,55.555556,2.942553
0.010000,6.009301,6.786445,0.000046,0.001785,-0.377047,-93.260234,2.942616
0.010000,6.009340,6.786437,0.000086,0.004016,0.223130,60.017717,2.942758
0.010000,6.009406,6.786424,0.000153,0.006694,0.267742,4.461183,2.942995
0.010000,6.009498,6.786405,0.000246,0.009371,0.267716,-0.002605,2.943327
0.010000,6.009616,6.786381,0.000367,0.012048,0.267679,-0.003691,2.943753
0.010000,6.009627,6.786379,0.000379,0.001193,-1.085505,-135.318411,2.944274
0.010000,6.008736,6.786557,0.001288,0.090948,8.975544,1006.104923,2.944890
0.010000,6.007707,6.786762,0.002337,0.104906,1.395793,-757.975120,2.945601
0.010000,6.006540,6.786993,0.003526,0.118908,1.400173,0.437967,2.946406
0.010000,6.005237,6.787250,0.004855,0.132872,1.396435,-0.373831,2.947307
0.010000,6.003795,6.787533,0.006324,0.146874,1.400200,0.376541,2.948303
0.010000,6.002217,6.787841,0.007932,0.160828,1.395410,-0.478955,2.949394
0.010000,6.000501,6.788174,0.009680,0.174817,1.398894,0.348343,2.950580
0.010000,5.998647,6.788531,0.011568,0.188798,1.398127,-0.076718,2.951861
0.010000,5.996655,6.788912,0.013596,0.202761,1.396289,-0.183773,2.953238
0.010000,5.994526,6.789316,0.015763,0.216727,1.396555,0.026590,2.954711
0.010000,5.992259,6.789743,0.018070,0.230693,1.396637,0.008229,2.956278
0.010000,5.989854,6.790192,0.020517,0.244659,1.396542,-0.009546,2.957942
0.010000,5.987311,6.790662,0.023103,0.258621,1.396275,-0.026683,2.959701
0.010000,5.984629,6.791153,0.025829,0.272580,1.395844,-0.043132,2.961556
0.010000,5.981810,6.791663,0.028694,0.286532,1.395255,-0.058841,2.963507
0.010000,5.978852,6.792192,0.031699,0.300478,1.394517,-0.073761,2.965554
0.010000,5.975756,6.792740,0.034843,0.314444,1.396668,0.215043,2.967698
0.010000,5.972521,6.793304,0.038127,0.328398,1.395348,-0.132011,2.969937
0.010000,5.969147,6.793885,0.041551,0.342322,1.392375,-0.297266,2.972272
0.010000,5.965634,6.794481,0.045114,0.356301,1.397941,0.556604,2.974704
0.010000,5.961983,6.795091,0.048816,0.370214,1.391321,-0.662065,2.977232
0.010000,5.958192,6.795715,0.052658,0.384192,1.397779,0.645867,2.979857
0.010000,5.954262,6.796351,0.056639,0.398114,1.392160,-0.561880,2.982577
0.010000,5.950192,6.796998,0.060759,0.412059,1.394503,0.234248,2.985394
0.010000,5.945983,6.797654,0.065020,0.426021,1.396261,0.175787,2.988308
0.010000,5.941634,6.798319,0.069419,0.439960,1.393895,-0.236599,2.991317
0.010000,5.937145,6.798992,0.073958,0.453906,1.394568,0.067353,2.994423
0.010000,5.932516,6.799671,0.078637,0.467857,1.395133,0.056487,2.997625
0.010000,5.927747,6.800354,0.083455,0.481813,1.395604,0.047035,3.000922
0.010000,5.922837,6.801041,0.088413,0.495773,1.395994,0.039052,3.004316
0.010000,5.917786,6.801730,0.093510,0.509736,1.396320,0.032588,3.007805
0.010000,5.912594,6.802419,0.098747,0.523702,1.396597,0.027696,3.011390
0.010000,5.907262,6.803107,0.104124,0.537676,1.397384,0.078738,3.015069
0.010000,5.901788,6.803793,0.109641,0.551684,1.400838,0.345349,3.018844
0.010000,5.896173,6.804475,0.115297,0.565665,1.398010,-0.282784,3.022713
0.010000,5.890415,6.805151,0.121094,0.579671,1.400642,0.263242,3.026676
0.010000,5.884516,6.805820,0.127031,0.593697,1.402564,0.192144,3.030733
0.010000,5.878475,6.806479,0.133108,0.607724,1.402687,0.012310,3.034884
0.010000,5.872291,6.807128,0.139326,0.621767,1.404315,0.162841,3.039126
0.010000,5.865965,6.807765,0.145684,0.635846,1.407909,0.359345,3.043461
0.010000,5.859495,6.808388,0.152183,0.649918,1.407265,-0.064362,3.047888
0.010000,5.852883,6.808994,0.158824,0.664017,1.409884,0.261852,3.052405
0.010000,5.846127,6.809582,0.165605,0.678142,1.412507,0.262369,3.057012
0.010000,5.839228,6.810151,0.172528,0.692295,1.415232,0.272477,3.061708
0.010000,5.832184,6.810698,0.179593,0.706472,1.417706,0.247371,3.066493
0.010000,5.824996,6.811221,0.186800,0.720679,1.420697,0.299115,3.071364
0.010000,5.817664,6.811719,0.194149,0.734913,1.423480,0.278309,3.076322
0.010000,5.810187,6.812188,0.201640,0.749178,1.426450,0.296999,3.081364
0.010000,5.802565,6.812628,0.209275,0.763474,1.429554,0.310353,3.086491
0.010000,5.794798,6.813037,0.217053,0.777804,1.433064,0.351042,3.091699
0.010000,5.786884,6.813411,0.224975,0.792202,1.439795,0.673128,3.096989
0.010000,5.778825,6.813749,0.233041,0.806605,1.440305,0.050981,3.102358
0.010000,5.770620,6.814048,0.241252,0.821084,1.447872,0.756653,3.107805
0.010000,5.762268,6.814308,0.249608,0.835580,1.449627,0.175527,3.113329
0.010000,5.753769,6.814524,0.258110,0.850163,1.458320,0.869348,3.118926
0.010000,5.745123,6.814696,0.266757,0.864771,1.460812,0.249127,3.124597
0.010000,5.736330,6.814820,0.275552,0.879440,1.466862,0.605005,3.130338
0.010000,5.727388,6.814894,0.284493,0.894171,1.473120,0.625802,3.136147
0.010000,5.718299,6.814917,0.293583,0.908970,1.479831,0.671104,3.142022
0.010000,5.709061,6.814886,0.302821,0.923828,1.485890,0.605883,3.147962
0.010000,5.699673,6.814798,0.312209,0.938753,1.492423,0.653354,3.153963
0.010000,5.690137,6.814651,0.321746,0.953755,1.500247,0.782413,3.160023
0.010000,5.680451,6.814443,0.331435,0.968826,1.507075,0.682733,3.166140
0.010000,5.670615,6.814171,0.341274,0.983971,1.514525,0.745028,3.172310
0.010000,5.660629,6.813833,0.351266,0.999193,1.522231,0.770639,3.178532
0.010000,5.650492,6.813426,0.361411,1.014510,1.531670,0.943857,3.184801
0.010000,5.640204,6.812949,0.371710,1.029904,1.539383,0.771363,3.191115
0.010000,5.629765,6.812398,0.382164,1.045387,1.548302,0.891903,3.197472
0.010000,5.619173,6.811772,0.392774,1.060963,1.557618,0.931539,3.203866
0.010000,5.608430,6.811067,0.403540,1.076636,1.567237,0.961962,3.210297
