dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.065156,7.063444,0.000028,0.005556,0.555556,55.555556,2.942553
0.010000,6.065156,7.063444,0.000139,0.016667,1.111111,55.555556,2.942616
0.010000,6.065156,7.063444,0.000389,0.033333,1.666667,55.555556,2.942758
0.010000,6.065156,7.063444,0.000806,0.050000,1.666667,0.000000,2.942995
0.010000,6.065156,7.063444,0.001389,0.066667,1.666667,-0.000000,2.943327
0.010000,6.065156,7.063444,0.002139,0.083333,1.666667,0.000000,2.943753
0.010000,6.065024,7.063471,0.003056,0.100000,1.666667,0.000000,2.944274
0.010000,6.063961,7.063683,0.004139,0.116667,1.666667,-0.000000,2.944890
0.010000,6.062735,7.063927,0.005389,0.133333,1.666667,0.000000,2.945601
0.010000,6.061345,7.064202,0.006806,0.150000,1.666667,0.000000,2.946406
0.010000,6.059792,7.064509,0.008389,0.166667,1.666667,0.000000,2.947307
0.010000,6.058075,7.064846,0.010139,0.183333,1.666667,0.000000,2.948303
0.010000,6.056194,7.065213,0.012056,0.200000,1.666667,-0.000000,2.949394
0.010000,6.054149,7.065609,0.014139,0.216667,1.666667,0.000000,2.950580
0.010000,6.051939,7.066035,0.016389,0.233333,1.666667,0.000000,2.951861
0.010000,6.049565,7.066489,0.018806,0.250000,1.666667,0.000000,2.953238
0.010000,6.047027,7.066971,0.021389,0.266667,1.666667,0.000000,2.954711
0.010000,6.044325,7.067480,0.024139,0.283333,1.666667,0.000000,2.956278
0.010000,6.041458,7.068015,0.027056,0.300000,1.666667,0.000000,2.957942
0.010000,6.038426,7.068575,0.030139,0.316667,1.666667,0.000000,2.959701
0.010000,6.035229,7.069160,0.033389,0.333333,1.666667,-0.000000,2.961556
0.010000,6.031867,7.069769,0.036806,0.350000,1.666667,0.000000,2.963507
0.010000,6.028340,7.070400,0.040389,0.366667,1.666667,-0.000000,2.965554
0.010000,6.024647,7.071053,0.044139,0.383333,1.666667,-0.000000,2.967698
0.010000,6.020788,7.071726,0.048056,0.400000,1.666667,0.000000,2.969937
0.010000,6.016764,7.072419,0.052139,0.416667,1.666667,-0.000000,2.972272
0.010000,6.012574,7.073130,0.056389,0.433333,1.666667,0.000000,2.974704
0.010000,6.008218,7.073858,0.060806,0.450000,1.666667,-0.000000,2.977232
0.010000,6.003695,7.074602,0.065389,0.466667,1.666667,0.000000,2.979857
0.010000,5.999006,7.075361,0.070139,0.483333,1.666667,-0.000000,2.982577
0.010000,5.994151,7.076132,0.075056,0.500000,1.666667,0.000000,2.985394
0.010000,5.989128,7.076916,0.080139,0.516667,1.666667,-0.000000,2.988308
0.010000,5.983938,7.077710,0.085389,0.533333,1.666667,0.000000,2.991317
0.010000,5.978582,7.078512,0.090806,0.550000,1.666667,0.000000,2.994423
0.010000,5.973057,7.079322,0.096389,0.566667,1.666667,-0.000000,2.997625
0.010000,5.967365,7.080138,0.102139,0.583333,1.666667,0.000000,3.000922
0.010000,5.961506,7.080957,0.108056,0.600000,1.666667,-0.000000,3.004316
0.010000,5.955478,7.081779,0.114139,0.616667,1.666667,0.000000,3.007805
0.010000,5.949283,7.082602,0.120389,0.633333,1.666667,0.000000,3.011390
0.010000,5.942919,7.083423,0.126806,0.650000,1.666667,-0.000000,3.015069
0.010000,5.936387,7.084242,0.133389,0.666667,1.666667,0.000000,3.018844
0.010000,5.929686,7.085055,0.140139,0.683333,1.666667,0.000000,3.022713
0.010000,5.922816,7.085862,0.147056,0.700000,1.666667,0.000000,3.026676
0.010000,5.915778,7.086660,0.154139,0.716667,1.666667,-0.000000,3.030733
