dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.121029,7.340441,0.000028,0.005556,0.555556,55.555556,2.942553
0.010000,6.121012,7.340444,0.000046,0.001785,-0.377047,-93.260234,2.942616
0.010000,6.120973,7.340452,0.000086,0.004016,0.223130,60.017717,2.942758
0.010000,6.120907,7.340465,0.000153,0.006694,0.267742,4.461183,2.942995
0.010000,6.120815,7.340484,0.000246,0.009371,0.267716,-0.002605,2.943327
0.010000,6.120697,7.340507,0.000367,0.012048,0.267679,-0.003691,2.943753
0.010000,6.120420,7.340563,0.000649,0.028257,1.620924,135.324462,2.944274
0.010000,6.119187,7.340809,0.001907,0.125760,9.750327,812.940299,2.944890
0.010000,6.117764,7.341092,0.003358,0.145070,1.930982,-781.934444,2.945601
0.010000,6.116151,7.341412,0.005002,0.164444,1.937421,0.643871,2.946406
0.010000,6.114348,7.341767,0.006840,0.183771,1.932676,-0.474549,2.947307
0.010000,6.112354,7.342158,0.008871,0.203155,1.938347,0.567102,2.948303
0.010000,6.110171,7.342585,0.011096,0.222477,1.932220,-0.612689,2.949394
0.010000,6.107796,7.343045,0.013515,0.241852,1.937567,0.534713,2.950580
0.010000,6.105231,7.343539,0.016127,0.261223,1.937061,-0.050624,2.951861
0.010000,6.102476,7.344067,0.018933,0.280574,1.935094,-0.196712,2.953238
0.010000,6.099529,7.344626,0.021932,0.299934,1.936052,0.095863,2.954711
0.010000,6.096391,7.345217,0.025125,0.319302,1.936766,0.071413,2.956278
0.010000,6.093062,7.345838,0.028512,0.338675,1.937238,0.047117,2.957942
0.010000,6.089541,7.346489,0.032092,0.358049,1.937467,0.022995,2.959701
0.010000,6.085828,7.347168,0.035867,0.377424,1.937458,-0.000930,2.961556
0.010000,6.081924,7.347875,0.039835,0.396796,1.937212,-0.024637,2.963507
0.010000,6.077827,7.348608,0.043996,0.416163,1.936731,-0.048106,2.965554
0.010000,6.073538,7.349366,0.048352,0.435565,1.940213,0.348264,2.967698
0.010000,6.069056,7.350148,0.052901,0.454954,1.938843,-0.137004,2.969937
0.010000,6.064382,7.350953,0.057644,0.474305,1.935127,-0.371674,2.972272
0.010000,6.059514,7.351779,0.062582,0.493737,1.943174,0.804788,2.974704
0.010000,6.054454,7.352625,0.067713,0.513079,1.934258,-0.891623,2.977232
