dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.145536,7.629364,0.000023,0.004617,0.461681,46.168053,3.651111
0.010000,5.145536,7.629364,0.000115,0.013850,0.923361,46.168053,3.651022
0.010000,5.145536,7.629364,0.000323,0.027701,1.385042,46.168053,3.650822
0.010000,5.145536,7.629364,0.000669,0.041551,1.385042,-0.000000,3.650490
0.010000,5.145536,7.629364,0.001154,0.055402,1.385042,0.000000,3.650025
0.010000,5.145536,7.629364,0.001777,0.069252,1.385042,-0.000000,3.649429
0.010000,5.145491,7.629339,0.002539,0.083102,1.385042,0.000000,3.648702
0.010000,5.144704,7.628902,0.003440,0.096953,1.385042,0.000000,3.647846
0.010000,5.143795,7.628399,0.004478,0.110803,1.385042,0.000000,3.646861
0.010000,5.142765,7.627830,0.005656,0.124654,1.385042,-0.000000,3.645750
0.010000,5.141612,7.627195,0.006971,0.138504,1.385042,0.000000,3.644516
0.010000,5.140338,7.626495,0.008426,0.152355,1.385042,0.000000,3.643159
0.010000,5.138940,7.625730,0.010018,0.166205,1.385042,-0.000000,3.641682
0.010000,5.137421,7.624901,0.011750,0.180055,1.385042,0.000000,3.640088
0.010000,5.135778,7.624009,0.013620,0.193906,1.385042,-0.000000,3.638379
0.010000,5.134011,7.623053,0.015628,0.207756,1.385042,0.000000,3.636558
0.010000,5.132121,7.622035,0.017775,0.221607,1.385042,0.000000,3.634628
0.010000,5.130106,7.620955,0.020060,0.235457,1.385042,-0.000000,3.632592
0.010000,5.127968,7.619815,0.022484,0.249307,1.385042,0.000000,3.630453
0.010000,5.125704,7.618614,0.025046,0.263158,1.385042,0.000000,3.628216
0.010000,5.123315,7.617354,0.027747,0.277008,1.385042,-0.000000,3.625882
0.010000,5.120801,7.616035,0.030586,0.290859,1.385042,0.000000,3.623457
0.010000,5.118161,7.614658,0.033564,0.304709,1.385042,-0.000000,3.620943
0.010000,5.115394,7.613225,0.036681,0.318560,1.385042,-0.000000,3.618345
0.010000,5.112500,7.611735,0.039935,0.332410,1.385042,0.000000,3.615665
0.010000,5.109479,7.610190,0.043329,0.346260,1.385042,-0.000000,3.612909
0.010000,5.106330,7.608591,0.046861,0.360111,1.385042,0.000000,3.610080
0.010000,5.103052,7.606938,0.050531,0.373961,1.385042,-0.000000,3.607182
0.010000,5.099646,7.605233,0.054340,0.387812,1.385042,0.000000,3.604220
0.010000,5.096111,7.603477,0.058287,0.401662,1.385042,0.000000,3.601196
0.010000,5.092447,7.601670,0.062373,0.415512,1.385042,0.000000,3.598116
0.010000,5.088652,7.599814,0.066597,0.429363,1.385042,-0.000000,3.594983
0.010000,5.084727,7.597909,0.070960,0.443213,1.385042,0.000000,3.591802
0.010000,5.080671,7.595957,0.075462,0.457064,1.385042,-0.000000,3.588577
0.010000,5.076483,7.593958,0.080102,0.470914,1.385042,0.000000,3.585311
0.010000,5.072164,7.591914,0.084880,0.484765,1.385042,0.000000,3.582009
0.010000,5.067713,7.589825,0.089797,0.498615,1.385042,-0.000000,3.578675
0.010000,5.063129,7.587693,0.094852,0.512465,1.385042,0.000000,3.575312
0.010000,5.058413,7.585518,0.100046,0.526316,1.385042,0.000000,3.571925
0.010000,5.053563,7.583302,0.105379,0.540166,1.385042,0.000000,3.568517
0.010000,5.048579,7.581045,0.110849,0.554017,1.385042,-0.000000,3.565092
0.010000,5.043461,7.578749,0.116459,0.567867,1.385042,0.000000,3.561653
0.010000,5.038209,7.576414,0.122207,0.581717,1.385042,0.000000,3.558205
0.010000,5.032822,7.574041,0.128093,0.595568,1.385042,-0.000000,3.554752
0.010000,5.027300,7.571632,0.134118,0.609418,1.385042,0.000000,3.551295
0.010000,5.021642,7.569186,0.140282,0.623269,1.385042,-0.000000,3.547839
0.010000,5.015848,7.566706,0.146584,0.637119,1.385042,0.000000,3.544387
0.010000,5.009919,7.564192,0.153024,0.650970,1.385042,0.000000,3.540943
0.010000,5.003854,7.561644,0.159603,0.664820,1.385042,-0.000000,3.537509
0.010000,4.997651,7.559064,0.166320,0.678670,1.385042,0.000000,3.534088
0.010000,4.991312,7.556453,0.173176,0.692521,1.385042,-0.000000,3.530683
0.010000,4.984836,7.553810,0.180171,0.706371,1.385042,0.000000,3.527298
0.010000,4.978223,7.551138,0.187304,0.720222,1.385042,0.000000,3.523935
0.010000,4.971472,7.548436,0.194575,0.734072,1.385042,-0.000000,3.520596
0.010000,4.964583,7.545706,0.201985,0.747922,1.385042,0.000000,3.517285
0.010000,4.957557,7.542948,0.209534,0.761773,1.385042,-0.000000,3.514004
0.010000,4.950392,7.540163,0.217221,0.775623,1.385042,0.000000,3.510754
0.010000,4.943089,7.537351,0.225046,0.789474,1.385042,0.000000,3.507540
0.010000,4.935648,7.534513,0.233010,0.803324,1.385042,-0.000000,3.504362
0.010000,4.928068,7.531650,0.241113,0.817175,1.385042,0.000000,3.501223
0.010000,4.920350,7.528761,0.249354,0.831025,1.385042,0.000000,3.498126
0.010000,4.912493,7.525849,0.257733,0.844875,1.385042,-0.000000,3.495071
0.010000,4.904497,7.522912,0.266251,0.858726,1.385042,0.000000,3.492062
0.010000,4.896362,7.519952,0.274908,0.872576,1.385042,-0.000000,3.489100
0.010000,4.888088,7.516969,0.283703,0.886427,1.385042,0.000000,3.486187
0.010000,4.879676,7.513963,0.292636,0.900277,1.385042,-0.000000,3.483325
0.010000,4.871124,7.510935,0.301708,0.914127,1.385042,0.000000,3.480515
0.010000,4.862433,7.507885,0.310919,0.927978,1.385042,0.000000,3.477760
0.010000,4.853603,7.504813,0.320268,0.941828,1.385042,-0.000000,3.475060
0.010000,4.844634,7.501719,0.329755,0.955679,1.385042,0.000000,3.472418
