dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.007709,7.876047,0.000023,0.004617,0.461681,46.168053,3.651111
0.010000,5.007731,7.876059,0.000048,0.002508,-0.210866,-67.254676,3.651022
0.010000,5.007780,7.876086,0.000105,0.005640,0.313234,52.410048,3.650822
0.010000,5.007862,7.876132,0.000198,0.009392,0.375160,6.192603,3.650490
0.010000,5.007977,7.876196,0.000330,0.013131,0.373854,-0.130611,3.650025
0.010000,5.008124,7.876278,0.000498,0.016851,0.372030,-0.182454,3.649429
0.010000,5.008258,7.876353,0.000652,0.015334,-0.151666,-52.369562,3.648702
0.010000,5.007683,7.876033,0.001309,0.065781,5.044710,519.637604,3.647846
0.010000,5.007017,7.875665,0.002070,0.076075,1.029318,-401.539156,3.646861
0.010000,5.006261,7.875247,0.002934,0.086340,1.026537,-0.278125,3.645750
0.010000,5.005414,7.874781,0.003901,0.096694,1.035394,0.885717,3.644516
0.010000,5.004476,7.874265,0.004971,0.107072,1.037771,0.237648,3.643159
0.010000,5.003444,7.873701,0.006147,0.117590,1.051798,1.402675,3.641682
0.010000,5.002320,7.873088,0.007428,0.128047,1.045729,-0.606839,3.640088
0.010000,5.001102,7.872426,0.008814,0.138681,1.063462,1.773248,3.638379
0.010000,4.999788,7.871715,0.010308,0.149387,1.070561,0.709901,3.636558
0.010000,4.998378,7.870955,0.011910,0.160164,1.077734,0.717366,3.634628
0.010000,4.996870,7.870147,0.013620,0.171021,1.085657,0.792240,3.632592
0.010000,4.995265,7.869291,0.015440,0.181955,1.093376,0.771886,3.630453
0.010000,4.993560,7.868387,0.017370,0.193005,1.105016,1.164026,3.628216
0.010000,4.991754,7.867434,0.019411,0.204140,1.113535,0.851883,3.625882
0.010000,4.989847,7.866434,0.021565,0.215378,1.123727,1.019244,3.623457
0.010000,4.987836,7.865386,0.023832,0.226731,1.135325,1.159762,3.620943
0.010000,4.985721,7.864290,0.026214,0.238201,1.147032,1.170757,3.618345
0.010000,4.983501,7.863146,0.028712,0.249794,1.159252,1.221947,3.615665
0.010000,4.981173,7.861956,0.031327,0.261453,1.165959,0.670690,3.612909
0.010000,4.978737,7.860719,0.034059,0.273221,1.176809,1.085000,3.610080
0.010000,4.976190,7.859435,0.036911,0.285188,1.196638,1.982961,3.607182
0.010000,4.973533,7.858105,0.039882,0.297130,1.194215,-0.242296,3.604220
0.010000,4.970763,7.856729,0.042976,0.309341,1.221081,2.686610,3.601196
0.010000,4.967879,7.855307,0.046191,0.321515,1.217417,-0.366495,3.598116
0.010000,4.964879,7.853839,0.049530,0.333944,1.242898,2.548153,3.594983
