dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.687604,7.784559,0.000028,0.005556,0.555556,55.555556,5.638946
0.010000,6.687595,7.784566,0.000040,0.001187,-0.436868,-99.242315,5.638988
0.010000,6.687573,7.784582,0.000066,0.002668,0.148146,58.501327,5.639082
0.010000,6.687538,7.784609,0.000111,0.004441,0.177230,2.908457,5.639239
0.010000,6.687488,7.784646,0.000173,0.006203,0.176244,-0.098673,5.639459
0.010000,6.687544,7.784604,0.000243,0.006993,0.078970,-9.727330,5.639740
0.010000,6.688200,7.784112,0.001062,0.081971,7.497802,741.883194,5.640083
0.010000,6.688976,7.783531,0.002032,0.096966,1.499561,-599.824144,5.640486
0.010000,6.689872,7.782861,0.003151,0.111930,1.496367,-0.319372,5.640948
0.010000,6.690889,7.782100,0.004421,0.126963,1.503252,0.688513,5.641468
0.010000,6.692027,7.781250,0.005841,0.142032,1.506976,0.372434,5.642045
0.010000,6.693287,7.780311,0.007413,0.157133,1.510038,0.306111,5.642678
0.010000,6.694668,7.779282,0.009135,0.172271,1.513852,0.381439,5.643364
0.010000,6.696173,7.778163,0.011010,0.187455,1.518393,0.454105,5.644103
0.010000,6.697800,7.776955,0.013037,0.202692,1.523633,0.523984,5.644892
0.010000,6.699551,7.775657,0.015217,0.217987,1.529542,0.590958,5.645730
0.010000,6.701427,7.774269,0.017550,0.233348,1.536092,0.654917,5.646614
0.010000,6.703428,7.772791,0.020038,0.248768,1.542005,0.591375,5.647543
0.010000,6.705555,7.771224,0.022680,0.264214,1.544595,0.258943,5.648514
0.010000,6.707809,7.769566,0.025478,0.279785,1.557089,1.249457,5.649525
0.010000,6.710190,7.767818,0.028431,0.295359,1.557458,0.036906,5.650573
0.010000,6.712699,7.765981,0.031542,0.311049,1.568994,1.153595,5.651657
0.010000,6.715338,7.764053,0.034810,0.326807,1.575757,0.676216,5.652773
0.010000,6.718107,7.762034,0.038236,0.342625,1.581768,0.601156,5.653919
0.010000,6.721007,7.759926,0.041821,0.358509,1.588477,0.670897,5.655092
0.010000,6.724038,7.757727,0.045566,0.374488,1.597873,0.939568,5.656290
0.010000,6.727202,7.755438,0.049472,0.390545,1.605704,0.783157,5.657509
0.010000,6.730500,7.753059,0.053538,0.406660,1.611531,0.582618,5.658748
0.010000,6.733933,7.750589,0.057767,0.422874,1.621364,0.983321,5.660002
0.010000,6.737500,7.748028,0.062159,0.439178,1.630426,0.906200,5.661270
0.010000,6.741205,7.745376,0.066714,0.455559,1.638046,0.762008,5.662548
0.010000,6.745046,7.742634,0.071434,0.472001,1.644178,0.613271,5.663834
0.010000,6.749026,7.739800,0.076320,0.488563,1.656207,1.202843,5.665124
0.010000,6.753145,7.736876,0.081372,0.505177,1.661436,0.522950,5.666415
0.010000,6.757405,7.733860,0.086591,0.521890,1.671292,0.985515,5.667704
0.010000,6.761805,7.730752,0.091978,0.538697,1.680702,0.941046,5.668989
0.010000,6.766348,7.727553,0.097533,0.555583,1.688584,0.788171,5.670266
0.010000,6.771033,7.724263,0.103259,0.572551,1.696780,0.819605,5.671533
0.010000,6.775862,7.720880,0.109155,0.589603,1.705257,0.847734,5.672786
0.010000,6.780836,7.717405,0.115222,0.606743,1.713984,0.872651,5.674021
0.010000,6.785956,7.713838,0.121462,0.623972,1.722928,0.894439,5.675237
0.010000,6.791222,7.710179,0.127875,0.641293,1.732060,0.913177,5.676430
