dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.348180,7.332690,0.000028,0.005556,0.555556,55.555556,5.638946
0.010000,6.348190,7.332682,0.000040,0.001187,-0.436868,-99.242315,5.638988
0.010000,6.348211,7.332666,0.000066,0.002668,0.148146,58.501327,5.639082
0.010000,6.348247,7.332640,0.000111,0.004441,0.177230,2.908457,5.639239
0.010000,6.348296,7.332603,0.000173,0.006203,0.176244,-0.098673,5.639459
0.010000,6.348479,7.332465,0.000402,0.022895,1.669155,149.291105,5.639740
0.010000,6.349290,7.331857,0.001415,0.101326,7.843178,617.402387,5.640083
0.010000,6.350249,7.331140,0.002612,0.119736,1.840948,-600.223009,5.640486
0.010000,6.351354,7.330312,0.003993,0.138043,1.830736,-1.021191,5.640948
0.010000,6.352606,7.329376,0.005556,0.156364,1.832065,0.132807,5.641468
0.010000,6.354005,7.328331,0.007303,0.174650,1.828604,-0.346030,5.642045
0.010000,6.355552,7.327178,0.009232,0.192885,1.823478,-0.512661,5.642678
0.010000,6.357244,7.325917,0.011342,0.211069,1.818460,-0.501756,5.643364
0.010000,6.359084,7.324549,0.013634,0.229205,1.813547,-0.491300,5.644103
0.010000,6.361069,7.323075,0.016107,0.247292,1.808734,-0.481350,5.644892
0.010000,6.363201,7.321495,0.018761,0.265332,1.804014,-0.471967,5.645730
0.010000,6.365478,7.319810,0.021594,0.283326,1.799382,-0.463216,5.646614
0.010000,6.367902,7.318020,0.024607,0.301259,1.793326,-0.605595,5.647543
0.010000,6.370470,7.316127,0.027797,0.319086,1.782655,-1.067040,5.648514
0.010000,6.373184,7.314131,0.031167,0.336920,1.783380,0.072477,5.649525
0.010000,6.376043,7.312033,0.034713,0.354609,1.768956,-1.442384,5.650573
0.010000,6.379047,7.309833,0.038436,0.372284,1.767483,-0.147347,5.651657
0.010000,6.382195,7.307533,0.042334,0.389882,1.759805,-0.767826,5.652773
0.010000,6.385487,7.305134,0.046408,0.407390,1.750829,-0.897548,5.653919
0.010000,6.388923,7.302635,0.050656,0.424814,1.742325,-0.850389,5.655092
0.010000,6.392502,7.300039,0.055078,0.442180,1.736663,-0.566248,5.656290
0.010000,6.396225,7.297346,0.059673,0.459469,1.728829,-0.783346,5.657509
0.010000,6.400090,7.294557,0.064439,0.476652,1.718376,-1.045280,5.658748
